,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2020-03-31,-94.00000,311.00000,-47.00000,264.00000,183.00000,622.00000,-486.00000,-377.00000,76.00000,,-81.00000,-81.00000,,-5.00000,422.00000,2000.00000,2422.00000,-440.00000,-440.00000,-188.00000,-20.00000,1774.00000,1392.00000,-188.00000
2019-12-31,513,313,-279,34,198,-455,281,824,139,0,5,5,0,144,-370,0,-370,-539,-539,0,1,-908,60,0
2019-09-30,659,308,174,482,-88,-24,-6,1092,-376,0,16,16,0,-360,-70,0,-70,-491,-491,-96,-33,-690,42,-96
2019-06-30,741,301,37,338,18,-13,-84,966,-230,0,-21,-21,0,-251,-76,0,-76,-440,-440,-98,1,-613,102,-98
2019-03-31,387.00000,297.00000,13.00000,310.00000,-222.00000,919.00000,440.00000,1105.00000,-160.00000,,324.00000,324.00000,,164.00000,-99.00000,,-99.00000,-490.00000,-490.00000,-178.00000,-12.00000,-779.00000,490.00000,-178.00000
2018-12-31,654,331,-8,323,226,-661,30,989,-538,0,-125,-125,-5,-668,-95,0,-95,-491,-491,0,15,-571,-250,0
2018-09-30,616,301,103,404,-13,32,179,1272,-455,0,-146,-146,-3,-604,-105,0,-105,-491,-491,-92,10,-678,-10,-92
2018-06-30,732,292,127,419,-81,140,480,1630,-520,0,-156,-156,-17,-693,-83,0,-83,-492,-492,-92,22,-645,292,-92
2018-03-31,463.00000,277.00000,65.00000,342.00000,-15.00000,753.00000,237.00000,1002.00000,-409.00000,,360.00000,360.00000,-24.00000,-73.00000,-89.00000,,-89.00000,-491.00000,-491.00000,-148.00000,126.00000,-602.00000,327.00000,-148.00000
2017-12-31,1747,279,-1315,-1036,-79,-427,-116,563,-520,0,-202,-202,-13,-735,539,0,539,-343,-343,0,11,207,35,0
2017-09-30,528,302,120,422,0,-32,54,996,-638,0,34,34,-16,-620,-108,0,-108,-292,-292,-75,22,-453,-77,-75
2017-06-30,743,319,61,380,12,-18,-341,745,-551,0,16,16,-48,-583,-62,0,-62,-393,-393,-76,55,-476,-314,-76
2017-03-31,339.00000,318.00000,81.00000,399.00000,-35.00000,874.00000,931.00000,1625.00000,-414.00000,,-7.00000,-7.00000,-49.00000,-470.00000,-371.00000,,-371.00000,-543.00000,-543.00000,-123.00000,53.00000,-984.00000,171.00000,-123.00000
2016-12-31,461,318,-75,243,305,-212,42,709,-674,0,-126,-126,-39,-839,92,0,92,-294,-294,0,46,-156,-286,0
2016-09-30,389,315,248,563,-320,20,-53,856,-464,0,-92,-92,-28,-584,-70,0,-70,-244,-244,-62,30,-346,-74,-62
2016-06-30,820,298,-47,251,-14,377,75,1112,-462,0,-181,-181,-31,-674,-49,0,-49,-694,-694,-64,21,-786,-348,-64
2016-03-31,513.00000,290.00000,114.00000,404.00000,-21.00000,458.00000,750.00000,1616.00000,-438.00000,,274.00000,274.00000,-11.00000,-175.00000,-58.00000,,-58.00000,-489.00000,-489.00000,-96.00000,7.00000,-636.00000,805.00000,-96.00000
2015-12-31,536,264,-128,136,-2,-817,-282,324,-810,0,-112,-112,-24,-946,455,0,455,16,16,0,-6,465,-157,0
2015-09-30,584,257,4,261,4,-86,299,835,-230,0,3,3,-32,-259,-81,0,-81,-491,-491,-49,13,-608,-32,-49
2015-06-30,608,250,98,348,40,-183,-277,627,-428,0,53,53,-31,-406,-44,0,-44,-372,-372,-50,-8,-474,-253,-50
2015-03-31,453.00000,244.00000,30.00000,274.00000,-130.00000,713.00000,760.00000,1452.00000,-573.00000,,293.00000,293.00000,-22.00000,-302.00000,-53.00000,,-53.00000,-287.00000,-287.00000,-81.00000,14.00000,-407.00000,743.00000,-81.00000
2014-12-31,190,251,312,563,137,-572,-313,204,-466,0,22,22,-24,-468,-97,0,-97,-186,-186,-1,-2,-286,-550,-1
2014-09-30,329,238,454,692,-22,-199,-755,240,-406,0,390,390,-28,-44,-51,0,-51,-177,-177,-41,23,-246,-50,-41
2014-06-30,465,228,-18,210,11,227,662,1339,-481,0,-356,-356,-20,-857,-75,0,-75,-216,-216,-41,-9,-341,141,-41
2014-03-31,152.00000,221.00000,32.00000,253.00000,-72.00000,779.00000,731.00000,1119.00000,-395.00000,,49.00000,49.00000,-12.00000,-358.00000,-49.00000,,-49.00000,-266.00000,-266.00000,-56.00000,-4.00000,-375.00000,386.00000,-56.00000
2013-12-31,212,224,17,241,57,-373,-158,289,-438,0,198,198,-14,-254,-48,0,-48,26,26,0,9,-13,22,0
2013-09-30,259,221,-28,193,73,-79,-103,428,-268,0,-91,-91,0,-359,-54,0,-54,-138,-138,-28,-5,-225,-156,-28
2013-06-30,224,212,75,287,-50,153,265,777,-193,0,-106,-106,0,-299,-52,0,-52,-238,-238,-28,-9,-327,151,-28
2013-03-31,59.00000,210.00000,-19.00000,191.00000,-97.00000,710.00000,733.00000,983.00000,-534.00000,,62.00000,62.00000,,-472.00000,-164.00000,,-164.00000,-94.00000,-94.00000,-15.00000,-13.00000,-286.00000,225.00000,-15.00000
2012-12-31,78,233,96,329,74,-279,-133,231,-399,0,210,210,0,-189,-61,0,-61,-70,-70,0,34,-97,-55,0
2012-09-30,16,214,66,280,-2,173,-16,463,-406,0,136,136,-6,-276,-48,0,-48,-45,-45,-8,-1,-102,85,-8
2012-06-30,229,199,87,286,-37,-247,-208,145,-416,0,54,54,6,-356,-38,0,-38,-213,-213,-7,-6,-264,-475,-7
2012-03-31,98.00000,198.00000,-187.00000,11.00000,-68.00000,816.00000,973.00000,1225.00000,-127.00000,,115.00000,115.00000,,-12.00000,-431.00000,,-431.00000,-45.00000,-45.00000,-7.00000,-1.00000,-484.00000,729.00000,-7.00000
2011-12-31,152,202,-94,108,70,-5,52,371,-420,0,355,355,0,-65,-430,0,-430,-65,-65,0,2,-493,-187,0
2011-09-30,-140,188,303,491,11,-542,-570,-217,-276,0,139,139,0,-137,-48,0,-48,-171,-171,-4,-2,-225,-579,-4
2011-06-30,161,173,-34,139,-20,-31,16,237,-215,-35,-339,-339,0,-589,-113,0,-113,27,27,-3,-3,-92,-444,-3
2011-03-31,5.00000,152.00000,38.00000,190.00000,-87.00000,449.00000,600.00000,965.00000,-57.00000,,-174.00000,-174.00000,,-231.00000,-30.00000,,-30.00000,4.00000,4.00000,-7.00000,77.00000,44.00000,778.00000,-7.00000
2010-12-31,131,155,5,160,40,-113,-69,269,-95,0,75,75,0,-20,-32,0,-32,10,10,0,3,-19,230,0
2010-09-30,205,158,5,163,42,-40,-4,379,-100,0,-213,-213,0,-313,-38,0,-38,10,10,-3,7,-24,42,-3
2010-06-30,112,150,229,379,-41,220,459,540,-159,0,-451,-451,0,-610,-25,-44,-69,23,23,-3,-2,-51,-121,-3
2010-03-31,11.00000,151.00000,33.00000,184.00000,-67.00000,343.00000,191.00000,373.00000,-139.00000,,-183.00000,-183.00000,,-322.00000,-60.00000,,-60.00000,12.00000,12.00000,-7.00000,,-55.00000,-4.00000,-7.00000
2009-12-31,115,153,4,157,56,-95,62,492,-114,0,-144,-144,1,-257,-23,-6,-29,9,9,0,-3,-23,212,0
2009-09-30,-16,158,20,178,12,18,-116,73,-199,0,-99,-99,0,-298,101,83,184,3,3,-3,-3,181,-44,-3
2009-06-30,91,146,7,153,-6,-197,-99,134,-187,0,-190,-190,1,-376,326,-491,-165,4,4,-3,207,43,-199,-3
2009-03-31,-91.00000,147.00000,55.00000,202.00000,-22.00000,238.00000,216.00000,286.00000,-85.00000,,-553.00000,-553.00000,,-638.00000,-35.00000,,-35.00000,4.00000,4.00000,-7.00000,167.00000,129.00000,-223.00000,-7.00000
