,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-investments-total,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2013-08-31,489.00000,639.00000,171.00000,810.00000,10.00000,-37.00000,-370.00000,929.00000,-562.00000,,,,-562.00000,,,-147.00000,-147.00000,-48.00000,14.00000,-181.00000,179.00000,45.00000,-48.00000
2013-05-31,1458,622,-589,33,-171,-188,221,1712,-935,0,0,0,-935,748,748,59,59,-45,5,767,1545,22,-45
2013-02-28,361,599,286,885,223,14,12,1258,-517,0,0,0,-517,0,0,168,168,-44,3,127,855,23,-44
2012-11-30,438,592,215,807,-506,-53,-430,815,-908,0,0,0,-908,-116,-116,23,23,-44,2,-135,-226,24,-44
2012-08-31,459.00000,573.00000,209.00000,782.00000,3.00000,133.00000,-338.00000,903.00000,-960.00000,-483.00000,,,-1443.00000,690.00000,690.00000,-216.00000,-216.00000,-44.00000,-5.00000,425.00000,-100.00000,40.00000,-44.00000
2012-05-31,550,543,625,1168,-167,-537,100,1818,-1007,-2,0,0,-1009,-1,-1,45,45,-41,11,14,803,22,-41
2012-02-29,521,543,478,1021,204,-118,-693,849,-724,0,0,0,-724,-10,-10,51,51,-41,2,2,144,23,-41
2011-11-30,497,518,211,729,-250,-50,82,1308,-1097,-3,0,0,-1100,-1,-1,-193,-193,-41,1,-234,-63,23,-41
2011-08-31,464.00000,509.00000,211.00000,720.00000,-41.00000,-20.00000,-324.00000,860.00000,-1105.00000,-111.00000,,,-1216.00000,-17.00000,-17.00000,28.00000,28.00000,-41.00000,4.00000,-26.00000,-369.00000,37.00000,-41.00000
2011-05-31,558,499,286,785,-116,-73,241,1584,-635,0,0,0,-635,0,0,44,44,-38,7,13,969,20,-38
2011-02-28,231,493,400,893,-205,-160,-678,446,-636,-96,0,0,-732,-250,-250,39,39,-37,7,-241,-518,22,-37
2010-11-30,283,502,164,666,-117,-30,266,1215,-1043,0,0,0,-1043,0,0,17,17,-38,3,-18,168,22,-38
2010-08-31,380.00000,479.00000,98.00000,577.00000,38.00000,-39.00000,-161.00000,796.00000,-1009.00000,,,,-1009.00000,-12.00000,-12.00000,8.00000,8.00000,-38.00000,1.00000,-41.00000,-243.00000,34.00000,-38.00000
2010-05-31,419,488,211,699,-261,-49,112,1230,-831,0,0,0,-831,-21,-21,58,58,-35,12,14,403,21,-35
2010-02-28,239,488,187,675,-237,-110,-363,551,-434,0,0,0,-434,-7,-7,12,12,-34,4,-25,84,22,-34
2009-11-30,345,487,54,541,-356,-510,-427,459,-662,0,0,0,-662,-117,-117,17,17,-35,4,-131,-324,23,-35
2009-08-31,181.00000,495.00000,122.00000,617.00000,-52.00000,287.00000,100.00000,898.00000,-854.00000,,,,-854.00000,-508.00000,-508.00000,7.00000,7.00000,-34.00000,-15.00000,-550.00000,-503.00000,35.00000,-34.00000
2009-05-31,-876,496,1405,1901,212,-871,-493,532,-431,0,0,0,-431,-500,-500,31,31,-34,3,-500,-381,21,-34
2009-02-28,974,1479,277,1756,550,-265,-509,2221,-1952,0,0,0,-1952,999,999,10,10,-103,-6,900,1134,78,-103
