,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2017-09-30,913.417,187.4489,-607.387,-419.938,14.718,0,121.674,615.153,976.476,-374.605,-99.407,-99.407,9.927,512.391,-565.6791,-565.6791,5.31,5.31,-236.468,-34.099,-830.936,297.372,20.487,-236.468
2017-06-30,287.98,203.182,-136.411,66.771,27.982,0,37.615,392.366,-231.5889,0,-38.236,-38.236,42.834,-226.991,-152.174,-152.174,23.475,23.475,-235.72,66.996,-297.423,-124.475,19.224,-235.72
2017-03-31,220.68900,198.18900,-31.80600,166.38300,33.47000,,-34.27800,352.79400,37.71900,,-106.65800,-106.65800,125.42600,56.48700,249.95100,249.95100,1.89900,1.89900,-235.07200,-845.70600,-828.92800,-411.48700,18.38000,-235.07200
2016-12-31,466.702,204.702,-224.516,-19.814,-58.106,0,-26.894,419.994,297.1539,0,-37.363,-37.363,262.115,521.906,-231.2899,-231.2899,1.369,1.369,-262.175,-4.706,-496.802,432.196,16.683,-262.175
2016-09-30,307.242,189.885,-166.058,23.827,-62.558,0,32.282,363.351,-92.151,0,-83.301,-83.301,45.801,-129.651,96.7491,96.7491,27.747,27.747,-224.041,-91.765,-191.31,42.899,14.446,-224.041
2016-06-30,295.791,203.327,-163.413,39.914,2.872,0,14.079,349.784,113.923,0,-28.27,-28.27,441.841,527.494,-556.9521,-556.9521,9.162,9.162,-222.784,-150.24,-920.814,-37.516,16.747,-222.784
2016-03-31,222.80500,224.32600,-63.96400,160.36200,11.45500,,-99.29100,283.87600,139.79600,,-117.01700,-117.01700,309.51000,332.28900,-206.82900,-206.82900,1.19200,1.19200,-222.55900,-88.34300,-516.53900,105.65700,12.46500,-222.55900
2015-12-31,126.757,300.873,-83.326,217.5469,3.494,0,15.466,359.77,194.3181,0,-35.456,-35.456,21.141,180.003,-308.443,-308.443,6.146,6.146,-211.902,-70.866,-585.065,-46.353,13.541,-211.902
2015-09-30,307.186,202.049,-130.885,71.164,-53.614,0,22.318,400.668,261.6351,0,-98.123,-98.123,-52.127,111.385,-200.473,-200.473,0.75,0.75,-211.606,-139.12,-550.449,-40.592,13.406,-211.606
2015-06-30,140.26,187.053,-96.86,90.193,14.044,0,43.904,274.357,-5.8741,-4809.499,-217.152,-217.152,152.254,-4880.271,2625.03,2625.03,1.294,1.294,-190.604,2327.663,4763.383,159.012,13.484,-190.604
2015-03-31,351.31200,158.55700,-286.32600,-127.76900,-28.67300,,-142.01100,81.53200,-122.83200,,-123.68900,-123.68900,46.17200,-200.34900,101.48400,101.48400,82.06800,82.06800,-190.58500,-24.92000,-31.95300,-158.67900,13.23400,-190.58500
2014-12-31,427.724,162.99,-199.98,-36.9899,20.595,0,52.952,443.686,51.5991,0,-22.276,-22.276,-91.129,-61.806,-459.042,-459.042,363.162,-309.028,502.259,-61.854,-327.665,38.813,14.436,502.259
2014-09-30,147.127,124.252,-40.208,84.044,14.546,0,-86.25,144.921,185.558,0,-668.178,-668.178,68.779,-413.841,500.5637,500.5637,3.584,3.584,-166.014,-10.382,327.752,44.452,14.056,-166.014
2014-06-30,152.43,167.897,-184.377,-16.48,19.585,0,97.673,233.623,440.48,0,-328.031,-328.031,215.064,327.513,-32.2098,-32.2098,4.036,-23.607,-168.004,-259.257,-483.078,78.541,13.748,-168.004
2014-03-31,12.00300,165.60600,9.98300,175.58900,-54.81900,,-115.34900,72.24300,-281.26600,,-328.32100,-328.32100,92.46000,-517.12700,-152.53700,-152.53700,7.46500,7.46500,-168.24100,445.49700,132.18400,-302.24300,15.23800,-168.24100
2013-12-31,68.269,124.618,-58.669,65.949,-12.912,37.726,18.523,152.741,1006.086,461.823,-863.387,-863.387,62.732,667.254,-255.513,-255.513,3.397,434.485,-580.862,-34.622,-436.512,369.436,14.986,-580.862
2013-09-30,-7.167,161.426,14.737,176.1631,0,-92.705,-40.316,128.68,-60.63,-461.823,-438.039,-438.039,209.308,-751.184,535.879,535.879,0.052,-431.036,288.19,-36.366,356.667,-263.731,12.263,288.19
2013-06-30,-4.985,161.319,-18.722,142.5969,0,22.043,-63.184,74.428,-121.587,0,-339.957,-339.957,64.814,-396.73,-669.608,-669.608,1497.14,1014.64,-147.662,-221.282,-23.912,-399.935,12.235,-147.662
2013-03-31,296.93200,179.92300,-339.66000,-159.73700,,32.93600,-8.05500,129.14000,2990.14900,,-258.41400,-258.41400,82.84700,2814.58200,-2127.58300,-2127.58300,5.20200,5.20200,-140.52800,1.04400,-2261.86500,684.54900,9.75500,-140.52800
2012-12-31,-215.34,172.201,151.069,323.27,-178.387,186.45,-17.786,90.144,437.737,125.664,-94.804,-94.804,108.895,577.492,-588.6581,-588.6581,1.539,1.539,-141.406,2.892,-725.633,-57.378,29.092,389.159
2012-09-30,-32.898,237.717,15.7859,253.503,0,-82.876,-7.362,213.243,-148.676,-98.669,-19.841,-19.841,28.95,-238.236,48.2341,48.2341,6.378,6.378,-139.542,-21.047,-105.977,-135.443,7.885,-129.237
2012-06-30,4.669,176.678,-14.2199,162.458,0,-58.141,-78.457,88.67,-67,-74.823,-18.642,-18.642,174.263,13.798,88.697,88.697,4.473,4.473,-141.285,-111.568,-159.683,-50.105,8.046,-130.98
2012-03-31,213.09700,180.86300,-241.82000,-60.95700,,-45.43300,-80.70500,71.43500,491.04200,-317.32800,-31.72400,-31.72400,34.57100,176.56100,43.34600,43.34600,18.59100,18.59100,-145.60100,3.44600,-80.21800,167.66400,8.12300,-128.94200
2011-12-31,-40.015,146.301,63.021,209.3221,-40.095,36.999,-67.19,102.117,401.156,136.603,-28.084,-28.084,55.783,565.458,-690.401,-690.401,0,0,-133.901,113.601,-710.701,-40.677,50.068,-129.949
2011-09-30,65.868,186.428,-62.553,123.875,0,16.664,-68.899,120.844,-111.683,-71.854,-21,-21,53.874,-150.663,143.894,143.894,0,0,-138.459,-16.81,-11.375,-44.144,17.369,-128.154
2011-06-30,-143.627,128.417,7.527,135.944,0,2.535,-10.776,-18.459,8.031,-855.955,0,0,21.808,-826.116,59.79,59.79,1156.462,1156.462,-71.341,-64.362,1080.549,236.149,6.576,-58.633
2011-03-31,-40.16400,83.35400,-0.48700,82.86700,,-56.19800,-40.14100,2.56200,176.78400,,11.32900,11.32900,-9.85700,178.25600,-121.66500,-121.66500,0.03100,0.03100,-70.39700,-3.12400,-195.15500,-12.89000,-1.53700,-70.39700
2010-12-31,-1160.863,69.456,1158.585,1228.041,0,58.623,-50.994,16.184,932.137,0,-70.337,-70.337,-39.994,821.806,-1830.104,-1830.104,1132.574,1132.574,-71.089,-49.355,-817.974,19.835,7.827,-45.673
2010-09-30,-8.049,109.442,-40.515,68.927,0,-22.742,60.998,121.876,166.919,0,-265.059,-265.059,9.629,37.538,-87.8329,-87.8329,1.173,1.173,-78.11,-3.565,-168.335,-7.303,5.349,-78.11
2010-06-30,-100.921,169.918,2.487,172.405,1.369,27.82,-38.826,32.658,53.361,-22.248,153.211,153.211,-1.072,57.203,58.2189,58.2189,27.166,27.166,-107.87,-28.348,-50.833,24.52,5.097,-107.87
2010-03-31,-0.62000,46.43300,7.56600,53.99900,-1.36900,,16.68600,70.06500,-53.36100,22.24800,-153.21100,-153.21100,1.07200,-183.25200,111.75900,111.75900,1.54800,1.54800,-49.00500,3.07800,67.38000,-33.78000,6.81200,-49.00500
2009-12-31,41.787,260.235,-264.92,-4.685,-17.479,102.51,-156.246,-119.144,539.631,-449.703,949.133,949.133,89.076,1128.137,-1793.005,-1793.005,938.428,938.751,-187.937,-122.282,-1164.473,-90.989,0.753,-162.521
2009-09-30,76.464,45.219,-53.066,-7.847,10.255,0,18.494,87.111,-66.436,171.123,-0.891,-0.891,6.972,110.768,-122.672,-122.672,0.321,-0.002,-50.219,-7.959,-180.852,-11.255,4.54,-50.219
2009-06-30,28.702,40.152,-6.24,33.912,2.647,0,-3.311,59.303,-127.982,105.154,0.9,0.9,3.055,-18.873,-21.793,-21.793,-0.113,-0.113,-53.035,3.262,-71.679,-77.097,4.645,-53.035
2009-03-31,-123.02400,41.82500,143.53600,185.36100,4.57700,,-0.51200,61.82500,-142.81900,173.42600,-5.06000,-5.06000,-10.30200,15.24500,-592.30400,-592.30400,552.50100,552.50100,-6.07000,0.24100,-45.63200,39.06700,7.30400,-6.07000
