,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2020-03-31,524,211,-67,144,2,-49,-65,0,-80,588,-111,-96,0,0,-25,-232,0,1755,1755,-813,-813,-306,19,655,948,-38,-306
2019-12-31,329.00000,211.00000,64.00000,275.00000,281.00000,-167.00000,-225.00000,32.00000,-180.00000,424.00000,-114.00000,,,,-17.00000,-131.00000,-502.00000,754.00000,252.00000,-129.00000,-129.00000,-305.00000,20.00000,-162.00000,141.00000,56.00000,-305.00000
2019-09-30,724,213,65,278,-127,130,119,-13,202,1204,-199,-80,0,0,-34,-313,-1,-433,-434,-250,-250,-300,18,-966,-109,37,-300
2019-06-30,612,203,-47,156,3,-12,55,8,178,946,-121,-137,0,0,-26,-284,307,-424,-117,0,0,-302,-8,-427,219,31,-302
2019-03-31,525,204,24,228,-117,-35,36,-73,-220,533,-119,-165,0,0,-34,-318,1132,-750,382,-214,-214,-302,38,-96,136,59,-302
2018-12-31,467.00000,202.00000,-36.00000,166.00000,292.00000,-170.00000,-247.00000,-9.00000,-310.00000,323.00000,-155.00000,-73.00000,,,-31.00000,-259.00000,-403.00000,1601.00000,1198.00000,-786.00000,-786.00000,-305.00000,-9.00000,98.00000,155.00000,-7.00000,-305.00000
2018-09-30,622,201,-2,199,-202,150,212,-27,203,1024,-303,-1455,0,0,-30,-1788,10,-1238,-1228,0,0,-305,1,-1532,-2318,216,-305
2018-06-30,719,179,-51,128,-53,39,64,-3,77,924,-120,2,0,0,-29,-147,0,799,799,-250,-250,-306,40,283,967,0,-306
2018-03-31,489,191,20,211,-108,-23,-32,-26,-203,497,-98,-271,0,0,-24,-393,0,-279,-279,-250,-250,-307,24,-812,-652,0,-307
2017-12-31,394.00000,187.00000,26.00000,213.00000,188.00000,-149.00000,-129.00000,14.00000,-160.00000,447.00000,-96.00000,-278.00000,,,-18.00000,-392.00000,-251.00000,1061.00000,810.00000,-500.00000,-500.00000,-311.00000,-30.00000,-31.00000,34.00000,,-311.00000
2017-09-30,510,182,18,200,-144,157,142,12,144,854,-176,0,0,0,-1,-177,-1,-499,-500,0,0,-309,-5,-814,-78,110,-309
2017-06-30,425,171,-90,81,-71,12,93,-35,142,648,-106,-2935,0,0,-59,-3100,-1,1092,1091,-280,-280,-309,3,505,-1899,0,-309
2017-03-31,300,140,-280,-140,-22,-34,19,1,12,172,-94,0,0,0,1127,1033,-1,-3,-4,-120,-120,-310,72,-362,888,0,-310
2016-12-31,315.00000,143.00000,-82.00000,61.00000,212.00000,-103.00000,-119.00000,10.00000,-138.00000,238.00000,-100.00000,-16.00000,,,3874.00000,3758.00000,-251.00000,-2315.00000,-2566.00000,,,-311.00000,-43.00000,-2920.00000,969.00000,,-311.00000
2016-09-30,445,142,198,340,-91,142,71,-24,172,957,-146,-70,0,0,-37,-253,-2,-636,-638,-46,-46,-305,-6,-995,-334,0,-305
2016-06-30,489,140,68,208,-59,-6,32,20,21,718,-91,-51,0,0,-43,-185,1,-12,-11,0,0,-306,-8,-325,194,0,-306
2016-03-31,377,142,145,287,-46,-10,75,-18,55,719,-86,-5,0,0,66,-25,-2,-157,-159,-48,-48,-306,-1,-514,213,0,-306
2015-12-31,353.00000,144.00000,145.00000,289.00000,358.00000,-68.00000,-200.00000,18.00000,-155.00000,487.00000,-124.00000,-6.00000,,,-33.00000,-163.00000,-251.00000,861.00000,610.00000,-507.00000,-507.00000,-310.00000,-4.00000,-211.00000,55.00000,,-310.00000
2015-09-30,651,-40,141,101,-232,254,31,37,349,1101,-72,339,0,0,-223,44,0,-600,-600,-460,-460,-309,-7,-1376,-339,0,-309
2015-06-30,574,201,-276,-75,65,-14,23,-137,0,499,-157,-97,0,0,0,-254,747,91,838,-690,-690,-313,8,-157,137,0,-313
2015-03-31,979,205,-488,-283,-26,-56,-33,-23,-338,358,-152,1389,0,0,-60,1177,0,-145,-145,-842,-842,-321,39,-1269,134,0,-321
2014-12-31,529.00000,207.00000,27.00000,234.00000,434.00000,-195.00000,-277.00000,-17.00000,-192.00000,571.00000,-207.00000,-143.00000,,,-26.00000,-376.00000,-251.00000,999.00000,748.00000,-509.00000,-509.00000,-326.00000,-59.00000,-146.00000,-27.00000,,-326.00000
2014-09-30,415,-54,731,677,-270,151,179,106,316,1408,-78,99,0,0,-154,-133,-6,-511,-517,-265,-265,-300,-2,-1084,100,0,-300
2014-06-30,738,204,-40,164,-191,-19,128,-57,116,1018,-176,-38,0,0,-52,-266,-1,43,42,-187,-187,-304,18,-431,325,0,-304
2014-03-31,554,210,30,240,-148,-74,76,-13,-219,575,-161,0,0,0,-44,-205,-7,703,696,-206,-206,-302,-557,-369,-13,0,-302
2013-12-31,477.00000,209.00000,59.00000,268.00000,446.00000,-161.00000,-151.00000,25.00000,-54.00000,691.00000,-236.00000,-308.00000,,,-11.00000,-555.00000,-314.00000,387.00000,73.00000,-390.00000,-390.00000,-304.00000,-54.00000,-675.00000,-538.00000,,-304.00000
2013-09-30,808,228,109,337,-288,279,77,-2,301,1446,-241,1,0,0,-19,-259,-3,101,98,-537,-537,-293,-3,-735,465,0,-293
2013-06-30,214,676,22,698,-214,6,176,-21,78,990,-140,-20,0,0,-28,-188,-251,252,1,-302,-302,-295,-2,-598,195,0,-295
2013-03-31,578,205,9,214,-29,-31,17,4,-218,574,-97,0,0,0,-26,-123,493,-403,90,-158,-158,-296,22,-342,88,0,-296
2012-12-31,466.00000,206.00000,86.00000,292.00000,447.00000,-171.00000,-256.00000,-13.00000,-119.00000,639.00000,-200.00000,3.00000,,,-22.00000,-219.00000,-264.00000,424.00000,160.00000,-113.00000,-113.00000,-297.00000,-8.00000,-258.00000,160.00000,,-297.00000
2012-09-30,300,734,1,735,-357,255,135,93,276,1311,-237,116,0,0,-39,-160,-3,-554,-557,-270,-270,-290,16,-1101,75,0,-290
2012-06-30,787,211,-18,193,-366,-8,239,-73,-134,846,-141,-11,0,0,3,-149,-6,11,5,-198,-198,-293,-8,-494,139,0,-293
2012-03-31,556,202,-7,195,-239,-57,88,-35,-189,562,-157,-167,0,0,-33,-357,1,225,226,-85,-85,-294,19,-134,77,0,-294
2011-12-31,381.00000,204.00000,42.00000,246.00000,426.00000,-239.00000,-319.00000,34.00000,-293.00000,334.00000,-130.00000,,,,-10.00000,-140.00000,-250.00000,666.00000,416.00000,-244.00000,-244.00000,-294.00000,-48.00000,-170.00000,24.00000,,-294.00000
2011-09-30,774,236,77,313,-181,252,69,-14,168,1255,-244,99,0,0,-30,-175,-2,-13,-15,-440,-440,-258,-10,-723,271,0,-258
2011-06-30,698,215,12,227,-176,-76,134,-4,-22,903,-195,-42,0,0,-9,-246,0,91,91,-319,-319,-259,1,-486,188,0,-259
2011-03-31,567,216,-13,203,-185,-67,174,-23,-17,753,-126,-147,0,0,-17,-290,-24,-9,-33,-125,-125,-261,22,-397,100,0,-261
2010-12-31,491.00000,219.00000,42.00000,261.00000,67.00000,-97.00000,-183.00000,82.00000,-430.00000,322.00000,-82.00000,-39.00000,,,-16.00000,-137.00000,-30.00000,116.00000,86.00000,-51.00000,-51.00000,-261.00000,-55.00000,-281.00000,-99.00000,,-261.00000
2010-09-30,761,211,17,228,-113,75,191,-2,281,1270,-224,-625,0,0,-13,-862,-633,-1349,-1982,-29,-29,-253,-42,-2306,-1832,0,-253
2010-06-30,601,203,-96,107,-222,-72,147,-50,-5,703,-122,-32,0,0,-14,-168,5,1022,1027,-47,-47,-252,60,788,1265,0,-252
2010-03-31,418,206,-10,196,-63,-141,188,4,18,632,-89,-39,0,0,-7,-135,-14,63,49,-24,-24,-253,64,-164,319,0,-253
2009-12-31,437.00000,196.00000,39.00000,235.00000,57.00000,-22.00000,-28.00000,-21.00000,15.00000,687.00000,-89.00000,-1301.00000,,,38.00000,-1352.00000,560.00000,662.00000,1222.00000,,,-251.00000,-15.00000,956.00000,280.00000,,-251.00000
2009-09-30,520,185,96,281,172,252,91,26,551,1352,-143,-37,0,0,-24,-204,-6,-724,-730,0,0,-249,-22,-1001,178,0,-249
2009-06-30,398,184,-90,94,219,282,-117,40,424,916,-116,-302,0,0,-19,-437,512,-846,-334,0,0,-247,-51,-632,-125,0,-247
2009-03-31,853,358,-38,320,620,46,-683,-24,-355,818,-272,-433,0,0,37,-668,62,886,948,-718,-718,-502,-43,-315,-270,0,-502
