,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2019-03-31,375.00000,68.00000,22.00000,90.00000,-401.00000,-408.00000,151.00000,-64.00000,,,,,-24.00000,-88.00000,238.00000,665.00000,903.00000,-792.00000,-792.00000,-139.00000,-95.00000,-123.00000,-60.00000,40.00000,-139.00000
2018-12-31,317,76,157,233,132,50,533,-75,0,0,0,0,-58,-133,1197,-1174,23,-337,-337,-139,0,-453,-53,44,-139
2018-09-30,503,65,31,96,65,78,695,-50,0,0,0,0,17,-33,-4,338,334,-840,-840,-142,-4,-652,10,47,-142
2018-06-30,667,70,41,111,-68,-262,454,4,0,0,0,0,61,65,69,80,149,-858,-858,-144,-6,-859,-340,51,-144
2018-03-31,420.00000,73.00000,145.00000,218.00000,-98.00000,-74.00000,675.00000,44.00000,,,,,5.00000,49.00000,-13.00000,627.00000,614.00000,-811.00000,-811.00000,-118.00000,-95.00000,-410.00000,314.00000,42.00000,-118.00000
2017-12-31,114,69,-539,-470,94,791,476,851,0,0,0,0,33,884,-6,-420,-426,-906,-906,-120,-13,-1465,-105,42,-120
2017-09-30,485,65,-46,19,-11,31,565,-51,0,0,0,0,55,4,-4,361,357,-776,-776,-122,-9,-550,19,44,-122
2017-06-30,489,83,39,122,22,84,724,115,0,0,0,0,-35,80,-297,145,-152,-745,-745,-125,-36,-1058,-254,47,-125
2017-03-31,371.00000,62.00000,29.00000,91.00000,-135.00000,-49.00000,462.00000,263.00000,,,,,-20.00000,243.00000,-3.00000,-26.00000,-29.00000,-580.00000,-580.00000,-115.00000,-99.00000,-823.00000,-118.00000,48.00000,-115.00000
2016-12-31,272,62,99,161,-133,-31,413,91,55,20,0,0,-25,141,-31,-284,-315,-308,-308,-117,-26,-766,-212,95,-117
2016-09-30,70,36,278,314,8,-52,344,-54,-18,-2412,0,0,69,-2415,-2,2598,2596,7,7,-117,-16,2470,399,58,-117
2016-06-30,247,30,86,116,64,67,468,13,-16,0,0,0,-5,-8,1191,-992,199,9,9,-76,-12,120,580,31,-76
2016-03-31,219.00000,31.00000,104.00000,135.00000,-45.00000,13.00000,394.00000,-38.00000,-21.00000,,,,-5.00000,-64.00000,-2.00000,51.00000,49.00000,-242.00000,-242.00000,-64.00000,-70.00000,-327.00000,3.00000,28.00000,-64.00000
2015-12-31,202,32,118,150,36,59,435,-26,-32,0,0,0,52,-6,-318,134,-184,-95,-95,-64,-85,-428,1,29,-64
2015-09-30,210,31,47,78,-9,12,328,-28,-17,-1,0,0,67,21,787,-410,377,-706,-706,-65,0,-394,-45,29,-65
2015-06-30,240,32,87,119,63,133,490,250,-11,-136,121,121,150,374,-2,-110,-112,-664,-664,-68,0,-844,20,31,-68
2015-03-31,207.00000,44.00000,69.00000,113.00000,-131.00000,-102.00000,262.00000,172.00000,-61.00000,,,,-133.00000,-22.00000,-2.00000,246.00000,244.00000,-412.00000,-412.00000,-56.00000,,-224.00000,16.00000,24.00000,-56.00000
2014-12-31,197,32,133,165,-83,-95,274,-1,-18,0,7,7,3,-9,392,-140,252,-507,-507,-56,0,-311,-46,28,-56
2014-09-30,192,33,29,62,-20,6,281,-111,-19,0,-2,-2,11,-121,-2,125,123,-267,-267,-58,0,-202,-42,27,-58
2014-06-30,192,47,67,114,104,145,487,-95,-22,-184,-4,-1,77,-225,-1,101,100,-295,-295,-59,0,-254,8,29,-59
2014-03-31,172.00000,36.00000,55.00000,91.00000,-121.00000,-105.00000,182.00000,231.00000,-6.00000,,-1.00000,-4.00000,-179.00000,42.00000,-2.00000,149.00000,147.00000,-263.00000,-263.00000,-50.00000,,-166.00000,58.00000,25.00000,-50.00000
2013-12-31,151,35,121,156,15,21,335,-70,-25,-112,-65,-65,62,-210,-2,43,41,-132,-132,-52,0,-143,-18,27,-52
2013-09-30,160,34,13,47,9,-9,195,-78,-10,0,0,0,-2,-90,343,-285,58,-75,-75,-51,-1,-69,36,28,-51
2013-06-30,179,33,43,76,180,232,492,-78,-12,0,-2,-2,-39,-131,-1,-169,-170,-252,-252,-52,0,-474,-113,31,-52
2013-03-31,136.00000,25.00000,38.00000,63.00000,-154.00000,-121.00000,118.00000,-70.00000,-14.00000,,-14.00000,-14.00000,10.00000,-88.00000,-402.00000,722.00000,320.00000,-176.00000,-176.00000,-41.00000,,103.00000,133.00000,30.00000,-41.00000
2012-12-31,181,2,150,152,-297,-227,181,-121,-9,-210,-3,-1,-31,-372,344,74,418,-163,-163,-81,0,174,-17,94,-81
2012-09-30,143,33,-21,12,195,236,391,2,-33,0,0,-2,39,6,-16,-37,-53,-301,-301,-43,0,-397,0,0,-43
2012-06-30,143,38,10,48,58,101,292,-56,-9,0,-10,-10,-9,-84,-350,387,37,-396,-396,-33,-1,-393,-185,0,-33
2012-03-31,104.00000,29.00000,15.00000,44.00000,-93.00000,-23.00000,125.00000,-197.00000,-10.00000,,-2.00000,-2.00000,74.00000,-135.00000,588.00000,-240.00000,348.00000,-106.00000,-106.00000,-34.00000,-10.00000,198.00000,188.00000,,-34.00000
2011-12-31,141,28,30,58,-88,5,204,-36,-20,0,-12,-12,-34,-102,50,-72,-22,-175,-175,-34,11,-220,-118,0,-34
2011-09-30,-179,40,393,433,204,150,404,-36,-7,0,-1,-1,125,81,-67,241,174,-520,-520,-36,0,-382,103,0,-36
2011-06-30,135,41,35,76,92,131,342,-29,-10,0,-5,-5,-4,-48,-52,114,62,-351,-351,-32,0,-321,-27,0,-32
2011-03-31,101.00000,35.00000,114.00000,149.00000,-146.00000,-111.00000,139.00000,-62.00000,-37.00000,,-65.00000,-65.00000,-14.00000,-178.00000,-77.00000,42.00000,-35.00000,-255.00000,-255.00000,-32.00000,,-322.00000,-361.00000,,-32.00000
2010-12-31,173,57,183,240,-57,-175,238,-49,-21,0,-14,-14,-19,-103,98,0,98,63,63,-14,0,147,282,0,-14
2010-09-30,83,40,88,128,150,180,391,-80,-15,0,-6,-6,9,-92,-89,-96,-185,24,24,-15,0,-176,123,0,-15
2010-06-30,119,42,61,103,101,140,362,-39,-4,0,-6,-6,4,-45,-58,-300,-358,37,37,-14,0,-335,-18,0,-14
2010-03-31,83.00000,39.00000,90.00000,129.00000,-74.00000,-52.00000,160.00000,-25.00000,-16.00000,,-3.00000,-3.00000,20.00000,-24.00000,-121.00000,-29.00000,-150.00000,17.00000,17.00000,,,-133.00000,3.00000,,0.00000
2009-12-31,106,61,139,200,-63,-35,271,-34,-13,0,15,15,93,61,-79,-285,-364,17,17,0,0,-347,-15,0,0
2009-09-30,-469,43,738,781,160,-62,250,-29,-12,0,-13,-13,-3,-57,-2,-186,-188,2,2,-2,0,-188,5,0,-2
2009-06-30,35,42,-32,10,92,99,144,-33,-9,0,-10,-10,20,-32,-27,-104,-131,6,6,-30,0,-155,-43,0,-30
2009-03-31,-25.00000,39.00000,252.00000,291.00000,-83.00000,-63.00000,203.00000,-49.00000,-5.00000,,-4.00000,-4.00000,17.00000,-41.00000,-130.00000,31.00000,-99.00000,2.00000,2.00000,-31.00000,,-128.00000,34.00000,,-31.00000
