,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2013-06-30,112.089,24.383,9.339,33.722,-53.254,-7.485,47.17,39.905,184.525,-25.37,0,-22.313,0,-0.005,-0.005,0.945,-46.743,-18.798,9.177,-9.621,11.426,11.426,-2.241,-0.486,-0.922,129.31,9.854,-2.241
2013-03-31,107.089,23.297,9.282,32.579,-87.607,13.099,-24.942,-127.783,5.986,-37.633,0,0,0,0.406,0.406,3.386,-33.841,-47.915,-1.551,-49.466,14.34,14.34,-2.035,-2.585,-39.746,-75.538,9.58,-2.035
2012-12-31,104.52300,24.47500,-8.07800,16.39700,108.31000,-33.28800,34.90100,119.19100,246.68700,-24.95600,,,,-0.39700,-0.39700,,-25.35300,-21.13800,5.08400,-16.05400,9.46100,9.46100,-3.69800,-0.22100,-10.51200,209.28800,9.05900,-3.69800
2012-09-30,111.082,25.643,9.925,35.568,-76.94,23.397,-6.867,11.615,158.11,-19.467,0,-18.147,0,0.745,0.745,0,-36.869,-0.098,-1.8,-1.8981,10.111,10.111,0,0.203,8.416,133.869,8.903,0
2012-06-30,100.99,24.673,8.992,33.665,-75.199,5.893,-51.166,-112.623,19.659,-32.492,0,-4.146,0,-0.085,-0.085,0,-36.723,243.288,-255.197,-11.909,12.738,12.738,-2.217,-0.456,-1.844,-22.919,8.003,-2.217
2012-03-31,87.446,25.272,-6.495,18.777,-120.83,30.265,-13.353,-125.871,-24.146,-17.591,0,-3.463,0,-0.64,-0.64,0,-21.694,285.385,-297.586,-12.201,11.066,11.066,-3.159,7.378,3.084,-37.73,7.625,-3.159
2011-12-31,91.43600,25.23600,-38.02300,-12.78700,45.84600,-48.88200,36.49500,66.35900,146.18200,-19.97900,,-65.81900,,-0.04300,-0.04300,,-85.84100,,-22.73200,-22.73200,9.65300,9.65300,,0.69900,-12.38000,53.60400,7.91100,
2011-09-30,95.247,26.227,13.128,39.355,21.583,27.234,-5.659,-22.035,112.301,-14.377,0,-0.584,4.667,-4.522,0.145,-4.01,-18.826,-0.3529,46.141,45.7881,9.777,9.777,0,0.073,55.638,131.814,8.241,0
2011-06-30,91.936,25.176,-17.463,7.713,-104.925,11.927,-26.161,-32.905,60.392,-64.843,0,-93.017,0,-0.229,-0.229,2.927,-155.162,213.585,-102.283,111.302,14.014,14.014,0,2.934,128.25,25.908,7.718,0
2011-03-31,81.341,23.734,-13.239,10.495,-207.78,-27.619,22.178,-173.988,-81.973,-10.591,0,-559.787,0,4.566,4.566,-1.253,-567.065,361.925,-18.389,343.536,11.078,11.078,0,3.529,358.143,-291.772,6.482,0
2010-12-31,66.69700,20.23300,14.38000,34.61300,57.09800,-27.53900,8.34200,45.52300,145.77000,-5.07800,,-58.03300,,-0.00800,-0.00800,2.33600,-60.78300,11.33500,-7.80800,3.52700,11.07400,11.07400,,0.30100,14.90200,100.84100,6.64300,
2010-09-30,77.079,22.781,29.891,52.672,30.28,13.615,-43.239,-143.53,-13.589,-7.241,0,-0.694,0,-1.558,-1.558,7.638,-1.855,-0.035,-19.164,-19.199,8.567,8.567,0,2.032,-8.6,-2.838,6.714,0
2010-06-30,19.24,20.873,8.005,28.878,20.542,-27.324,-9.211,71.76,120.043,-16.262,0,3.052,0,16.545,16.545,6.093,9.428,-0.032,-1.964,-1.996,9.58,9.58,0,1.37,8.954,102.623,6.062,0
2010-03-31,77.531,22.062,5.998,28.06,-163.554,-20.684,-14.791,-229.009,-123.202,-15.114,0,-41.719,0,-8.874,-8.874,-13.144,-78.851,-0.03,-18.318,-18.348,10.124,10.124,0,-6.427,-14.651,-215.981,5.369,0
2009-12-31,72.43700,22.77900,5.13800,27.91700,109.68000,-12.52700,24.36600,139.87100,240.36900,3.92100,,-220.13100,,-112.84600,-112.84600,1.84800,-327.20800,-0.12000,97.53600,97.41600,7.93800,7.93800,,2.05700,107.41100,21.41900,6.21600,
2009-09-30,78.676,29.699,5.772,35.471,53.686,-13.625,-16.763,-64.359,50.508,-8.327,0,-22.296,0,-2.394,-2.394,-5.74,-38.757,-12.084,-15.177,-27.261,10.91,10.91,0,-49.872,-66.223,-25.851,6.162,0
2009-06-30,94.9,19.239,7.766,27.005,143.945,-20.626,5.246,158.1,280.021,-10.263,0,0,0,-24.879,-24.879,-2.061,-37.203,-14.894,30.875,15.981,10.295,10.295,0,1.265,27.541,286.818,6.302,0
2009-03-31,225.637,37.404,4.47,41.874,103.298,-83.286,21.02,-66.381,201.13,-34.668,0,-1.033,0,-4.959,-4.959,23.514,-17.146,-18.985,0.235,-18.75,22.156,22.156,0,-3.727,-0.321,168.232,11.621,0
