,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2013-06-30,6900,1694,1145,2839,-1755,-452,-318,614,-1911,7828,-1885,-131,-144,-4252,0,-4252,-95,-6507,16896,0,16896,-15940,-15940,-2811,-271,-2126,-805,578,-2811
2013-03-31,9547,1692,1353,3045,4514,210,-10567,5755,-88,12504,-2008,-291,-15,-12002,0,-12002,-41,-14357,0,0,0,199,199,-2491,44,-2248,-4101,575,-2491
2012-12-31,13078.00000,1588.00000,1724.00000,3312.00000,-668.00000,-664.00000,6145.00000,2223.00000,7036.00000,23426.00000,-2317.00000,-138.00000,-284.00000,-10730.00000,,-10730.00000,-52.00000,-13521.00000,,,,-1874.00000,-1874.00000,-2493.00000,-130.00000,-4497.00000,5408.00000,545.00000,-2493.00000
2012-09-30,8223,981,787,1768,-3273,331,2017,70,-855,9136,-3461,-40,0,-820,0,-820,8,-4313,0,0,0,232,232,-2488,234,-2022,2801,448,-2488
2012-06-30,8824,835,1599,2434,-615,-20,-359,-75,-1069,10189,-2056,-907,0,-9339,0,-9339,-8,-12310,0,0,0,56,56,0,-111,-55,-2176,448,0
2012-03-31,11622,740,1883,2623,1898,134,-1505,-795,-268,13977,-1457,-52,-350,-12603,0,-12603,-14,-14476,0,0,0,286,286,0,24,310,-189,424,0
2011-12-31,13064.00000,721.00000,1876.00000,2597.00000,-3561.00000,-460.00000,4314.00000,1600.00000,1893.00000,17554.00000,-1321.00000,-108.00000,,-15665.00000,,-15665.00000,-34.00000,-17128.00000,,,,91.00000,91.00000,,-22.00000,69.00000,495.00000,420.00000,0.00000
2011-09-30,6623,543,934,1477,735,113,35,1446,2329,10429,-1645,-2926,-244,-8028,0,-8028,-293,-13136,0,0,0,254,254,0,177,431,-2276,298,0
2011-06-30,7308,481,953,1434,-304,41,854,1775,2366,11108,-777,-185,0,-14092,0,-14092,22,-15032,0,0,0,83,83,0,-46,37,-3887,284,0
2011-03-31,5987,434,1027,1461,229,-45,-720,-693,-1229,6219,-624,-32,0,-901,0,-901,35,-1522,0,0,0,286,286,0,261,547,5244,287,0
2010-12-31,6004.00000,356.00000,1122.00000,1478.00000,-517.00000,166.00000,2346.00000,296.00000,2291.00000,9773.00000,-1214.00000,-49.00000,,-9443.00000,,-9443.00000,-23.00000,-10729.00000,,,,208.00000,208.00000,,221.00000,429.00000,-527.00000,299.00000,
2010-09-30,4308,329,366,695,-2063,-109,3495,-643,680,5683,-760,-53,-23,-3563,0,-3563,16,-4383,0,0,0,179,179,0,77,256,1556,224,0
2010-06-30,3253,273,624,897,-561,-304,2830,-1314,651,4801,-595,-31,-290,-4468,0,-4468,-46,-5430,0,0,0,199,199,0,117,316,-313,219,0
2010-03-31,3074,216,699,915,211,-62,-974,-834,-1659,2330,-274,-27,-325,463,0,463,80,-83,0,0,0,160,160,0,2,162,2409,231,0
2009-12-31,3378.00000,209.00000,630.00000,839.00000,271.00000,-121.00000,956.00000,458.00000,1564.00000,5781.00000,-376.00000,-5.00000,,-3507.00000,,-3507.00000,-70.00000,-3958.00000,,,,374.00000,374.00000,,149.00000,523.00000,2346.00000,205.00000,
2009-09-30,2532,203,430,633,-675,-75,740,-45,-55,3110,-459,-13,0,-3247,61,-3186,-113,-3771,0,0,0,187,187,0,132,319,-342,180,0
2009-06-30,1828,182,391,573,-754,-68,879,-188,-131,2270,-246,-26,0,-1053,-7,-1060,-7,-1339,0,0,0,166,166,0,42,208,1139,179,0
2009-03-31,3875,349,929,1278,490,197,-1527,466,-374,4779,-439,-30,0,-11746,-54,-11800,-55,-12324,0,0,0,122,122,0,14,136,-7409,351,0
