,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2018-06-30,416,258,-297,-39,45,-17,-46,-104,399,-484,586,-324,-46,-370,-28,-296,97,-7,90,0,0,-197,8,-99,-26,-197
2018-03-31,777.00000,254.00000,-364.00000,-110.00000,-39.00000,-16.00000,-31.00000,-152.00000,515.00000,-495.00000,1180.00000,-196.00000,-44.00000,-240.00000,-29.00000,416.00000,-527.00000,98.00000,-429.00000,,,-103.00000,-98.00000,-630.00000,380.00000,-103.00000
2017-12-31,-1286,285,1763,2048,102,38,-84,114,803,-590,50,-39,-40,-79,-25,-644,-110,-224,-334,0,0,-240,-61,-635,-510,-240
2017-09-30,261,303,89,392,-159,-23,-53,115,739,-464,-582,215,-6,209,-22,-859,129,624,753,0,0,-159,20,614,417,-159
2017-06-30,150,290,156,446,-170,-27,-34,-396,254,-649,27,-137,-43,-180,23,-779,582,-127,455,0,0,-230,-82,143,-367,-230
2017-03-31,98.00000,291.00000,169.00000,460.00000,50.00000,-16.00000,95.00000,102.00000,708.00000,-474.00000,4.00000,191.00000,,191.00000,-38.00000,-317.00000,-67.00000,141.00000,74.00000,,,-112.00000,-41.00000,-79.00000,288.00000,-112.00000
2016-12-31,-693,299,946,1245,-98,6,162,89,715,-575,390,-197,-6,-203,121,-267,-86,-191,-277,0,0,-192,-20,-489,-59,-192
2016-09-30,229,291,82,373,-31,24,222,190,819,-515,-49,-6,0,-6,27,-543,-279,240,-39,0,0,-193,17,-215,60,-193
2016-06-30,-387,296,597,893,329,36,362,135,723,-615,36,61,0,61,-260,-778,572,-149,423,0,0,-230,-56,137,86,-230
2016-03-31,74.00000,290.00000,140.00000,430.00000,37.00000,-24.00000,346.00000,139.00000,640.00000,-640.00000,109.00000,-105.00000,,-105.00000,88.00000,-548.00000,-203.00000,132.00000,-71.00000,55.00000,55.00000,-151.00000,-13.00000,-180.00000,-78.00000,-151.00000
2015-12-31,41,264,316,580,-64,-15,157,50,629,-621,42,-28,-3,-31,-117,-727,123,-11,112,-74,-74,-211,115,-58,-150,-211
2015-09-30,203,283,256,539,130,43,-44,193,915,-519,95,-112,0,-112,-33,-569,330,31,361,-101,-101,-137,-26,97,417,-137
2015-06-30,264,299,53,352,-107,-19,-132,-468,153,-549,1,168,0,168,30,-350,174,-37,137,-58,-58,-165,-38,-124,-296,-165
2015-03-31,254.00000,298.00000,32.00000,330.00000,-337.00000,-35.00000,-98.00000,-212.00000,437.00000,-619.00000,-17.00000,22.00000,,22.00000,-106.00000,-720.00000,-31.00000,39.00000,8.00000,212.00000,212.00000,-89.00000,-18.00000,113.00000,-202.00000,-89.00000
2014-12-31,298,308,80,388,-26,27,-148,-68,575,-656,139,-69,0,-69,294,-292,-14,-12,-26,-168,-168,-144,-80,-418,-147,-144
2014-09-30,508,312,-236,76,-182,-36,190,89,763,-468,778,-324,0,-324,41,27,-103,-116,-219,-108,-108,-216,-51,-594,155,-216
2014-06-30,275,319,70,389,-93,-27,258,-441,232,-493,133,217,0,217,78,-65,134,65,199,-32,-32,-207,-78,-118,102,-207
2014-03-31,66.00000,306.00000,415.00000,721.00000,-219.00000,-12.00000,-580.00000,-602.00000,221.00000,-399.00000,29.00000,56.00000,,56.00000,-12.00000,-326.00000,89.00000,65.00000,154.00000,,,-62.00000,-224.00000,-132.00000,-229.00000,-62.00000
2013-12-31,-204,312,597,909,11,22,-103,-89,675,-710,-1,181,0,181,23,-507,91,0,91,-259,-259,-202,-131,-501,-382,-202
2013-09-30,223,321,305,626,-56,6,363,55,855,-455,32,-193,0,-193,55,-561,578,-55,523,-45,-45,-203,-111,164,475,-203
2013-06-30,333,332,96,428,149,-8,135,-161,567,-428,131,87,0,87,85,-125,-724,18,-706,-18,-18,-210,-175,-1109,-707,-210
2013-03-31,199.00000,329.00000,183.00000,512.00000,42.00000,-4.00000,-238.00000,-149.00000,618.00000,-395.00000,1.00000,-157.00000,,-157.00000,-30.00000,-581.00000,482.00000,15.00000,497.00000,,,-61.00000,-126.00000,310.00000,356.00000,-61.00000
2012-12-31,323,356,75,431,-50,34,-120,-5,772,-485,205,178,-89,89,-28,-219,-224,1,-223,0,0,-184,-117,-524,17,-184
2012-09-30,-1402,332,1919,2251,-16,33,16,206,1015,-508,95,8,0,8,81,-324,-191,-12,-203,-70,-70,-163,-45,-481,259,-163
2012-06-30,207,346,-121,225,14,-32,202,58,580,-494,256,694,0,694,-83,373,-103,-29,-132,-231,-231,-559,23,-899,30,-559
2012-03-31,515.00000,360.00000,26.00000,386.00000,-189.00000,-11.00000,-232.00000,-327.00000,534.00000,-575.00000,63.00000,-350.00000,,-350.00000,137.00000,-725.00000,349.00000,-281.00000,68.00000,,,-19.00000,-12.00000,37.00000,-30.00000,-19.00000
2011-12-31,445,315,-452,-137,-51,-23,-186,179,571,-570,-2524,-344,-64,-408,330,-3172,972,311,1283,-54,-54,-98,-66,1065,-1584,-98
2011-09-30,175,325,217,542,-3,-30,-157,265,1136,-746,38,-13,-31,-44,-225,-977,218,1,219,-127,-127,-276,-89,-273,-231,-276
2011-06-30,427,317,84,401,-70,-19,201,-148,675,-522,-19,512,-20,492,-107,-156,1739,101,1840,-35,-35,-671,-51,1083,1619,-671
2011-03-31,483.00000,305.00000,42.00000,347.00000,-112.00000,-69.00000,83.00000,-244.00000,502.00000,-475.00000,-130.00000,60.00000,-40.00000,20.00000,-16.00000,-601.00000,-354.00000,24.00000,-330.00000,-63.00000,-63.00000,-43.00000,-27.00000,-463.00000,-540.00000,-43.00000
2010-12-31,-169,302,487,789,38,1,143,460,1049,-770,209,-52,-20,-72,-60,-693,-356,4,-352,-83,-83,-294,1,-728,-309,-294
2010-09-30,397,292,45,337,-67,10,77,225,1001,-517,34,159,-50,109,-18,-392,-203,-14,-217,-18,-18,-409,-26,-670,-38,-409
2010-06-30,429,291,47,338,-5,-4,171,22,747,-507,33,-20,-4,-24,138,-360,-394,62,-332,-1,-1,-470,-20,-823,-459,-470
2010-03-31,402.00000,293.00000,72.00000,365.00000,-64.00000,3.00000,3.00000,-99.00000,668.00000,-493.00000,65.00000,-96.00000,-23.00000,-119.00000,-48.00000,-595.00000,34.00000,26.00000,60.00000,1570.00000,1570.00000,-72.00000,-43.00000,1515.00000,1567.00000,-72.00000
2009-12-31,283,282,118,400,144,-24,-312,-349,334,-754,0,-225,-18,-243,124,-873,422,107,529,0,0,-285,123,367,-187,-285
2009-09-30,440,269,144,413,-79,1,53,150,1003,-556,0,-26,-50,-76,-28,-660,242,-65,177,0,0,-227,-38,-88,260,-227
2009-06-30,531,253,-183,70,-83,-58,94,-84,517,-619,2,216,-57,159,-3,-461,599,122,721,0,0,-322,19,418,490,-322
2009-03-31,501.00000,245.00000,-84.00000,161.00000,80.00000,47.00000,-231.00000,-305.00000,357.00000,-574.00000,,313.00000,-30.00000,283.00000,368.00000,77.00000,75.00000,-153.00000,-78.00000,,,-12.00000,3.00000,-87.00000,345.00000,-12.00000
