,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2019-09-30,136.983,26.131,6.716,32.847,26.717,-1.069,-36.429,18.705,188.535,-14.765,0,0,0,0,0,-14.765,0,0,-0.92,-0.92,-57.846,0,-58.766,110.033,10.517,-57.846
2019-06-30,125.69,31.605,8.106,39.711,-11.191,1.38,-5.601,24.069,189.47,-12.391,0,0,0,0,0,-12.391,0,0,-0.578,-0.578,-49.336,0,-49.914,128.336,10.427,-49.336
2019-03-31,178.19200,20.62900,6.52700,27.15600,46.80500,-1.79300,-68.36500,-117.47300,87.87500,-8.13600,,,,,,-8.13600,,,-283.74000,-283.74000,-57.89500,,-341.63500,-261.39500,9.54100,-57.89500
2018-12-31,152.132,20.929,-30.607,-9.678,-93.692,1.695,80.769,30.721,173.175,-22.777,62.815,0,0,0,0,40.038,0,0,-656.678,-656.678,-50.405,0,-707.083,-494.222,10.955,-50.405
2018-09-30,123.832,20.12,5.191,25.311,11.301,0.97,-42.178,-5.318,143.825,-13.107,0.01,0,0,0,0,-13.097,0,0,-46.024,-46.024,-51.734,0,-97.758,30.802,9.87,-51.734
2018-06-30,116.829,27.809,-6.334,21.475,63.25,-0.135,-45.486,68.861,207.165,-7.195,21,0,0,0,0,13.805,500,500,-155.406,-155.406,-33.916,-6.262,304.416,517.768,9.019,-33.916
2018-03-31,115.09200,20.39200,8.27700,28.66900,-134.80100,-0.23000,162.89900,-55.16400,88.59700,-5.87200,,,,,,-5.87200,,,-91.17500,-91.17500,-34.88300,,-126.05800,-39.67400,9.05300,-34.88300
2017-12-31,64.602,20.527,1.868,22.395,-18.425,-0.779,32.45,56.156,143.153,-20.6,0,0,0,0,0,-20.6,0,0,0.743,0.743,-34.411,0,-33.668,90.487,8.908,-34.411
2017-09-30,85.153,20.788,5.317,26.105,-20.507,2.053,-22.941,-9.485,101.773,-11.553,0,0,0,0,0,-11.553,0,0,-8.865,-8.865,-34.386,0,-43.251,48.434,8.931,-34.386
2017-06-30,81.266,21.13,3.809,24.939,-26.079,-0.808,9.894,16.012,122.217,-7.035,0,0,0.771,0.771,0,-6.264,0,0,-39.967,-39.967,-25.431,0,-65.398,53.609,9.343,-25.431
2017-03-31,72.95100,20.93800,7.38400,28.32200,-40.58200,0.56100,58.99600,-64.25800,37.01500,-9.62900,,,,,,-9.62900,,,-99.73700,-99.73700,-25.48900,,-125.22600,-94.86200,9.39400,-25.48900
2016-12-31,68.25,21.794,-0.851,20.943,12.527,-0.649,6.14,49.66,138.853,-11.192,0.657,0,0,0,0,-10.535,0,0,-274.883,-274.883,-26.258,0,-301.141,-182.228,8.41,-26.258
2016-09-30,65.281,20.866,5.6,26.466,9.36,-0.473,15.041,56.78,148.527,-13.071,0,0,0,0,0,-13.071,500,500,-31.339,-31.339,-26.652,-7.183,434.826,569.448,8.318,-26.652
2016-06-30,66.957,21.044,7.358,28.402,11.283,0.216,-20.681,22.737,118.096,-12.905,0,0,0,0,0,-12.905,0,0,-119.026,-119.026,-21.392,0,-140.418,-40.4,8.193,-21.392
2016-03-31,60.36700,20.71700,3.67000,24.38700,-51.66400,-1.00600,68.38600,-47.86700,36.88700,-5.46000,-0.06000,,,,,-5.52000,,,-344.27700,-344.27700,-21.88900,,-366.16600,-332.69200,7.08000,-21.88900
2015-12-31,59.406,20.079,17.736,37.815,-0.418,0.714,-9.703,-0.646,96.575,-18.565,-6.5,0,6.736,6.736,0,-18.329,0,0,-254.877,-254.877,-22.754,-13.706,-291.337,-215.782,8.006,-22.754
2015-09-30,64.398,20.293,-3.148,17.145,5.699,-0.343,-3.051,52.42,133.963,-12.25,0,0,0,0,0,-12.25,800,800,-346.4,-346.4,-24.146,-10.003,419.451,538.467,6.013,-24.146
2015-06-30,56.017,20.207,-9.878,10.329,-29,1.012,-29.728,-42.32,24.026,-11.962,0,0,0,0,0,-11.962,0,0,-86.087,-86.087,-20.437,10.242,-96.282,-82.73,7.189,-20.437
2015-03-31,43.82700,19.35500,11.49300,30.84800,-7.18100,-1.68100,52.89000,-7.99200,66.68300,-6.32000,,,,,,-6.32000,,,-9.72000,-9.72000,-20.40600,2.99000,-27.13600,28.95200,7.35000,-20.40600
2014-12-31,44.34,27.49,0.958,28.448,11.814,1.155,-3.248,31.266,104.054,-8.624,-0.041,0,0,0,0,-8.665,5.187,5.187,0.417,0.417,-20.393,-15.162,-29.951,60.606,6.469,-20.393
2014-09-30,51.714,18.475,5.967,24.442,20.446,-0.256,-6.197,31.411,107.567,-20.273,-14.88,0,0,0,0,-35.153,-5.062,-5.062,-296.89,-296.89,0,0.424,-301.528,-235.046,7.659,0
2014-06-30,107.66,17.925,-48.532,-30.607,-20.202,0.88,-23.647,-8.25,68.803,-11.903,362.811,0,0,0,0,350.908,-5.062,-5.062,1.952,1.952,0,1.599,-1.511,422.789,7.286,0
2014-03-31,80.39900,20.62300,-22.37600,-1.75300,-38.87900,0.34900,50.29900,-53.39700,25.24900,-10.05300,,,,,,-10.05300,-5.06300,-5.06300,-105.44900,-105.44900,,1.17400,-109.33800,-97.98400,5.17100,
2013-12-31,47.257,22.338,-6.841,15.497,10.35,-0.128,2.359,32.392,95.146,-20.812,0,0,0,0,0,-20.812,0,0,0.139,0.139,0,0.131,0.27,74.684,5.854,0
2013-09-30,55.31,21.312,0.585,21.897,-18.826,0.326,-22.51,-7.846,69.361,-14.208,0,0,0,0,0,-14.208,-11,-11,-97.861,-97.861,0,0.364,-108.497,-50.951,6.321,0
2013-06-30,61.053,20.695,14.538,35.233,6.277,-0.164,-29.417,-10.657,85.629,-3.691,-0.1,0,0,0,0,-3.791,-11,-11,2.874,2.874,0,0.23,-7.896,71.672,6.018,0
2013-03-31,58.93700,20.57400,-0.61200,19.96200,-14.21300,-2.17900,67.36500,-7.85200,71.04700,-4.80000,-23.16800,70.90000,,70.90000,,42.93200,-26.00000,-26.00000,-5.63300,-5.63300,,1.17200,-30.46100,79.72000,6.81100,
2012-12-31,54.452,21.609,0.038,21.647,-21.349,0.531,-14.016,-16.687,59.412,-6.424,-119.554,23.009,0,23.009,0,-102.969,-11,-11,-100.515,-100.515,0,-0.531,-112.046,-157.149,5.914,0
2012-09-30,48.274,21.33,1.595,22.925,12.108,1.034,-8.405,26.398,97.597,-18.163,0,-7.386,0,-7.386,0,-25.549,-11,-11,2.765,2.765,0,-0.08,-8.315,67.151,7.537,0
2012-06-30,37.546,40.557,-6.422,34.135,36.14,0.484,-8.709,48.878,120.559,-15.654,0,107.739,0,107.739,0,92.085,-202.664,-202.664,4.038,4.038,0,-3.473,-202.099,7.285,6.029,0
2012-03-31,43.96600,21.87200,-1.18000,20.69200,8.57400,-0.07000,66.18300,4.84900,69.50700,-4.29200,,-53.63600,,-53.63600,,-57.92800,-2.81200,-2.81200,1.03400,1.03400,,1.26200,-0.51600,13.81100,5.84300,
2011-12-31,44.486,22.367,22.911,45.278,-13.401,-0.18,-17.344,-9.697,80.067,-6.269,0,2.293,0,2.293,0,-3.976,-37.813,-37.813,-9.013,-9.013,0,3.187,-43.639,30.636,7.401,0
2011-09-30,49.787,22.599,-9.258,13.341,9.074,-0.195,3.565,31.556,94.684,-10.11,0,-31.547,0,-31.547,0,-41.657,-2.811,-2.811,1.117,1.117,0,0.313,-1.381,45.68,7.86,0
2011-06-30,45.66,23.102,-1.097,22.005,8.992,0.161,5.928,38.459,106.124,-2.897,0,-60.956,0,-60.956,0,-63.853,-2.813,-2.813,5.787,5.787,0,1.186,4.16,48.255,8.008,0
2011-03-31,33.52100,23.98900,19.07100,43.06000,-46.94900,0.27100,4.93100,-102.45900,-25.87800,-3.83500,,22.71000,,22.71000,,18.87500,-143.62500,-143.62500,3.91400,3.91400,,2.57700,-137.13400,-141.78300,8.45400,
2010-12-31,13.824,8.011,5.393,13.404,10.026,-1.95,-1.075,16.001,43.229,-1.811,0,1.1,0,1.1,0,-0.711,0,0,-1.696,-1.696,0,0.297,-1.399,42.848,2.843,0
2010-11-30,-61.904,-44.462,-25.623,-70.085,1.8,3.369,-11.666,10.751,-121.238,7.073,1100.943,-253.392,0,-253.392,0,854.624,-777.452,-777.452,-9.959,-9.959,0,31.526,-755.885,-21.711,-22.944,0
2010-08-31,10.319,25.029,20.659,45.688,15.343,-2.034,-15.122,10.127,66.134,-2.377,-1100.943,-93.722,112.556,18.834,0,-1084.486,1087.092,1087.092,10.195,10.195,0,-32.989,1064.298,45.587,12.458,0
2010-05-31,24.067,11.364,3.452,14.816,20.537,0.131,2.268,30.982,69.865,-1.411,0,296.814,0,296.814,0,295.403,-299.077,-299.077,0.093,0.093,0,0.071,-298.913,67.799,5.366,0
2010-02-28,27.51800,8.06900,1.51200,9.58100,-37.68000,-1.46600,24.52000,-51.86000,-14.76100,-3.28500,,50.30000,-112.55600,-62.25600,,-65.54100,-10.56300,-10.56300,-0.32900,-0.32900,,1.39200,-9.50000,-91.67500,5.12000,
2009-11-30,-57.266,-29.375,-11.038,-40.413,-9.073,-32.841,9.537,-23.165,-120.844,11.188,0,249.72,0,249.72,0,260.908,16.687,16.687,0.684,0.684,0,0,17.371,156.376,-25.068,0
2009-08-31,20.924,9.841,4.008,13.849,18.423,-4.364,-12.212,16.914,51.687,-1.669,0,-4.986,0,-4.986,0,-6.655,-5.562,-5.562,-0.109,-0.109,0,0,-5.671,38.932,8.354,0
2009-05-31,19.618,9.654,2.303,11.957,4.875,37.564,-37.176,15.11,46.685,-3.486,0,-244.734,0,-244.734,0,-248.22,-5.562,-5.562,-0.465,-0.465,0,0,-6.027,-204.112,8.978,0
2009-02-28,16.72400,9.88000,4.72700,14.60700,-14.22500,-0.35900,39.85100,-8.85900,22.47200,-6.03300,,,,,,-6.03300,-5.56300,-5.56300,-0.11000,-0.11000,,,-5.67300,8.80400,7.73600,
