,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2016-03-31,1131.00000,552.00000,313.00000,865.00000,1082.00000,-571.00000,271.00000,674.00000,2670.00000,-424.00000,-6.00000,-625.00000,-625.00000,-53.00000,-1108.00000,1578.00000,-759.00000,819.00000,-557.00000,-557.00000,-666.00000,-36.00000,-440.00000,1157.00000,215.00000,-666.00000
2015-12-31,1331,541,120,661,-1190,598,-327,-977,1015,-719,21,226,226,122,-350,831,-1017,-186,-619,-619,-626,26,-1405,-711,122,-626
2015-09-30,1257,527,127,654,-142,-187,420,265,2176,-684,-1835,460,460,-124,-2183,144,1227,1371,-626,-626,-629,-24,92,11,124,-629
2015-06-30,1230,510,182,692,117,13,-569,-434,1488,-587,-80,-747,-747,-5,-1419,-797,856,59,-604,-604,-634,28,-1151,-1052,134,-634
2015-03-31,1026.00000,506.00000,327.00000,833.00000,763.00000,-571.00000,884.00000,892.00000,2751.00000,-363.00000,-10.00000,-966.00000,-966.00000,-18.00000,-1357.00000,881.00000,1463.00000,2344.00000,-604.00000,-604.00000,-636.00000,-205.00000,899.00000,2191.00000,194.00000,-636.00000
2014-12-31,453,497,496,993,-971,676,177,89,1535,-859,-66,276,276,-13,-662,-434,-1066,-1500,-562,-562,-586,-100,-2748,-1913,106,-586
2014-09-30,1214,485,386,871,-137,-43,314,274,2359,-613,0,264,264,12,-337,521,-30,491,-629,-629,-588,-55,-781,1148,124,-588
2014-06-30,454,473,-725,-252,-74,1,-298,-637,-435,-485,0,-463,-463,-9,-957,-248,-87,-335,-636,-636,-596,55,-1512,-2890,142,-596
2014-03-31,911.00000,468.00000,326.00000,794.00000,659.00000,-358.00000,236.00000,562.00000,2267.00000,-318.00000,-22.00000,-496.00000,-496.00000,-9.00000,-845.00000,-8.00000,1183.00000,1175.00000,-594.00000,-594.00000,-596.00000,-105.00000,-120.00000,1281.00000,164.00000,-596.00000
2013-12-31,1167,467,610,1077,-932,647,-10,0,2244,-446,-2,991,991,-194,349,-14,-1653,-1667,-849,-849,-558,-17,-3091,-517,107,-558
2013-09-30,1097,460,228,688,-125,-220,19,-156,1629,-549,-20,-84,-84,43,-610,0,608,608,-924,-924,-562,203,-675,374,118,-562
2013-06-30,1071,466,310,776,121,72,-322,-174,1673,-525,0,-498,-498,-77,-1100,-111,-427,-538,-730,-730,-568,-359,-2195,-1648,131,-568
2013-03-31,1037.00000,474.00000,-49.00000,425.00000,421.00000,-281.00000,160.00000,296.00000,1758.00000,-441.00000,,-400.00000,-400.00000,88.00000,-753.00000,-1650.00000,1472.00000,-178.00000,-844.00000,-844.00000,-572.00000,-252.00000,-1846.00000,-871.00000,157.00000,-572.00000
2012-12-31,-1748,476,3604,4080,-592,221,67,-219,2113,-516,0,-17,-17,105,-428,-4,-2075,-2079,-171,-171,-530,-104,-2884,-1103,126,-530
2012-09-30,469,464,516,980,-22,-116,-105,-196,1253,-625,0,-19,-19,44,-600,1737,198,1935,-458,-458,-532,-36,909,1712,126,-532
2012-06-30,1116,459,143,602,-95,113,-89,-148,1570,-508,0,362,362,98,-48,-8,992,984,-275,-275,-534,-68,107,1585,133,-534
2012-03-31,970.00000,459.00000,156.00000,615.00000,585.00000,-276.00000,343.00000,695.00000,2280.00000,-409.00000,-100.00000,302.00000,302.00000,-52.00000,-259.00000,4.00000,885.00000,889.00000,-416.00000,-416.00000,-534.00000,112.00000,51.00000,2099.00000,162.00000,-534.00000
2011-12-31,725,451,1061,1512,-834,316,20,-526,1711,-450,-73,60,60,42,-421,-9,-1293,-1302,-422,-422,-497,-157,-2378,-1099,122,-497
2011-09-30,1072,447,436,883,-8,-44,-53,93,2048,-599,0,-375,-375,-73,-1047,107,-62,45,-1064,-1064,-493,-1,-1513,-558,130,-493
2011-06-30,1092,443,535,978,-127,58,7,-37,2033,-538,0,-197,-197,-52,-787,91,-125,-34,-488,-488,-504,-192,-1218,34,152,-504
2011-03-31,915.00000,441.00000,-769.00000,-328.00000,312.00000,-81.00000,319.00000,694.00000,1281.00000,-391.00000,,99.00000,99.00000,10.00000,-282.00000,-101.00000,1297.00000,1196.00000,-401.00000,-401.00000,-503.00000,-45.00000,247.00000,1287.00000,120.00000,-503.00000
2010-12-31,969,444,-573,-129,-489,203,-350,-928,-88,-368,63,63,63,81,-161,1969,-655,1314,-151,-151,-455,-115,593,350,170,-455
2010-09-30,991,448,-151,297,-85,63,-233,-377,911,-93,0,93,93,115,115,-77,-652,-729,-111,-111,-452,-1,-1293,-232,111,-452
2010-06-30,845,449,196,645,-135,-49,24,-27,1463,-361,0,-150,-150,153,-358,-11,198,187,-104,-104,-455,-17,-389,708,138,-455
2010-03-31,533.00000,451.00000,-108.00000,343.00000,177.00000,48.00000,69.00000,673.00000,1549.00000,-263.00000,,24.00000,24.00000,-11.00000,-250.00000,-154.00000,628.00000,474.00000,-233.00000,-233.00000,-456.00000,-42.00000,-257.00000,1002.00000,100.00000,-456.00000
2009-12-31,573,450,612,1062,-580,212,126,-583,1052,-397,-9,1,1,36,-369,-171,-577,-748,-121,-121,-438,-77,-1384,-700,118,-438
2009-09-30,549,441,235,676,-302,-26,189,-147,1078,-491,0,-14,-14,41,-464,-387,-290,-677,-112,-112,-437,0,-1226,-576,93,-437
2009-06-30,445,426,308,734,102,-179,-239,-220,959,-278,0,104,104,155,-19,-896,-437,-1333,-94,-94,-438,-27,-1892,-920,114,-438
2009-03-31,401.00000,430.00000,307.00000,737.00000,750.00000,-114.00000,244.00000,1058.00000,2196.00000,-376.00000,,-102.00000,-102.00000,82.00000,-396.00000,2670.00000,-434.00000,2236.00000,-85.00000,-85.00000,-438.00000,-256.00000,1457.00000,3231.00000,105.00000,-438.00000
