,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2012-12-31,270,162,19,181,-72,58,17,39,88,596,-49,-107,-413,0,-413,0,-569,-6,0,-6,0,0,-81,24,-63,-28,18,-81
2012-09-30,353,38,60,98,27,-10,-21,8,118,569,-58,-37,-333,0,-333,0,-428,1,0,1,-19,-19,-81,-11,-110,30,18,-81
2012-06-30,325,7,102,109,73,-1,-9,25,23,457,-51,-1,436,0,436,0,384,-5,0,-5,-39,-39,-81,-23,-148,703,18,-81
2012-03-31,350.00000,70.00000,47.00000,117.00000,-48.00000,-29.00000,-35.00000,-75.00000,-432.00000,35.00000,-52.00000,-9.00000,-62.00000,,-62.00000,,-123.00000,6.00000,,6.00000,-50.00000,-50.00000,-81.00000,-3.00000,-128.00000,-215.00000,21.00000,-81.00000
2011-12-31,401,-199,66,-133,-118,8,64,138,359,627,-64,-144,-172,0,-172,0,-380,-10,0,-10,-83,-83,-69,23,-139,95,17,-69
2011-09-30,327,124,37,161,8,-33,-24,-1,-42,446,-56,-144,-297,0,-297,0,-497,765,0,765,-289,-289,-70,-18,388,313,19,-70
2011-06-30,310,120,74,194,-14,-72,9,-188,-375,157,-44,-323,-13,0,-13,0,-380,-20,0,-20,0,0,-69,68,-21,-238,19,-69
2011-03-31,307.00000,115.00000,75.00000,190.00000,-28.00000,-69.00000,-5.00000,-61.00000,-265.00000,204.00000,5.00000,-1455.00000,572.00000,,572.00000,,-878.00000,2.00000,,2.00000,-250.00000,-250.00000,-71.00000,-70.00000,-389.00000,-1023.00000,20.00000,-71.00000
2010-12-31,295,-134,123,-11,-102,-13,42,178,240,517,-48,-203,954,0,954,0,703,17,0,17,-318,-318,-59,11,-349,832,16,-59
2010-09-30,337.3,101.2,-19.3,81.9,-13.3,-57.2,34.3,-46.9,1.8,428.5,-4.7,-0.6,-190.7,0,-190.7,0,-196,-1.0001,0,-1.0001,0.7,0.7,-59.8,-63.8,-123.9,140.5,16.9,-59.8
2010-06-30,319,98.6,19.9,118.5,-14.9,-30.7,-13.4,3.2,-113.5,326.7,-37.2,-4,-655.4,0,-655.4,0,-696.6,-7.2999,0,-7.2999,1.1,1.1,-59.5,50.6,-15.1,-417.3,17.3,-59.5
2010-03-31,321.70000,99.20000,30.40000,129.60000,9.20000,-30.10000,33.10000,-90.30000,-173.30000,274.80000,-31.10000,-57.40000,-516.90000,,-516.90000,,-605.40000,1006.30000,,1006.30000,-109.80000,-109.80000,-59.70000,61.20000,898.00000,543.80000,18.80000,-59.70000
2009-12-31,305.6,104.5,-96.2,8.3,-60.4,38.9,-6.2,-35,234.7,540.4,-41.9,-552.3,-230.1999,0,-230.1999,0,-824.4,-0.2,0,-0.2,-6,-6,-39.4,31.9,-13.7,-301.2,15,-39.4
2009-09-30,510.1,188.3,88.8,277.1,62.9,-25.8,-8.5,-101.1,-53.7,738.2,-57.9,-8.6,-244.5001,0,-244.5001,0,-311,-1,0,-1,2.3,2.3,-158.6,4.6,-152.7,278.7,32,-158.6
2009-06-30,10.2,0.5,-1.8,-1.3,-66,72.7,-67.8,-34.6,-99.8,-90,-0.3,-6.5,-55.1,0,-55.1,0,-61.9,-2.7,0,-2.7,2.4,2.4,158.6,-51.2,107.1,-4.2,-1.7,158.6
2009-03-31,281.10000,91.70000,18.20000,109.90000,53.50000,-51.80000,2.50000,-71.30000,-121.20000,272.40000,-29.90000,-2.60000,-98.20000,,-98.20000,,-130.70000,0.90000,,0.90000,1.30000,1.30000,-158.60000,22.70000,-133.70000,-15.30000,16.70000,-158.60000
