,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2020-01-31,4294,2828,-2249,579,-507,7258,-3199,4800,10716,-2837,0,0,0,-6,-2843,0,-4374,-4374,-836,-836,-1651,-225,-7086,884,-1651
2019-10-31,3321,2723,152,2875,-317,-7778,4167,-3432,3354,-2804,0,0,0,343,-2461,-28,1282,1254,-1122,-1122,-1657,-157,-1682,-689,-1657
2019-07-31,3680,2722,169,2891,8,641,612,778,7622,-2580,0,0,0,-109,-2689,-1,-1165,-1166,-1572,-1572,-1679,-268,-4685,28,-1679
2019-04-30,3906.00000,2714.00000,-659.00000,2055.00000,970.00000,-421.00000,-1854.00000,-2473.00000,3563.00000,-2163.00000,-56.00000,,,1084.00000,-1135.00000,3614.00000,-399.00000,3215.00000,-2135.00000,-2135.00000,-1616.00000,-310.00000,-846.00000,1536.00000,-1616.00000
2019-01-31,3813,2731,-360,2371,-546,5968,-2306,3262,10445,-3119,-1387,0,0,1024,-3482,-713,-2664,-3377,-3249,-3249,-1684,-148,-8458,-1448,-1684
2018-10-31,1817,2615,1650,4265,-79,-7720,5725,-135,6213,-2629,-13269,0,0,-228,-16126,0,7372,7372,-2317,-2317,-1611,-3,3441,-6658,-1611
2018-07-31,-727,2654,4782,7436,-877,-106,182,-979,5934,-2457,0,0,0,-289,-2746,15322,-7262,8060,-1305,-1305,-1639,-150,4966,7712,-1639
2018-04-30,2276.00000,2678.00000,1795.00000,4473.00000,1134.00000,547.00000,-1770.00000,-1853.00000,5161.00000,-1620.00000,,,,-62.00000,-1682.00000,-2521.00000,2501.00000,-20.00000,-539.00000,-539.00000,-1599.00000,-328.00000,-2486.00000,1136.00000,-1599.00000
2018-01-31,2363,2702,469,3171,-545,6306,-1544,4677,11277,-3066,-3,0,0,-156,-3225,-4202,144,-4058,-1640,-1640,-1664,-1097,-8459,-306,-1664
2017-10-31,1904,2658,1481,4139,-1114,-6679,5095,-503,5700,-2396,-9,0,0,93,-2312,514,1860,2374,-2209,-2209,-1589,-1361,-2785,557,-1589
2017-07-31,3104,2618,880,3498,-141,167,690,-781,5975,-2417,-275,0,0,1011,-1681,-384,662,278,-2262,-2262,-1958,-717,-4659,-72,-1958
2017-04-30,3152.00000,2551.00000,2.00000,2553.00000,726.00000,66.00000,-155.00000,-150.00000,5385.00000,-1794.00000,-88.00000,,,21.00000,-1861.00000,-1513.00000,1482.00000,-31.00000,-2185.00000,-2185.00000,-1603.00000,-153.00000,-3972.00000,-309.00000,-1603.00000
2017-01-31,3986,2706,-406,2300,-673,6537,-1179,5013,11892,-3487,-57,0,0,698,-2846,-12,-3975,-3987,-2044,-2044,-1693,-76,-7800,1019,-1693
2016-10-31,3202,2469,1134,3603,-172,-6571,3257,-1929,4850,-2317,-2406,-1901,-1901,-10,-6634,-10,3159,3149,-1402,-1402,-1599,-206,-58,-1737,-1599
2016-07-31,3889,2517,155,2672,-51,791,2098,2505,8738,-2239,0,0,0,-58,-2297,-10,-1922,-1932,-2117,-2117,-1773,40,-5782,79,-1773
2016-04-30,3216.00000,2388.00000,-122.00000,2266.00000,494.00000,264.00000,-234.00000,744.00000,6193.00000,-2120.00000,,,,1.00000,-2119.00000,-1886.00000,1065.00000,-821.00000,-2735.00000,-2735.00000,-1630.00000,-246.00000,-5432.00000,-1108.00000,-1630.00000
2016-01-31,4748,2431,315,2746,-802,5934,-1595,4287,12547,-2981,0,0,0,-127,-3108,-12,-2302,-2314,-2392,-2392,-1676,-644,-7026,1715,-1676
2015-10-31,3414,2365,-591,1774,100,-6410,4165,-397,4903,-3104,0,0,0,139,-2965,-1264,3263,1999,-437,-437,-1746,-301,-485,1239,-1746
2015-07-31,3635,2339,-237,2102,-99,1248,-243,-374,5656,-2622,0,0,0,133,-2489,-2245,1015,-1230,-1003,-1003,-1943,-903,-5079,-2008,-1943
2015-04-30,3283.00000,2319.00000,-159.00000,2160.00000,782.00000,-1475.00000,-319.00000,-1236.00000,4446.00000,-2135.00000,,,,22.00000,-2113.00000,-872.00000,-741.00000,-1613.00000,-280.00000,-280.00000,-1648.00000,-154.00000,-3695.00000,-1376.00000,-1648.00000
2015-01-31,5188,2292,-270,2022,-1028,5700,-390,5691,13094,-3820,0,0,0,-148,-3968,33,-4445,-4412,0,0,-1745,-56,-6213,2417,-1745
2014-10-31,3826,2354,-312,2042,-245,-6526,3488,-2223,3570,-2761,0,0,0,-56,-2817,-460,2287,1827,-82,-82,-1607,-241,-103,534,-1607
2014-07-31,4359,2277,-217,2060,91,20,411,-582,5961,-2914,0,0,0,695,-2219,-1248,-1,-1249,-307,-307,-1858,-164,-3578,172,-1858
2014-04-30,3726.00000,2250.00000,11.00000,2261.00000,613.00000,-423.00000,-831.00000,-591.00000,5939.00000,-2109.00000,,,,-12.00000,-2121.00000,2945.00000,-4129.00000,-1184.00000,-626.00000,-626.00000,-1575.00000,-1792.00000,-5177.00000,-1269.00000,-1575.00000
2014-01-31,4650,2270,-979,1291,-757,4563,-1558,3523,9937,-3403,0,0,0,18,-3385,-6,-5135,-5141,-877,-877,-1575,-160,-7753,-1455,-1575
2013-10-31,3885,2198,104,2302,-254,-6799,2413,-4749,2069,-3031,0,0,0,-73,-3104,170,4177,4347,-1710,-1710,-1540,-257,840,-280,-1540
2013-07-31,4215,2215,337,2552,-122,-15,419,-594,6357,-3021,0,0,0,-34,-3055,-1949,2420,471,-1850,-1850,-1901,159,-3121,161,-1901
2013-04-30,3945.00000,2187.00000,115.00000,2302.00000,567.00000,584.00000,-743.00000,-1003.00000,4894.00000,-2933.00000,,,,-49.00000,-2982.00000,3889.00000,-551.00000,3338.00000,-2246.00000,-2246.00000,-1549.00000,-298.00000,-755.00000,1074.00000,-1549.00000
2013-01-31,5876,2174,-425,1749,-1115,3700,-2484,1595,9684,-3788,0,0,0,503,-3285,-827,-1946,-2773,-2943,-2943,-1609,73,-7252,-862,-1609
2012-10-31,3825,2071,399,2470,-127,-6696,4230,-2525,4312,-3214,0,0,0,-440,-3654,-1,2639,2638,-1228,-1228,-1336,10,84,708,-1336
2012-07-31,4161,2127,-10,2117,134,387,-664,-126,6161,-3039,0,0,0,-223,-3262,101,298,399,-1840,-1840,-1346,-184,-2971,-182,-1346
2012-04-30,3894.00000,2106.00000,-149.00000,1957.00000,494.00000,-150.00000,-21.00000,-4.00000,5434.00000,-2325.00000,,,,-111.00000,-2436.00000,-540.00000,1763.00000,1223.00000,-1589.00000,-1589.00000,-1352.00000,-89.00000,-1807.00000,1567.00000,-1352.00000
2012-01-31,5407,2039,-307,1732,-1295,3630,-730,3759,11341,-3741,0,0,0,-54,-3795,-277,-5539,-5816,-1341,-1341,-1248,231,-8174,-513,-1248
2011-10-31,3493,2040,869,2909,180,-6351,3870,-3426,3206,-3630,3501,0,0,-3793,-3922,-311,3222,2911,-1417,-1417,-1259,-313,-78,-1039,-1259
2011-07-31,3937,2042,261,2303,-22,707,-658,1270,7734,-3264,-3501,0,0,-258,-7023,-1810,2908,1098,-1411,-1411,-1267,-292,-1872,-1298,-1267
2011-04-30,3550.00000,1985.00000,248.00000,2233.00000,341.00000,-1713.00000,205.00000,-3380.00000,1974.00000,-2295.00000,,,,426.00000,-1869.00000,2864.00000,2428.00000,5292.00000,-2129.00000,-2129.00000,-1274.00000,-223.00000,1666.00000,2005.00000,-1274.00000
2011-01-31,6212,2006,-383,1623,-643,4791,-2687,3307,11378,-3133,0,0,0,229,-2904,-490,-6317,-6807,-3804,-3804,-1076,-11,-11698,-3221,-1076
2010-10-31,3590,1887,0,1887,334,-5910,2273,-4244,2246,-3649,0,0,0,-59,-3708,4012,2700,6712,-3860,-3860,-1101,-36,1715,421,-1101
2010-07-31,3747,1884,0,1884,-327,109,2698,2881,9046,-2988,0,0,0,-357,-3345,1860,-179,1681,-4145,-4145,-1124,-293,-3881,1679,-1124
2010-04-30,3444.00000,1864.00000,,1864.00000,-97.00000,-2195.00000,392.00000,-3639.00000,973.00000,-2440.00000,,,,204.00000,-2236.00000,1934.00000,4299.00000,6233.00000,-2967.00000,-2967.00000,-1136.00000,-294.00000,1836.00000,609.00000,-1136.00000
2010-01-31,4933,1902,-447,1455,-837,5481,24,7279,13809,-2297,0,0,0,-662,-2959,-1499,-4508,-6007,-2171,-2171,-1038,-49,-9265,1904,-1038
2009-10-31,3258,1798,7,1805,-35,-4660,2159,-2938,2545,-3141,0,0,0,228,-2913,-2195,4129,1934,-2313,-2313,-1050,-63,-1492,-1994,-1050
2009-07-31,3553,1757,7,1764,156,1239,-816,1059,6324,-3269,0,0,0,204,-3065,1471,-388,1083,-1906,-1906,-1062,-46,-1931,1419,-1062
2009-04-30,3139.00000,1700.00000,8.00000,1708.00000,419.00000,153.00000,-315.00000,-1084.00000,3571.00000,-2475.00000,,,,-208.00000,-2683.00000,1390.00000,-266.00000,1124.00000,-886.00000,-886.00000,-1067.00000,-674.00000,-1503.00000,-697.00000,-1067.00000
2009-01-31,13880,6739,435,7174,-101,-184,-410,1341,23147,-10785,0,0,0,43,-10742,827,-3745,-2918,-3521,-3521,-3746,267,-9918,1706,-3746
