,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2020-06-30,46.3,15.3,57.1,72.4,4.3,-23.3,-5.4,35.4,154.1,-58.2,0,-1054.7,-1054.7,-2.4,-1115.3,906.2001,906.2001,0,0,-0.2,906,-54.9,30.7
2020-03-31,19.90000,13.00000,36.70000,49.70000,-14.70000,-22.20000,-7.00000,-67.70000,1.90000,-33.20000,,164.20000,164.20000,-0.40000,130.60000,,,6.70000,6.70000,-0.20000,6.50000,138.50000,23.90000
2019-12-31,92.7,14.3,37.7,52,-50.8,0.6,1.2,-1,143.7,-44.1,0,-50.2,-50.2,0,-94.3,0,0,0,0,-0.1,-0.1,50.3,23.6
2019-09-30,45.8,12.9,39.4,52.3,-18.4,-2.5,-4.2,-3.6,94.5,-49.7,0,-363.1,-363.1,0,-412.8,0,0,6.8,6.8,-0.8,6,-313.7,24.4
2019-06-30,-10.5,11.6,39.8,51.4,-12.3,-16.8,1.6,23.6,64.5,-46.9,0,-591.3,-591.3,-1.2,-639.4,0,0,0.1,0.1,-0.2,-0.1,-575.9,29.7
2019-03-31,-26.90000,9.90000,41.70000,51.60000,21.50000,-30.40000,-8.40000,-12.90000,11.80000,-39.30000,,170.60000,170.60000,,131.30000,,,5.00000,5.00000,-0.10000,4.90000,148.60000,25.00000
2018-12-31,-179.7,8.6,253.4,262,-57,-15.5,0.3,-48.6,33.7,-17.7,0,49.6,49.6,-1,30.9,617.7,617.7,84,84,-0.1,701.6,769.4,24.6
2018-09-30,46.6,7.8,-3.6,4.2,-8.1,-9,-2.4,6,56.8,-23.8,-11.3,39.7,39.7,0,4.6,0,0,5.4,5.4,0,5.4,67.2,27.1
2018-06-30,30.2,6.7,-7.7,-1,-38.8,5.4,2.5,12.2,41.4,-10.3,0,-149.6,-149.6,0,-159.9,0,0,1,1,-1.8,-0.8,-120.2,25.6
2018-03-31,-24.20000,6.00000,20.00000,26.00000,10.70000,-6.40000,-2.60000,-10.50000,-8.70000,-15.30000,,-0.10000,-0.10000,,-15.40000,,,4.20000,4.20000,,4.20000,-20.80000,24.60000
2017-12-31,-9.4,4.2,51.5,55.7,-23.6,-1.8,-1.5,-5.1,41.2,-17.6,0,16.5,16.5,0,-1.1,0,0,0.1,0.1,0,0.1,39.4,24.9
2017-09-30,-2,4.3,25,29.3,-8.7,-0.6,3.8,8.9,36.2,-13.5,0,-23.1,-23.1,0,-36.6,0,0,4.3,4.3,0,4.3,6.2,25.4
2017-06-30,2.9,3.9,16,19.9,-15.3,3.8,2.1,-8.5,14.3,-12,0,-73.3,-73.3,0,-85.3,389,314,0.4,0.4,0,314.4,242.4,25.3
2017-03-31,-41.70000,3.70000,31.00000,34.70000,15.80000,-1.00000,-6.30000,7.30000,0.30000,-22.90000,,1.50000,1.50000,,-21.40000,,75.00000,5.30000,5.30000,,80.30000,59.00000,30.60000
2016-12-31,-7.4,3.6,30.7,34.3,-25,-0.9,3.3,-13.6,13.3,-17.6,-0.1,0.4,0.4,0,-17.3,2.3,2.3,0.5,0.5,-2.3,0.5,-3.2,29.1
2016-09-30,-18.8,4.1,29.6,33.7,-3,-1.7,-0.2,8.1,23,-16.1,0,-1.7,-1.7,0,-17.8,0,0,5.1,5.1,0,5.1,10.2,29
2016-06-30,-20.2,3.9,27.6,31.5,-6,3.7,-1,8.8,20.1,-10.5,0.4,0.5,0.5,0,-9.6,-1.7,-1.7,1,1,0,-0.7,9.6,27.6
2016-03-31,-19.20000,3.40000,25.20000,28.60000,6.80000,-10.90000,-1.00000,-9.60000,-0.20000,-11.50000,,0.30000,0.30000,,-11.20000,-0.60000,-0.60000,3.80000,3.80000,,3.20000,-8.20000,25.10000
2015-12-31,1.5,2.6,24.2,26.8,-18.3,-4.6,-3.7,-17,11.3,-11.6,0,-1.1,-1.1,0,-12.7,-0.6,-0.6,2.8,2.8,0,2.2,0.8,23.5
2015-09-30,-42.5,2.9,59.6,62.5,-10.3,-8.2,4.4,-1.7,17.9,-7.4,0,1.7,1.7,0,-5.7,-0.5,-0.5,5.9,5.9,0,5.4,17.6,22.6
2015-06-30,-3.7,2.7,20.3,23,-5.3,-4,-1,-3.3,16.4,-6.3,-0.5,-0.4,-0.4,0,-7.2,-0.6,-0.6,4.9,4.9,0,4.3,13.5,20.7
2015-03-31,-12.90000,2.60000,16.10000,18.70000,2.20000,-2.40000,1.30000,-2.40000,3.40000,-8.00000,,-17.90000,-17.90000,,-25.90000,-0.60000,-0.60000,5.50000,5.50000,,4.90000,-17.60000,15.90000
2014-12-31,1.3,2,15.4,17.4,-11,-1.7,-0.3,-10.3,8.4,-4.6,0,-0.1,-0.1,0,-4.7,-0.6,-0.6,5.5,5.5,0,4.9,8.6,14.3
2014-09-30,-5.2,2.3,12.9,15.2,-2.8,-2.7,1.5,1.4,11.4,-3.7,0,-0.1,-0.1,0,-3.8,-0.5,-0.5,6.6,6.6,0,6.1,13.7,13.8
2014-06-30,-6,2.1,12.1,14.2,-4.7,-2.8,-1,-2,6.2,-4,0,0,0,0,-4,-0.6,-0.6,2.2,2.2,0,1.6,3.8,13.2
2014-03-31,-12.50000,2.00000,10.00000,12.00000,2.20000,0.20000,-0.20000,-1.90000,-2.40000,-3.90000,,-0.40000,-0.40000,,-4.30000,-0.50000,-0.50000,9.70000,9.70000,,9.20000,2.50000,8.70000
2013-12-31,-2.6,2,7.3,9.3,-4.5,0.9,-0.9,-2.3,4.4,-2.3,0,2.8,2.8,0,0.5,-0.2,-0.2,5.1,5.1,0,4.9,9.8,6.6
2013-09-30,-6,1.9,7.6,9.5,-3.8,-2.7,0.2,-1.9,1.6,-2.2,0,3.9,3.9,0,1.7,0,0,1.9,1.9,0,1.9,5.2,6.6
2013-06-30,-10.1,1.9,7.1,9,-1.4,0.3,-1,2,0.9,-2,0,8.1,8.1,0,6.1,0,0,2.3,2.3,0,2.3,9.3,6.4
2013-03-31,-11.10000,1.90000,5.30000,7.20000,3.20000,-0.10000,-1.20000,-0.60000,-4.50000,-1.40000,,14.00000,14.00000,,12.60000,,,2.70000,2.70000,,2.70000,10.80000,5.00000
2012-12-31,-8.5,2,4.3,6.3,-7.2,-0.3,0.6,-8.4,-10.6,-1.4,0,8,8,0,6.6,6.6,6.6,0.7,0.7,0,7.3,3.3,4.5
2012-09-30,-17.2,2.3,5.1,7.4,0.6,0.2,-0.6,3.8,-6,-2.9,0,6.4,6.4,0,3.5,0,0,1.3,1.3,0,1.3,-1.2,4.9
2012-06-30,-14.7,1.7,5.5,7.2,-0.4,0.7,-0.9,1.2,-6.3,-2.9,0,9.5,9.5,0,6.6,0,0,0.5,0.5,0,0.5,0.8,4.9
2012-03-31,-14.10000,1.50000,2.90000,4.40000,,0.10000,0.60000,-0.50000,-10.20000,-2.30000,,14.00000,14.00000,,11.70000,,,1.10000,1.10000,,1.10000,2.60000,4.10000
2011-12-31,-12.205,1.394,3.567,4.961,-3.568,-1.757,0.851,-4.3,-11.544,-3.543,0,0.068,0.068,0,-3.475,0.025,0.025,0.038,0.038,0,0.063,-14.934,3.567
2011-09-30,-13.278,1.292,3.728,5.02,-0.309,-0.197,0.385,1.517,-6.741,-1.506,0,-9.096,-9.096,0,-10.602,-0.075,-0.075,1.033,1.033,0,0.958,-16.366,3.728
2011-06-30,-7.367,1.062,3.657,4.719,-1.536,0.167,-0.94,0.122,-2.526,-1.16,0,-37.939,-37.939,0,-39.099,-0.225,-0.225,71.941,71.941,0,71.716,30.084,3.657
2011-03-31,-11.85000,0.95200,2.54800,3.50000,-0.48700,1.68700,0.00400,-0.93900,-9.28900,-1.79100,,8.56700,8.56700,,6.77600,-0.22500,-0.22500,1.68800,1.68800,,1.46300,-1.08400,2.54800
2010-12-31,-9.842,0.776,2.191,2.967,-1.588,-1.688,-1.724,-6.613,-13.488,-2.366,0,-18.053,-18.053,0,-20.419,-0.225,-0.225,33.439,33.439,0,33.214,-0.652,2.037
2010-09-30,-13.398,0.825,2.68,3.505,-0.441,-2.266,1.003,0.423,-9.47,-2.093,0,9.42,9.42,0,7.327,-0.225,-0.225,1.85,1.85,0,1.625,-0.561,2.317
2010-06-30,-11.687,0.839,3.105,3.944,-0.86,-0.236,-1.873,-1.562,-9.305,-1.483,0,4.996,4.996,0,3.513,-0.225,-0.225,1.397,1.397,0,1.172,-4.61,2.771
2010-03-31,-20.27300,0.66000,11.12400,11.78400,-0.31100,-1.21000,0.59400,-1.94800,-10.43700,-0.95800,,-15.06300,-15.06300,,-16.02100,-0.22500,-0.22500,33.81400,33.81400,,33.58900,7.12300,2.27500
2009-12-31,-11.529,0.666,3.453,4.119,-1.003,-0.709,-2.269,-1.763,-9.173,-0.161,0,6.7,6.7,0,6.539,-0.225,-0.225,0.079,0.079,0,-0.146,-2.785,2.154
2009-09-30,-13.523,0.808,3.371,4.179,-0.42,-0.569,-0.132,-0.464,-9.808,-0.825,0,13.008,13.008,0,12.183,-0.569,-0.569,0.343,0.343,0,-0.226,2.154,2.13
2009-06-30,-15.33,1.141,3.227,4.368,-0.722,1.002,-1.669,-0.074,-11.036,-0.754,0,7.239,7.239,0,6.485,-0.569,-0.569,0.078,0.078,0,-0.491,-5.068,2.041
2009-03-31,-13.14200,0.89500,2.81400,3.70900,-0.22700,0.08100,0.59800,0.06100,-9.37200,-0.95000,,-38.36100,-38.36100,,-39.31100,-0.56800,-0.56800,45.81000,45.81000,,45.24200,-3.42400,2.04100
