,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2012-09-30,5308,3370,-791,2579,-620,-709,128,-157,7730,-7490,0,-269,-269,517,-7242,-184,2284,2100,-801,-801,-1763,-464,104,-1763
2012-06-30,7232,3284,-1062,2222,1530,488,-393,461,9915,-7067,0,15,15,1546,-5506,-13,974,961,-1165,-1165,-1761,-1965,2338,-1761
2012-03-31,6499.00000,3205.00000,230.00000,3435.00000,-153.00000,-1847.00000,1129.00000,-1547.00000,8387.00000,-5895.00000,,194.00000,194.00000,3728.00000,-1973.00000,-15.00000,-852.00000,-867.00000,-996.00000,-996.00000,-1598.00000,-3461.00000,3007.00000,-1598.00000
2011-12-31,5152,3313,-443,2870,-941,515,284,1047,9069,-7307,5,-604,-604,2898,-5008,363,18,381,-1147,-1147,-1610,-2376,1635,-1610
2011-09-30,7857,3215,-1277,1938,1541,904,-944,1727,11522,-6775,0,116,116,599,-6060,-1524,-248,-1772,-1160,-1160,-1577,-4509,894,-1577
2011-06-30,7760,3257,30,3287,-1539,-1057,314,-357,10690,-7773,0,3,3,-304,-8074,-162,102,-60,-828,-828,-1571,-2459,186,-1571
2011-03-31,6239.00000,3126.00000,21.00000,3147.00000,-1217.00000,-766.00000,20.00000,428.00000,9814.00000,-4645.00000,-3014.00000,156.00000,156.00000,-844.00000,-8347.00000,-1069.00000,151.00000,-918.00000,-58.00000,-58.00000,-1449.00000,-2425.00000,-911.00000,-1449.00000
2010-12-31,5320,3439,-766,2673,-2754,623,155,259,8252,-5504,0,-759,-759,2239,-4024,851,-43,808,-551,-551,-1452,-1195,3065,-1452
2010-09-30,3792,3401,200,3601,111,-226,37,589,7982,-5589,0,-148,-148,430,-5307,320,-205,115,103,103,-1464,-1246,1599,-1464
2010-06-30,5444,3141,-620,2521,109,167,342,-362,7603,-4552,0,38,38,265,-4249,-52,108,56,102,102,-1451,-1293,2020,-1451
2010-03-31,4580.00000,3082.00000,-463.00000,2619.00000,-233.00000,-549.00000,-348.00000,318.00000,7517.00000,-3967.00000,,88.00000,88.00000,-3456.00000,-7335.00000,-25.00000,-72.00000,-97.00000,40.00000,40.00000,-1374.00000,-1431.00000,-1340.00000,-1374.00000
2009-12-31,3102,3156,-456,2700,-599,857,478,1218,7020,-5355,0,105,105,601,-4649,-27,66,39,82,82,-1391,-1270,1148,-1391
2009-09-30,3846,2988,-405,2583,-592,132,-61,236,6665,-4074,0,-52,-52,604,-3522,327,-1837,-1510,39,39,-1365,-2836,332,-1365
2009-06-30,1761,3099,191,3290,-2076,-84,-159,-1767,3284,-4430,0,137,137,501,-3792,-21,-184,-205,36,36,-1315,-1484,-1914,-1315
2009-03-31,1854.00000,2867.00000,-942.00000,1925.00000,1791.00000,308.00000,91.00000,-1375.00000,2404.00000,-5984.00000,,181.00000,181.00000,1194.00000,-4609.00000,4572.00000,-1237.00000,3335.00000,11.00000,11.00000,-1302.00000,2044.00000,-197.00000,-1302.00000
