,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2012-12-31,447,271,42,313,49,-52,72,-93,642,-325,0,-547,-547,-80,-952,773,773,-231,-231,-143,2,401,91,-143
2012-09-30,455,268,123,391,19,120,15,184,1013,-607,0,7,7,4,-596,-26,-26,-199,-199,-145,4,-366,51,-145
2012-06-30,512,263,85,348,29,-155,10,-28,847,-754,0,104,104,-2,-652,-42,-42,2,2,-145,5,-180,15,-145
2012-03-31,449.00000,257.00000,-99.00000,158.00000,-36.00000,83.00000,-203.00000,-126.00000,444.00000,-469.00000,,384.00000,384.00000,8.00000,-77.00000,-113.00000,-113.00000,-292.00000,-292.00000,-125.00000,7.00000,-523.00000,-156.00000,-125.00000
2011-12-31,489,236,98,334,32,-41,63,87,906,-621,0,-470,-470,-95,-1186,590,590,2,2,-126,17,483,203,-126
2011-09-30,464,251,206,457,-28,82,14,75,1000,-491,0,18,18,1,-472,-25,-25,-1033,-1033,-126,-16,-1200,-672,-126
2011-06-30,506,246,143,389,-35,52,151,204,1090,-566,0,22,22,-20,-564,554,554,-223,-223,-132,-7,192,718,-132
2011-03-31,395.00000,243.00000,137.00000,380.00000,-86.00000,-17.00000,-216.00000,-279.00000,495.00000,-379.00000,,12.00000,12.00000,2.00000,-365.00000,-524.00000,-524.00000,-281.00000,-281.00000,-96.00000,13.00000,-888.00000,-758.00000,-96.00000
2010-12-31,430,257,356,613,33,31,48,-10,984,-629,0,41,41,-121,-709,790,790,-308,-308,-97,-4,381,656,-97
2010-09-30,414,232,60,292,-52,61,83,148,855,-416,0,0,0,-27,-443,-32,-32,-295,-295,-91,9,-409,3,-91
2010-06-30,414,230,33,263,33,-8,-8,-14,678,-359,0,0,0,50,-309,-54,-54,-584,-584,-91,0,-729,-360,-91
2010-03-31,305.00000,228.00000,46.00000,274.00000,24.00000,-26.00000,-22.00000,101.00000,744.00000,-328.00000,,,,18.00000,-310.00000,-17.00000,-17.00000,-223.00000,-223.00000,-93.00000,-137.00000,-470.00000,-36.00000,-93.00000
2009-12-31,303,228,20,248,-68,0,47,-69,450,-350,0,0,0,-42,-392,-213,-213,15,15,-86,15,-269,-211,-86
2009-09-30,290,224,-49,175,-43,52,70,131,618,-374,0,0,0,2,-372,-27,-27,7,7,-83,-11,-114,132,-83
2009-06-30,304,227,130,357,70,-20,-38,-32,522,-348,0,0,0,12,-336,-57,-57,10,10,-90,3,-134,52,-90
2009-03-31,246.00000,224.00000,79.00000,303.00000,132.00000,-36.00000,-162.00000,-35.00000,449.00000,-309.00000,,,,37.00000,-272.00000,474.00000,474.00000,2.00000,2.00000,-86.00000,-180.00000,210.00000,387.00000,-86.00000
