,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2018-03-31,-65.00000,417.00000,45.00000,462.00000,-11.00000,-7.00000,-33.00000,-187.00000,210.00000,-394.00000,-24.00000,-24.00000,-4.00000,-422.00000,-434.00000,,-434.00000,-371.00000,-371.00000,-101.00000,-3.00000,-909.00000,-1121.00000,13.00000,-101.00000
2017-12-31,-2635,646,2500,3146,-252,-16,-8,-168,343,1959,0,0,0,1959,448,-168,280,-110,-110,118,-269,19,2321,21,118
2017-09-30,-593,759,262,1021,-207,4,-136,-340,88,91,0,0,-1,90,-30,11,-19,0,0,-299,174,-144,34,21,-299
2017-06-30,-417,741,38,779,4,3,-128,-197,165,-401,0,0,0,-401,-51,-1,-52,0,0,-90,184,42,-194,22,-90
2017-03-31,-296.00000,737.00000,2.00000,739.00000,115.00000,-55.00000,-45.00000,-94.00000,349.00000,-290.00000,,,,-290.00000,-26.00000,5.00000,-21.00000,,,-92.00000,8.00000,-105.00000,-46.00000,22.00000,-92.00000
2016-12-31,-4898,768,4258,5026,-182,76,88,198,326,-427,0,0,3,-424,-649,57,-592,0,0,-90,-17,-699,-797,4,-90
2016-09-30,-317,811,-185,626,199,-24,-74,23,332,-529,0,0,3,-526,725,6,731,0,0,-91,-12,628,434,22,-91
2016-06-30,-373,797,-167,630,-238,38,-19,-60,197,-535,0,0,8,-527,-18,-25,-43,0,0,-89,0,-132,-462,22,-89
2016-03-31,-488.00000,868.00000,-232.00000,636.00000,317.00000,-13.00000,-137.00000,-208.00000,-60.00000,-620.00000,,,7.00000,-613.00000,-17.00000,5.00000,-12.00000,1087.00000,1644.00000,-80.00000,-38.00000,1514.00000,841.00000,25.00000,-80.00000
2015-12-31,-1799,983,1096,2079,304,46,-40,343,623,-910,0,0,1,-909,-16,110,94,0,0,-72,-33,-11,-297,26,-72
2015-09-30,-252,988,-237,751,268,30,79,-217,282,-938,0,0,-18,-956,583,0,583,-64,-64,-71,2308,2756,2082,20,-71
2015-06-30,-567,1028,258,1286,-98,-20,-112,-79,640,-1112,0,0,-3,-1115,-17,0,-17,-11,-11,-72,0,-100,-575,25,-72
2015-03-31,-389.00000,956.00000,-96.00000,860.00000,319.00000,-27.00000,-91.00000,-35.00000,436.00000,-1311.00000,,,85.00000,-1226.00000,-17.00000,,-17.00000,-67.00000,-67.00000,-72.00000,8.00000,-148.00000,-938.00000,26.00000,-72.00000
2014-12-31,-7,875,87,962,-199,62,285,119,1074,-1528,0,0,-27,-1555,-37,0,-37,-1086,-1086,-71,-1,-1195,-1676,22,-71
2014-09-30,1030,838,-485,353,0,0,-61,-61,1322,-1215,0,0,2800,1585,-53,0,-53,-860,-860,-75,-4,-992,1915,25,-75
2014-06-30,930,785,-447,338,0,0,-365,-365,903,416,0,0,-176,240,431,0,431,-577,-577,-78,-2,-226,917,18,-78
2014-03-31,421.00000,726.00000,242.00000,968.00000,,,-231.00000,-231.00000,1158.00000,91.00000,,,-353.00000,-262.00000,-333.00000,,-333.00000,-1010.00000,-1010.00000,-79.00000,,-1422.00000,-526.00000,22.00000,-79.00000
2013-12-31,1915,713,-692,21,-239,134,757,-158,1778,-892,0,0,2054,1162,19,-435,-416,-949,-949,-81,-1,-1447,1493,8,-81
2013-09-30,418,681,447,1128,0,0,-292,-292,1254,-1404,0,0,-83,-1487,-63,435,372,-458,-458,-85,0,-171,-404,18,-85
2013-06-30,1616,604,-889,-285,0,0,-84,-84,1247,1007,0,0,-71,936,-853,-835,-1688,11,11,-34,-191,-1902,281,22,-34
2013-03-31,1273.00000,689.00000,-553.00000,136.00000,,,-590.00000,-590.00000,819.00000,-190.00000,,,-71.00000,-261.00000,161.00000,-913.00000,-752.00000,31.00000,31.00000,-35.00000,,-756.00000,-198.00000,12.00000,-35.00000
2012-12-31,376,730,-219,511,125,-124,-230,683,1570,-1567,0,0,-102,-1669,181,65,246,11,11,-35,-9,213,114,23,-35
2012-09-30,592,728,-81,647,0,0,623,623,1862,-1611,0,0,-6,-1617,21,-114,-93,0,0,-34,1,-126,119,23,-34
2012-06-30,535,746,302,1048,0,0,-343,-343,1240,-1937,0,0,-56,-1993,-313,1116,803,0,0,-34,-3,766,13,24,-34
2012-03-31,560.00000,662.00000,-21.00000,641.00000,,,-213.00000,-213.00000,988.00000,-1724.00000,,,-48.00000,-1772.00000,308.00000,581.00000,889.00000,,,-68.00000,8.00000,829.00000,45.00000,13.00000,-68.00000
2011-12-31,-134,641,708,1349,-280,-51,-115,-77,1138,-2050,0,0,-41,-2091,358,100,458,88,88,0,-69,477,-476,9,0
2011-09-30,267,586,180,766,0,0,-11,-11,1022,-2303,0,0,-17,-2320,9,0,9,0,0,-34,-44,-69,-1367,29,-34
2011-06-30,569,588,224,812,0,0,308,308,1689,-1375,0,0,-46,-1421,-14,0,-14,0,0,-34,6,-42,226,28,-34
2011-03-31,974.00000,558.00000,-72.00000,486.00000,,,-325.00000,-325.00000,1135.00000,-723.00000,,,-11.00000,-734.00000,-31.00000,,-31.00000,,,-68.00000,58.00000,-41.00000,360.00000,20.00000,-68.00000
2010-12-31,83,633,318,951,-760,-16,-16,444,1478,-2341,0,0,75,-2266,5,0,5,54,54,0,-16,43,-745,28,0
2010-09-30,1091,584,-565,19,0,0,136,136,1246,-1462,0,0,11,-1451,1250,0,1250,0,0,-33,-22,1195,990,30,-33
2010-06-30,396,558,66,624,0,0,-39,-39,981,-901,0,0,-19,-920,-15,0,-15,0,0,-32,-21,-68,-7,30,-32
2010-03-31,568.00000,542.00000,147.00000,689.00000,,,-432.00000,-432.00000,825.00000,-605.00000,,,-17.00000,-622.00000,-142.00000,,-142.00000,,,-66.00000,13.00000,-195.00000,8.00000,24.00000,-66.00000
2009-12-31,370,584,71,655,320,-137,686,246,1271,-925,0,0,-32,-957,88,0,88,18,18,0,-15,91,405,29,0
2009-09-30,352,572,216,788,0,0,-606,-606,534,-604,0,0,-6,-610,851,-850,1,0,0,-33,2,-30,-106,31,-33
2009-06-30,102,558,68,626,0,0,-112,-112,616,-685,0,0,18,-667,-15,0,-15,-6,-6,-33,11,-43,-94,28,-33
2009-03-31,-17.00000,486.00000,116.00000,602.00000,,,40.00000,40.00000,625.00000,-704.00000,,,14.00000,-690.00000,373.00000,,373.00000,6.00000,6.00000,-65.00000,,314.00000,249.00000,40.00000,-65.00000
