,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2017-03-31,305.00000,54.00000,139.00000,193.00000,375.00000,-390.00000,-187.00000,-258.00000,240.00000,-34.00000,-48.00000,94.00000,16.00000,110.00000,-15.00000,13.00000,42.00000,42.00000,-211.00000,-211.00000,-87.00000,-2.00000,-258.00000,20.00000,121.00000,-87.00000
2016-12-31,459,84,180,264,-1223,299,1014,128,851,-49,-678,169,-5,164,-20,-583,101,101,-279,-279,-87,-6,-271,-52,96,-87
2016-09-30,326,81,118,199,1571,89,-1456,186,711,-39,89,-214,-10,-224,-113,-287,-3,-3,-270,-270,-89,-9,-371,45,66,-89
2016-06-30,308,79,94,173,-290,-28,345,10,491,-31,-167,333,-5,328,-15,115,-446,-446,-87,-87,-87,-20,-640,-27,65,-87
2016-03-31,337.00000,75.00000,171.00000,246.00000,432.00000,-307.00000,-390.00000,-310.00000,273.00000,-37.00000,-16.00000,-227.00000,-1.00000,-228.00000,82.00000,-199.00000,870.00000,870.00000,-750.00000,-750.00000,-82.00000,-42.00000,-4.00000,81.00000,79.00000,-82.00000
2015-12-31,590,-68,227,159,-525,400,-3,-35,714,25,161,18,-66,-48,-90,48,-381,-381,-282,-282,-83,-13,-759,-14,81,-83
2015-09-30,303,134,-33,101,1084,75,-929,313,717,-83,-1,88,11,99,0,15,85,85,-587,-587,-84,-3,-589,31,75,-84
2015-06-30,188,136,82,218,-279,-39,371,-126,280,-80,50,-139,7,-132,-41,-203,365,365,-347,-347,-85,-17,-84,-11,74,-85
2015-03-31,341.00000,136.00000,78.00000,214.00000,222.00000,-348.00000,-158.00000,-257.00000,298.00000,-62.00000,-21.00000,42.00000,2.00000,44.00000,41.00000,2.00000,184.00000,184.00000,-364.00000,-364.00000,-71.00000,-6.00000,-257.00000,4.00000,90.00000,-71.00000
2014-12-31,467,148,-134,14,-1252,412,1035,448,929,-77,-15,-191,0,-191,0,-283,139,139,-664,-664,-54,-21,-600,-8,81,-54
2014-09-30,315,151,98,249,1656,84,-1688,-14,550,-64,-334,84,-2,82,0,-316,-397,-397,-482,-482,-81,706,-254,-36,72,-81
2014-06-30,313,149,78,227,-626,-24,601,-196,344,-60,-78,34,2,36,0,-102,1213,1213,-636,-636,-85,-681,-189,80,73,-85
2014-03-31,336.00000,146.00000,107.00000,253.00000,178.00000,-468.00000,-312.00000,-600.00000,-11.00000,-55.00000,-4.00000,183.00000,32.00000,215.00000,,156.00000,366.00000,366.00000,-573.00000,-573.00000,-53.00000,,-260.00000,-139.00000,102.00000,-53.00000
2013-12-31,360,162,-58,104,-921,440,705,305,769,-55,6,-161,10,-151,0,-200,-173,-173,-177,-177,-40,-27,-417,108,93,-40
2013-09-30,264,157,118,275,1521,101,-1477,58,597,-52,2,-42,51,9,0,-41,93,93,-479,-479,-61,0,-447,103,70,-61
2013-06-30,252,158,79,237,-595,-14,498,-156,333,-62,-21,45,2,47,0,-36,-128,-128,-203,-203,-61,0,-392,-142,68,-61
2013-03-31,272.00000,158.00000,82.00000,240.00000,132.00000,-417.00000,-108.00000,-458.00000,54.00000,-60.00000,-1.00000,-16.00000,15.00000,-1.00000,,-62.00000,435.00000,435.00000,-265.00000,-265.00000,-50.00000,,120.00000,117.00000,69.00000,-50.00000
2012-12-31,307,174,-63,111,-1089,310,795,134,552,-68,-65,374,4,378,0,245,-250,-250,-479,-479,-61,0,-790,1,52,-61
2012-09-30,210,161,52,213,1213,153,-1210,175,598,-72,-14,-193,118,-75,0,-161,-121,-121,-247,-247,-62,0,-430,4,55,-62
2012-06-30,254,161,57,218,-837,-49,691,-188,284,-58,-58,-24,11,-13,0,-129,92,92,-234,-234,-58,0,-200,-37,50,-58
2012-03-31,249.00000,159.00000,71.00000,230.00000,-583.00000,-451.00000,499.00000,-494.00000,-15.00000,-71.00000,-23.00000,283.00000,33.00000,316.00000,,222.00000,-65.00000,-65.00000,-51.00000,-51.00000,-50.00000,,-166.00000,51.00000,55.00000,-50.00000
2011-12-31,280,145,197,342,-884,227,318,-391,231,-90,-4,-184,85,-99,0,-193,-64,-64,36,36,-59,0,-87,-23,56,-59
2011-09-30,208,144,44,188,1074,76,-1228,-28,368,-52,-6,-114,-1,-115,0,-173,84,84,-196,-196,-65,0,-177,-5,58,-65
2011-06-30,267,149,49,198,-987,24,698,-201,264,-43,-84,72,65,137,0,10,-385,-385,-226,-226,-55,0,-666,-382,47,-55
2011-03-31,255.00000,144.00000,85.00000,229.00000,289.00000,-327.00000,-349.00000,-329.00000,155.00000,-56.00000,-3.00000,218.00000,11.00000,229.00000,,170.00000,350.00000,350.00000,-265.00000,-265.00000,-51.00000,,34.00000,336.00000,74.00000,-51.00000
2010-12-31,241,126,121,247,787,17,-1317,-499,-11,-65,-1998,1821,-9,1812,0,-251,365,365,-63,-63,-57,0,245,11,55,-57
2010-09-30,147,61,79,140,-42,46,-320,-376,-89,-44,-25,-1446,3,-1443,0,-1512,1726,1726,11,11,-45,0,1692,75,43,-45
2010-06-30,158,60,92,152,-43,-69,237,106,416,-38,-8,-413,6,-407,0,-453,-75,-75,-4,-4,-49,0,-128,-162,57,-49
2010-03-31,186.00000,58.00000,48.00000,106.00000,45.00000,-274.00000,339.00000,175.00000,467.00000,-33.00000,-47.00000,-299.00000,56.00000,-243.00000,,-323.00000,73.00000,73.00000,-15.00000,-15.00000,-44.00000,,14.00000,205.00000,66.00000,-44.00000
2009-12-31,218,68,120,188,77,345,-423,-87,319,-54,-347,198,-89,109,0,-292,1,1,-322,-322,-73,0,-394,-363,57,-73
2009-09-30,134,56,132,188,80,-94,-130,-238,84,-33,-14,58,5,63,0,16,5,5,-72,-72,-41,0,-108,43,57,-41
2009-06-30,155,58,42,100,-41,-45,-618,-711,-456,-32,3,708,4,712,0,683,-30,-30,-91,-91,-42,0,-163,36,55,-42
2009-03-31,285.00000,60.00000,-38.00000,22.00000,179.00000,-260.00000,245.00000,246.00000,553.00000,-21.00000,95.00000,-705.00000,-5.00000,-710.00000,,-636.00000,-1.00000,-1.00000,55.00000,55.00000,-41.00000,,13.00000,-81.00000,40.00000,-41.00000
