,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2020-06-30,451,393,-74,319,-203,-159,511,-694,-21,0,-11,-11,17,-709,-31,103,72,0,-247,-2,-177,-375,-26,-247
2020-03-31,448.00000,404.00000,19.00000,423.00000,175.00000,262.00000,1153.00000,-720.00000,-29.00000,,-10.00000,-10.00000,35.00000,-724.00000,600.00000,-53.00000,547.00000,,-248.00000,-62.00000,237.00000,666.00000,-26.00000,-248.00000
2019-12-31,437,389,-179,210,4,6,670,-783,-25,0,1,1,21,-786,-400,769,369,0,-237,4,136,20,-22,-237
2019-09-30,403,389,75,464,23,22,885,-779,-44,0,60,60,26,-737,150,-19,131,0,-238,0,-107,41,-21,-238
2019-06-30,153,371,71,442,54,18,606,-809,-8,0,-8,-8,19,-806,1250,-786,464,0,-237,-8,219,19,-2,-237
2019-03-31,700.00000,385.00000,-123.00000,262.00000,123.00000,226.00000,1218.00000,-795.00000,-21.00000,,-10.00000,-10.00000,10.00000,-816.00000,-350.00000,135.00000,-215.00000,,-238.00000,-52.00000,-505.00000,-103.00000,-3.00000,-238.00000
2018-12-31,199,371,34,405,-230,-172,421,-884,-35,0,74,74,42,-803,100,597,697,0,-228,6,475,93,18,-228
2018-09-30,412,370,293,663,-68,-251,859,-1023,-67,0,-7,-7,11,-1086,300,149,449,0,-227,0,222,-5,17,-227
2018-06-30,269,347,150,497,-211,-269,493,-952,-27,0,2,2,23,-954,1000,-324,676,0,-228,-10,438,-23,18,-228
2018-03-31,558.00000,354.00000,-84.00000,270.00000,179.00000,310.00000,1140.00000,-1053.00000,-17.00000,,-10.00000,-10.00000,7.00000,-1073.00000,,52.00000,52.00000,,-227.00000,-73.00000,-248.00000,-181.00000,17.00000,-227.00000
2017-12-31,956,336,-466,-130,-222,-320,527,-1144,-27,0,-5,-5,24,-1152,550,340,890,0,-218,-12,660,35,22,-218
2017-09-30,395,331,166,497,-5,90,978,-1065,-61,0,-1,-1,12,-1115,0,202,202,0,-217,0,-15,-152,22,-217
2017-06-30,109,713,80,793,-222,-350,558,-919,-14,0,-6,-6,29,-910,1125,-315,810,0,-217,-6,587,235,22,-217
2017-03-31,114.00000,908.00000,-125.00000,783.00000,99.00000,311.00000,1197.00000,-1062.00000,-15.00000,,-9.00000,-9.00000,7.00000,-1079.00000,,-73.00000,-73.00000,,-218.00000,-56.00000,-347.00000,-229.00000,23.00000,-218.00000
2016-12-31,-98,868,102,970,-88,-266,552,-1214,-22,0,-7,-7,49,-1194,700,133,833,0,-208,-8,617,-25,32,-208
2016-09-30,327,317,369,686,-139,-50,1039,-1014,-41,0,-10,-10,15,-1050,-228,255,27,0,-207,-7,-187,-198,32,-207
2016-06-30,187,294,151,445,-84,-134,508,-906,-20,0,-10,-10,13,-923,700,-12,688,0,-208,-9,471,56,31,-208
2016-03-31,471.00000,309.00000,90.00000,399.00000,-82.00000,363.00000,1214.00000,-1065.00000,-16.00000,,-5.00000,-5.00000,5.00000,-1081.00000,679.00000,-352.00000,327.00000,,-207.00000,-55.00000,65.00000,198.00000,32.00000,-207.00000
2015-12-31,309,409,348,757,179,-339,691,-1093,-106,0,-8,-8,106,-1101,382,344,726,0,-197,4,533,123,40,-197
2015-09-30,439,369,25,394,69,143,994,-1027,0,0,-10,-10,-31,-1068,-66,20,-46,0,-198,-8,-252,-326,40,-198
2015-06-30,345,368,22,390,20,-223,555,-996,0,0,-4,-4,6,-994,233,0,233,0,-197,-8,28,-411,40,-197
2015-03-31,586.00000,385.00000,67.00000,452.00000,94.00000,596.00000,1679.00000,-747.00000,,,-29.00000,-29.00000,-3.00000,-779.00000,-58.00000,,-58.00000,,-197.00000,-39.00000,-294.00000,606.00000,41.00000,-197.00000
2014-12-31,476,426,3,429,134,-214,624,-898,-101,0,-13,-13,108,-904,183,0,183,0,-187,-17,-21,-301,11,-187
2014-09-30,444,371,-85,286,158,317,1088,-693,0,0,9,9,-22,-706,-59,0,-59,0,-187,-3,-249,133,12,-187
2014-06-30,212,339,92,431,-144,-352,332,-620,0,0,-3,-3,-30,-653,443,0,443,0,-187,-20,236,-85,13,-187
2014-03-31,386.00000,360.00000,93.00000,453.00000,-14.00000,257.00000,1116.00000,-609.00000,,,-12.00000,-12.00000,-8.00000,-629.00000,-54.00000,-60.00000,-114.00000,,-187.00000,-24.00000,-325.00000,162.00000,11.00000,-187.00000
2013-12-31,200,339,126,465,-89,11,723,-709,0,0,-45,-45,41,-713,161,60,221,0,-182,-4,35,45,61,-182
2013-09-30,390,363,87,450,223,223,1092,-696,0,0,37,37,-50,-709,244,-157,87,0,-182,-4,-99,284,60,-182
2013-06-30,333,328,-35,293,-201,-201,466,-682,0,0,10,10,26,-646,145,-8,137,0,-182,-31,-76,-256,61,-182
2013-03-31,320.00000,340.00000,-71.00000,269.00000,287.00000,287.00000,877.00000,-724.00000,,,-13.00000,-13.00000,4.00000,-733.00000,199.00000,-98.00000,101.00000,,-182.00000,-22.00000,-103.00000,41.00000,61.00000,-182.00000
2012-12-31,224,301,368,669,-258,-485,476,-605,0,0,-10,-10,41,-574,-360,263,-97,0,-180,-26,-303,-401,68,-180
2012-09-30,347,331,218,549,39,55,933,-689,0,0,-8,-8,-15,-712,-4,-16,-20,0,-179,-7,-206,15,69,-179
2012-06-30,211,296,-160,136,-69,-69,290,-593,0,0,-4,-4,-36,-633,375,-13,362,0,-180,-5,177,-166,66,-180
2012-03-31,493.00000,299.00000,35.00000,334.00000,253.00000,253.00000,1088.00000,-687.00000,,,-12.00000,-12.00000,-7.00000,-706.00000,-115.00000,29.00000,-86.00000,,-179.00000,-20.00000,-285.00000,97.00000,68.00000,-179.00000
2011-12-31,360,276,-161,115,161,522,1148,-604,0,0,-9,-9,171,-442,-923,0,-923,0,-173,-18,-1114,-408,37,-173
2011-09-30,294,301,776,1077,-42,-323,1014,-477,0,335,-3,-3,-9,-154,699,-298,401,0,-173,-5,223,1083,37,-173
2011-06-30,323,274,45,319,-457,-305,353,-505,0,1,-3,-3,-11,-518,-656,277,-379,0,-174,-23,-576,-741,48,-174
2011-03-31,526.00000,284.00000,-648.00000,-364.00000,455.00000,896.00000,1042.00000,-497.00000,,351.00000,-16.00000,-16.00000,7.00000,-155.00000,-47.00000,-43.00000,-90.00000,,-173.00000,-4.00000,-267.00000,620.00000,53.00000,-173.00000
2010-12-31,282,278,998,1276,-42,-731,825,-643,0,0,-432,-432,502,-573,-193,64,-129,0,-173,-2,-304,-52,79,-173
2010-09-30,567,299,-220,79,127,127,819,-606,0,0,260,260,5,-341,364,-389,-25,0,-173,-5,-203,275,78,-173
2010-06-30,224,267,9,276,-1091,-1091,-552,-484,0,0,50,50,-3,-437,554,389,943,0,-174,-35,734,-255,80,-174
2010-03-31,491.00000,266.00000,-388.00000,-122.00000,727.00000,727.00000,1072.00000,-427.00000,,,98.00000,98.00000,11.00000,-318.00000,-1.00000,-530.00000,-531.00000,-80.00000,-173.00000,-8.00000,-792.00000,-38.00000,78.00000,-173.00000
2009-12-31,349,237,-27,210,-31,-31,514,-562,0,0,144,144,45,-373,-42,287,245,0,-168,2,79,220,87,-168
2009-09-30,488,255,-125,130,-55,-55,552,-416,0,0,213,213,-6,-209,-311,-90,-401,0,-169,-36,-606,-263,87,-169
2009-06-30,311,231,-407,-176,-620,-620,-600,-414,0,0,363,363,6,-45,-357,333,-24,0,-168,-2,-194,-839,86,-168
2009-03-31,444.00000,236.00000,-195.00000,41.00000,927.00000,927.00000,1389.00000,-402.00000,,,131.00000,131.00000,106.00000,-165.00000,-124.00000,-19.00000,-143.00000,,-168.00000,-2.00000,-313.00000,911.00000,87.00000,-168.00000
