,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2018-03-31,367.00000,,67.00000,67.00000,-84.00000,39.00000,-41.00000,-276.00000,-294.00000,140.00000,,,-289.00000,-289.00000,-306.00000,-595.00000,584.00000,,584.00000,-9.00000,-9.00000,-72.00000,581.00000,1084.00000,629.00000,-72.00000
2017-12-31,815,-1,953,952,-26,38,134,-461,-1588,179,0,0,-993,-993,-411,-1404,0,0,0,-117,-117,-64,1069,888,-337,-64
2017-09-30,418,0,75,75,-5,23,75,-171,-86,407,0,0,-392,-392,-388,-780,0,0,0,-195,-195,-66,621,360,-13,-66
2017-06-30,411,-4,143,139,100,37,-96,-620,-457,93,0,0,-478,-478,-27,-505,0,0,0,-196,-196,-67,730,467,55,-67
2017-03-31,435.00000,-18.00000,20.00000,2.00000,-35.00000,23.00000,,-356.00000,-328.00000,109.00000,,,-1389.00000,-1389.00000,-110.00000,-1499.00000,,,,-171.00000,-171.00000,-65.00000,827.00000,591.00000,-799.00000,-65.00000
2016-12-31,190,-18,92,74,-75,40,97,340,328,592,0,0,-1588,-1588,-466,-2054,-264,0,-264,-169,-169,-58,1231,740,-722,-58
2016-09-30,466,-18,252,234,15,15,56,-788,-556,144,0,0,-1211,-1211,-161,-1372,0,0,0,-198,-198,-58,815,559,-669,-58
2016-06-30,325,-19,241,222,31,85,-180,-280,-309,238,0,0,813,813,-346,467,0,0,0,-276,-276,-62,569,231,936,-62
2016-03-31,211.00000,-18.00000,202.00000,184.00000,-25.00000,28.00000,,-62.00000,-97.00000,298.00000,,,-453.00000,-453.00000,-254.00000,-707.00000,,,,-210.00000,-210.00000,-60.00000,710.00000,440.00000,31.00000,-60.00000
2015-12-31,283,-19,35,16,7,25,0,350,457,756,0,-889,-201,-1090,-986,-2076,0,0,0,-197,-197,-51,942,694,-626,-51
2015-09-30,227,-18,91,73,32,35,118,380,605,905,75,713,-780,-67,-21,-13,0,0,0,-200,-200,-51,804,553,1445,-51
2015-06-30,344,-19,-90,-109,37,74,-118,84,51,286,0,-458,-621,-1079,-20,-1099,-250,0,-250,-118,-118,-50,71,-347,-1160,-50
2015-03-31,300.00000,-18.00000,105.00000,87.00000,21.00000,12.00000,,-96.00000,-91.00000,296.00000,,634.00000,-1637.00000,-1003.00000,-32.00000,-1035.00000,298.00000,,298.00000,-338.00000,-338.00000,-52.00000,399.00000,307.00000,-432.00000,-52.00000
2014-12-31,349,-19,648,629,-25,86,0,361,453,1431,0,-615,882,267,-350,-83,0,0,0,-191,-191,-44,985,750,2098,-44
2014-09-30,439,-18,-213,-231,17,198,158,31,516,724,0,282,-861,-579,-38,-617,0,0,0,-127,-127,-42,374,205,312,-42
2014-06-30,398,-18,-141,-159,39,14,-158,-64,-131,108,0,52,-771,-719,-9,-728,0,0,0,-146,-146,-42,468,280,-340,-42
2014-03-31,329.00000,-19.00000,-189.00000,-208.00000,-84.00000,11.00000,,167.00000,142.00000,263.00000,,281.00000,-636.00000,-355.00000,-22.00000,-377.00000,-500.00000,,-500.00000,-154.00000,-154.00000,-42.00000,295.00000,-401.00000,-515.00000,-42.00000
2013-12-31,351,-18,-158,-176,7,61,0,-63,120,295,0,-315,-554,-869,-27,-896,-4,0,-4,-66,-66,-31,416,315,-286,-31
2013-09-30,337,-19,-108,-127,3,27,0,104,239,449,0,-699,-298,-997,-14,-1011,347,0,347,-99,-99,-32,422,638,76,-32
2013-06-30,317,-18,-139,-157,10,51,0,-6,146,306,0,145,-1636,-1491,-23,-1514,50,0,50,-148,-148,-32,805,675,-533,-32
2013-03-31,239.00000,-19.00000,-106.00000,-125.00000,-60.00000,12.00000,,-383.00000,-365.00000,-251.00000,,-74.00000,-1179.00000,-1253.00000,-36.00000,-1289.00000,,,,-102.00000,-102.00000,-33.00000,552.00000,417.00000,-1123.00000,-33.00000
2012-12-31,321,-18,-76,-94,-14,98,0,123,376,603,0,-385,-1325,-1710,-80,-1790,-20,0,-20,-90,-90,-24,1178,1044,-143,-24
2012-09-30,428,-19,-168,-187,22,57,0,-291,-189,52,0,-504,-485,-989,-56,-1045,-298,0,-298,-98,-98,-21,526,109,-884,-21
2012-06-30,321,-18,-3,-21,49,52,0,118,32,332,0,2195,-1291,904,-13,891,0,0,0,-152,-152,-23,693,518,1741,-23
2012-03-31,243.00000,-19.00000,-9.00000,-28.00000,-29.00000,15.00000,,-106.00000,67.00000,282.00000,,-858.00000,-1021.00000,-1879.00000,-34.00000,-1913.00000,298.00000,,298.00000,-153.00000,-153.00000,-23.00000,515.00000,637.00000,-994.00000,-23.00000
2011-12-31,-549,-19,647,628,-25,55,0,170,263,342,0,-122,-925,-1047,-67,-1114,-250,0,-250,-191,-191,-13,904,450,-322,-13
2011-09-30,153,-19,70,51,-13,7,0,-397,-148,56,0,2050,-968,1082,-21,1061,-275,0,-275,-150,-150,-17,1245,803,1920,-17
2011-06-30,303,-18,95,77,31,21,0,237,158,538,0,251,-937,-686,-19,-705,298,-100,198,-151,-151,-15,831,863,696,-15
2011-03-31,314.00000,-19.00000,-26.00000,-45.00000,-66.00000,5.00000,,1.00000,71.00000,340.00000,,-105.00000,-1239.00000,-1344.00000,-23.00000,-1367.00000,,,,-80.00000,-80.00000,-16.00000,598.00000,502.00000,-525.00000,-16.00000
2010-12-31,117,-19,171,152,-27,32,0,169,307,576,0,-908,-785,-1693,-25,-1718,-155,0,-155,-22,-22,-3,516,336,-806,-3
2010-09-30,246,-18,-166,-184,9,-16,0,157,209,271,0,191,-1550,-1359,-20,-1379,0,2,2,-2,-50,-3,1006,955,-153,-3
2010-06-30,256,-19,-17,-36,31,29,0,141,88,308,28,548,-1601,-1053,-19,-1044,749,-2,747,368,-582,-21,847,991,255,-21
2010-03-31,283.00000,-19.00000,-143.00000,-162.00000,-27.00000,2.00000,,154.00000,444.00000,565.00000,293.00000,-79.00000,-1693.00000,-1772.00000,-10.00000,-1489.00000,-250.00000,1.00000,-249.00000,,,-15.00000,449.00000,185.00000,-739.00000,-15.00000
2009-12-31,102,-20,356,336,2,33,0,-115,-53,385,314,-333,-509,-842,-24,-552,297,-50,247,0,0,-15,643,875,708,-15
2009-09-30,153,-19,293,274,80,-71,0,-194,-322,105,9,528,-2210,-1682,-23,-1696,-4,-54,-58,20,970,-8,1475,2379,788,-8
2009-06-30,-161,-18,783,765,9,-2,0,106,187,791,2,-674,-4050,-4724,-12,-4734,-5,-483,-488,640,640,-2,868,1018,-2925,-2
2009-03-31,-579.00000,-19.00000,402.00000,383.00000,37.00000,37.00000,,-258.00000,-148.00000,-344.00000,2.00000,-1320.00000,464.00000,-856.00000,-16.00000,-870.00000,-22.00000,371.00000,349.00000,-8.00000,-8.00000,-54.00000,614.00000,901.00000,-313.00000,-54.00000
