,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2015-12-31,126.583,16.896,-4.034,12.862,146.611,-76.309,6.736,107.039,253.893,-8.798,-3.033,-2.725,0,0,0.106,-14.45,0,-80,-80,-66.227,-66.227,-64.167,0.862,-209.532,25.142,14.149,-64.167
2015-09-30,139.432,16.831,8.86,25.691,48.612,-33.854,12.843,48.124,213.247,-7.775,-5.431,2.035,0,0,0.174,-10.997,0,-100,-100,-68.014,-68.014,-56.931,0.468,-224.477,-28.364,12.493,-56.931
2015-06-30,137.208,16.439,18.548,34.987,-60.064,35.786,-7.862,-21.394,150.801,-7.647,-5.292,0,0,0,-0.101,-13.04,0,0,0,-49.049,-49.049,-57.182,0.332,-105.899,35.668,15.683,-57.182
2015-03-31,106.47600,16.24300,20.18200,36.42500,-27.59900,21.10500,-11.20400,-42.50600,100.39500,-3.89500,-2.77100,-369.14300,,,359.85000,-15.95900,,25.00000,25.00000,-31.01600,-31.01600,-57.33500,-4.48200,-67.83300,6.84300,15.33600,-57.33500
2014-12-31,112.947,13.567,8.889,22.456,69.868,-26.874,10.485,71.991,208.104,-3.073,-1.293,0,0,0,-359.822,-364.188,0,260,260,-36.749,-36.749,-57.418,-0.976,164.857,1.224,14.3,-57.418
2014-09-30,124.981,14.093,17.002,31.095,54.364,-53.984,10.133,20.878,176.954,-4.431,-1.881,0,0,0,0.16,-6.152,0,-55,-55,-73.898,-73.898,-52.681,0.536,-181.043,-16.499,17.138,-52.681
2014-06-30,118.596,14.8,15.753,30.553,-92.611,33.057,2.141,-35.221,113.928,-3.736,-2.493,0,0,0,0,-6.229,0,-10,-10,-44.138,-44.138,-52.489,0.607,-106.02,1.402,11.63,-52.489
2014-03-31,93.18700,14.54900,16.34400,30.89300,-168.72300,88.05200,-16.08500,-109.64000,14.44000,-11.12400,-1.47100,,,,0.26800,-12.32700,,35.00000,35.00000,2.68600,2.68600,-52.42000,-6.69700,-21.43100,-19.23400,4.79300,-52.42000
2013-12-31,92.952,14.83,-0.195,14.635,110.152,-55.738,5.211,56.947,164.848,-12.493,-1.477,0,0,0,0,-13.97,0,25,25,-91.666,-91.666,-53.127,1.043,-118.75,32.324,-1.762,-53.127
2013-09-30,107.737,14.1,8.451,22.551,1.201,2.745,1.681,-5.63,124.658,-9.545,-2.114,0,0,0,0.114,-11.545,500,-15.652,484.348,-564.339,-564.339,-54.099,-0.824,-134.914,-20.294,0.971,-54.099
2013-06-30,111.872,14.145,6.905,21.05,-124.402,49.243,0.012,-16.601,116.321,-9.571,-2.829,19.126,0,0,0.064,6.79,0,-24.977,-24.977,-48.557,-48.557,-56.558,0.225,-129.867,-9.883,4.77,-56.558
2013-03-31,103.34300,13.80700,34.75100,48.55800,-74.26700,51.23800,-12.15800,-209.95100,-58.05000,-8.74500,-1.43200,,,,0.04300,-10.13400,,136.98300,136.98300,-37.57700,-37.57700,-56.47300,-24.30600,18.62700,-50.11900,5.11500,-56.47300
2012-12-31,256.392,12.009,-257.998,-245.989,115.254,-49.896,7.302,182.783,193.186,-8,-3.765,-308.829,0,0,0.213,-320.381,0,248.363,248.363,-72.935,-72.935,-112.08,0.781,64.129,-62.936,38.304,-112.08
2012-09-30,116.33,8.873,9.442,18.315,26,-18.829,3.589,22.483,157.128,-10.693,-3.228,0,0,0,0.014,-13.907,0,0,0,-58.517,-58.517,-54.122,0.049,-112.59,32.328,4.518,-54.122
2012-06-30,114.582,8.791,7.15,15.941,-168.773,87.319,-6.431,-97.579,32.944,-7.515,-3.635,0,0,0,0.188,-10.962,0,0,0,-36.885,-36.885,-54.426,0.764,-90.547,-70.738,6.793,-54.426
2012-03-31,106.50000,8.41700,18.97400,27.39100,-60.58800,43.13800,0.80000,-56.80700,77.08400,-9.88800,-3.93200,,,,0.00400,-13.81600,,,,-57.86200,-57.86200,-54.72500,-12.74300,-125.33000,-62.30400,9.76600,-54.72500
2011-12-31,109.214,8.784,15.932,24.716,46.306,-42.646,-9.027,2.227,136.157,-18.53,-5.195,0,0,0,0.021,-23.704,0,0,0,-75.627,-75.627,-48.379,1.559,-122.447,-9.068,6.527,-48.379
2011-09-30,114.347,8.415,13.031,21.446,70.211,-20.008,5.904,78.908,214.701,-5.669,-3.627,0,0,0,5.156,-4.14,0,0,0,-93.652,-93.652,-48.756,0.167,-142.241,66.84,9.465,-48.756
2011-06-30,111.023,8.16,12.968,21.128,-137.084,48.992,-4.373,-105.91,26.241,-6.07,-4.085,0,0.984,0.984,-0.013,-9.184,0,0,0,-14.412,-14.412,-48.711,2.189,-60.934,-43.438,10.099,-48.711
2011-03-31,97.02800,7.13900,13.08500,20.22400,-142.12100,81.70100,-4.07800,-64.63900,52.61300,-5.66300,-3.96700,,8.32700,8.32700,0.01800,-1.28500,,,,-38.30700,-38.30700,-48.85100,-2.31800,-89.47600,-39.27200,12.51000,-48.85100
2010-12-31,103.161,7.256,16.796,24.052,103.759,-50.198,4.45,80.43,207.643,-3.718,-3.244,0,24.881,24.881,-0.072,17.847,0,0,0,-30.178,-30.178,-42.193,-2.729,-75.1,149.174,14.479,-42.193
2010-09-30,102.627,7.412,14.76,22.172,3.218,-26.342,5.246,2.464,127.263,-6.012,-2.958,0,15.24,15.24,0.015,6.285,0,0,0,-16.59,-16.59,-42.073,5.2,-53.463,83.308,10.187,-42.073
2010-06-30,97.226,7.142,19.62,26.762,-151.974,54.26,-3.415,-118.04,5.948,-5.095,-3.282,0,4.298,4.298,-5.002,-9.081,0,0,0,-17.385,-17.385,-42.227,1.906,-57.706,-63.52,7.717,-42.227
2010-03-31,84.01200,7.55900,10.41200,17.97100,-119.11700,36.96400,-4.40100,-98.05800,3.92500,-2.89300,-1.47500,,-2.06000,-2.06000,-0.02500,-6.45300,,,,-62.84700,-62.84700,-42.40900,2.39100,-102.86500,-107.66300,4.66400,-42.40900
2009-12-31,87.734,8.319,9.644,17.963,-4.872,13.847,2.223,24.503,130.2,-4.242,-1.231,2.392,-39.31,-39.31,-0.028,-42.419,0,0,0,-86.442,-86.442,-40.842,1.914,-125.37,-38.966,4.08,-40.842
2009-09-30,95.46,7.541,11.671,19.212,44.205,-12.504,-0.647,41.362,156.034,-7.895,-1.073,-31.125,-11.298,-11.298,0.174,-51.217,0,0,0,-48.912,-48.912,-41.175,3.826,-86.261,19.403,5.52,-41.175
2009-06-30,92.253,7.173,8.677,15.85,-123.316,67.979,-7.671,-80.449,27.654,-6.612,-1.8,-12.412,1.396,1.396,0.039,-19.389,0,0,0,-64.533,-64.533,-41.275,2.243,-103.565,-92.829,6.04,-41.275
2009-03-31,85.38300,7.48100,8.22700,15.70800,26.12800,-47.46800,-6.80900,-42.40800,58.68300,-11.61300,,,0.75000,0.75000,,-10.86300,,,,-49.27800,-49.27800,-39.57300,1.98300,-86.86800,-45.04300,5.62700,-39.57300
