,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2019-12-31,243,163,131,294,-52,-8,-31,-5,532,-124,0,0,-5,-5,0,-129,371,-439,-68,-200,-200,-59,-46,-373,30,58,-59
2019-09-30,246,133,209,342,-16,2,-43,-44,544,-79,0,1,-5,-4,0,-83,37,0,37,-478,-478,-54,-102,-597,-136,65,-54
2019-06-30,263,119,148,267,-56,4,-2,15,545,-70,0,0,-5,-5,0,-75,650,0,650,-897,-897,-56,-14,-317,153,57,-56
2019-03-31,162.00000,106.00000,168.00000,274.00000,-13.00000,2.00000,-2.00000,-40.00000,396.00000,-90.00000,313.00000,72.00000,-11.00000,61.00000,,284.00000,-9.00000,,-9.00000,-576.00000,-576.00000,-57.00000,-30.00000,-672.00000,8.00000,70.00000,-57.00000
2018-12-31,251,78,172,250,0,-3,20,33,534,-117,-1,3,-10,-7,-3,-128,316,0,316,-652,-652,-53,-9,-398,8,33,-53
2018-09-30,343,74,132,206,-13,0,-60,-197,352,-64,-1,0,-2,-2,0,-67,115,0,115,-328,-328,-49,-40,-302,-17,30,-49
2018-06-30,293,75,28,103,-15,-2,30,183,579,-93,0,0,-6,-6,0,-99,-372,0,-372,-25,-25,-50,-48,-495,-15,36,-50
2018-03-31,289.00000,71.00000,88.00000,159.00000,-14.00000,3.00000,69.00000,-33.00000,415.00000,-81.00000,,,-7.00000,-7.00000,3.00000,-85.00000,61.00000,,61.00000,-309.00000,-309.00000,-49.00000,-23.00000,-320.00000,10.00000,34.00000,-49.00000
2017-12-31,-36.904,67.946,386.663,454.609,-30.335,2.396,68.327,124.531,542.236,-81.283,-0.649,0,-0.2,-0.2,-0.206,-82.338,6.4039,0,6.4039,-412.511,-412.511,-50.146,-8.644,-464.897,-4.999,29.412,-50.146
2017-09-30,275.722,79.219,111.828,191.047,-5.602,-2.888,6.972,54.459,521.228,-87.2,-0.295,0,-309.919,-309.919,0,-397.414,259.5961,0,259.5961,-211.665,-211.665,-46.216,-94.761,-93.046,30.768,34.891,-46.216
2017-06-30,202.109,72.825,163.818,236.643,-12.7,-0.899,1.725,44.459,483.211,-66.152,-107.056,0,-302.86,-302.86,-130.794,-606.862,467.669,0,467.669,-477.849,-477.849,-46.501,-6.986,-63.667,-187.318,30.251,-46.501
2017-03-31,207.07300,76.01000,153.69100,229.70100,-25.36300,3.39100,26.97600,-127.44900,309.32500,-53.36500,,,-7.02100,-7.02100,,-60.38600,136.33100,,136.33100,-305.97500,-305.97500,-47.13700,-15.60900,-232.39000,16.54900,29.44600,-47.13700
2016-12-31,204.627,66.074,85.437,151.511,-5.922,7.667,58.226,146.995,503.133,-73.583,0,0,-0.127,-0.127,0,-73.71,-281.3319,0,-281.3319,-448.234,-448.234,-48.079,-10.221,-787.866,-358.443,30.714,-48.079
2016-09-30,193.901,67.186,151.452,218.638,-21.961,-1.754,10.697,9.277,421.816,-65.074,0,0,-0.215,-0.215,0,-65.289,-4.07,0,-4.07,-229.304,-229.304,0,-27.224,-260.598,95.929,30.02,0
2016-06-30,174.965,66.014,153.704,219.718,-9.862,-4.521,39.211,37.419,432.102,-37.001,0,0,-0.155,-0.155,0,-37.156,384.762,0,384.762,-401.182,-401.182,0,-4.025,-20.445,374.501,24.177,0
2016-03-31,172.44000,66.93300,137.89400,204.82700,-6.44300,0.54000,10.83400,-15.08100,362.18600,-30.17100,,,-3.79800,-3.79800,,-33.96900,257.70100,,257.70100,-594.45000,-594.45000,,-1.35400,-338.10300,-9.88600,23.69300,0.00000
2015-12-31,134.633,68.993,128.136,197.129,-10.789,4.448,-4.728,11.335,343.097,-43.949,0,0,0,0,0,-43.949,45.587,0,45.587,-370.525,-370.525,0,-14.917,-339.855,-40.707,21.976,0
2015-09-30,166.55,69.71,148.81,218.5199,-8.986,-2.144,-10.499,-196.457,188.613,-29.714,0,0,0,0,0,-29.714,287.0701,0,287.0701,-563.275,-563.275,0,-24.202,-300.407,-141.508,23.393,0
2015-06-30,102.849,66.402,77.36,143.762,-31.938,-1.662,-67.642,155.701,402.312,-31.398,0,0,0,0,0,-31.398,-7.2171,0,-7.2171,-548.978,-548.978,0,-2.709,-558.904,-187.99,19.524,0
2015-03-31,105.69200,64.33300,171.39000,235.72300,-9.72700,-3.54000,22.48900,-31.38600,310.02900,-29.83100,,,-3.96600,-3.96600,,-33.79700,606.01400,,606.01400,-535.21600,-535.21600,,-12.71100,58.08700,334.31900,19.41700,
2014-12-31,143.122,65.707,120.115,185.822,-25.872,4.953,32.925,36.132,365.076,-34.402,0,0,0,0,0,-34.402,232.352,0,232.352,-506.35,-506.35,0,-12.537,-286.535,44.139,20.38,0
2014-09-30,136.17,63.857,127.493,191.35,-16.105,-2.795,-36.717,-31.424,296.096,-28.827,0,0,0,0,0,-28.827,142.018,0,142.018,-458.214,-458.214,0,-17.468,-333.664,-66.395,21.805,0
2014-06-30,119.961,66.51,131.597,198.107,-19.571,-2.568,19.031,22.614,340.682,-29.816,0,0,24.178,24.178,0,-5.638,1167.943,0,1167.943,-1451.094,-1451.094,0,-3.084,-286.235,48.809,17.787,0
2014-03-31,93.98800,67.57300,134.64400,202.21700,-11.08000,-5.12400,24.26600,-44.81500,251.39000,-28.60100,1.14400,,,,,-27.45700,-152.52800,,-152.52800,-80.81000,-80.81000,,-4.22900,-237.56700,-13.63400,18.24000,
2013-12-31,65.197,59.654,162.092,221.746,-13.644,0.379,82.059,71.632,358.575,-55.382,-525.352,0,0,0,0,-580.734,-181.54,0,-181.54,-159.851,-159.851,0,-18.429,-359.82,-581.979,19.102,0
2013-09-30,62.894,57.839,135.864,193.703,20.476,2.446,-4.009,45.639,302.236,-55.255,0,0,-1.719,-1.719,0,-56.974,326.53,0,326.53,-493.583,-493.583,0,-13.194,-180.247,65.015,19.762,0
2013-06-30,125.522,66.721,57.742,124.463,-10.597,3.407,29.27,23.121,273.106,-36.546,0,0,0,0,0,-36.546,855.393,0,855.393,-632.192,-632.192,0,-14.719,208.482,445.042,15.494,0
2013-03-31,123.60200,66.32400,52.99500,119.31900,-11.48000,5.24200,-1.28500,-74.00600,168.91500,-26.43400,,,,,,-26.43400,-1.93300,,-1.93300,-454.76600,-454.76600,,,-456.69900,-314.21800,14.51800,
2012-12-31,156.245,66.12,-23.636,42.484,-29.426,10.486,70.528,94.504,293.233,-23.747,0,0,-0.026,-0.026,0,-23.773,-11.8419,0,-11.8419,34.119,34.119,-327.062,0,-304.785,-35.325,17.461,-327.062
2012-09-30,74.513,65.877,50.563,116.44,9.971,1.061,-7.882,28.856,219.809,-24.602,0,0,0,0,0,-24.602,-557.8461,0,-557.8461,50.579,50.579,0,0,-507.267,-312.06,17.492,0
2012-06-30,3134.17,66.099,-3018.328,-2952.229,-15.08,-0.093,56.335,71.834,253.775,-23.757,0,0,0,0,0,-23.757,-124.17,0,-124.17,15.906,15.906,0,0,-108.264,121.754,13.918,0
2012-03-31,107.77400,65.42300,-30.18500,35.23800,-24.05800,-0.08000,10.77600,-103.06400,39.94800,-25.18700,,,,,,-25.18700,-64.94000,,-64.94000,22.76500,22.76500,,,-42.17500,-27.41400,14.95100,
2011-12-31,71.337,66.321,-32.435,33.886,-16.638,-0.515,66.954,109.773,214.996,-22.364,0,0,-0.826,-0.826,0,-23.19,-24.916,0,-24.916,2.508,2.508,0,0,-22.408,169.398,15.616,0
2011-09-30,104.184,64.709,-28.275,36.434,-3.456,-3.879,-27.549,-25.474,115.144,-39.767,0,0,0,0,0,-39.767,-1.236,0,-1.236,2.124,2.124,0,0,0.888,76.265,13.983,0
2011-06-30,173.319,66.368,-112.449,-46.081,-12.667,-3.069,85.043,68.143,195.381,-40.315,0,0,10.367,10.367,0,-29.948,-76.65,0,-76.65,5.849,5.849,0,0,-70.801,94.632,10.735,0
2011-03-31,78.12100,67.70600,-24.97000,42.73600,2.30900,-7.33000,4.54900,-102.74800,18.10900,-34.98300,,,,,,-34.98300,-137.19400,,-137.19400,1.07200,1.07200,,,-136.12200,-152.99600,12.85600,
2010-12-31,-81.444,66.051,109.561,175.6121,-8.939,-3.882,71.581,127.681,221.849,-54.494,0,0,0,0,0,-54.494,97.1481,0,97.1481,5.933,5.933,0,0,103.081,270.436,9.493,0
2010-09-30,67.629,67.506,-18.08,49.426,-0.369,-4.31,21.128,33.004,150.059,-88.061,0,0,0,0,0,-88.061,-9.503,0,-9.503,4.906,4.906,0,0,-4.597,57.401,17.861,0
2010-06-30,15.272,69.287,12.015,81.302,-25.122,10.402,50.919,82.101,178.675,-70.348,0,0,0.004,0.004,0,-70.344,-118.015,0,-118.015,0,0,0,0,-118.015,-9.684,15.901,0
2010-03-31,41.59800,68.07100,-16.66800,51.40300,-15.82900,-7.93500,19.91700,-130.68900,-37.68800,-98.96500,,,9.45000,9.45000,,-89.51500,12.25200,,12.25200,,,,,12.25200,-114.95100,17.18200,
2009-12-31,11.779,77.132,-35.518,41.614,-40.139,4.803,132.147,127.33,180.723,-31.176,0,0,0,0,0,-31.176,-161.2849,-2.22,-163.5049,0,0,0,17.075,-146.43,3.117,6.428,0
2009-09-30,-151.527,71.406,119.582,190.988,-25.567,6.89,65.155,76.787,116.248,-89.524,0,0,0,0,0,-89.524,-189.7571,2.22,-187.5371,0,0,0,-0.503,-188.04,-161.316,17.675,0
2009-06-30,-159.642,76.463,153.916,230.379,21.38,-7.997,19.486,-0.749,69.988,-56.671,0,0,0,0,-0.623,-57.294,160.008,0,160.008,0,0,0,-6.5,153.508,166.202,29.699,0
2009-03-31,-52.64800,81.67300,20.24800,101.92100,-0.62000,4.57300,85.07100,17.59800,66.87100,-71.14000,,,,,0.62300,-70.51700,12.47000,,12.47000,,-3.71200,,-10.07200,-1.31400,-4.96000,20.17900,
