,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2015-06-30,167,110,-7,103,-7,-189,-4,44,-68,223,-94,-2,18,-78,-60,80,20,-87,-87,-5,10,-62,84,-5
2015-03-31,128.00000,110.00000,-9.00000,101.00000,-84.00000,-327.00000,127.00000,-28.00000,-280.00000,-21.00000,-79.00000,-32.00000,54.00000,-57.00000,-61.00000,25.00000,-36.00000,,,-6.00000,11.00000,-31.00000,-114.00000,-6.00000
2014-12-31,212,134,23,157,154,161,-108,-42,256,642,-174,-48,28,-194,-62,-25,-87,12,12,-11,-43,-129,311,-11
2014-09-30,159,111,-27,84,81,-91,-22,22,-55,215,-83,-30,36,-77,-305,25,-280,-152,-152,-6,3,-435,-304,-6
2014-06-30,144,116,-6,110,-14,-99,1,31,106,378,-106,-61,39,-128,-39,-184,-223,0,0,-5,11,-217,35,-5
2014-03-31,85.00000,98.00000,-7.00000,91.00000,-15.00000,-180.00000,-99.00000,2.00000,-236.00000,-27.00000,-66.00000,-1489.00000,35.00000,-1520.00000,1069.00000,184.00000,1253.00000,-150.00000,-150.00000,-6.00000,19.00000,1116.00000,-431.00000,-6.00000
2013-12-31,167,104,18,122,40,325,90,43,604,918,-118,-143,28,-233,-23,-96,-119,31,31,-6,-19,-113,574,-6
2013-09-30,99,93,33,126,-28,2,36,10,112,361,42,0,-5,37,-62,-270,-332,0,0,-5,3,-334,66,-5
2013-06-30,113,95,29,124,153,-191,-92,3,-316,-70,-113,-35,64,-84,-297,161,-136,0,0,-6,77,-65,-220,-6
2013-03-31,119.00000,97.00000,3.00000,100.00000,-46.00000,-254.00000,31.00000,-81.00000,-625.00000,-399.00000,-77.00000,-18.00000,111.00000,16.00000,-441.00000,205.00000,-236.00000,,,-5.00000,11.00000,-230.00000,-622.00000,-5.00000
2012-12-31,148,106,55,161,36,93,71,-207,190,530,-350,-3,392,39,-123,0,-123,-253,-253,0,-17,-393,175,0
2012-09-30,151,94,15,109,42,-22,51,40,97,372,28,-8,13,33,-81,0,-81,0,0,-6,3,-84,327,-6
2012-06-30,172,92,2,94,84,-200,9,-20,-21,279,-85,0,268,183,-190,0,-190,0,0,-6,4,-192,265,-6
2012-03-31,118.00000,91.00000,83.00000,174.00000,-34.00000,-187.00000,48.00000,-46.00000,-552.00000,-254.00000,-73.00000,,196.00000,123.00000,-117.00000,,-117.00000,,,-5.00000,10.00000,-112.00000,-239.00000,-5.00000
2011-12-31,-19,114,358,472,152,201,33,-490,-53,403,-229,-14,438,195,-987,-227,-1214,3,3,-5,-35,-1251,-657,-5
2011-09-30,142,94,-46,48,-22,-52,68,165,211,443,-97,0,244,147,294,38,332,0,0,-6,-17,309,891,-6
2011-06-30,90,100,12,112,74,-110,-9,-53,-99,163,-47,0,193,146,-663,-14,-677,0,0,-6,1,-682,-371,-6
2011-03-31,29.00000,95.00000,115.00000,210.00000,68.00000,-166.00000,119.00000,2.00000,-206.00000,54.00000,-50.00000,,405.00000,355.00000,-523.00000,203.00000,-320.00000,,,-5.00000,-2.00000,-327.00000,91.00000,-5.00000
2010-12-31,60,111,145,256,27,373,-131,-356,-112,225,-99,-10,320,211,-494,0,-494,-2,-2,-6,6,-496,-60,-6
2010-09-30,-48,95,43,138,331,-166,33,130,389,512,-25,-4,328,299,-1018,0,-1018,0,0,-5,0,-1023,-200,-5
2010-06-30,82,97,85,182,63,-6,-32,49,48,335,-11,-43,454,400,-1049,0,-1049,2,2,-6,0,-1053,-318,-6
2010-03-31,-8.00000,90.00000,75.00000,165.00000,2.00000,-211.00000,184.00000,7.00000,-277.00000,-88.00000,-6.00000,,645.00000,639.00000,-916.00000,,-916.00000,,,-5.00000,,-921.00000,-383.00000,-5.00000
2009-12-31,-63,112,114,226,21,435,-91,-193,319,477,-13,0,711,698,-1857,0,-1857,0,0,-5,0,-1862,-684,-5
2009-09-30,4,100,82,182,19,293,-62,-45,329,542,-3,0,164,161,-6,-9,-15,0,0,-6,0,-21,691,-6
2009-06-30,-58,101,116,217,74,323,-285,5,-65,165,15,0,543,558,-853,-16,-869,333,333,-5,0,-541,194,-5
2009-03-31,86.00000,96.00000,-78.00000,18.00000,80.00000,-248.00000,-97.00000,-17.00000,-293.00000,-169.00000,-1.00000,,523.00000,522.00000,2408.00000,-1612.00000,796.00000,,,-5.00000,,791.00000,1144.00000,-5.00000
