,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2011-04-30,69.30000,24.50000,25.90000,50.40000,,8.70000,8.70000,128.40000,-23.20000,,-76.40000,-38.60000,-38.60000,-14.50000,-152.70000,,,42.70000,42.70000,,42.70000,16.30000,25.90000
2011-01-31,61.6,25.8,16.1,41.9,-40.7,-5,72.4,175.9,-10.2,0,-5,42.1,42.1,0,26.9,0,0,-31.7,-31.7,0,-31.7,170.8,18.4
2010-10-31,53.6,26.6,17,43.6,0,17.1,17.1,114.3,-7,0,0,-8.5,-8.5,-3.5,-19,0,0,-38.6,-38.6,0,-38.6,54.3,17
2010-07-31,59.9,26.3,22.9,49.2,0,2.4,2.4,111.5,-5.3,0,-8.5,-119.4,-119.4,-0.5,-133.7,0,0,-66.5,-66.5,0,-66.5,-88.1,21
2010-04-30,36.90000,26.70000,31.40000,58.10000,,44.10000,44.10000,139.10000,-5.80000,,,-10.70000,-10.70000,,-16.50000,,,-22.60000,-22.60000,,-22.60000,99.40000,24.30000
2010-01-31,50.1,27.1,8.1,35.2,37.3,82.7,40.3,125.6,-1.5,0,-22.5,61.5,71.5,-11.4,36.1,0,0,-21.3,-21.3,0,-21.3,140.2,18.9
2009-10-31,29.6,28.9,35.2,64.1,0,-47,-47,46.7,-5.9,0,-3.6,7.2,7.2,0,-2.3,0,0,-16,-16,0,-16,30,30.3
2009-07-31,10.4,28.5,44.4,72.9,0,-36,-36,47.3,-10.7,0,0,-267.6,-267.6,0,-278.3,0,-2.1,18.7,18.7,0,16.6,-212,21.4
2009-04-30,-32.10000,48.00000,40.60000,88.60000,,-29.30000,-29.30000,27.20000,-13.60000,,,-14.90000,-24.90000,,-38.50000,,-50.00000,25.40000,25.40000,,-24.60000,-37.10000,23.00000
2009-01-31,183.6,220.7,141.5,362.2,81.8,33,48.1,593.9,-78.4,0,-364.5,-35.2,-35.2,0,-478.1,0,52.1,-166.5,-166.5,0,-114.4,-0.3,89.5
