,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2015-04-30,-61.55800,29.44400,48.01100,77.45500,59.71700,2.75200,9.50800,76.30200,92.19900,-28.32000,,,-94.16800,,-94.16800,,-122.48800,-1.44800,-1.44800,3.56400,3.56400,0.41700,2.53300,-27.70800,47.27400
2015-01-31,-59.466,27.867,39.654,67.521,-69.824,-0.483,108.323,40.22,48.275,-37.665,0,0,80.6062,0,80.6062,0,42.941,-1.474,-1.474,15.459,15.459,1.115,15.1,106.05,39.384
2014-10-31,-59.912,27.505,48.816,76.321,-18.598,4.056,23.904,24.633,41.042,-27.699,0,0,-85.235,0,-85.235,0,-112.934,-1.123,-1.123,2.615,2.615,0.091,1.583,-70.492,47.008
2014-07-31,-69.215,24.897,41.024,65.921,-1.441,-0.023,10.349,-5.717,-9.011,-28.409,0,0,46.6009,0,46.6009,0,18.192,-4.418,-4.418,11.885,11.885,0,7.467,16.633,40.782
2014-04-30,-59.38900,22.39500,29.47800,51.87300,-7.01300,-2.43000,37.56500,29.21300,21.69700,-9.87300,,-26.31700,-317.17600,,-317.17600,1.00000,-352.36600,-2.74400,-2.74400,-2.01100,-2.01100,0.06000,-4.69500,-335.32500,28.87400
2014-01-31,-55.982,20.325,25.391,45.716,-5.363,-2.016,40.092,45.059,34.793,-12.341,-15,0,-209.617,0,-209.617,-1,-237.958,-2.624,-2.624,603.452,603.452,0.221,601.049,397.866,24.969
2013-10-31,-47.534,18.336,19.769,38.105,-19.997,1.891,18.153,16.505,7.076,-16.757,0,0,-243.547,0,-243.547,0,-260.304,-2.817,-2.817,2,2,0.041,-0.776,-253.972,19.683
2013-07-31,-35.978,13.597,9.979,23.576,-6.808,1.251,14.234,-0.514,-12.916,-29.732,0,0,-271.701,0,-271.701,0,-301.433,437.627,437.627,94.818,94.818,0.072,532.517,218.168,9.783
2013-04-30,-33.01500,9.05100,7.39000,16.44100,7.13100,2.42100,8.87900,33.88400,17.31000,-1.89500,,,118.86700,,118.86700,0.09000,117.06200,-3.75300,-3.75300,4.56500,4.56500,0.00800,0.82000,135.10600,7.41600
2013-01-31,-30.944,8.816,5.463,14.279,-6.338,-0.138,25.237,22.605,5.94,-9.095,0,0,-352.406,0,-352.406,0,-361.501,-3.541,-3.541,0.285,0.285,0,-3.256,-358.822,5.448
2012-10-31,-41.31,7.211,17.413,24.624,7.382,-0.253,-3.376,7.328,-9.358,-0.801,0,0,-268.814,0,-268.814,0,-269.615,-2.369,-2.369,687.575,687.575,0,685.206,406.239,17.402
2012-07-31,-26.881,6.277,2.298,8.575,-13.543,0.76,29.755,20.23,1.924,-3.805,0,0,4.446,0,4.446,0,0.641,-1.777,-1.777,6.425,6.425,0,4.648,7.2,2.283
2012-04-30,-20.05500,6.78600,1.46000,8.24600,-0.47100,-0.43400,18.51700,24.51700,12.70800,-2.19700,,,-37.44600,,-37.44600,,-39.64300,-1.76600,-1.76600,0.70500,0.70500,,-1.06100,-27.98800,1.44500
2012-01-31,-23.586,5.073,-2.8,2.273,17.251,-0.391,-44.189,10.429,-6.642,-1.257,0,0,4.318,0,-46.878,0,-48.135,2.95,-1.346,-4.198,15.603,0,14.255,-40.522,-2.755
2011-10-31,-50.593,10.255,2.8,13.055,-17.251,0.391,44.189,31.676,-6.072,-3.682,0,0,-4.318,0,-5.068,0,-8.74,-2.95,-2.82,4.198,85.541,0,82.716,67.909,2.755
2011-01-31,44.49,-5.6,0,-5.6,0,0,0,-10.11,29.06,4.16,0,0,0,0,11.04,0,15.2,0,-0.13,0,-76.57,0,-76.693,-32.41,0
2010-01-31,-49.94,6.69,0,6.69,0,0,0,13.2,-30.12,-4.22,0,0,0,0,-10.29,0,-14.52,0,0,0,76.7,0,76.7,32.04,0
