,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2019-09-30,277.846,215.451,-122.726,92.725,-12.14,32.836,403.407,-286.4019,0,-0.501,-0.501,-2.122,-289.025,-131.2128,-131.2128,19.25,19.25,-211.993,-15.298,-339.254,-224.872,3.995,-210.448
2019-06-30,321.299,227.951,-197.589,30.362,16.791,-34.433,317.228,-96.5961,0,-2.309,-2.309,76.785,-22.12,163.145,163.145,19.153,19.153,-210.967,-50.477,-79.146,215.962,6.976,-210.194
2019-03-31,109.25700,216.16300,12.67400,228.83700,-39.74400,35.45100,373.54500,-339.30100,,-6.53200,-6.53200,-1.20200,-347.03500,132.16160,132.16160,30.98600,30.98600,-199.74900,-12.71600,-49.31700,-22.80700,9.80600,-199.74900
2018-12-31,122.388,211.1779,7.55,218.728,38.116,-29.012,312.104,-104.5901,0,-1.711,-1.711,-1.713,-108.014,-5.6562,-5.6562,25.46,25.46,-200.483,4.165,-176.527,27.563,4.862,-198.938
2018-09-30,223.846,221.68,-105.991,115.689,-19.949,19.202,358.737,-181.273,0,-1.761,-1.761,-1.61,-184.644,29.5947,29.5947,4.276,4.276,-199.642,-8.449,-174.22,-0.127,5.238,-198.869
2018-06-30,118.41,202.384,8.549,210.933,25.106,-4.907,324.436,-229.925,0,-0.3,-0.3,-1.249,-231.474,109.9359,109.9359,1.517,1.517,-199.603,-10.646,-98.796,-5.834,6.754,-198.831
2018-03-31,220.54800,207.40600,-107.30200,100.10400,-20.34900,40.36600,361.01800,151.78500,,-2.79900,-2.79900,-1.68800,147.29800,-317.89780,-317.89780,3.28100,3.28100,-186.25700,-13.49300,-514.36700,-6.05100,10.27800,-185.48400
2017-12-31,130.084,210.318,-6.007,204.311,27.136,-38.743,295.652,-74.69,0,-0.71,-0.71,-3.121,-78.521,-35.9184,-35.9184,19.41,19.41,-185.881,-8.156,-210.545,6.586,4.998,-185.108
2017-09-30,144.196,192.567,-10.489,182.078,22.629,84.749,411.023,-462.01,0,-2.836,-2.836,-6.322,-471.168,298.1491,33.1491,5.676,5.676,-185.023,-12.594,-158.792,-218.937,4.972,-185.023
2017-06-30,204.16,187.771,-77.779,109.992,-15.414,-58.943,255.209,37.207,0,-0.784,-0.784,-8.388,28.035,-233.6149,31.3851,5.538,5.538,-185.715,-7.562,-156.354,126.89,7.154,-184.942
2017-03-31,149.94100,187.83000,-33.89300,153.93700,-55.88300,0.02600,303.90400,-62.81300,,-1.70400,-1.70400,-8.12500,-72.64200,-70.74810,-70.74810,4.71600,4.71600,-185.84700,-12.24800,-264.12700,-32.86500,7.87300,-184.30200
2016-12-31,302.381,185.735,-50.963,134.772,13.576,-42.351,394.802,79.321,0,-1.44,-1.44,73.896,151.777,382.511,382.511,9.802,9.802,-1280.887,-69.342,-957.916,-411.337,4.99,-1280.887
2016-09-30,217.492,187.368,-98.801,88.567,-6.614,38.186,344.245,-69.214,0,2.29,2.29,-52.918,-119.842,-10.489,-10.489,1.553,1.553,-184.907,-10.817,-204.66,19.743,4.811,-184.134
2016-06-30,228.4,184.147,-98.452,85.695,-4.045,-40.401,273.694,-94.014,0,66.169,66.169,148.616,120.771,-76.43,-76.43,6.495,6.495,-184.824,-9.912,-264.671,129.794,10.762,-184.052
2016-03-31,3731.83100,188.15200,-3722.59800,-3534.44600,-13.15000,3.99700,201.38200,5957.95300,,0.53000,0.53000,-207.24700,5751.23600,-2372.49700,-2372.49700,21.66900,21.66900,-3123.42500,-152.59200,-5626.84500,325.77300,9.96700,-3122.65200
2015-12-31,213.72,186.689,-33.147,153.5421,-8.066,-73.98,293.282,-341.9329,0,2.127,2.127,54.704,-285.102,188.072,188.072,23.489,19.892,-201.98,-16.803,-10.819,-2.639,5.338,-201.18
2015-09-30,205.456,202.134,-55.6,146.534,-3.678,36.309,388.299,-159.264,0,-18.212,-18.212,-27.687,-205.163,-42.2229,-42.2229,3.829,3.829,-201.96,2.475,-237.879,-54.743,5.252,-201.127
2015-06-30,298.618,200.351,-148.386,51.965,-2.792,-23.431,327.152,-116.77,0,-1.989,-1.989,92.432,-26.327,102.7428,-27.2572,2.454,2.454,-201.866,-31.465,-258.134,42.691,10.407,-201.033
2015-03-31,190.22400,198.41000,-68.27000,130.14000,-13.04900,27.53100,347.89500,-48.62200,,-2.41000,-2.41000,-128.19000,-179.22200,216.55600,13.55600,34.14000,21.53100,-182.29900,-12.12300,-159.33500,9.33800,13.61000,-181.40800
2014-12-31,227.041,195.828,-84.322,111.5062,26.721,-28.745,309.802,27.466,-44.796,-1.2,-1.2,24.506,5.976,-27.2089,-140.2089,26.683,26.683,-182.131,-11.519,-307.176,8.602,2.896,-181.095
2014-09-30,231.19,195.206,-108.008,87.1979,30.941,76.404,394.792,-154.944,0,-5.014,-5.014,-1.064,-161.022,-564.3841,-118.3841,31.379,31.379,-181.758,-9.661,-278.424,-44.654,2.742,-180.721
2014-06-30,117.72,195.105,3.053,198.158,-17.218,-33.281,282.597,-238.269,0,-3.264,-3.264,53.67,-187.863,438.247,140.247,10.377,10.377,-181.597,-24.838,-55.811,38.923,8.924,-180.561
2014-03-31,82.73200,189.84600,15.69100,205.53700,-6.48100,48.61300,336.88200,-303.22500,,-6.23300,-6.23300,7.70100,-301.75700,-3.03400,179.96600,15.74900,15.74900,-235.31800,-11.84700,-51.45000,-16.32500,12.98100,-234.28200
2013-12-31,115.87,73.598,-40.272,33.326,18.443,-47.373,101.823,-43.456,0,-3.058,-3.058,-18.301,-64.815,-937.1157,-822.1157,1.636,1.636,-145.182,9.427,-956.235,-919.227,6.455,-144.146
2013-09-30,391.717,274.214,-388.414,-114.1999,33.491,71.757,349.274,528.148,0,-4.848,-4.848,97.086,620.386,-1.7882,-1.7882,2.769,2.769,-146.19,-4.254,-149.463,820.197,6.93,-144.117
2013-06-30,336.732,323.458,-383.354,-59.8961,-28.554,-52.531,224.305,579.437,-0.232,-53.404,-53.404,-46.776,479.025,-20.7359,-415.7359,7.311,7.311,-145.053,-53.375,-606.853,96.477,11.853,-144.017
2013-03-31,1061.03400,228.57400,-1139.53000,-910.95600,-5.10100,43.43600,193.51400,2861.62500,-4000.64300,-0.28300,-0.28300,97.72800,-1041.57300,162.73600,557.73600,8.93700,8.93700,-249.33000,-25.78700,291.55600,-556.50300,10.23600,-249.33000
2012-12-31,384.399,180.355,-233.7881,-53.433,-74.45,-146.677,184.289,255.8829,0.087,0.132,0.132,-136.632,119.47,-769.008,-776.008,1199,1198.998,-104.204,-55.578,263.208,566.967,3.996,-102.132
2012-09-30,236.323,173.495,-96.643,76.852,-63.917,-36.058,277.117,-53.709,0,-0.003,-0.003,65.892,12.18,-82.471,-110.471,84.616,-65.405,-105.975,-6.408,-288.259,1.038,3.958,-101.564
2012-06-30,108.315,178.596,-60.505,118.091,126.714,124.098,350.504,-291.819,-0.087,-3.024,-3.024,-16.01,-310.94,-154.563,-119.563,12.656,12.656,-104.872,-2.828,-214.607,-175.043,7.91,-101.405
2012-03-31,152.16700,179.94400,-122.86600,57.07800,-7.98400,25.00000,234.24500,-47.17000,,-2.39600,-2.39600,-32.29900,-81.86500,-305.41900,-305.41900,175.20600,175.20600,-171.81600,-14.64400,-316.67300,-164.29300,8.96800,-168.35000
2011-12-31,107.401,172.0551,-61.724,110.331,10.734,-31.316,186.416,-776.503,0,-1.156,-1.156,212.229,-565.43,914.0129,888.0129,20.629,20.629,-102.525,-89.168,716.949,337.935,4.455,-100.095
2011-09-30,112.977,170.284,-78.347,91.937,13.906,16.66,221.574,-23.016,24.126,4.084,4.084,-41.038,-35.844,-667.2729,-641.2729,11.896,11.896,-103.399,-11.732,-744.508,-558.778,4.333,-99.933
2011-06-30,581.753,167.821,-552.909,-385.088,-2.962,8.284,204.949,514.264,-8.071,-0.046,-0.046,-64.075,442.072,-290.7301,-290.7301,51.574,51.574,-102.807,-6.366,-348.329,298.692,5.865,-99.34
2011-03-31,133.06600,173.63200,-115.50600,58.12600,-21.53600,-3.66400,187.52800,71.93600,-0.50400,-0.36600,-0.36600,-109.07200,-38.00600,-319.64200,-319.64200,189.96900,189.96900,-136.12100,-9.06400,-274.85800,-125.33600,6.52400,-132.65500
2010-12-31,198.212,173.034,-174.586,-1.552,12.963,-31.304,165.356,382.6641,-2.379,0,0,-107.214,273.071,-64.3829,-210.3829,270.62,269.743,-99.397,-10.642,-50.679,387.748,4.159,-95.784
2010-09-30,29.826,177.595,-25.458,152.137,13.16,21.971,203.934,-465.472,-1.784,0,0,41.368,-425.888,496.975,322.975,14.829,14.829,-99.262,-20.91,217.632,-4.322,3.79,-95.642
2010-06-30,10.089,178.424,1.348,179.772,-5.042,14.766,204.627,-255.61,-27.006,25,25,45.809,-211.807,-154.511,74.489,25.662,25.662,-98.844,-6.331,-5.024,-12.204,5.169,-95.226
2010-03-31,57.85600,157.08900,-53.18500,103.90400,-15.83400,-9.64000,152.12000,-450.59200,,,,175.75800,-274.83400,-90.37700,0.62300,93.16200,93.16200,-96.93700,-7.23600,-10.38800,-133.10200,5.75700,-93.31700
2009-12-31,47.311,155.105,-35.448,119.657,12.776,-28.424,138.544,-93.14,0,-25,-25,-6.535,-124.675,-441.7919,-441.7919,88.494,88.494,-96.439,-8.432,-458.169,-444.3,3.868,-92.818
2009-09-30,143.365,154.247,-128.969,25.278,11.371,-1.985,166.658,258.146,-2.26,34.061,34.061,-223.925,66.022,-126.296,-126.296,8.03,8.03,-135.773,-8.548,-262.587,-29.907,4.442,-132.15
2009-06-30,105.932,155.331,-71.064,84.267,5.373,32.96,223.159,66.303,-6.397,166.692,166.692,7.683,234.281,-83.6871,-83.6871,1.196,1.196,-135.692,-0.358,-218.541,238.899,4.613,-132.069
2009-03-31,85.42100,155.24300,-61.15500,94.08800,-17.50600,-37.05800,142.45100,23.62700,-2.82300,-37.82200,-37.82200,-53.38100,-70.39900,-387.18800,-387.18800,1.76800,1.76800,-135.19100,-13.63900,-534.25000,-462.19800,4.92000,-131.56700
