,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2019-03-31,407.00000,58.00000,187.00000,245.00000,355.00000,-130.00000,-28.00000,197.00000,560.00000,-8.00000,,,50.00000,-878.00000,-828.00000,-703.00000,-1539.00000,351.00000,83.00000,434.00000,-164.00000,-164.00000,-192.00000,834.00000,912.00000,-67.00000,25.00000,-192.00000
2018-12-31,484,92,141,233,432,109,-33,508,1712,-25,0,0,-290,-421,-711,-363,-1099,-249,-1059,-1308,-277,-277,-198,1529,-254,359,21,-198
2018-09-30,482,95,171,266,-150,-125,-28,-303,386,-37,0,5,374,-632,-258,-1134,-1424,40,-384,-344,-536,-124,-190,1231,573,-465,25,-190
2018-06-30,482,92,-26,66,241,-64,-28,149,619,-17,0,119,-1002,352,-650,-160,-708,139,557,696,-119,-119,-141,-206,230,141,26,-141
2018-03-31,418.00000,103.00000,114.00000,217.00000,-549.00000,67.00000,-28.00000,-510.00000,-211.00000,-18.00000,,,2803.00000,-306.00000,2497.00000,-1730.00000,749.00000,-504.00000,738.00000,234.00000,-146.00000,-146.00000,-127.00000,-527.00000,-566.00000,-28.00000,27.00000,-127.00000
2017-12-31,197,106,254,360,257,-53,-34,170,736,-56,0,-70,-454,-860,-1314,34,-1406,-703,23,-680,-202,-202,-127,1788,779,109,26,-127
2017-09-30,364,103,10,113,377,298,-29,646,1668,-32,0,0,-1471,-619,-2090,21,-2101,1874,-1716,158,-266,-266,-117,619,394,-39,23,-117
2017-06-30,412,98,161,259,-275,-160,-28,-463,-184,-22,0,-74,3,-49,-46,-513,-655,943,1319,2262,-86,-86,-118,-1167,891,52,24,-118
2017-03-31,325.00000,100.00000,235.00000,335.00000,-220.00000,-54.00000,-28.00000,-302.00000,-405.00000,-2.00000,,,250.00000,1873.00000,2123.00000,-198.00000,1923.00000,-10.00000,-925.00000,-935.00000,-85.00000,-435.00000,-118.00000,-158.00000,-1646.00000,-128.00000,27.00000,-118.00000
2016-12-31,228,21,186,207,615,59,-35,639,829,-66,0,0,441,-1357,-916,-1031,-2013,-26,899,873,-40,450,-111,-100,1112,-72,33,-111
2016-09-30,173,169,27,196,-645,39,-27,-633,136,-49,0,-481,3383,-1079,2304,-36,1738,476,-2335,-1859,-71,448,-78,-132,-1621,253,30,-78
2016-06-30,201,62,38,100,263,-200,-24,39,351,-22,0,0,-1163,57,-1106,-1717,-2845,591,58,649,2,2,-78,1943,2516,22,17,-78
2016-03-31,188.00000,62.00000,161.00000,223.00000,-45.00000,23.00000,-25.00000,-47.00000,373.00000,-8.00000,,,-2729.00000,11.00000,-2718.00000,-611.00000,-3337.00000,478.00000,84.00000,562.00000,1.00000,1.00000,-68.00000,2336.00000,2831.00000,-133.00000,19.00000,-68.00000
2015-12-31,229,71,56,127,299,23,-33,289,882,-35,0,0,-743,47,-696,145,-586,112,-179,-67,3,3,-68,-27,-159,137,11,-68
2015-09-30,217,60,10,70,-56,-137,-25,-218,190,-22,0,0,1258,55,1313,-1893,-602,-137,112,-25,-121,-121,-69,404,189,-223,14,-69
2015-06-30,239,66,-29,37,819,115,-25,909,1161,-14,0,0,156,-1193,-1037,-366,-1417,1738,-153,1585,-120,-120,-69,-953,443,187,20,-69
2015-03-31,235.00000,50.00000,66.00000,116.00000,-904.00000,-39.00000,-25.00000,-968.00000,-1102.00000,-3.00000,,,891.00000,353.00000,1244.00000,-659.00000,582.00000,871.00000,127.00000,998.00000,-188.00000,-188.00000,-61.00000,-376.00000,373.00000,-147.00000,13.00000,-61.00000
2014-12-31,254,61,52,113,52,215,-33,234,855,-44,0,-11,-1927,-1114,-3041,-1215,-4311,758,-655,103,-125,-125,-62,3542,3458,2,13,-62
2014-09-30,186,76,-23,53,-309,-75,-25,-409,202,-23,0,-103,871,336,1207,-668,413,-968,-81,-1049,-115,-115,-61,657,-568,47,10,-61
2014-06-30,225,57,-53,4,-42,-50,-24,-116,107,-19,0,0,-254,-198,-452,-177,-648,514,-147,367,-102,-102,-62,533,736,195,10,-62
2014-03-31,242.00000,52.00000,11.00000,63.00000,213.00000,-102.00000,-24.00000,87.00000,156.00000,-10.00000,,,2668.00000,69.00000,2737.00000,-997.00000,1730.00000,68.00000,4.00000,72.00000,-115.00000,-115.00000,-55.00000,-1996.00000,-2094.00000,-208.00000,11.00000,-55.00000
2013-12-31,230,53,33,86,89,68,-32,125,679,-40,0,-216,-2055,143,-1912,-731,-2899,1555,-44,1511,-95,-95,-55,728,2089,-131,8,-55
2013-09-30,271,75,-190,-115,-282,-214,-24,-520,-57,-26,0,375,48,632,680,-717,312,-502,-23,-525,-190,-190,-55,567,-203,52,8,-55
2013-06-30,204,49,337,386,50,109,-25,134,694,-22,0,573,-502,-955,-1457,-543,-1449,-1002,-384,-1386,-106,-106,-55,2377,830,75,9,-55
2013-03-31,205.00000,44.00000,98.00000,142.00000,183.00000,-96.00000,-25.00000,62.00000,231.00000,-4.00000,,,859.00000,-1215.00000,-356.00000,204.00000,-156.00000,977.00000,433.00000,1410.00000,-57.00000,-57.00000,-52.00000,-1339.00000,-38.00000,37.00000,10.00000,-52.00000
2012-12-31,203,73,99,172,65,18,-110,-27,651,-63,0,-90,-1732,-76,-1808,-1271,-3232,765,-238,527,-88,-88,-52,1805,2192,-389,11,-52
2012-09-30,221,58,19,77,40,57,0,97,275,-161,0,866,8,1678,1686,-1094,1417,-1332,56,-1276,-80,-80,-52,-27,-1435,257,11,-52
2012-06-30,241,56,16,72,1031,-66,0,965,1464,87,0,0,1389,53,1442,-1602,-193,-1418,-92,-1510,-81,-81,-52,673,-970,301,27,-52
2012-03-31,200.00000,48.00000,21.00000,69.00000,-934.00000,9.00000,,-925.00000,-1091.00000,-26.00000,,,-86.00000,463.00000,377.00000,1409.00000,1760.00000,-572.00000,122.00000,-450.00000,,,-35.00000,-462.00000,-947.00000,-278.00000,,-35.00000
2011-12-31,200,-7,602,595,-219,106,-111,-224,-82,-78,0,0,1247,608,1855,-1417,360,-1104,-199,-1303,0,0,-34,924,-413,-135,41,-34
2011-09-30,218,65,-443,-378,-92,40,0,-52,421,-27,0,0,-203,12,-191,-483,-701,-401,68,-333,0,0,-34,622,255,-25,0,-34
2011-06-30,243,69,19,88,49,272,0,321,1042,-44,0,0,-858,955,97,619,672,-162,-738,-900,-66,-66,-35,-400,-1401,313,0,-35
2011-03-31,271.00000,74.00000,40.00000,114.00000,61.00000,-56.00000,,5.00000,412.00000,-30.00000,,,-2361.00000,2439.00000,78.00000,1344.00000,1392.00000,498.00000,-279.00000,219.00000,600.00000,-1900.00000,-61.00000,200.00000,-1542.00000,262.00000,,-61.00000
2010-12-31,323,76,-53,23,178,170,0,348,755,-52,0,0,527,-1025,-498,971,421,-585,-282,-867,0,0,-46,-808,-1721,-545,0,-46
2010-09-30,226,81,168,249,206,-141,0,65,416,-48,0,0,113,-1237,-1124,1427,255,741,-177,564,0,0,-46,-957,-439,232,0,-46
2010-06-30,74,85,291,376,-87,20,0,-67,710,-33,0,0,2361,-2857,-496,2027,1498,-698,1282,584,0,0,-46,-2774,-2236,-28,0,-46
2010-03-31,-39.00000,88.00000,341.00000,429.00000,10.00000,175.00000,,185.00000,843.00000,-20.00000,,,-2602.00000,195.00000,-2407.00000,2227.00000,-200.00000,-318.00000,291.00000,-27.00000,,,-46.00000,-422.00000,-495.00000,148.00000,,-46.00000
2009-12-31,-188,92,210,302,254,234,0,488,853,-98,0,0,1243,-1288,-45,2688,2545,-1865,-53,-1918,-1,-1,-45,-1688,-3652,-254,0,-45
2009-09-30,-402,96,484,580,222,-635,0,-413,593,-44,0,0,501,-3336,-2835,4199,1320,-222,-1105,-1327,0,0,-46,-521,-1894,19,0,-46
2009-06-30,-223,106,327,433,-44,508,0,464,942,-39,0,0,-570,-3652,-4222,2193,-2068,-1021,-610,-1631,987,987,-47,1899,1208,82,0,-47
2009-03-31,-498.00000,95.00000,822.00000,917.00000,-136.00000,1.00000,,-135.00000,-68.00000,-32.00000,,,2304.00000,60.00000,2364.00000,2480.00000,4812.00000,145.00000,-6184.00000,-6039.00000,,,-75.00000,749.00000,-5365.00000,-621.00000,,-75.00000
