,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2016-06-30,831,3982,740,4722,0,0,0,-912,-912,5411,-3886,-151,9865,0,0,261,6089,-10924,650,-10274,0,0,-2303,-1912,-14489,-2989,-2303
2016-03-31,4430.00000,4017.00000,905.00000,4922.00000,,,,-1162.00000,-1162.00000,7497.00000,-3387.00000,-131.00000,-161.00000,,,243.00000,-3436.00000,-376.00000,-40.00000,-416.00000,,,-2302.00000,33.00000,-2685.00000,1376.00000,-2302.00000
2015-12-31,5513,4039,198,4237,-945,-99,2545,-501,1000,10601,-5235,-131,-292,0,0,211,-5447,-2002,-39,-2041,-31,-31,-2165,-322,-4559,595,-2165
2015-09-30,4171,4009,1105,5114,0,0,0,1027,1027,9520,-4387,-134,20,0,0,76,-4425,-1371,-199,-1570,-29,-29,-2107,-522,-4228,867,-2107
2015-06-30,4353,3980,669,4649,0,0,0,1304,1304,8737,-4488,-122,-3223,0,0,838,-6995,-221,-588,-809,-74,-74,-2113,-124,-3120,-1378,-2113
2015-03-31,4338.00000,3989.00000,1534.00000,5523.00000,,,,-888.00000,-888.00000,10169.00000,-3665.00000,-9555.00000,-2.00000,,,46.00000,-13176.00000,921.00000,482.00000,1403.00000,-5000.00000,-5000.00000,-2153.00000,2545.00000,-3205.00000,-6212.00000,-2153.00000
2014-12-31,-2148,4068,6734,10802,-2745,-132,1412,121,-1344,7474,-4567,-11,-2,0,0,-846,-5426,4317,-49,4268,0,0,-2150,-786,1332,3380,-2150
2014-09-30,3794,4167,1209,5376,0,0,0,31,31,8353,-4130,-72,119,0,0,-1,-4084,53,-705,-652,0,0,-2070,-105,-2827,1442,-2070
2014-06-30,4324,4161,984,5145,0,0,0,779,779,7665,-4344,2309,-22,0,0,242,-1815,-73,27,-46,0,0,-2066,-869,-2981,2869,-2066
2014-03-31,5986.00000,4137.00000,-1537.00000,2600.00000,,,,-1626.00000,-1626.00000,7139.00000,-4150.00000,-213.00000,-157.00000,,,-11.00000,-4531.00000,9001.00000,252.00000,9253.00000,34.00000,34.00000,-1517.00000,-60999.00000,-53229.00000,-50621.00000,-1517.00000
2013-12-31,7916,4183,-2682,1501,-843,56,925,935,1073,10431,-4797,-150,-413,0,0,550,-4810,-5771,182,-5589,9,9,-1516,-1707,-8803,-3182,-1516
2013-09-30,5578,4154,1728,5882,0,0,0,582,582,11239,-4191,1945,-5,0,0,63,-2188,48605,108,48713,2,2,-1474,-1370,45871,54922,-1474
2013-06-30,5198,4151,1131,5282,0,0,0,-169,-169,9617,-4014,-147,-55,0,0,-20,-4236,-2258,-1013,-3271,18,18,-1474,-4341,-9068,-3687,-1474
2013-03-31,4855.00000,4118.00000,1447.00000,5565.00000,,,,-1491.00000,-1491.00000,7531.00000,-3602.00000,-117.00000,-21.00000,,,141.00000,-3599.00000,427.00000,581.00000,1008.00000,-97.00000,-97.00000,-1472.00000,-989.00000,-1550.00000,2382.00000,-1472.00000
2012-12-31,-1926,4137,4992,9129,-1717,-136,1144,503,-206,6728,-4860,-119,-75,-28,-28,5,-5077,964,-1812,-848,37,37,-1343,-6118,-8272,-6621,-1343
2012-09-30,4292,4167,943,5110,0,0,0,939,939,9487,-3885,-3783,-635,7,7,455,-7841,-987,1262,275,68,68,-1300,-976,-1933,-287,-1300
2012-06-30,4285,4128,1140,5268,0,0,0,444,444,9314,-3865,-8,-63,5,5,20,-3911,-63,847,784,141,141,-1296,-940,-1311,4092,-1296
2012-03-31,3906.00000,4028.00000,1220.00000,5248.00000,,,,-1580.00000,-1580.00000,5957.00000,-3565.00000,-25.00000,-140.00000,16.00000,16.00000,41.00000,-3673.00000,-1828.00000,-1734.00000,-3562.00000,69.00000,69.00000,-1291.00000,-4953.00000,-9737.00000,-7453.00000,-1291.00000
2011-12-31,-212,4180,4080,8260,-966,208,-1607,2639,274,8268,-3698,-45,-119,-8,-8,32,-3838,165,111,276,102,102,-1416,-354,-1392,3038,-1416
2011-09-30,3542,4179,1655,5834,0,0,0,-192,-192,8720,-3628,-176,-10,-4,-4,278,-3540,6,805,811,17,17,-1380,-544,-1096,4084,-1380
2011-06-30,3604,4113,1183,5296,0,0,0,-291,-291,7757,-4555,0,-1564,23,23,599,-5497,-6804,-1372,-8176,52,52,-1380,-523,-10027,-7767,-1380
2011-03-31,3264.00000,4024.00000,1347.00000,5371.00000,,,,-2070.00000,-2070.00000,5035.00000,-4363.00000,,-104.00000,24.00000,24.00000,68.00000,-4375.00000,5888.00000,2384.00000,8272.00000,70.00000,70.00000,-1379.00000,-284.00000,6679.00000,7339.00000,-1379.00000
2010-12-31,4648,4083,144,4227,-859,299,1075,-953,-438,8249,-4714,-786,375,31,31,100,-4994,-195,0,-195,0,0,-1378,-408,-1981,1274,-1378
2010-09-30,2698,4023,3109,7132,0,0,0,-862,-862,8307,-4125,0,-489,-17,-17,114,-4517,-3347,-1000,-4347,3083,3083,-1344,-549,-3157,633,-1344
2010-06-30,553,4177,1977,6154,0,0,0,2545,2545,9723,-4196,0,2330,23,23,-77,-1920,-4075,0,-4075,0,0,-1343,-661,-6079,1724,-1343
2010-03-31,2318.00000,4122.00000,3239.00000,7361.00000,,,,-1043.00000,-1043.00000,7084.00000,-3423.00000,,-274.00000,-40.00000,-40.00000,114.00000,-3623.00000,-519.00000,-97.00000,-616.00000,,,-1347.00000,-470.00000,-2433.00000,1028.00000,-1347.00000
2009-12-31,2344,4243,609,4852,-1393,235,-1251,2235,-174,8272,-4422,0,-331,6,6,-461,-5208,-294,-198,-492,0,0,-1351,-428,-2271,793,-1351
2009-09-30,2887,4172,2611,6783,0,0,0,-267,-267,8981,-4356,0,-260,-41,-41,-13,-4670,-793,-1351,-2144,0,0,-1306,-465,-3915,396,-1306
2009-06-30,3160,4091,2185,6276,0,0,0,-1677,-1677,7515,-4387,0,-249,39,39,78,-4519,3680,-8011,-4331,0,0,-1307,-517,-6155,-3159,-1307
2009-03-31,3210.00000,4028.00000,1347.00000,5375.00000,,,,-393.00000,-393.00000,6622.00000,-3707.00000,,-5118.00000,80.00000,80.00000,-14.00000,-8759.00000,-9813.00000,7908.00000,-1905.00000,,,-1307.00000,-454.00000,-3666.00000,-5803.00000,-1307.00000
