,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2017-05-31,123.8,69.7,4.6,74.3,-31,-2.3,37.8,12.8,16.9,215,-85.4,-764.4,0,0,0.4,-849.4,504.8,0,504.8,35.3,35.3,-70.2,10.7,480.6,-158.3,13.4,-70.2
2017-02-28,165.6,68.1,1.8,69.9,26.2,15.6,-43.3,105.1,171.5,407,-82.8,0,-1.1,-1.1,4.3,-79.6,-1.2,0,-1.2,16.3,16.3,-69.4,4.1,-50.2,274.6,9.3,-69.4
2016-11-30,79.5,68,9.4,77.4,-13.5,-21.9,24.2,23.8,-35.7,121.2,-78.7,0,1.1,1.1,0,-77.6,-0.8,0,-0.8,23.6,23.6,-69,8.1,-38.1,2.1,11.8,-69
2016-08-31,110.20000,67.10000,-4.60000,62.50000,11.80000,13.60000,-27.70000,-20.70000,0.40000,173.10000,-63.10000,,,,,-63.10000,-1.00000,,-1.00000,-192.30000,-192.30000,-70.50000,0.70000,-263.10000,-160.10000,6.20000,-70.50000
2016-05-31,139.6,67,40.2,107.2,14,-11.8,45.6,-42.8,-23.6,223.2,-62.2,0,-0.8,-0.8,1.8,-61.2,-8.9,0,-8.9,-24.5,-24.5,-63.4,3,-93.8,59,8.1,-63.4
2016-02-29,105.8,67.3,76.3,143.6,0,0,0,157.2,157.2,406.6,-53.4,0,0,0,0,-42.9,-819.7,0,-819.7,-122.7,-122.7,-64.2,2.7,-1003.9,-641.8,11.9,-64.2
2015-11-30,43.2,76.6,2,78.6,-18.4,-1.3,-9.8,-40.8,-69.2,52.6,123.9,0,0.8,0.8,0,117.9,-255.8,0,-255.8,4.8,4.8,-70.6,315.5,-6.1,167.5,7.1,-70.6
2015-08-31,86.40000,82.90000,-21.20000,61.70000,18.40000,1.30000,9.80000,-38.50000,-10.10000,138.00000,65.30000,,,,,61.60000,-15.80000,,-15.80000,56.90000,56.90000,-70.00000,11.90000,-17.00000,154.20000,10.20000,-70.00000
2015-05-31,105.3,82.8,82.2001,165,-10.9,8.9,22.6,-34.4,48,318.3,-39.5,0,0,0,13.2,-26.3,-0.5,0,-0.5,52.6,52.6,-69.6,9.7,-7.8,99.7,12.4,-69.6
2015-02-28,133.8,81.4,40.7,122.1,2.5,20.7,-6.6,96.4,102.2,358.1,-48.6,0,2,2,-5.8,-52.4,-7,-20,-27,55.9,55.9,-68.4,5.6,-33.9,278.7,11.4,-68.4
2014-11-30,-32.8,82,63.8,145.8,3.7,8.1,2.9,0.6,7.9,120.9,-75,0,2.6,2.6,-3.5,-75.9,-110.2,20,-90.2,40.2,40.2,-68.1,3,-115.1,-256.2,23.7,-68.1
2014-08-31,503.20000,81.70000,-452.20000,-370.50000,12.50000,26.80000,-39.80000,-23.40000,-55.70000,77.00000,-81.70000,,5.10000,5.10000,-3.90000,-80.50000,-857.30000,-207.60000,-1064.90000,-491.30000,-491.30000,-72.80000,1.30000,-1627.70000,315.40000,6.20000,-72.80000
2014-05-31,86.5,81.9,-46.6,35.3,-18.2,8.6,3.9,-59.9,-72.8,49,-74.5,0,0,0,-11.9,-86.4,-0.5,26.1001,25.6001,14.3,14.3,-72.6,1.6,-31.1,-28.7,5.5,-72.6
2014-02-28,109.7,79.8,-19.3,60.5,15.9,-39.6,28.6,114.9,118.3,288.5,-102.5,0,2.4,2.4,-5.6,-105.7,-0.5,-142.7001,-143.2001,16.6,16.6,-72.4,4.2,-194.8,42.4,6.3,-72.4
2013-11-30,19.8,78.9,-3.9,75,-3.1,-0.2,-14.6,24.4,0.7,95.5,-114.6,0,3.3,3.3,-5.5,-116.8,-0.5,112.2001,111.7001,18.9,18.9,-71.6,2.7,61.7,-24.3,18.2,-71.6
2013-08-31,70.20000,77.60000,-24.40000,53.20000,3.90000,5.60000,9.30000,-20.80000,-1.00000,122.40000,-118.80000,,,,-8.60000,-127.40000,-0.50000,47.50000,47.00000,7.80000,7.80000,-71.70000,1.90000,-15.00000,20.70000,8.70000,-71.70000
2013-05-31,133.1,-10.8,-192.1,-202.9,-15,23.3,-31.1,-30.2,-25.8,-95.6,8.7,0,4.3,4.3,-8.7,4.3,-5.5,-52.3997,-57.8996,15,15,-65,3.4,-104.5,-15.7,4,-65
2013-02-28,134.4,104.8,35,139.8,-1.9,-7.3,22.9,104.5,148.2,422.4,-163.3,1,4.9,4.9,-12.1,-169.5,-0.4,-159.1002,-159.5003,11.9,11.9,-64.7,2,-210.3,42.5,7.3,-64.7
2012-11-30,33.6,102.4,21.6,124,-6.6,-17.9,-28.3,-35.7,-143.2,14.4,-205.9,-578.4,-0.1,-0.1,-6.2,-790.6,699.3,130.3,829.6001,22.6,22.6,-64.5,-1.4,786.3,9.9,14.3,-64.5
2012-08-31,110.80000,94.90000,-1.70000,93.20000,12.40000,0.10000,40.90000,-26.00000,49.20000,253.20000,-149.30000,,4.00000,4.00000,-13.50000,-158.80000,-1.00000,-16.90000,-17.90000,-37.50000,-37.50000,-64.00000,3.30000,-116.10000,-19.00000,14.40000,-64.00000
2012-05-31,151.2,-15.2,-178.1,-193.3,-20.6,99.1,-18.9,-43.5,5.1,-37,25.6,0.1,0,0,-5,20.7,-1,-25,-26,7,7,-55.3,6.5,-67.8,-18,5.4,-55.3
2012-02-29,164,91.3,17.1,108.4,20.3,-57,34.3,128.7,197.8,470.2,-143.8,0.6,-4.1,-4.1,-4.4,-151.7,-0.7,-167.3001,-168.0002,-61.1,-61.1,-55,3.7,-280.4,38.3,16.6,-55
2011-11-30,53.7,87.2,30.4,117.6,-11.4,-52.6,-29.3,-52.6,-209.3,-38,-199.7,-59.2,-3.6,-3.6,-5.5,-268,399.2,124.5001,523.7001,-182.2,-182.2,-55.9,-3.5,282.1,-24,13.2,-55.9
2011-08-31,106.60000,84.70000,0.70000,85.40000,1.00000,-42.90000,23.90000,-30.70000,-73.70000,118.30000,-136.60000,,-3.10000,-3.10000,-0.40000,-140.10000,-1.20000,145.00000,143.80000,-68.60000,-68.60000,-57.70000,8.20000,25.70000,3.70000,11.50000,-57.70000
2011-05-31,137.5,82.2,20.3,102.5,13.6,26.8,-18.7,-41,-8,232,-156.4,0,-3.7,-3.7,-2.1,-162.2,-75.5,121.5,46,-96.5,-96.5,-43.5,5.3,-88.7,-19.2,17.9,-43.5
2011-02-28,151.2,81.2,51.1,132.3,-18.8,-52.9,17.3,104.1,97.1,380.6,-112.4,0,0.2,0.2,-2.4,-114.6,-1,-104,-105,-86,-86,-43.7,6,-228.7,36.8,17.6,-43.7
2010-11-30,74.5,78.7,22.5,101.2,-5.7,-64,2.7,13.8,-108.5,67.2,-163,0,0,0,-3.2,-166.2,-0.8,162,161.2,-50.1,-50.1,-43.9,7.1,74.3,-24.6,17.9,-43.9
2010-08-31,113.10000,77.50000,2.50000,80.00000,5.00000,10.80000,4.20000,-7.10000,21.80000,214.90000,-108.90000,,2.10000,2.10000,-2.90000,-109.70000,-150.70000,6.00000,-144.70000,-89.90000,-89.90000,-44.40000,1.10000,-277.90000,-171.30000,13.20000,-44.40000
2010-05-31,115.6,76.9,26.3,103.2,3.1,-2.7,-8.5,-24.8,-68,150.8,-106.8,0,0,0,-1.2,-108,-1,0,-1,-30.9,-30.9,-35.3,12.2,-55,-11.5,15.8,-35.3
2010-02-28,134.3,79,-3.8,75.2,-8.4,33.3,38.6,84.6,232.6,442.1,-107.2,0,-4.4,-4.4,-2.5,-114.1,-0.6,-102.3,-102.9,5.7,5.7,-34.8,6.9,-125.1,203.4,14.7,-34.8
2009-11-30,60.3,74.7,18.9,93.6,-5.1,-20.9,-3.3,-8,-21.3,132.6,-115.3,0,1.7,1.7,-0.8,-114.4,-0.9,-10.9,-11.8,4.4,4.4,-35.2,1.5,-41.1,-22.5,13.2,-35.2
2009-08-31,94.30000,73.60000,11.70000,85.30000,-5.40000,16.50000,0.80000,-26.30000,-1.70000,177.90000,-90.30000,,,,-1.90000,-92.20000,-0.60000,-36.80000,-37.40000,2.00000,2.00000,-34.70000,1.30000,-68.80000,16.50000,9.80000,-34.70000
2009-05-31,123,73.2,92.4,165.6,12.7,62.9,-54.7,-23.9,-49,239.6,-111.7,0,-14.3,-14.3,-1.7,-127.7,-0.4,-173.1,-173.5,26.5,26.5,-27.6,17.8,-156.8,-44.4,11.3,-27.6
2009-02-28,249.2,213.2,51,264.2,19.1,-93.1,29.5,71.2,30.5,543.9,-419,0,-13.8,-13.8,-1.9,-434.7,-4.5,144.7,140.2,-113.9,-113.9,-82.6,8.3,-48,64.1,30.2,-82.6
