,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2017-12-31,1460,348,-785,-437,-77,-17,150,165,1188,-452,0,0,0,0,69,-383,-514,21,-493,-1,-1,-196,-89,-779,20,-196
2017-09-30,395,373,-1558,-1185,-63,-91,120,81,-709,-266,3,0,0,0,-15,-278,1113,11,1124,0,0,-191,-3,930,-43,-191
2017-06-30,80,357,732,1089,-173,36,-255,-524,645,-274,-44,0,0,0,-12,-330,-75,0,-75,0,0,-191,0,-266,43,-191
2017-03-31,209.00000,345.00000,203.00000,548.00000,-57.00000,-15.00000,-74.00000,-124.00000,633.00000,-373.00000,,,,,-27.00000,-400.00000,-41.00000,-6.00000,-47.00000,-46.00000,-46.00000,-191.00000,,-284.00000,-35.00000,-191.00000
2016-12-31,219,328,174,502,-11,17,50,191,912,-439,-2169,0,0,0,81,-2527,300,5,305,0,0,-190,-11,104,-1529,-190
2016-09-30,309,314,-373,-59,3,-54,103,91,341,-264,9,0,0,0,-24,-279,1458,-11,1447,0,0,-181,-34,1232,1308,-181
2016-06-30,40,301,421,722,-79,57,-85,-157,605,-325,40,0,0,0,-43,-328,-11,3,-8,-1,-1,-181,0,-190,99,-181
2016-03-31,334.00000,284.00000,56.00000,340.00000,-7.00000,-9.00000,-12.00000,-54.00000,620.00000,-301.00000,,,,,-63.00000,-364.00000,145.00000,3.00000,148.00000,-131.00000,-131.00000,-181.00000,,-164.00000,105.00000,-181.00000
2015-12-31,178,314,437,751,173,90,-36,61,990,-484,23,0,0,0,-79,-540,-312,-29,-341,-100,-100,-182,-14,-637,-54,-182
2015-09-30,210,329,437,766,-33,-162,61,-139,837,-312,0,0,-198,-198,49,-461,-351,-4,-355,-152,-152,-166,0,-673,-486,-166
2015-06-30,218,328,-443,-115,-57,22,-49,12,115,-344,0,0,0,0,-17,-361,829,19,848,-214,-214,-168,-211,255,14,-168
2015-03-31,311.00000,323.00000,160.00000,483.00000,-76.00000,-81.00000,15.00000,-156.00000,638.00000,-310.00000,,,,,-67.00000,-377.00000,-240.00000,,-240.00000,-137.00000,-137.00000,-169.00000,,-546.00000,-305.00000,-169.00000
2014-12-31,128,346,492,838,117,15,15,178,1144,-393,26,0,0,0,65,-302,-321,10,-311,-164,-164,-169,0,-644,163,-169
2014-09-30,349,357,209,566,-7,-126,132,18,933,-306,385,0,0,0,65,144,-277,-3,-280,-187,-187,-149,-13,-629,425,-149
2014-06-30,158,359,140,499,-37,11,-125,-128,529,-329,0,0,0,0,-3,-332,541,7,548,-275,-275,-149,-374,-250,-48,-149
2014-03-31,-99.00000,352.00000,444.00000,796.00000,-170.00000,-3.00000,38.00000,-226.00000,471.00000,-277.00000,,,,,-93.00000,-370.00000,-56.00000,16.00000,-40.00000,-370.00000,-370.00000,-153.00000,,-563.00000,-461.00000,-153.00000
2013-12-31,430,371,137,508,223,7,-31,99,1037,-450,-5,0,0,0,117,-338,-179,-58,-237,-432,-432,-154,-15,-838,-144,-154
2013-09-30,376,401,126,527,-23,-89,9,-191,712,-195,727,0,0,0,32,564,-433,14,-419,26,26,-134,-16,-543,741,-134
2013-06-30,257,396,208,604,-112,15,-78,-113,748,-272,4,0,0,0,5,-263,-79,-36,-115,52,52,-134,-4,-201,271,-134
2013-03-31,315.00000,379.00000,118.00000,497.00000,-222.00000,-47.00000,-28.00000,-281.00000,531.00000,-216.00000,-505.00000,,,,-69.00000,-790.00000,87.00000,-43.00000,44.00000,140.00000,-10.00000,-132.00000,-8.00000,-106.00000,-368.00000,-132.00000
2012-12-31,232,375,190,565,151,-51,-36,-84,713,-382,0,0,0,0,6,-376,-285,63,-222,48,48,-132,-9,-315,27,-132
2012-09-30,238,383,137,520,-50,-10,63,121,879,-296,469,0,-45,-45,-30,98,-855,-6,-861,39,39,-115,-1,-938,47,-115
2012-06-30,137,366,178,544,163,-6,-54,113,794,-420,0,0,0,0,-6,-426,-294,29,-265,0,0,-114,-11,-390,-60,-114
2012-03-31,192.00000,362.00000,93.00000,455.00000,113.00000,39.00000,35.00000,-66.00000,581.00000,-285.00000,-3729.00000,,,,-140.00000,-4154.00000,1078.00000,-75.00000,1003.00000,-14.00000,-14.00000,-115.00000,-26.00000,848.00000,-2706.00000,-115.00000
2011-12-31,285,321,61,382,374,29,-31,-30,637,-434,-376,0,0,0,216,-594,1361,-2,1359,0,0,-115,-12,1232,1272,-115
2011-09-30,465,335,264,599,-64,-81,66,-188,876,-315,-3,0,0,0,-23,-341,-28,-12,-40,0,0,-115,26,-129,323,-115
2011-06-30,227,336,130,466,-73,-11,-69,-45,648,-229,0,0,0,0,-16,-245,19,18,37,-1,-1,-115,-2,-81,350,-115
2011-03-31,359.00000,340.00000,57.00000,397.00000,-365.00000,7.00000,102.00000,-242.00000,514.00000,-181.00000,50.00000,,,,-176.00000,-307.00000,-103.00000,-33.00000,-136.00000,-29.00000,-29.00000,-82.00000,-33.00000,-280.00000,-24.00000,-82.00000
2010-12-31,366,360,84,444,228,-5,189,234,1044,-318,0,0,0,0,95,-223,-55,-42,-97,0,0,-55,-18,-170,644,-55
2010-09-30,399,362,-618,-256,-231,-70,-138,-356,-213,-184,3,0,0,0,30,-151,-185,115,-70,0,0,-54,-2,-126,-442,-54
2010-06-30,100,363,179,542,-118,-60,120,-1,641,-153,-155,0,0,0,-1,-309,-61,-8,-69,0,0,-55,-19,-143,122,-55
2010-03-31,-153.00000,371.00000,276.00000,647.00000,-206.00000,-51.00000,-64.00000,-335.00000,159.00000,-120.00000,,,,,-31.00000,-151.00000,-82.00000,-27.00000,-109.00000,-26.00000,-26.00000,-11.00000,-3.00000,-149.00000,-143.00000,-11.00000
2009-12-31,-97,384,869,1253,138,54,20,-71,1085,-167,0,0,0,0,17,-150,-668,25,-643,0,0,-11,-44,-698,240,-11
2009-09-30,377,378,44,422,271,-48,232,582,1381,-108,-9,0,0,0,0,-117,-1280,67,-1213,0,0,-11,-78,-1302,-2,-11
2009-06-30,140,367,918,1285,-17,164,-65,-30,1395,-131,0,0,0,0,-2,-133,-591,8,-583,0,0,-10,-24,-617,699,-10
2009-03-31,261.00000,343.00000,-109.00000,234.00000,212.00000,146.00000,-6.00000,299.00000,794.00000,-128.00000,-8.00000,,,,-57.00000,-193.00000,-550.00000,-80.00000,-630.00000,-10.00000,-10.00000,-108.00000,-11.00000,-759.00000,-189.00000,-108.00000
