,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2013-12-31,20.124,24.113,9.523,33.636,-6.893,0.245,3.8,10.37,64.13,-95.177,0,0,0,-14.791,-109.968,0,10,10,0.885,0.885,0,-2.592,8.293,-37.545,0.326,0
2013-09-30,14.596,17.631,11.33,28.961,-6.537,0.405,1.651,-1.708,41.849,-91.054,0,0,0,-600.443,-691.497,450,0,450,180.36,180.36,0,-9.51,620.85,-28.798,0.49,0
2013-06-30,14.471,14.98,4.215,19.195,-2.59,-0.007,0.54,-0.723,32.943,-58.389,0,0,0,-6.192,-64.581,0,-36.5,-36.5,144.936,144.936,0,-0.416,108.02,76.382,0.281,0
2013-03-31,5.39600,10.89100,2.31400,13.20500,-4.48500,-0.08900,-0.30700,-1.74600,16.85500,-55.25500,-18.55000,,,-0.28900,-74.09400,,36.50000,36.50000,,,,-0.10300,36.39700,-20.84200,0.65500,
2012-12-31,-52.074,9.868,56.936,66.804,0.255,-0.595,0.339,1.498,16.228,-18.891,-63.59,0,0,-13.644,-96.125,0,-130.095,-130.095,237.164,237.164,0,-2.256,104.813,24.916,2.609,0
2012-09-30,0.452,6.271,3.445,9.716,-3.391,-0.225,0.391,0.635,10.803,-26.421,0,0,0,-0.916,-27.337,0,15.945,15.945,0,0,0,-0.31,15.635,-0.899,0.291,0
2012-06-30,13.624,5.766,-9.599,-3.833,-2.756,-0.631,-4.761,-6.682,3.109,-23.669,0,0,0,-2.424,-26.093,0,16.61,16.61,0,0,0,-0.528,16.082,-6.902,0.291,0
2012-03-31,1.47700,4.86200,5.11400,9.97600,6.95200,0.81200,1.22700,8.09900,19.55200,-32.16300,,,,-1.36000,-33.52300,,12.49000,12.49000,,,,3.76500,16.25500,2.28400,0.29100,
2011-12-31,-8.792,4.491,-0.316,4.175,10.543,0.888,-1.017,7.977,16.95,-30.629,0,-6.01,0,0.009,-30.61,0,4.997,-35.233,0,0,0,12.365,17.372,3.712,-0.259,0
2011-09-30,0.182,3.559,0.316,3.875,-10.543,-0.888,1.017,4.973,8.85,-1.511,0,6.01,6.01,0.241,4.74,0,-1.877,35.233,0,0,0,-14.265,-16.152,-2.552,0.259,0
2010-12-31,8.23,8.3,0,8.3,0,0,0,-11.52,5.19,-55.04,0,0,0,-0.19,-55.23,0,37.11,0,0,0,0,14.61,51.73,1.68,0,0
