,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2015-12-31,3358,1758,284,2042,276,-5466,3785,962,5688,0,0,-68883,64246,-4637,-18181,-22818,3932,-31367,-27435,2165,-799,-850,35215,6131,-11073,-106,-850
2015-09-30,4321,1558,1572,3130,-2967,9300,3521,18420,25796,0,0,35398,-32499,2899,-7667,-4768,-5446,-19171,-24617,-800,-800,-961,12440,-13938,6912,-10,-961
2015-06-30,5134,100,2131,2231,574,-4506,-4673,-11576,-3332,0,0,-20766,20983,217,-14690,-14473,7243,15899,23142,-775,-775,-917,-3620,17830,971,13,-917
2015-03-31,3097.00000,1586.00000,914.00000,2500.00000,388.00000,3222.00000,12.00000,-3610.00000,245.00000,,,-28201.00000,16065.00000,-12136.00000,-1376.00000,-13512.00000,-2424.00000,4579.00000,2155.00000,,2964.00000,-846.00000,34239.00000,38512.00000,23954.00000,14.00000,-846.00000
2014-12-31,3737,666,600,1266,-1636,-7143,10299,-3572,348,684,0,31836,-9910,21926,4468,27078,42447,-18751,23696,-46917,-45521,-837,6948,-15714,9930,78,-837
2014-09-30,-232,1022,438,1460,249,135,2531,2335,2946,-233,0,6926,-14258,-7332,16036,8471,-48541,-12502,-61043,46917,49984,-765,-22359,-34183,-24240,0,-765
2014-06-30,2291,1237,1081,2318,2555,-662,-3617,313,4778,-185,0,-10003,-7609,-17612,3403,-14394,-72,9185,9113,-233,1261,-360,665,10679,1254,0,-360
2014-03-31,-276.00000,1296.00000,-100.00000,1196.00000,-1998.00000,13536.00000,-3319.00000,21556.00000,22723.00000,-266.00000,,-26224.00000,-13830.00000,-40054.00000,10905.00000,-29415.00000,3990.00000,10412.00000,14402.00000,-1442.00000,-1442.00000,-344.00000,14401.00000,27017.00000,20323.00000,,-344.00000
2013-12-31,3439,959,1047,2006,5031,-29,-165,5977,11994,353,0,24588,-6333,18255,-860,17748,-4688,-22197,-26885,-1351,-1351,-361,9146,-19451,10089,0,-361
2013-09-30,2497,1283,1866,3149,3245,-7319,10038,1500,8227,-255,0,10628,17571,28199,-18342,9602,-10997,-12036,-23033,-866,-1792,-362,29329,4142,22405,0,-362
2013-06-30,4012,991,1694,2685,2537,18576,14253,40299,46128,-153,0,-3721,12436,8715,-12524,-3962,-11897,-11268,-23165,-1003,-5542,-472,-14402,-43581,-2152,0,-472
2013-03-31,1483.00000,1027.00000,1589.00000,2616.00000,1206.00000,22642.00000,11028.00000,20348.00000,26468.00000,55.00000,,5255.00000,3781.00000,9036.00000,-7421.00000,1670.00000,7638.00000,-33643.00000,-26005.00000,,12.00000,-482.00000,-10077.00000,-36552.00000,-9772.00000,,-482.00000
2012-12-31,732,1590,-1091,499,-1882,-31414,-4303,-32921,-26143,151,0,11366,-5618,5748,-21243,-15344,-9937,15352,5415,0,0,-472,42052,46995,4337,0,-472
2012-09-30,340,1423,3396,4819,-2376,-4528,443,3087,8817,-220,0,-1518,-5994,-7512,-9747,-17479,-21299,-15742,-37041,0,6,-471,28161,-9345,-17302,0,-471
2012-06-30,2463,1657,1789,3446,7,15504,3145,16341,16873,9,0,-2203,3896,1693,7548,9250,-50458,26635,-23823,0,-26,-483,-6041,-30373,-5075,0,-483
2012-03-31,653.00000,948.00000,4785.00000,5733.00000,-472.00000,-27168.00000,-10709.00000,-26199.00000,-15603.00000,65.00000,,-9076.00000,-23532.00000,-32608.00000,21137.00000,-11406.00000,-20495.00000,47133.00000,26638.00000,,687.00000,-483.00000,8297.00000,35139.00000,8690.00000,,-483.00000
2011-12-31,1991,3472,-547,2925,23694,16893,-1524,24163,24603,-565,0,30817,43544,74361,231,74027,-20902,-31423,-52325,0,0,-475,-8312,-61112,37237,0,-475
2011-09-30,6232,871,3108,3979,0,3872,3469,-5439,-11358,-253,0,-12856,3362,-9494,3553,-6194,-17941,-8168,-26109,0,5000,-445,2951,-18603,-36662,0,-445
2011-06-30,-8826,3480,-1354,2126,0,-3034,24439,47788,51779,-137,0,2291,4659,6950,-8249,-1436,-17634,-28692,-46326,0,0,-403,18233,-28496,21985,0,-403
2011-03-31,2049.00000,892.00000,3560.00000,4452.00000,,7750.00000,-5099.00000,-14176.00000,-576.00000,-352.00000,,-21714.00000,5646.00000,-16068.00000,2452.00000,-13968.00000,-19336.00000,13524.00000,-5812.00000,,,-415.00000,9784.00000,3557.00000,-10885.00000,,-415.00000
2010-12-31,-1244,2950,1753,4703,0,2662,-23974,-13969,5158,-516,0,54715,-11787,42928,-15804,26608,-31180,-56102,-87282,0,0,-423,33162,-54543,-22689,0,-423
2010-09-30,-7299,11364,6343,17707,0,-13995,25982,16195,38032,-322,0,-22379,-5703,-28082,-8478,-36882,-22287,-19145,-41432,0,0,-449,20625,-21256,-19918,0,-449
2010-06-30,3123,986,8596,9582,0,25338,-2518,19223,15475,64,0,-51091,11200,-39891,13947,-25880,-5767,24562,18795,0,0,-440,-1656,16699,6240,0,-440
2010-03-31,3182.00000,1012.00000,9807.00000,10819.00000,,6770.00000,5723.00000,18608.00000,23876.00000,-213.00000,,-3082.00000,-11187.00000,-14269.00000,20289.00000,5807.00000,530.00000,9161.00000,9691.00000,,,-450.00000,-15475.00000,-6234.00000,23455.00000,,-450.00000
2009-12-31,-194,1013,5881,6894,0,16995,6583,27922,32054,-708,0,-3382,-48955,-52337,3145,-49900,-15970,12853,-3117,0,-25756,-1330,16707,-13496,-31073,0,-1330
2009-09-30,-1001,1096,13464,14560,0,1637,-1297,-1976,22906,-292,0,-358,22163,21805,12398,33911,100,-48018,-47918,0,0,-1148,4138,-44928,12046,0,-1148
2009-06-30,3224,1107,12504,13611,0,14141,-5037,1345,19974,-709,0,-33218,3724,-29494,27506,-2697,-7128,-72675,-79803,13468,13468,-1288,17205,-50418,-33094,0,-1288
2009-03-31,4247.00000,1098.00000,12368.00000,13466.00000,,27049.00000,28304.00000,44483.00000,54797.00000,-531.00000,31804.00000,87408.00000,60884.00000,148292.00000,-2954.00000,176611.00000,-10465.00000,-81579.00000,-92044.00000,,30000.00000,-1097.00000,-27585.00000,-90726.00000,140603.00000,,-1097.00000
