,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2015-09-30,281,38,105,143,92,0,-171,117,541,-18,0,-2391,4,4,-14,-2419,1984,0,1984,-239,-239,-107,-4,1634,-279,18,-107
2015-06-30,382,33,146,179,-67,0,-40,-109,452,-26,0,0,-6,-6,14,-18,690,-365,325,-148,-148,-110,6,73,544,19,-110
2015-03-31,329.00000,33.00000,112.00000,145.00000,-69.00000,,110.00000,-1823.00000,-1349.00000,-16.00000,,-2.00000,-1.00000,-1.00000,,-19.00000,,365.00000,365.00000,-53.00000,-53.00000,-124.00000,32.00000,220.00000,-1321.00000,18.00000,-124.00000
2014-12-31,-821,34,1220,1254,-21,0,-69,-44,389,-40,0,-6,16,16,0,-30,0,0,0,34,34,-134,39,-61,579,28,-134
2014-09-30,218,34,90,124,23,0,-28,32,374,-15,0,-49,-2,-2,83,17,0,0,0,26,26,-82,7,-49,301,25,-82
2014-06-30,315,33,35,68,1,0,-100,-51,332,-17,0,-1,1,1,0,-17,0,0,0,-158,-158,-97,-1,-256,86,30,-97
2014-03-31,275.00000,33.00000,10.00000,43.00000,-12.00000,,104.00000,-204.00000,114.00000,-20.00000,,-15.00000,,,,-35.00000,,,,-71.00000,-71.00000,-97.00000,72.00000,-96.00000,-11.00000,17.00000,-97.00000
2013-12-31,189,34,184,218,-20,0,-152,-101,306,-62,0,-47,-2,-2,-1,-112,0,0,0,-65,-65,-95,17,-143,-35,26,-95
2013-09-30,245,33,-8,25,-4,0,-44,-20,250,-12,0,0,-15,-15,52,25,0,0,0,-476,-476,-94,14,-556,-323,23,-94
2013-06-30,277,35,-50,-15,35,0,-73,11,273,-21,0,0,0,0,0,-21,0,0,0,33,33,-98,-8,-73,-5,26,-98
2013-03-31,755.00000,35.00000,-461.00000,-426.00000,-46.00000,,-88.00000,-376.00000,-47.00000,-22.00000,,,,,,-22.00000,,-457.00000,-457.00000,-426.00000,-426.00000,-96.00000,8.00000,-971.00000,1145.00000,21.00000,-96.00000
2012-12-31,-192,37,422,459,-128,0,-97,-135,132,-26,0,-21,0,0,0,-47,-400,457,57,20,20,-784,24,-683,-375,27,-784
2012-09-30,337,39,-101,-62,-74,0,-10,104,379,-34,0,-8,1,1,0,-41,0,0,0,-150,-150,-73,11,-212,398,23,-73
2012-06-30,220,34,-12,22,-1,0,-32,-49,193,-26,0,-132,21,21,0,-137,0,0,0,22,22,-77,2,-53,-69,23,-77
2012-03-31,127.00000,31.00000,78.00000,109.00000,-47.00000,,26.00000,-210.00000,26.00000,-10.00000,,-16.00000,5.00000,5.00000,,-21.00000,,,,112.00000,112.00000,-74.00000,5.00000,43.00000,-29.00000,17.00000,-74.00000
2011-12-31,221,-179,-236,-415,161,12,-238,80,-114,-43,0,5,7,7,126,95,0,0,0,-840,-840,-83,17,-906,-493,12,-83
2011-09-30,374,135,16,151,-150,51,179,175,700,-24,0,-73,-10,-10,-45,-152,0,0,0,-301,-301,-75,1,-375,138,24,-75
2011-06-30,215,100,29,129,-194,-22,60,-55,289,-7,0,0,4,4,-32,-35,0,0,0,-145,-145,-84,1,-228,30,23,-84
2011-03-31,124.00000,70.00000,33.00000,103.00000,197.00000,-41.00000,36.00000,-178.00000,49.00000,-18.00000,,-126.00000,-7.00000,-7.00000,-28.00000,-179.00000,,,,-75.00000,-75.00000,-77.00000,1.00000,-151.00000,-256.00000,18.00000,-77.00000
2010-12-31,160.1,-222.5,-157.4,-379.9,92.3,-6.6,-319.4,-129.5,-349.3,4.3,0,-2,10.2,10.2,68.7,81.2,0,0,0,21.2,21.2,-87.9,0.7,-66,185.1,6.2,-87.9
2010-09-30,389.7,151,13.7,164.7,-122.9,45.2,79.4,139.4,693.8,-26.3,0,-320,-6,-6,-14,-366.3,0,0,0,-66.8,-66.8,-75.7,0,-142.5,205,21.8,-75.7
2010-06-30,194.2,113.3,5.7,119,-233,-21.5,82.8,-60.1,253.1,-32.4,0,-5,-1.7,-1.7,-24.8,-63.9,0,0,0,-182.6,-182.6,-84.8,0.2,-267.2,-91.6,14.7,-84.8
2010-03-31,107.00000,66.20000,9.00000,75.20000,190.60000,-17.10000,4.20000,-75.80000,106.40000,-6.60000,,,-0.50000,-0.50000,-29.90000,-37.00000,,,,22.20000,22.20000,-77.60000,1.10000,-54.30000,-0.50000,8.30000,-77.60000
2009-12-31,173.868,114.463,23.288,137.751,176.289,36.283,-168.839,114.85,426.469,-59.485,14.801,-9.731,-25,-25,-32.221,-111.636,0,0,0,12.218,12.218,-70.185,-0.074,-58.041,252.406,9.517,-70.185
2009-09-30,342.256,164.27,5.349,169.619,-124.892,52.624,33.681,97.53,609.405,-15.677,-7.13,0,0,0,-44.726,-67.533,0,-89.6,-89.6,5.674,5.674,-72.991,0.064,-156.853,401.134,-4.75,-72.991
2009-06-30,167.891,111.36,30.783,142.143,-213.163,-0.11,71.891,-83.039,226.995,-8.844,-5.96,9.731,0,0,-42.33,-47.403,0,-70.3,-70.3,7.108,7.108,-75.973,0.01,-139.155,59.332,9.403,-75.973
2009-03-31,65.98500,70.90700,14.58000,85.48700,211.76600,-20.79700,-9.73300,-84.34100,67.13100,-7.99400,-1.71100,,,,-42.72300,-52.42800,,89.90000,89.90000,,,-70.85100,,19.04900,25.12800,7.83000,-70.85100
