,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2015-06-30,2175,2161,383,2544,-826,-41,-1130,3589,-2012,-327,36,-240,-240,1,-2542,1239,13,1252,-1581,-1581,-628,-541,-1498,-451,159,-628
2015-03-31,2141.00000,2066.00000,-65.00000,2001.00000,119.00000,612.00000,1103.00000,5245.00000,-1750.00000,-273.00000,180.00000,-32.00000,-32.00000,181.00000,-1694.00000,-909.00000,-150.00000,-1059.00000,-1972.00000,-1972.00000,-572.00000,79.00000,-3524.00000,27.00000,135.00000,-572.00000
2014-12-31,1996,2090,1033,3123,-122,-388,-476,4643,-2239,-387,44,-46,-46,-25,-2653,-3,-67,-70,-1999,-1999,-578,20,-2627,-637,127,-578
2014-09-30,2633,1959,622,2581,29,-775,-459,4755,-1968,-258,70,-68,-68,32,-2192,1986,-94,1892,-746,-746,-584,-107,455,3018,120,-584
2014-06-30,2025,2000,352,2352,-135,-931,-1316,3061,-1808,-260,-225,-40,-40,-50,-2383,-903,21,-882,-741,-741,-584,4,-2203,-1525,147,-584
2014-03-31,1938.00000,1970.00000,-138.00000,1832.00000,195.00000,439.00000,716.00000,4486.00000,-1448.00000,-217.00000,300.00000,-37.00000,-37.00000,-103.00000,-1505.00000,-73.00000,-364.00000,-437.00000,-730.00000,-730.00000,-508.00000,30.00000,-1645.00000,1336.00000,119.00000,-508.00000
2013-12-31,1968,1998,311,2309,-866,-371,-1796,2481,-2202,-315,-57,1037,382,5,-2187,-2,950,948,-495,-495,-510,-122,-179,115,107,-510
2013-09-30,1778,1916,0,1916,87,234,300,3994,-2120,-250,-20,-627,28,-5,-2367,-247,47,-200,-489,-489,-512,-212,-1413,214,99,-512
2013-06-30,1744,18,677,695,-407,1090,877,3316,-2817,1049,-22,-550,-536,129,-2197,-384,-143,-527,-489,-489,-513,-40,-1569,-450,111,-513
2013-03-31,1645.00000,3939.00000,-349.00000,3590.00000,465.00000,-1050.00000,-866.00000,4369.00000,-1361.00000,-1493.00000,,,-14.00000,105.00000,-2763.00000,1122.00000,491.00000,1613.00000,-487.00000,-487.00000,-429.00000,-11415.00000,-10718.00000,-9112.00000,102.00000,-429.00000
2012-12-31,1807,-5312,-44,-5356,42,7309,7164,3615,-1671,-318,5,2996,-2380,2368,-1996,1920,11,1931,-732,-732,-432,-334,433,2052,93,-432
2012-09-30,2978,5099,-1497,3602,-849,-2749,-3156,3424,-1582,-191,-95,-147,5229,-22,3339,1435,-1,1434,-719,-719,-435,-245,35,6798,89,-435
2012-06-30,1633,3928,344,4272,44,-2404,-2483,3422,-1287,-230,0,18,-17,54,-1480,-567,-147,-714,-716,-716,-437,-181,-2048,-106,100,-437
2012-03-31,1447.00000,4083.00000,74.00000,4157.00000,-60.00000,-1385.00000,-1211.00000,4393.00000,-1174.00000,-184.00000,,-62.00000,-27.00000,36.00000,-1349.00000,-1125.00000,-407.00000,-1532.00000,-600.00000,-600.00000,-304.00000,-21.00000,-2457.00000,587.00000,89.00000,-304.00000
2011-12-31,1585,4016,411,4427,-717,-1378,-1873,4139,-1522,-449,0,73,73,51,-1847,-403,-1098,-1501,-460,-460,-306,-211,-2478,-186,84,-306
2011-09-30,1166,3813,498,4311,13,-2152,-2227,3250,-1408,-209,-747,-1,-1,-10,-2375,-1049,901,-148,-554,-554,-309,-55,-1066,-191,86,-309
2011-06-30,1367,3568,704,4272,-448,-1680,-2151,3488,-1271,-173,-2,68,68,-21,-1399,-5,-936,-941,-448,-448,-311,-214,-1914,175,90,-311
2011-03-31,1039.00000,3026.00000,304.00000,3330.00000,725.00000,-1495.00000,-901.00000,3468.00000,-1106.00000,-123.00000,-5658.00000,2.00000,2.00000,-2.00000,-6887.00000,-1759.00000,1677.00000,-82.00000,-396.00000,-396.00000,-261.00000,-4.00000,-743.00000,-4162.00000,84.00000,-261.00000
2010-12-31,1033,1791,754,2545,14,-125,-131,3447,-1532,-164,0,-128,-128,-19,-1843,496,0,496,-274,-274,-264,-120,-162,1442,74,-264
2010-09-30,870,1670,-134,1536,-24,-37,-6,2400,-1366,-135,0,-16,-16,204,-1313,-12,0,-12,-292,-292,-265,-4,-573,514,73,-265
2010-06-30,886,1687,162,1849,-264,-115,-306,2429,-1138,-120,-11,6,6,-36,-1299,-13,0,-13,-300,-300,-267,-5,-585,545,71,-267
2010-03-31,879.00000,1655.00000,82.00000,1737.00000,143.00000,215.00000,287.00000,2903.00000,-925.00000,-117.00000,-172.00000,-23.00000,-23.00000,-19.00000,-1256.00000,1796.00000,,1796.00000,-300.00000,-300.00000,-268.00000,-63.00000,1165.00000,2812.00000,82.00000,-268.00000
2009-12-31,960,1941,325,2266,-73,-534,-670,2556,-1609,-139,-52,-133,-133,37,-1896,-308,0,-308,-326,-326,-193,-24,-851,-191,65,-193
2009-09-30,934,1615,187,1802,38,-201,-124,2612,-1227,-142,-9,-60,-60,7,-1431,-3621,0,-3621,-330,-330,-193,-164,-4308,-3127,71,-193
2009-06-30,956,1660,259,1919,-192,-64,-274,2601,-1121,-108,-20,-11,-11,6,-1254,1087,0,1087,-108,-108,-195,-21,763,2110,67,-195
2009-03-31,778.00000,1633.00000,341.00000,1974.00000,143.00000,-289.00000,-240.00000,2512.00000,-1160.00000,-133.00000,-7.00000,-40.00000,-40.00000,24.00000,-1316.00000,-332.00000,,-332.00000,,,-180.00000,,-512.00000,684.00000,54.00000,-180.00000
