,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2012-09-30,1427,864,-68,796,-610,-117,-114,-184,2039,-1081,-77,-31,0,-925,-925,2,-2112,532,59,591,4,4,-366,1,230,331,84,-366
2012-06-30,1414,855,-281,574,-735,-283,-244,-1349,639,-1120,-82,-682,0,784,784,-81,-1181,532,71,603,-469,-469,-367,14,-219,175,88,-367
2012-03-31,1306.00000,851.00000,50.00000,901.00000,-835.00000,-387.00000,-128.00000,-1449.00000,758.00000,-960.00000,-101.00000,,,362.00000,362.00000,-45.00000,-744.00000,6.00000,93.00000,99.00000,-121.00000,-121.00000,-334.00000,,-356.00000,-359.00000,79.00000,-334.00000
2011-12-31,1418,859,-175,684,-176,-205,-116,60,2162,-1247,-83,-38,0,1217,1217,0,-151,-1333,-7,-1340,-624,-624,-332,3,-2293,-27,69,-332
2011-09-30,1305,826,-41,785,-201,-171,104,-439,1651,-1041,-75,-25,0,-743,-743,15,-1869,1900,275,2175,-646,-646,-337,-616,576,354,71,-337
2011-06-30,1341,801,-267,534,-464,-236,76,-644,1231,-946,-48,-49,0,-688,-688,238,-1493,1237,-451,786,-682,-682,-340,0,-236,-97,65,-340
2011-03-31,943.00000,788.00000,151.00000,939.00000,-561.00000,-251.00000,42.00000,-1046.00000,836.00000,-770.00000,-83.00000,-74.00000,,565.00000,565.00000,-23.00000,-385.00000,88.00000,64.00000,152.00000,-608.00000,-608.00000,-291.00000,,-747.00000,-289.00000,67.00000,-291.00000
2010-12-31,1043,806,-12,794,249,-29,51,576,2413,-1005,-85,-58,0,-1597,-1597,65,-2680,1622,-65,1557,-340,-340,-284,0,933,650,53,-284
2010-09-30,1731,693,-1442,-749,-490,-51,60,-172,810,-824,-69,390,0,1017,1017,-72,442,-252,30,-222,-268,-268,-251,0,-741,511,50,-251
2010-06-30,817,638,-56,582,-174,13,-28,-102,1297,-634,-81,-917,0,1140,1140,-7,-499,-260,149,-111,-486,-486,-251,14,-834,-37,48,-251
2010-03-31,674.00000,620.00000,-31.00000,589.00000,125.00000,17.00000,-116.00000,-274.00000,989.00000,-449.00000,-91.00000,-117.00000,,463.00000,463.00000,-5.00000,-199.00000,-109.00000,-182.00000,-291.00000,-222.00000,-222.00000,-254.00000,,-767.00000,23.00000,47.00000,-254.00000
2009-12-31,798,628,54,682,1,106,240,487,1967,-676,-80,-39,0,-392,-392,94,-1093,-109,74,-35,-450,-450,-248,0,-733,96,47,-248
2009-09-30,788,613,-109,504,24,59,64,-12,1280,-467,-61,-277,0,-87,-87,29,-863,-244,-147,-391,114,114,-256,0,-533,-115,47,-256
2009-06-30,616,626,66,692,559,17,-63,205,1513,-504,-41,-186,0,-205,-205,39,-897,-194,-175,-369,27,27,-251,0,-593,24,45,-251
2009-03-31,940.00000,609.00000,-78.00000,531.00000,-429.00000,-118.00000,-46.00000,-920.00000,551.00000,-748.00000,-48.00000,-12.00000,,-475.00000,-475.00000,66.00000,-1217.00000,766.00000,137.00000,903.00000,15.00000,15.00000,-251.00000,4.00000,671.00000,3.00000,47.00000,-251.00000
