,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2013-03-31,147.00000,248.00000,37.00000,285.00000,-66.00000,119.00000,-33.00000,148.00000,89.00000,533.00000,-271.00000,,,,,-3.00000,-274.00000,-612.00000,23.00000,-589.00000,1.00000,1.00000,-89.00000,17.00000,-660.00000,-401.00000,-89.00000
2012-12-31,134,259,64,323,-250,30,180,50,17,481,-394,0,0,-11,-11,11,-394,-62,-15,-77,1,1,-87,0,-163,-76,-87
2012-09-30,10,309,177,486,-33,-83,31,52,-44,452,-294,-271,0,10,10,3,-552,-156,23,-133,1,1,-86,-83,-301,-401,-86
2012-06-30,126,282,-7,275,100,-14,-45,33,96,503,-260,-89,0,0,0,-16,-365,-46,21,-25,0,0,-86,0,-111,27,-86
2012-03-31,147.00000,232.00000,57.00000,289.00000,193.00000,94.00000,-172.00000,-44.00000,-16.00000,424.00000,-264.00000,,,-4.00000,-4.00000,-24.00000,-292.00000,1169.00000,-338.00000,831.00000,2.00000,2.00000,-87.00000,-2.00000,744.00000,876.00000,-87.00000
2011-12-31,117,217,13,230,-205,61,134,24,83,439,-343,0,0,-3,-3,-12,-358,0,121,121,1,1,-85,-1,36,117,-85
2011-09-30,973,260,-810,-550,28,-116,5,-21,-115,312,-327,0,0,-2,-2,53,-276,-143,117,-26,1,1,-84,-14,-123,-87,-84
2011-06-30,119,231,74,305,169,-115,-52,25,76,510,-300,0,0,-4,-4,40,-264,0,-69,-69,2,2,-84,0,-151,95,-84
2011-03-31,148.00000,208.00000,104.00000,312.00000,48.00000,181.00000,-168.00000,30.00000,166.00000,627.00000,-333.00000,,,-3.00000,-3.00000,28.00000,-308.00000,-216.00000,-58.00000,-274.00000,2.00000,2.00000,-84.00000,-67.00000,-423.00000,-104.00000,-84.00000
2010-12-31,124,210,141,351,-333,29,249,-31,-57,403,-456,0,0,3,3,47,-406,0,163,163,24,24,-83,-1,103,100,-83
2010-09-30,123,250,102,352,79,-107,-68,-57,-315,165,-326,0,0,1,1,30,-295,-335,41,-294,22,22,-82,0,-354,-484,-82
2010-06-30,81,224,44,268,357,-137,-90,-51,28,383,-469,0,0,-2,-2,55,-416,-7,30,23,341,341,-77,0,287,254,-77
2010-03-31,114.00000,207.00000,-113.00000,94.00000,-2.00000,161.00000,-125.00000,147.00000,225.00000,435.00000,-258.00000,,,-20.00000,-20.00000,-25.00000,-303.00000,-441.00000,-53.00000,-494.00000,29.00000,29.00000,-77.00000,-1.00000,-543.00000,-411.00000,-77.00000
2009-12-31,105,189,159,348,-513,46,290,68,-57,404,-351,0,0,-4,-4,41,-314,648,0,648,15,15,-74,0,589,679,-74
2009-09-30,114,217,125,342,155,-142,-25,-44,-79,381,-305,0,0,205,205,22,-78,-604,-20,-624,301,301,-69,-1,-393,-90,-69
2009-06-30,86,198,124,322,333,-84,-77,16,212,623,-244,0,0,5,5,-4,-243,-226,-159,-385,158,158,-67,0,-294,86,-67
2009-03-31,67.00000,176.00000,-6.00000,170.00000,308.00000,416.00000,-425.00000,-10.00000,195.00000,433.00000,-260.00000,,,2.00000,2.00000,-3.00000,-261.00000,-316.00000,81.00000,-235.00000,30.00000,30.00000,-66.00000,-3.00000,-274.00000,-102.00000,-66.00000
