,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2020-06-30,632.9,20.6,17.6,38.2,0,0,52,312.9,984,-59.8,-2.9,0,0,0,-3.1,-65.8,-5.6,-5.6,0,0,-63.9,-13.3,-82.8,835.4,21.3,-63.9
2020-03-31,483.9,22.5,4.3,26.8,0,0,-850.1001,-792,-281.3,-12.4,-4.9,0,0.5,0.5,0,-16.8,176.7,176.7,-197.3,-197.3,-64.1,324.2,239.5,-58.6,21.3,-64.1
2019-12-31,432.50000,22.10000,-4.00000,18.10000,,,-658.99990,-564.40000,-113.80000,-18.40000,-0.70000,,1.90000,1.90000,-0.60000,-17.80000,495.70000,495.70000,-163.10000,-163.10000,-65.00000,-54.10000,213.50000,81.90000,16.60000,-65.00000
2019-09-30,503.9,22.4,40.7,63.1,0,0,266.8,244.4,811.4,-62.5,-4.9,0,-4.4,-4.4,4.1,-67.7,-150,-150,-17.6,-17.6,-55.5,108.1,-115,628.7,19.3,-55.5
2019-06-30,473.6,21.3,13.7,35,0,0,-55.1,33.8,542.4,-3.5,-1.3,0,0,0,-0.4,-5.2,-291.9001,-291.9001,-145.3,-145.3,-56.2,110.3,-383.1,154.1,18,-56.2
2019-03-31,354.4,19.7,11.1,30.8,0,0,-444.7,-473.8,-88.6,6.9,-16.6,0,0,0,-1,-10.7,-18.2,-18.2,-75.6,-75.6,-59.1,215.1,62.2,-37.1,17.8,-59.1
2018-12-31,286.70000,19.50000,27.90000,47.40000,,,-796.00000,-707.20000,-373.10000,-21.20000,-293.00000,,4.40000,4.40000,-0.60000,-310.40000,302.20000,302.20000,-140.60000,-140.60000,-56.50000,-159.30000,-54.20000,-737.70000,18.10000,-56.50000
2018-09-30,468.9,19.4,25.5,44.9,0,0,-298.6,-275.1,238.7,3.6,-1.1,0,2.1,2.1,6.9,11.5,-3,-3,-52.6,-52.6,-48.1,122.6,18.9,269.1,9.5,-48.1
2018-06-30,453.7,17.4,39.2,56.6,0,0,-225.1,-105,405.3,-23.4,0,0,0.3,0.3,-0.8,-23.9,-176.3,-176.3,-27,-27,-47.4,40,-210.7,170.7,15.3,-47.4
2018-03-31,350.9,18.1,64.7,82.8,0,0,-418.2,-457.5,-23.8,194,-1.7,0,0.2,0.2,-0.1,192.4,-127,-127,-22.5,-22.5,-47.4,120.5,-76.4,92.2,17.4,-47.4
2017-12-31,188.80000,17.40000,128.10000,145.50000,,,-434.10000,-409.30000,-75.00000,-19.60000,-156.40000,,14.90000,14.90000,0.10000,-161.00000,288.10000,288.10000,-25.40000,-25.40000,-48.70000,-28.30000,185.70000,-50.30000,13.60000,-48.70000
2017-09-30,313.3,15.4,68.4,83.8,0,0,283.6,228.8,625.9,-53.8,0,0,0,0,10.8,-43,-5.9,-5.9,0,0,-37.4,-37.2,-80.5,502.4,18.8,-37.4
2017-06-30,289,14.4,85.8,100.2,0,3.5,-572.2,-439.2,-50,-46,0,0,0,0,-1.6,-47.6,-350.9,-350.9,-69.3,-69.3,-37.5,74.5,-383.2,-480.8,14.3,-37.5
2017-03-31,229.2,14.2,38.9,53.1,-2.3,-3.5,-356.1,-389.8,-107.5,-35.3,0,0,0,0,-6.8,-42.1,-0.2,-0.2,8.7,8.7,-37.4,21.4,-7.5,-157.1,16.8,-37.4
2016-12-31,206.90000,15.70000,17.10000,32.80000,2.30000,,-298.10000,-267.90000,-28.20000,-22.20000,-4.10000,,,,-5.00000,-31.30000,-0.30000,-0.30000,,,-37.30000,-55.80000,-93.40000,-152.90000,9.30000,-37.30000
