,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2014-07-31,-60.782,2.887,59.029,61.916,-17.725,0.005,18.829,8.202,9.336,-2.908,-2.5,-38.07,-38.07,0,-43.478,0,0,11.937,11.937,-0.134,11.803,-22.349,59.51
2014-04-30,-50.75500,2.65100,42.47500,45.12600,31.23500,0.38600,6.67600,24.54000,18.91100,-4.23800,,-250.88300,-250.88300,,-255.12100,,,5.83600,5.83600,0.47900,6.31500,-229.70600,43.23900
2014-01-31,-32.631,2.192,33.246,35.438,-29.353,-0.096,47.85,31.622,34.429,-2.043,-20.78,0,0,0,-22.823,0,0,549.563,549.563,-15.592,533.971,545.558,33.244
2013-10-31,-16.55,1.62,15.121,16.741,-13.249,0.414,17.194,13.126,13.317,-4.035,-8.958,0,0,0,-12.993,0,0,6.342,6.342,-1.968,4.374,4.781,14.332
2013-07-31,-13.693,1.455,11.768,13.223,-2.83,-1.065,9.919,6.721,6.251,-1.967,0,0,0,0,-1.967,0,0,11.992,11.992,-0.356,11.636,15.862,11.957
2013-04-30,-16.13400,1.42500,9.63600,11.06100,26.03200,0.91800,4.90600,24.92400,19.85100,-1.26300,,,,,-1.26300,,,6.60700,6.60700,0.11100,6.71800,25.31300,9.83500
2013-01-31,-6.162,1.317,7.514,8.831,-23.77,0.455,43.029,22.122,24.791,-3.357,0,0,0,0,-3.357,0,0,10.714,10.714,0.462,11.176,32.615,8.257
2012-10-31,-5.474,1.208,4.685,5.893,-6.497,-0.568,6.089,6.034,6.453,-2.246,0,0,0,0.514,-1.732,0,0,0.298,0.298,0,0.298,5.046,4.685
2012-07-31,-4.575,1.218,3.866,5.084,-10.201,-0.706,7.214,3.327,3.836,-1.597,0,0,0,0,-1.597,0,0,-0.008,-0.008,0,-0.008,2.201,3.866
2012-04-30,-20.47000,0.93100,16.75900,17.69000,11.01500,1.00600,6.78400,14.34800,11.56800,-1.87700,,,,,-1.87700,-2.28900,-2.28900,227.05800,227.05800,,224.76900,234.47800,2.67200
2012-01-31,-1.276,0.691,2.012,-3.091,-12.968,0.344,15.256,8.58,10.007,-2.084,0,0,0,0.128,-1.956,-0.236,-0.236,0.818,0.818,-0.031,0.551,8.602,1.493
2011-10-31,-3.56,0.584,1.48,2.064,0.699,-2.052,7.409,8.197,6.701,-2.186,0,0,0,0,-2.186,-0.234,-0.234,0.983,0.983,-0.05,0.699,5.214,1.041
2011-07-31,-3.91,0.497,1.319,1.816,-6.672,0.868,5.859,2.907,0.813,-2.825,0,0,0,0,-2.825,0.817,0.817,0.883,0.883,-0.031,1.669,-0.343,0.716
2011-04-30,-2.24600,0.34800,0.98300,1.33100,-1.40600,0.89500,0.77100,-1.98400,-2.89900,-1.08500,,,,,-1.08500,1.94200,1.94200,0.49200,0.49200,-0.06100,2.37300,-1.61100,0.51000
2011-01-31,3.65,0.02,0,0.02,0,0,0,3.19,7.48,-1.12,0,0,-4.87,-0.04,-6.02,0,0,0,-0.56,-0.03,-0.59,0.87,0
2010-01-31,-7.45,0.93,0,0.93,0,0,0,6.08,0.89,-0.35,0,0,4.87,0.2,4.71,0,0,0,1.59,-0.14,1.45,7.06,0
