,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2016-12-31,-809.773,-205.491,-209.349,-414.84,501.186,443.115,116.8,53.574,1199.882,-47.197,129.947,31.843,-115.983,0,0,4.997,50.804,-939.397,-287.759,-1227.156,959.563,959.563,462.406,6.772,201.585,204.174,-54.933,462.406
2016-09-30,498.489,68.019,36.699,104.718,-626.12,-227.498,63.657,15.239,-614.022,30.609,-47.305,-14.482,115.983,0,0,-3.7,50.496,950.933,-666.665,284.268,-138.134,-138.134,-152.823,-6.445,-13.134,60.647,13.373,-152.823
2016-06-30,311.28400,137.47200,172.65000,310.12200,124.93400,-215.61700,-180.45700,-68.81300,-585.86000,16.58800,-82.64200,-17.36100,,,,-1.29700,-101.30000,-11.53600,954.42400,942.88800,-821.42900,-821.42900,-309.58300,-0.32700,-188.45100,-264.82100,41.56000,-309.58300
2016-03-31,260.269,68.03,36.697,104.727,43.153,-134.713,-263.167,-49.247,-487.775,-145.568,-36.336,-6.335,0,0,0,-0.587,-43.258,-10.695,685.985,675.29,-709.665,-709.665,-155.584,0,-189.959,-359.752,21.151,-155.584
2015-12-31,-919.384,-198.304,139.327,-58.977,653.545,587.669,100.533,13.725,1259.176,280.211,187.281,53.053,0,0,0,-3.15,237.184,3.163,-1268.146,-1264.983,708.7679,708.7679,407.684,1.475,-147.056,405.296,-73.136,407.684
2015-09-30,459.864,69.039,35.34,104.379,-688.323,-298.827,78.982,45.034,-614.627,-27.493,-61.777,-9.603,0,0,0,-7.481,-78.861,-0.96,129.043,128.083,19.0071,19.0071,-136.165,0,10.925,-93.171,22.823,-136.165
2015-06-30,459.52000,129.26500,-174.66700,-45.40200,34.77800,-288.84200,-179.51500,-58.75900,-644.54900,-252.71800,-125.50400,-43.45000,,,,10.63100,-158.32300,-2.20300,1139.10300,1136.90000,-727.77500,-727.77500,-271.51900,-1.47500,136.13100,-312.12500,50.31300,-271.51900
2015-03-31,288.709,65.88,-211.409,-145.529,-48.886,-165.494,-225.966,-41.584,-537.721,-400.946,-33.028,-36.708,0,0,0,10.617,-59.119,-1.414,1047.66,1046.246,-734.918,-734.918,-135.912,0,175.416,-316.412,25.946,-135.912
2014-12-31,-925.404,-200.519,-112.426,-312.945,467.399,454.849,-46.06,-19.044,871.503,-366.846,171.606,66.815,0,0,0,16.612,255.033,3.549,-637.786,-634.237,718.103,718.103,340.69,-47.786,376.77,279.903,-77.44,340.69
2014-09-30,470.529,69.318,37.084,106.402,-641.847,-234.662,146.901,52.809,-424.862,147.259,-75.762,-10.773,0,0,0,-4.911,-91.446,-0.852,75.471,74.619,5.1,5.1,-113.065,8.591,-24.755,20.609,23.86,-113.065
2014-06-30,454.87500,131.20100,75.34200,206.54300,174.44800,-220.18700,-100.84100,-33.76500,-446.64100,219.58700,-95.84400,-56.04200,,,,-11.70100,-163.58700,-2.69700,562.31500,559.61800,-723.20300,-723.20300,-227.62500,39.19500,-352.01500,-300.51200,53.58000,-227.62500
2014-03-31,297.193,64.017,36.291,100.308,41.688,-117.718,-170.171,-39.8,-410.352,13.654,-49.309,-44.654,0,0,0,-5.17,-99.133,-1.099,242.586,241.487,-524.744,-524.744,-114.776,31.773,-366.26,-454.731,26.956,-114.776
2013-12-31,-842.452,-181.109,-39.336,-220.445,455.712,399.396,-96.246,34.158,710.561,-418.076,203.469,41.923,0,0,0,9.896,255.288,402.141,-457.856,-55.715,252.531,252.531,286.79,-41.946,441.66,281.8,-70.258,286.79
2013-09-30,433.761,64.394,48.243,112.637,-589.542,-220.885,99.35,-24.976,-485.475,126.663,-48.015,-13.208,0,0,0,-5.589,-66.812,-400.724,423.073,22.349,2.986,2.986,-95.33,4.013,-65.982,-4.451,22.379,-95.33
2013-06-30,408.69100,116.71500,-8.90700,107.80800,133.83000,-178.51100,-3.10400,-9.18200,-225.08600,291.41300,-155.45400,-28.71500,,,,-4.30700,-188.47600,-1.41700,34.78300,33.36600,-255.51700,-255.51700,-191.46000,37.93300,-375.67800,-277.34900,47.87900,-191.46000
2013-03-31,270.417,57.948,-58.129,-0.181,-8.938,-62.263,-127.139,-58.536,-311.775,11.674,-102.227,-10.547,0,0,0,-2.225,-114.999,-0.707,169.754,169.047,-288.968,-288.968,-96.263,24.222,-191.962,-297.024,23.209,-96.263
2012-12-31,-751.97,-166.783,-104.344,-271.127,502.501,317.761,100.101,5.147,920.6799,-102.605,190.277,12.509,-66.769,0,0,3.429,139.446,2.079,-459.173,-457.094,260.754,260.754,237.52,-39.455,1.725,36.625,-73.149,237.52
2012-09-30,381.318,56.012,53.973,109.985,-573.573,-181.264,26.774,37.498,-459.8719,29.476,-71.297,-4.717,-1.495,0,0,-7.283,-84.792,-0.681,59.007,58.326,31.162,31.162,-78.939,14.212,24.761,-25.909,26.633,-78.939
2012-06-30,370.65200,110.77100,50.37100,161.14200,71.07200,-136.49700,-126.87500,-42.64500,-460.80800,73.12900,-118.98000,-7.79200,68.26400,,,3.85400,-54.65400,-1.39800,400.16600,398.76800,-291.91600,-291.91600,-158.58100,25.24300,-26.48600,-10.71600,46.51600,-158.58100
2012-03-31,215.227,52.903,44.95,97.853,-73.491,-55.174,-188.949,-8.09,-442.374,-112.137,-25.14,-13.37,0,0,0,6.341,-32.169,-0.698,397.595,396.897,-213.004,-213.004,-79.924,22.055,126.024,-15.579,22.922,-79.924
2011-12-31,-632.399,-132.044,-86.4,-218.444,573.511,328.33,19.681,25.225,879.676,28.833,98.173,71.434,2207.065,0,0,3.28,2379.952,-896.518,-1127.805,-2024.323,-102.73,-102.73,206.277,-15.96,-1936.736,454.848,-54.247,206.277
2011-09-30,301.412,44.289,31.394,75.683,-476.349,-128.68,54.042,-19.09,-357.084,13.488,-34.151,-63.213,-2150.467,0,0,-2.173,-2250.004,897.778,1121.553,2019.331,24.051,24.051,-69.095,1.242,1975.529,-274.087,21.27,-69.095
2011-06-30,330.98700,87.75500,55.00600,142.76100,-97.16200,-199.65000,-73.72300,-6.13500,-522.59200,-42.32100,-64.02200,-8.22100,-56.59800,,,-1.10700,-129.94800,-1.26000,6.25200,4.99200,78.67900,78.67900,-137.18200,14.71800,-38.79300,-180.76100,32.97700,-137.18200
2011-03-31,201.42,44.941,24.519,69.46,-101.628,-101.511,-94.167,31.686,-306.36,-32.865,-33.607,-62.756,0,0,0,0.053,-96.31,-0.55,3.427,2.877,43.583,43.583,-68.475,8.384,-13.631,-119.276,13.702,-68.475
2010-12-31,-518.203,-123.38,-87.228,-210.608,332.006,249.593,-110.382,3.056,334.834,-448.624,73.592,5.825,38.446,0,0,6.842,124.705,202.384,-1.794,200.59,241.526,241.526,195.999,-3.28,634.835,328.686,-47.591,195.999
2010-09-30,243.254,43.448,31.685,75.133,-335.277,-88.052,46.375,11.644,-214.216,140.124,-28.283,-2.888,0,0,0,-2.885,-34.056,-200.665,4.345,-196.32,0.895,0.895,-64.659,0.522,-259.562,-137.328,16.238,-64.659
2010-06-30,274.94900,79.93200,55.54300,135.47500,3.27100,-161.54100,64.00700,-14.70000,-120.61800,308.50000,-45.30900,-2.93700,-38.44600,,,-3.95700,-90.64900,-1.71900,-2.55100,-4.27000,-242.42100,-242.42100,-131.34000,2.75800,-375.27300,-191.35800,31.35300,-131.34000
2010-03-31,163.459,41.069,25.098,66.167,-25.23,3.867,-74.409,-30.087,-72.882,184.154,-17.339,-0.701,-29.111,0,0,-2.486,-49.637,-1.061,2.837,1.776,-65.607,-65.607,-66.224,1.669,-128.386,-12.915,14.774,-66.224
2009-12-31,-393.473,-120.915,8.422,-112.493,237.209,1.945,79.225,28.634,322.693,-263.874,57.746,9.349,207.219,0,0,-4.175,270.139,2.582,-196.799,-194.217,5.57,5.57,195.55,-4.648,2.255,2.696,-26.998,195.55
2009-09-30,218.061,42.032,-69.668,-27.636,-213.13,58.405,-22.815,-19.024,-95.206,179.203,-21.203,-2.64,0,0,0,0.177,-23.666,-0.744,-103.518,-104.262,-0.703,-0.703,-65.533,6.669,-163.829,-6.054,7.159,-65.533
2009-06-30,175.41200,78.88300,61.24600,140.12900,-24.07900,-60.35000,-56.41000,-9.61000,-227.48700,84.67100,-36.54300,-6.70900,-207.21900,,,3.99800,-246.47300,-1.83800,300.31700,298.47900,-4.86700,-4.86700,-130.01700,-2.02100,161.57400,3.35800,19.83900,-130.01700
2009-03-31,100.434,34.448,30.006,64.454,-152.542,27.282,-109.748,28.066,-222.376,-35.363,-16.983,-1.84,-207.219,0,0,0.593,-225.449,-1.11,235.912,234.802,-6.74,-6.74,-64.966,-2.438,160.658,-105.416,11.668,-64.966
