,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2012-03-31,51.00000,108.00000,331.00000,439.00000,-286.00000,-129.00000,-21.00000,-492.00000,-2.00000,-28.00000,-44.00000,-50.00000,,-50.00000,-59.00000,-181.00000,-175.00000,20.00000,-155.00000,-42.00000,-42.00000,-102.00000,-13.00000,-312.00000,-479.00000,,-102.00000
2011-12-31,239,73,49,122,283,116,14,325,659,-95,25,25,0,25,-96,-141,-4,13,9,-214,-214,-149,-8,-362,156,34,-149
2011-09-30,342,116,14,130,118,-14,-17,71,525,-88,-4,225,0,225,36,169,7,-16,-9,-241,-241,-94,35,-309,319,0,-94
2011-06-30,372,119,10,129,-196,-34,20,-65,408,-77,-42,324,78,402,87,370,-401,14,-387,-76,-76,-121,-24,-608,186,0,-121
2011-03-31,259.00000,117.00000,-76.00000,41.00000,-312.00000,-142.00000,-56.00000,-484.00000,-156.00000,-39.00000,-10.00000,50.00000,,50.00000,-46.00000,-45.00000,-2.00000,-2.00000,-4.00000,-246.00000,-246.00000,-89.00000,-14.00000,-353.00000,-545.00000,,-89.00000
2010-12-31,228,118,-111,7,207,67,-22,367,612,-150,-16,-624,0,-624,-7,-797,983,-49,934,-234,-234,-146,36,590,411,0,-146
2010-09-30,292,116,-162,-46,11,-3,17,75,331,-47,0,0,0,0,42,-5,0,7,7,-143,-143,-93,11,-218,146,0,-93
2010-06-30,301,115,-23,92,-176,-15,47,98,421,-47,-2,0,0,0,-5,-54,0,-50,-50,-83,-83,-118,0,-251,95,0,-118
2010-03-31,59.00000,121.00000,67.00000,188.00000,-230.00000,-83.00000,-57.00000,-301.00000,-54.00000,-37.00000,-16.00000,0.00000,,,-40.00000,-93.00000,,-155.00000,-155.00000,20.00000,20.00000,-90.00000,,-225.00000,-368.00000,,-90.00000
2009-12-31,426,480,-43,437,345,232,104,482,585,-66,-2,0,0,0,3,-65,2,-178,-176,-47,-47,-139,0,-362,159,0,-139
2009-09-30,0,0,0,0,0,0,0,0,654,-44,-3,0,0,0,41,-6,-122,-595,-717,0,0,-107,0,-824,-154,0,-107
2009-06-30,0,0,0,0,0,0,0,0,397,-36,-10,0,0,0,2,-44,395,-155,240,0,0,-97,0,143,521,0,-97
2009-03-31,0.00000,,,,,,,,-291.00000,-50.00000,-11.00000,,,,-27.00000,-88.00000,26.00000,-19.00000,7.00000,,,-87.00000,,-80.00000,-490.00000,,-87.00000
