,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2015-06-30,721,825,175,1000,-126,-29,102,-61,39,1753,-2209,0,-29,-29,48,-2190,604,-305,299,614,614,-342,-52,519,82,-342
2015-03-31,650.00000,637.00000,161.00000,798.00000,118.00000,43.00000,-157.00000,-395.00000,-274.00000,1181.00000,-1566.00000,,-57.00000,-57.00000,59.00000,-1564.00000,649.00000,-22.00000,627.00000,16.00000,16.00000,-341.00000,-27.00000,275.00000,-108.00000,-341.00000
2014-12-31,884,778,-206,572,263,112,-147,196,76,1532,-1959,0,-24,-24,-300,-2283,-753,1364,611,576,576,-316,-28,843,92,-316
2014-09-30,664,872,278,1150,-112,-92,-46,-186,-294,1520,-1785,0,-42,-42,854,-973,603,-931,-328,15,15,-315,-56,-684,-137,-315
2014-06-30,491,695,385,1080,-61,-29,31,-207,-140,1431,-1153,0,-50,-50,-60,-1263,516,-232,284,17,17,-315,-20,-34,134,-315
2014-03-31,430.00000,551.00000,216.00000,767.00000,-90.00000,9.00000,162.00000,-341.00000,-180.00000,1017.00000,-1813.00000,,-30.00000,-30.00000,1.00000,-1842.00000,-62.00000,1157.00000,1095.00000,25.00000,25.00000,-315.00000,70.00000,875.00000,50.00000,-315.00000
2013-12-31,327,736,236,972,116,-12,-1,759,576,1712,-1858,0,6,6,-5,-1857,-209,-41,-250,427,427,-286,134,25,-120,-286
2013-09-30,698,690,53,743,-108,-22,-101,-371,-441,1140,-1505,0,-31,-31,55,-1481,547,-135,412,406,406,-279,-51,488,147,-279
2013-06-30,611,595,-27,568,-412,-22,182,85,33,1168,-1287,0,-31,-31,111,-1207,1737,-1353,384,1,1,-278,128,235,196,-278
2013-03-31,272.00000,500.00000,463.00000,963.00000,136.00000,-25.00000,42.00000,-242.00000,-220.00000,1082.00000,-1867.00000,,-9.00000,-9.00000,298.00000,-1578.00000,-300.00000,946.00000,646.00000,8.00000,8.00000,-279.00000,7.00000,382.00000,-114.00000,-279.00000
2012-12-31,429,452,193,645,61,-20,-57,301,1,835,-2772,0,26,26,319,-2427,2113,-421,1692,19,19,-252,216,1675,83,-252
2012-09-30,414,521,286,807,-202,27,13,42,-45,1229,-2659,0,-40,-40,219,-2480,1221,175,1396,14,14,-252,44,1202,-49,-252
2012-06-30,607,408,20,428,-204,12,63,-71,-85,1093,-2016,0,-71,-71,61,-2026,1252,-414,838,360,360,-252,7,953,20,-252
2012-03-31,461.00000,396.00000,-5.00000,391.00000,59.00000,-18.00000,-75.00000,-101.00000,-61.00000,835.00000,-2014.00000,,-33.00000,-33.00000,52.00000,-1995.00000,432.00000,582.00000,1014.00000,-7.00000,-7.00000,-248.00000,299.00000,1058.00000,-102.00000,-248.00000
2011-12-31,667,403,118,521,321,-39,-214,113,-110,957,-1107,0,-16,-16,266,-857,590,-586,4,-366,-366,-231,230,-363,-263,-231
2011-09-30,408,575,470,1045,-162,-55,-163,-55,-357,1126,-1457,0,-33,-33,-573,-2063,767,786,1553,6,6,-230,-39,1290,353,-230
2011-06-30,580,469,-69,400,-260,-196,298,-176,-65,1008,-1416,0,-27,-27,161,-1282,513,-328,185,15,15,-230,166,136,-138,-230
2011-03-31,268.00000,402.00000,285.00000,687.00000,250.00000,-18.00000,-105.00000,-115.00000,30.00000,983.00000,-1444.00000,,-43.00000,-43.00000,410.00000,-1077.00000,-51.00000,488.00000,437.00000,18.00000,18.00000,-229.00000,-9.00000,217.00000,123.00000,-229.00000
2010-12-31,263,529,503,1032,188,39,77,-99,-92,1065,-1773,0,-19,-19,64,-1728,508,-195,313,124,124,-207,-56,174,-489,-207
2010-09-30,721,604,-260,344,-253,-68,-258,250,-126,1021,-1316,0,-34,-34,77,-1273,1131,-881,250,115,115,-206,55,214,-38,-206
2010-06-30,417,454,-177,277,-288,25,382,-188,137,852,-1344,0,-3,-3,425,-922,618,-970,-352,57,57,-206,185,-316,-386,-206
2010-03-31,556.00000,486.00000,-499.00000,-13.00000,251.00000,26.00000,-22.00000,122.00000,318.00000,896.00000,-1413.00000,,-46.00000,-46.00000,98.00000,-1361.00000,698.00000,916.00000,1614.00000,12.00000,12.00000,-204.00000,20.00000,1442.00000,977.00000,-204.00000
2009-12-31,348,541,391,932,119,11,13,85,-10,1137,-1981,0,-43,-43,107,-1917,608,438,1046,12,12,-192,-12,854,74,-192
2009-09-30,533,500,268,768,-144,12,-158,-91,-286,1182,-1585,0,-11,-11,-1,-1597,-81,459,378,103,103,-192,14,303,-112,-192
2009-06-30,370,494,212,706,-181,-35,189,63,92,1101,-1369,0,-47,-47,91,-1325,-91,477,386,34,34,-191,-5,224,0,-191
2009-03-31,364.00000,469.00000,166.00000,635.00000,193.00000,97.00000,-130.00000,-266.00000,11.00000,1043.00000,-1071.00000,,-26.00000,-26.00000,1.00000,-1096.00000,1149.00000,-1220.00000,-71.00000,49.00000,49.00000,-191.00000,7.00000,-206.00000,-259.00000,-191.00000
