,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2017-12-31,1598,1719,-788,931,-951,-40,477,81,-48,2481,-1397,0,793,793,135,-469,-1282,-1282,-953,-953,-319,-32,-2586,-586,-319
2017-09-30,436,1697,-1069,628,-248,-12,-34,123,-9,1055,1910,0,70,70,28,2008,-2515,-2515,-972,-972,-324,-16,-3827,-623,-324
2017-06-30,-3426,1717,3350,5067,235,73,-49,-145,110,1751,9687,0,-2450,-2450,-40,7197,-3240,-3240,-980,-980,-331,-48,-4599,4425,-331
2017-03-31,599.00000,2074.00000,-845.00000,1229.00000,78.00000,-76.00000,-129.00000,10.00000,-38.00000,1790.00000,-931.00000,,-203.00000,-203.00000,160.00000,-974.00000,-839.00000,-839.00000,-158.00000,-158.00000,-331.00000,-16.00000,-1344.00000,-501.00000,-331.00000
2016-12-31,-19,2157,-385,1772,-292,22,-9,59,-310,1443,-132,0,178,178,7,53,-1412,-1412,-137,-137,-313,-44,-1906,-480,-313
2016-09-30,-1026,2533,-277,2256,15,45,-61,97,50,1280,-860,0,1063,1063,72,275,-12,-12,-7,-7,-314,-14,-347,1227,-314
2016-06-30,-1058,2441,-154,2287,548,-84,0,-60,30,1259,-905,0,-990,-990,-227,-2122,-763,-763,-3,-3,-313,-41,-1120,-2003,-313
2016-03-31,-1456.00000,2356.00000,-228.00000,2128.00000,549.00000,61.00000,-454.00000,9.00000,-251.00000,421.00000,-1686.00000,,-302.00000,-302.00000,-77.00000,-2065.00000,4530.00000,4530.00000,-42.00000,-42.00000,-313.00000,-38.00000,4137.00000,2498.00000,-313.00000
2015-12-31,-3437,2500,2757,5257,-103,7,-29,-16,-224,1596,-508,0,0,0,-118,-626,-11,-11,-13,-13,-923,-28,-975,-45,-923
2015-09-30,-1056,2393,6,2399,494,117,-260,102,591,1934,-2145,0,0,0,-104,-2249,-30,-30,-23,-23,-922,-15,-990,-1400,-922
2015-06-30,-164,2451,21,2472,51,-35,-254,-81,-334,1974,-2286,0,0,0,-180,-2466,2493,2493,-12,-12,-909,-17,1555,1149,-909
2015-03-31,286.00000,2252.00000,-415.00000,1837.00000,1368.00000,77.00000,-1104.00000,234.00000,-55.00000,2068.00000,-3159.00000,,,,-155.00000,-3314.00000,-57.00000,-57.00000,-34.00000,-34.00000,-910.00000,-18.00000,-1019.00000,-2398.00000,-910.00000
2014-12-31,-24,2398,881,3279,593,-31,-382,-1,-444,2811,-4187,0,362,362,254,-3571,1485,1485,8,8,-907,-44,542,-346,-907
2014-09-30,2727,2216,-982,1234,554,-59,-568,49,-90,3871,-3217,0,-101,-101,-184,-3502,-55,-55,-19,-19,-907,8,-973,-734,-907
2014-06-30,2098,2190,28,2218,370,-76,-366,-221,-765,3551,-4231,0,-71,-71,108,-4194,0,0,78,78,-856,-11,-789,-1378,-856
2014-03-31,2137.00000,2009.00000,1576.00000,3585.00000,-290.00000,-27.00000,353.00000,-17.00000,614.00000,6336.00000,-3847.00000,,63.00000,63.00000,86.00000,-3698.00000,-450.00000,-450.00000,-32.00000,-32.00000,-855.00000,-17.00000,-1354.00000,1274.00000,-855.00000
2013-12-31,2503,2010,-528,1482,-78,23,-86,89,-20,3965,2789,0,-264,-264,-264,2261,0,0,8,8,-853,-3028,-3873,2363,-853
2013-09-30,2496,2008,-624,1384,163,-122,-70,64,-175,3705,-2686,0,75,75,-107,-2718,-48,-48,17,17,-852,-202,-1085,-26,-852
2013-06-30,2063,1937,425,2362,410,-2,-134,-105,-684,3741,-3163,0,-51,-51,-201,-3415,-850,-850,5,5,-814,-186,-1845,-1513,-814
2013-03-31,2153.00000,1913.00000,-318.00000,1595.00000,249.00000,-177.00000,528.00000,-131.00000,982.00000,4730.00000,-2257.00000,,-23.00000,-23.00000,-153.00000,-2433.00000,-48.00000,-48.00000,-10.00000,-10.00000,-815.00000,543.00000,-330.00000,1804.00000,-815.00000
2012-12-31,1441,1865,936,2801,-104,209,79,137,-372,3870,-3408,0,0,0,479,-2929,614,614,55,55,-809,1542,1402,2350,-809
2012-09-30,1813,1750,254,2004,-1376,-23,829,208,-297,3520,-2757,0,0,0,-16,-2773,-1967,-1967,-111,-111,-808,2354,-532,224,-808
2012-06-30,2289,1683,-856,827,-552,-59,250,89,-766,2350,-3159,0,505,505,-261,-2915,831,831,-3041,-3041,-818,947,-2081,-2663,-818
2012-03-31,2955.00000,1676.00000,-645.00000,1031.00000,166.00000,83.00000,-55.00000,79.00000,196.00000,4182.00000,-2716.00000,,92.00000,92.00000,-386.00000,-3010.00000,-47.00000,-47.00000,-1863.00000,-1863.00000,-843.00000,-517.00000,-3270.00000,-2073.00000,-843.00000
2011-12-31,3410,1591,1487,3078,-829,-89,404,-77,-676,5812,-2229,0,2023,2023,1330,1124,-515,-515,-3152,-3152,-871,-149,-4687,2343,-871
2011-09-30,2631,1752,69,1821,697,-85,346,100,1161,5613,-3266,0,-29,-29,50,-3245,-41,-41,-3189,-3189,-900,-192,-4322,-2068,-900
2011-06-30,3419,1724,236,1960,-125,2762,-1206,223,895,6274,-2430,0,-424,-424,171,-2683,-5,-5,-3125,-3125,-917,-188,-4235,-667,-917
2011-03-31,3042.00000,2182.00000,-1187.00000,995.00000,-681.00000,-2669.00000,1753.00000,-546.00000,-2090.00000,1947.00000,-1097.00000,,-1170.00000,-1170.00000,56.00000,-2211.00000,-373.00000,-373.00000,-1561.00000,-1561.00000,-944.00000,-183.00000,-3061.00000,-3282.00000,-944.00000
2010-12-31,2053,1232,673,1905,1,2855,-419,609,2233,6191,1313,0,-982,-982,-1450,-1119,32,32,-2534,-2534,-799,-191,-3492,1458,-799
2010-09-30,3069,2356,-1740,616,-348,-497,507,-370,654,4339,3999,0,0,0,102,4101,-2838,-2838,-844,-844,-816,-189,-4687,3876,-816
2010-06-30,4183,2393,-3195,-802,-6,38,-502,309,94,3475,3802,0,0,0,38,3840,-2717,-2717,-364,-364,-816,-169,-4066,3265,-816
2010-03-31,2112.00000,2432.00000,-525.00000,1907.00000,677.00000,-2439.00000,396.00000,-398.00000,-979.00000,3040.00000,-1939.00000,,0.00000,,-218.00000,-2157.00000,347.00000,347.00000,9.00000,9.00000,-744.00000,-186.00000,-574.00000,313.00000,-744.00000
2009-12-31,1314,2505,636,3141,-1012,1346,702,568,639,5094,-2353,0,0,0,-153,-2506,-1795,-1795,24,24,-742,-174,-2687,-99,-742
2009-09-30,1487,2423,-1050,1373,-159,-53,-110,149,73,2933,-1892,0,0,0,-29,-1921,104,104,10,10,-697,-685,-1268,-247,-697
2009-06-30,875,2455,-362,2093,-1795,481,1549,-234,-401,2567,-2526,0,0,0,-56,-2582,989,989,0,0,-697,-203,89,86,-697
2009-03-31,816.00000,2334.00000,-416.00000,1918.00000,1860.00000,-1454.00000,-529.00000,-201.00000,-849.00000,1885.00000,-2820.00000,,,,-106.00000,-2926.00000,1931.00000,1931.00000,-21.00000,-21.00000,-696.00000,-203.00000,1011.00000,47.00000,-696.00000
