,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2020-06-30,545,272,-121,151,938,-185,-131,-44,578,1274,-416,-1141,575,-982,2136,-2368,-232,0,0,-410,6,-636,-321,35,-410
2020-03-31,743.00000,256.00000,101.00000,357.00000,-610.00000,-48.00000,206.00000,-364.00000,-816.00000,284.00000,-29.00000,,-26.00000,-55.00000,-1010.00000,2477.00000,1467.00000,-720.00000,-720.00000,-409.00000,117.00000,455.00000,624.00000,28.00000,-409.00000
2019-12-31,736,270,98,368,341,250,263,125,979,2083,-323,167,-69,-225,-225,-1113,-1338,-337,-337,-411,-15,-2101,-209,34,-411
2019-09-30,1431,260,-617,-357,-352,-74,171,17,-238,836,-55,-447,34,-468,795,-321,474,-203,-203,-375,57,-47,289,30,-375
2019-06-30,857,259,-138,121,705,-109,-291,-702,-397,581,-200,163,-7,-44,-427,143,-284,-294,-294,-376,114,-840,-294,39,-376
2019-03-31,920.00000,258.00000,79.00000,337.00000,-570.00000,-36.00000,-139.00000,-47.00000,-792.00000,465.00000,-265.00000,,42.00000,-223.00000,-745.00000,1815.00000,1070.00000,-646.00000,-646.00000,-380.00000,157.00000,201.00000,442.00000,32.00000,-380.00000
2018-12-31,762,198,-56,142,487,227,379,66,1159,2063,-23,1,0,-22,186,-1816,-1630,-370,-370,-379,57,-2322,-273,36,-379
2018-09-30,1197,206,-560,-354,-342,-191,182,211,-140,703,-161,0,0,-161,265,105,370,-473,-473,-323,30,-396,127,25,-323
2018-06-30,320,200,395,595,525,-202,-181,-282,-140,775,-239,-528,0,-767,1823,-718,1105,-650,-650,-327,32,160,116,39,-327
2018-03-31,1052.00000,207.00000,124.00000,331.00000,-413.00000,-38.00000,-144.00000,-381.00000,-976.00000,407.00000,-274.00000,,,-274.00000,-22.00000,1016.00000,994.00000,-527.00000,-527.00000,-330.00000,92.00000,229.00000,369.00000,28.00000,-330.00000
2017-12-31,703,212,-23,189,363,218,431,-108,904,1796,-261,88,0,-173,201,-1239,-1038,-388,-388,-329,42,-1713,-83,33,-329
2017-09-30,1006,209,-278,-69,-540,-55,4,189,-402,535,-189,347,0,158,-314,36,-278,-717,-717,-288,11,-1272,-553,27,-288
2017-06-30,500,195,-2,193,607,-86,13,-408,126,819,-168,169,0,1,-594,643,49,-608,-608,-289,94,-754,90,38,-289
2017-03-31,633.00000,200.00000,231.00000,431.00000,-454.00000,-95.00000,-443.00000,-629.00000,-1621.00000,-557.00000,-287.00000,,,-287.00000,-516.00000,1587.00000,1071.00000,-461.00000,-461.00000,-292.00000,60.00000,378.00000,-434.00000,39.00000,-292.00000
2016-12-31,69,208,551,759,296,183,552,-159,872,1700,-290,-218,0,-508,-120,208,88,-874,-874,-293,47,-1032,55,38,-293
2016-09-30,548,207,-57,150,-238,-58,176,223,103,801,-291,275,0,-16,268,-475,-207,-415,-415,-264,28,-858,-69,30,-264
2016-06-30,471,201,10,211,377,14,-184,-98,109,791,-189,0,0,-189,354,-238,116,-125,-125,-268,98,-179,417,42,-268
2016-03-31,557.00000,207.00000,72.00000,279.00000,-404.00000,-77.00000,-135.00000,-674.00000,-1290.00000,-454.00000,-316.00000,,,-316.00000,-539.00000,2246.00000,1707.00000,-1187.00000,-1187.00000,-269.00000,-44.00000,207.00000,-532.00000,30.00000,-269.00000
2015-12-31,-716,231,1355,1586,912,265,163,106,1446,2316,-309,42,-544,-811,586,-1327,-741,-619,-619,-272,19,-1613,-169,38,-272
2015-09-30,7268,206,-7018,-6812,-725,-133,545,698,385,841,-355,3417,-185,2877,-309,-2584,-2893,-871,-871,-241,32,-3973,81,32,-241
2015-06-30,427,225,220,445,415,-3,-366,-65,-19,853,-349,219,296,166,-478,826,348,-632,-632,-246,48,-482,123,30,-246
2015-03-31,312.00000,232.00000,363.00000,595.00000,-558.00000,-178.00000,317.00000,-770.00000,-1189.00000,-282.00000,-441.00000,-81.00000,939.00000,417.00000,-247.00000,2154.00000,1907.00000,-1500.00000,-1500.00000,-249.00000,27.00000,185.00000,204.00000,36.00000,-249.00000
2014-12-31,507,262,-102,160,347,437,368,594,1746,2413,-535,-7,0,-542,-1038,162,-876,-680,-680,-251,31,-1776,12,37,-251
2014-09-30,902,264,-562,-298,-233,-272,37,645,177,781,-402,0,0,-402,-883,630,-253,-300,-300,-237,51,-739,-461,36,-237
2014-06-30,642,271,51,322,375,-54,-85,-255,-19,945,-381,0,0,-381,-59,-326,-385,-252,-252,-238,72,-803,-251,33,-238
2014-03-31,150.00000,262.00000,489.00000,751.00000,-305.00000,-299.00000,67.00000,-941.00000,-1478.00000,-577.00000,-317.00000,,,-317.00000,1364.00000,-68.00000,1296.00000,-468.00000,-468.00000,-238.00000,40.00000,630.00000,-291.00000,35.00000,-238.00000
2013-12-31,1773,269,738,1007,592,386,823,631,2432,5212,-451,12,-29,-468,-2495,-991,-3486,-2107,-2107,-247,34,-5806,-1070,30,-247
2013-09-30,1018,276,-459,-183,-125,-165,140,95,-55,780,-460,0,27,-433,585,1177,1762,-701,-701,-232,18,847,1216,30,-232
2013-06-30,602,266,53,319,340,-177,76,-357,-118,803,-333,48,1,-284,-933,493,-440,-92,-92,-232,29,-735,-283,35,-232
2013-03-31,542.00000,266.00000,3.00000,269.00000,-315.00000,-160.00000,-246.00000,-475.00000,-1196.00000,-385.00000,-235.00000,-119.00000,56.00000,-298.00000,-746.00000,-66.00000,-812.00000,,,-232.00000,51.00000,-993.00000,-1716.00000,33.00000,-232.00000
2012-12-31,582,280,-630,-350,100,583,609,224,1516,1748,-248,200,-510,-558,-151,12,-139,0,0,-516,31,-624,602,27,-516
2012-09-30,659,356,1132,1488,-401,-198,280,-861,-1180,967,-489,0,4,-485,-801,17,-784,0,0,-517,3,-1298,-770,42,-517
2012-06-30,1034,352,82,434,449,-32,-200,374,591,2059,-405,0,5,-400,5067,-3068,1999,0,0,-511,-279,1209,2791,44,-511
2012-03-31,819.00000,357.00000,10.00000,367.00000,-747.00000,-482.00000,-184.00000,-624.00000,-2037.00000,-851.00000,-335.00000,,91.00000,-244.00000,-1837.00000,3134.00000,1297.00000,,,-514.00000,134.00000,917.00000,-122.00000,49.00000,-514.00000
2011-12-31,869,368,198,566,322,632,361,105,1420,2855,-484,0,0,-484,-1206,-607,-1813,0,0,-508,-11,-2332,-2,44,-508
2011-09-30,927,375,-217,158,-365,-241,343,547,284,1369,-619,0,0,-619,7,-332,-325,0,0,-518,-40,-883,-291,48,-518
2011-06-30,976,370,34,404,392,-253,-282,45,-98,1282,-381,0,0,-381,11,-577,-566,0,0,-510,321,-755,179,45,-510
2011-03-31,802.00000,372.00000,-103.00000,269.00000,-464.00000,-694.00000,-122.00000,-777.00000,-2057.00000,-986.00000,-244.00000,,,-244.00000,7.00000,1054.00000,1061.00000,,,-507.00000,241.00000,795.00000,-393.00000,44.00000,-507.00000
2010-12-31,547,421,552,973,-429,511,264,658,1004,2524,-646,-5,0,-651,-1627,421,-1206,89,89,-511,-72,-1700,193,42,-511
2010-09-30,760,340,436,776,-224,-445,121,-543,-1091,445,-399,343,24,-32,-487,25,-462,-135,-135,-508,0,-1105,-566,51,-508
2010-06-30,939,366,-329,37,664,-262,-326,-268,-192,784,-367,-256,-26,-649,-13,-602,-615,46,46,-503,72,-1000,-1024,41,-503
2010-03-31,1893.00000,313.00000,-1440.00000,-1127.00000,-176.00000,-163.00000,24.00000,-456.00000,-771.00000,-5.00000,-241.00000,-5891.00000,2.00000,-6130.00000,9426.00000,-708.00000,8718.00000,,,-653.00000,-72.00000,7993.00000,1777.00000,40.00000,-653.00000
2009-12-31,711,272,29,301,-427,326,477,427,803,1815,-531,35,-43,-539,-752,-907,-1659,-10,-10,-428,-75,-2172,-895,41,-428
2009-09-30,826,227,98,325,37,-5,-48,414,398,1549,-275,0,6,-269,-202,502,300,0,0,-429,65,-64,1265,39,-429
2009-06-30,829,217,320,537,122,210,-129,-272,-69,1297,-267,6,4,-257,-2,-186,-188,0,0,-429,14,-603,547,44,-429
2009-03-31,662.00000,215.00000,47.00000,262.00000,251.00000,-232.00000,-174.00000,-346.00000,-501.00000,423.00000,-207.00000,,33.00000,-174.00000,-9.00000,145.00000,136.00000,,,-426.00000,-4.00000,-294.00000,-60.00000,40.00000,-426.00000
