,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2018-09-30,930.2,75.7,-160.9,-85.2,-626.2,1095.7,380.7,873.2,1718.2,-61.4,-296.9,435.7,-1420.9,-985.2,-356.9,-1700.4,0,0,-39.3,-39.3,-13.5,0,-52.8,-35,15.5,0
2018-06-30,701.2,71.9,-11.2,60.7,-358,825.3,686.1,974.3,1736.2,-61,0,-168,-1825.1,-1993.1,278.5,-1775.6,0,0,0.5,0.5,0,0,0.5,-38.9,21.1,0
2018-03-31,729.80000,73.90000,66.80000,140.70000,-587.00000,1217.50000,65.00000,876.60000,1747.10000,-34.30000,,-175.80000,-2059.90000,-2235.70000,89.40000,-2180.60000,552.40000,552.40000,-36.60000,457.30000,-654.90000,,354.80000,-78.70000,17.40000,-654.90000
2017-12-31,580.3,79.9,31.6,111.5,524.6,-323.9,-297.4,-158.1,533.7,-44.5,0,1449.4,-1668.199,-218.799,-244.1,-507.4,-6.2,-6.2,-0.4,-0.4,0,0,-6.6,19,18.8,0
2017-09-30,214.8,83.3,49.5,132.8,-1102,789.6,1212.2,852.9,1200.5,-35.2,0,-575,-337.9,-912.9,-48.8,-996.9,-71.5,-71.5,-38,-38,0,0,-109.5,94.5,22.7,0
2017-06-30,372.7,80.5,-7.2,73.3,-328.8,755.5,322.5,472.2,918.2,-36.9,-18.1,-683.6,-813.4,-1497.0003,312.2,-1239.8,271.1,271.1,-2.7,-2.7,0,0,268.4,-53.2,23,0
2017-03-31,430.30000,78.60000,-19.90000,58.70000,-395.60000,613.70000,184.60000,615.40000,1104.40000,-23.80000,,536.80000,-1122.70000,-585.89970,-52.90000,-662.60000,-36.90000,-36.90000,-20.90000,-20.90000,-395.40000,,-453.20000,-11.40000,30.90000,-395.40000
2016-12-31,398.1,78.4,1,79.4,251.2,-479.8,142.5,-20.6,456.9,-51.2,0,2308,-2439.5004,-131.5,-157.5,-340.2,-6.3,-6.3,-28.9,-28.9,0,1.2,-34,82.7,20.6,0
2016-09-30,205.5,67,46.1,113.1,-453.3,410.2,480.9,385.9,704.5,-51.8,0,-706.1,-315.699,-1021.799,-61.6,-1135.2,489.4,489.4,-51.5,-51.5,0,1.3,439.2,8.7,22.5,0
2016-06-30,194.9,67.8,1,68.8,-234.1,490.5,393.5,488.8,752.5,-53.5,0,-1306.1,412,-894.0998,191.9,-755.7,-24.4,-24.4,-41.8,-41.8,0,0.1,-66.1,-69.2,29.3,0
2016-03-31,258.70000,63.50000,-4.50000,59.00000,-470.50000,718.70000,161.10000,501.10000,818.80000,-52.30000,,-1653.00000,1385.30000,-267.70020,70.40000,-249.60000,-6.80000,-6.80000,-70.30000,-70.30000,-519.00000,6.60000,-589.50000,-20.20000,12.80000,-519.00000
2015-12-31,349.9,70.4,2.3,72.7,78.3,-531.1,177.8,-290.1,132.5,-42.2,0,-39.9,144.202,104.302,-126.8,-64.7,-6.8,-6.8,-33.4,-33.4,0,1.8,-38.4,29.9,20.3,0
2015-09-30,286.5,69.6,35.9,105.5,-285.4,482.5,150.5,338.4,730.4,-31.4,0,-463,-208.5995,-671.5995,-9.8,-712.8,-26.1,-26.1,-66.8,-66.8,0,6.3,-86.6,-69.3,19.4,0
2015-06-30,368.5,67.8,-62,5.8,-151.7,197.6,402.2,284.6,658.9,-25.7,-752.7,641.1,-376.6006,264.4994,63.9,-450,-6.8,-6.8,-42.2,-42.2,0,2.4,-46.6,162.3,13.4,0
2015-03-31,295.60000,41.10000,-19.80000,21.30000,-264.90000,521.30000,117.20000,454.20000,771.10000,-20.80000,,-117.70000,-622.39990,-740.09990,64.50000,-696.40000,382.00000,382.00000,-65.90000,-65.90000,-403.60000,6.30000,-81.20000,-6.90000,13.10000,-403.60000
2014-12-31,370.2,44,-12,32,101.8,-577.1,125.8,-334.1,68.1,-33.1,0,521.9,-374.4004,147.4996,-126.7,-12.3,0,0,-36.7,-36.7,0,0,-36.7,17.8,13,0
2014-09-30,296.1,46.5,-23.9,22.6,-170.4,363.8,75.7,297.6,616.3,-27.5,0,448.1,-853.1998,-405.0999,-77.8,-510.4,-48.9,-48.9,-94.7,-94.7,0,2.1,-141.5,-35.5,8.6,0
2014-06-30,293.4,43,-24.6,18.4,-73.7,209.1,29.4,68.8,380.6,-27.6,0,-1245.6,36.2,-1209.4001,585.8,-651.2,344.7,344.7,-45.3,-45.3,0,0,299.4,29.4,14.6,0
2014-03-31,321.30000,41.80000,-102.10000,-60.30000,-226.50000,362.60000,113.90000,399.60000,660.60000,-14.00000,,-600.40000,1362.70000,762.30020,-411.30000,337.00000,,,-94.70000,-94.70000,-892.60000,10.70000,-976.60000,21.60000,15.20000,-892.60000
2013-12-31,299.8,49,-60.4,-11.4,131.7,-415.6,166.9,-136.5,151.9,-33.5,0,-126.4,242.899,116.499,-2.4,80.6,-150,-150,-108.6,-108.6,0,0,-258.6,-25.8,15.1,0
2013-09-30,232.4,60.5,-6.8,53.7,-168.7,263.3,195.8,324.7,610.8,-35.3,0,412.4,-837.1,-424.7,-53.3,-513.3,-58.1,-58.1,-38.1,-38.1,0,2.9,-93.3,4,14.7,0
2013-06-30,324.6,62.1,-114.6,-52.5,-44.5,150.3,124,143,415.1,-41,0,762.2,-1183.9,-421.7,109.5,-353.2,0,0,-75.4,-75.4,0,0.8,-74.6,-13.3,17.3,0
2013-03-31,308.60000,63.70000,-61.80000,1.90000,-235.10000,411.80000,105.10000,411.60000,722.10000,-26.90000,,-331.60000,-310.50000,-642.10000,98.40000,-570.60000,,,-51.30000,-51.30000,-175.60000,6.60000,-220.30000,-68.90000,17.80000,-175.60000
2012-12-31,249.1,66.7,-42.2,24.5,151.9,-455.9,82.4,-247.5,26.1,-43.1,0,404.7,262.7998,667.4998,-58.5,565.9,0,0,-4.1,-4.1,-601.3,0.2,-605.2,-13.1,17.6,-601.3
2012-09-30,277,70.6,-156.2,-85.6,-169.7,264.8,176.9,338.8,530.2,-28.8,0,-714.9,374.9998,-339.9002,-47.9,-416.6,-0.6,-0.6,-87.1,-87.1,-1.4,1.5,-87.6,26.7,14.3,-1.4
2012-06-30,118.6,70.9,22.8,93.7,-80.8,196.2,230.5,214.4,426.7,-23.5,0,-160.2,-157.4999,-317.6999,-11.9,-353.1,-18.6,-18.6,-45.3,-45.3,0,0,-63.9,9.5,14.7,0
2012-03-31,257.60000,72.90000,-58.90000,14.00000,-238.20000,469.60000,95.00000,436.80000,708.40000,-28.50000,,32.20000,-139.10000,-106.90000,74.30000,-61.10000,-363.30000,-363.30000,-37.20000,-37.20000,-251.00000,4.10000,-647.40000,0.30000,16.80000,-251.00000
2011-12-31,256.7,81.5,-14.5,67,136.3,-494.1,9.2,-321.0999,2.6,-24.5,0,147.8,-4.7998,143.0002,13.6,132.1,-2.3,-2.3,-150.1,-150.1,0,3.7,-148.7,-14.6,14.1,0
2011-09-30,150.7,81,65.1,146.1,-125.8,210.4,116,167.3999,464.2,-17,0,-356.5,-86.1001,-442.6001,-53.4,-513,479.2,479.2,-409.8,-409.8,0,0.3,69.7,20.6,11.9,0
2011-06-30,245.2,78.5,-7.6,70.9,-62.5,158.5,77,41.5,357.6,-17.4,0,-214.7,35.6001,-179.0999,112.4,-84.1,0,0,-280.4,-280.4,0,0.9,-279.5,-5.8,12.3,0
2011-03-31,362.90000,80.50000,-86.30000,-5.80000,-215.90000,386.30000,-19.60000,316.40000,673.50000,-17.00000,,-37.60000,-152.10010,-189.70010,-73.20000,-279.90000,,,-135.10000,-135.10000,-263.60000,1.50000,-397.20000,-3.40000,12.20000,-263.60000
2010-12-31,299.2,77,-63.7,13.3,63.9,-509.4,150.5,-311.1,1.4,-24.8,0,725.4,90.4995,815.8997,-101.2,689.9,0,0,-40.3,-40.3,-655.5,8,-687.8,3.9,10.7,-655.5
2010-09-30,261.6,82.7,-24.1,58.6,-101.8,204.1,18.5,153.2,473.4,-2.5,0,-165.8,-48.5998,-214.4001,47.1,-169.8,-214.3,-214.3,-92,-92,0,3.3,-303,1.2,11.5,0
2010-06-30,211.9,74.2,53.7,127.9,-52.9,186.7,162.8,194.7,534.5,-12.6,0,-260.1,-159.5,-419.5999,-45.4,-477.6,0,0,-60.5,-60.5,0,2.5,-58,-1.3,13.5,0
2010-03-31,295.60000,78.40000,-20.20000,58.20000,-369.50000,509.60000,42.40000,316.20000,670.00000,-16.80000,,-311.00000,-246.70000,-557.70000,45.50000,-529.00000,,,-38.60000,-38.60000,-108.20000,0.20000,-146.60000,-5.60000,10.20000,-108.20000
2009-12-31,305,73.1,-27.3,45.8,-47.6,-533.3,290.6,-279.1,71.7,-15.5,0,150,-19.2993,130.7007,-127.4,-12.2,0,0,-79.8,-79.8,0,6.8,-73,-11.8,12.3,0
2009-09-30,269.9,83.5,-24.5,59,-138.3,108.4,144.9,158.1,487,-11.8,0,-90.7,-445.9004,-536.6004,139.9,-408.5,0,0,-69.4,-69.4,0,2.7,-66.7,11.8,8.7,0
2009-06-30,250.1,81,-4.4,76.6,-32.4,130.9,110.7,60,386.7,-16.5,0,156.6,-467.1997,-310.5997,-23.4,-350.5,0,0,-11.5,-11.5,0,1.5,-10,26.2,10,0
2009-03-31,232.50000,80.50000,82.70000,163.20000,-104.20000,219.20000,-93.90000,145.70000,541.40000,-21.00000,,-140.30000,-10.50000,-150.80000,-235.60000,-407.40000,,,-1.10000,-1.10000,,-1.30000,-2.40000,131.60000,9.30000,0.00000
