,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2019-09-30,628.724,343.359,-37.261,306.0981,-22.247,-67.145,25.807,960.629,-212.565,-11.755,-113.522,-18.404,-131.926,71.908,-284.338,-2450.354,5871.098,3420.7421,-183.011,-183.011,-744.033,-2.535,2491.163,3167.454,-98.275
2019-06-30,572.101,371.83,22.363,394.1929,11.125,53.818,83.926,1050.22,-186.565,0,-13.945,-11.969,-25.914,24.316,-188.163,-2345.836,2435.278,89.4419,-176.418,-176.418,-729.663,-2.444,-819.083,42.974,-95.977
2019-03-31,631.94700,339.91800,-24.82400,315.09400,36.84200,-20.01300,-109.69400,837.34700,-216.78100,,-6.90500,-11.98000,-18.88500,122.10400,-113.56200,-2648.03400,2587.32400,-60.71000,-8.09400,-8.09400,-730.23200,-2.28200,-801.31800,-77.53300,-96.01000
2018-12-31,833.193,340.105,-180.117,159.9881,-45.186,-0.516,6.449,999.63,-12.711,-51.06,26.71,-11.514,15.196,21.525,-27.05,-2331.743,2078.066,-253.6759,-120.781,-120.781,-713.587,-65.918,-1153.963,-181.383,-94.126
2018-09-30,642.212,335.604,-36.554,299.05,-32.069,-46.915,-26.878,914.384,-251.283,11.276,-14.015,-22.587,-36.602,85.939,-190.67,-2202.095,2174.847,-27.2478,-0.082,-0.082,-713.023,-1.89,-742.243,-18.529,-93.581
2018-06-30,631.414,339.395,-45.323,294.072,-12.121,34.832,67.819,993.305,-161.918,0,-1.716,-18.437,-20.153,286.959,104.888,-1934.852,1964.75,29.8978,-83.465,-83.465,-695.508,-2.078,-751.153,347.04,-91.426
2018-03-31,715.52400,334.67200,-150.68000,183.99200,71.85800,-62.83900,-56.03900,843.47700,-172.75600,,-7.54200,-10.85900,-18.40100,67.48300,-123.67400,-2649.99500,1756.05600,-893.93910,-234.52600,-234.52600,-697.60900,-8.83100,-1834.90500,-1115.10200,-91.52300
2017-12-31,659.821,345.016,-23.663,321.353,-46.095,-57.257,-106.839,874.335,-224.835,-176.747,-17.152,-45.948,-63.1,70.059,-394.623,-2425.65,3596.995,1171.3399,-10.915,-10.915,-663.488,-2.745,494.192,973.904,-87.536
2017-09-30,592.634,336.727,-38.01,298.7171,-26.823,-46.399,18.519,909.87,-168.373,0,52.257,-17.766,34.491,17.148,-116.734,-2446.243,2321.898,-124.3453,-0.082,-0.082,-645.707,-3.211,-773.345,19.791,-85.325
2017-06-30,441.373,339.859,118.591,458.4499,-7.288,12.81,124.067,1023.89,-170.353,-80.205,0.337,-34.531,-34.194,209.904,-74.848,-3846.052,3880.682,34.6304,-247.065,-247.065,-629.239,-132.154,-973.828,-24.786,-82.835
2017-03-31,551.07500,335.74900,-6.20000,329.54900,54.03600,-42.09900,-94.93100,785.69300,-148.59500,,-4.17400,-58.92800,-63.10200,36.43500,-175.26200,-1738.72500,1868.45500,129.73000,-152.05700,-152.05700,-631.42700,-3.33600,-657.09000,-46.65900,-82.90600
2016-12-31,455.603,355.9,148.172,504.072,-39.712,-52.013,-119.755,839.92,-221.268,0,12.922,-59.823,-46.901,60.916,-207.253,-4673.75,4778.7,104.9482,-251.05,-251.05,-597.31,-143.943,-887.355,-254.688,-78.591
2016-09-30,587.939,329.4,-68.121,261.279,-3.003,25.062,-10.395,838.823,-193.612,-171.739,-4.495,-79.535,-84.03,168.45,-280.931,-10116.2906,10087.51,-28.7817,-4.381,-4.381,-597.085,2.822,-627.426,-69.534,-78.595
2016-06-30,527.325,324.847,-0.28,324.567,-14.331,56.47,121.601,973.493,-185.388,-268.876,-0.837,-68.255,-69.092,237.771,-285.585,3569.2846,-3592.168,-22.8833,0.788,0.788,-579.766,-6.842,-608.703,79.205,-76.168
2016-03-31,563.83900,317.79900,-64.42000,253.37900,73.32300,-73.31600,-96.76000,720.45800,-161.63900,0.63300,-3.79900,-104.54700,-108.34600,74.09500,-195.25700,-3429.41400,3592.16800,162.75390,-0.95200,-0.95200,-579.80900,-3.25200,-421.25900,103.94200,-83.07400
2015-12-31,459.918,318.525,77.796,396.3209,-45.758,-35.274,-50.382,805.857,-215.059,0,39.634,-96.512,-56.878,81.664,-190.273,-4194.304,4121.747,-72.56,-502.429,3.262,-579.04,-122.973,-771.311,-155.727,-83.111
2015-09-30,492.495,305.44,-9.674,295.7661,-14.75,-46.562,-52.739,735.522,-283.9,-179.5,-31.707,-79.753,-111.46,156.219,-418.641,-5809.2739,6346.923,537.6491,-0.082,-0.082,-560.953,-2.291,-25.677,291.204,-80.515
2015-06-30,554.527,312.582,-115.436,197.146,0.94,-2.185,56.836,808.509,-259.722,-548.976,447.303,-130.234,317.069,148.592,-343.037,2287.3549,-1966.685,320.6698,-2.966,-508.657,-543.984,-1.576,-733.547,-268.075,-77.78
2015-03-31,632.43500,302.66700,-229.37300,73.29400,69.48600,-38.65600,-30.93200,674.79700,-229.22800,-682.40500,-10.74100,-23.42900,-34.17000,435.03400,-510.76900,-1395.79700,1966.68500,570.88810,-0.49900,-0.49900,-510.14900,-2.81800,57.42200,221.45000,-73.53800
2014-12-31,475.992,312.15,-20.528,291.6221,-52.092,-10.947,30.584,798.198,-329.652,0,-67.68,-84.011,-151.691,175.491,-305.852,-1165.276,941.778,-223.4975,0.399,0.399,-473.763,-1.2,-698.062,-205.716,-68.886
2014-09-30,296.963,302.92,83.853,386.7729,-18.285,-8.861,-22.651,661.085,-101.05,0,-314.307,-39.988,-354.295,176.324,-279.021,-1809.797,1280.04,-529.7572,-14.486,-14.486,-473.73,-211.91,-1229.883,-847.819,-68.896
2014-06-30,477.468,340.152,-147.876,192.276,0.589,-33.756,-60.058,609.686,-158.379,0,-3.99,-69.966,-73.956,147.417,-84.918,1045.057,-405.16,639.8969,0.011,0.011,-472.948,-39.279,127.681,652.449,-68.153
2014-03-31,401.10300,330.56200,-20.46300,310.09900,63.05800,-12.00500,-49.75100,661.45100,-207.65500,-80.05700,-5.21100,-45.86100,-51.07200,111.30900,-227.47500,-2390.03500,1810.49600,-579.53890,-0.08200,-0.08200,-454.80200,-103.04800,-1137.47100,-703.49500,-65.70500
2013-12-31,449.303,341.235,-33.711,307.524,-36.466,16.524,15.276,772.103,-212.632,-557.906,-4.172,-29.721,-33.893,253.556,-550.875,-2084.915,2919.364,834.4491,-0.082,-0.082,-436.001,-2.052,396.314,617.542,-62.741
2013-09-30,367.294,338.361,-31.595,306.766,-27.721,-35.001,21.884,695.944,-234.287,-62.061,-20.095,-76.015,-96.11,112.956,-279.502,898.856,-896.457,2.399,-0.035,-0.035,-417.847,2.533,-412.95,3.492,-60.126
2013-06-30,400.525,331.38,-74.331,257.049,-27.674,10.676,24.862,682.436,-194.384,-195.01,26.269,-21.744,4.525,279.385,-105.484,-144.14,253.759,109.6189,0.095,0.095,-417.65,-3.153,-311.089,265.863,-59.963
2013-03-31,334.46800,321.97400,-42.34700,279.62700,77.92300,-22.21200,-63.58200,550.51300,-199.90600,-51.56400,1.37600,-15.66900,-14.29300,253.53600,-12.22700,-1115.99200,642.69800,-473.29390,0.12100,0.12100,-417.14000,-2.52500,-892.83800,-354.55200,-59.76600
2012-12-31,370.496,360.994,-33.485,327.5089,-62.294,-64.212,-12.078,685.927,-212.756,-44.947,410.931,-55.771,355.16,65.901,163.358,-6259.166,6772.443,513.277,0.125,0.125,-398.815,-232.066,-117.479,731.806,-57.688
2012-09-30,306.371,320.121,4.747,324.868,-23.087,-20.422,-3.284,627.955,-245.841,0,-168.635,58.648,-109.987,-2.052,-357.88,4666.152,-4491.738,174.414,-248.192,-248.192,-381.412,-0.672,-455.862,-185.787,-62.07
2012-06-30,260.936,321.687,-1.495,320.192,2.953,22.817,45.108,626.236,-219.582,-72.379,-4.007,21.445,17.438,63.681,-210.842,-725.1,435.594,-289.506,-0.179,-0.179,-365.157,-2.602,-657.444,-242.05,-61.107
2012-03-31,781.82900,298.50200,-504.73000,-206.22800,77.61300,-71.94800,-2.64700,572.95400,-124.24800,-3527.22900,-7.24500,-61.74400,-68.98900,545.15900,-3175.30700,-2242.44800,4056.14400,1813.69600,1214.08600,1214.08600,-337.94100,-5.58900,2684.25200,81.89900,-57.90700
2011-12-31,441.931,293.385,-122.167,171.218,-52.668,25.153,-106.403,506.746,-146.126,-78.204,-31.787,229.764,197.977,154.831,128.478,-21.8721,0,-21.8721,3.158,3.158,-391.091,-2.586,-412.391,222.833,-67.024
2011-09-30,333.781,274.638,-86.556,188.0821,-23.376,55.755,79.23,601.093,-135.906,-1150.141,6.866,-8.698,-1.832,18.448,-1269.431,946.0191,-205.946,740.0731,0.329,0.329,-283.807,-2.153,454.442,-213.896,-47.933
2011-06-30,250.522,270.136,-4.985,265.1509,-3.271,-92.319,-69.93,445.743,-103.752,-11.976,-1.398,-3.986,-5.384,280.052,158.94,-372.441,205.946,-166.495,1.467,1.467,-283.768,-2.224,-451.02,153.663,-48.248
2011-03-31,219.66600,274.27900,-1.49000,272.78900,59.94500,-47.51300,-40.15000,452.30500,-59.71100,,-8.83000,-2.76300,-11.59300,59.27500,-12.02900,-295.20000,,-295.20000,0.35900,0.35900,-283.57500,-22.52800,-600.94400,-160.66800,-48.29200
2010-12-31,267.076,284.634,8.509,293.143,-37.548,-34.852,-90.481,469.738,-62.419,0,-1.218,-403.425,-404.643,90.515,-376.547,-17.889,0,-17.889,0.723,0.723,-283.464,-7.417,-308.047,-214.856,-48.319
2010-09-30,280.532,257.314,-111.448,145.866,-28.421,90.486,81.913,508.311,-65.215,-892.878,-1.244,-30.723,-31.967,417.779,-572.281,-815.104,0,-815.104,-0.029,-0.029,-211.746,-190.819,-1217.698,-1281.668,-35.164
2010-06-30,185.152,240.223,-16.753,223.47,18.357,-69.353,-79.85,328.772,-65.898,-56.383,19.156,-150.826,-131.67,-4.591,-258.542,-881.0941,0,-881.0941,3.237,-7.757,-210.17,-4.609,-1103.63,-1033.4,-35.146
2010-03-31,20.75400,233.85600,166.15500,400.01100,49.75600,-26.66900,27.62400,448.38900,-62.78000,,-6.67600,-4.41000,-11.08600,34.54100,-39.32500,-654.91190,,-654.91190,0.23500,0.23500,-211.74800,-173.71500,-1040.14000,-631.07600,-34.61800
2009-12-31,115.933,244.165,130.312,374.477,-46.053,10.326,-111.174,379.236,-63.151,0,29.67,-90.635,-60.965,75.829,-48.287,-63.5647,0,-63.5647,2.852,2.852,-47.736,-10.475,-118.924,212.025,-6.921
2009-09-30,139.189,253.493,11.412,264.905,-3.401,-11.559,49.563,453.657,-73.413,0,45.853,-3.581,42.272,44.379,13.238,706.3156,0,706.3156,-0.203,-0.203,-47.179,-8.567,650.367,1117.262,-6.848
2009-06-30,-14.108,254.227,154.173,408.4,27.5,13.735,58.517,452.809,-102.617,0,-91.789,-4.893,-96.682,-19.432,-218.731,528.7682,0,528.7682,1113.922,1026.233,-46.793,-12.183,1496.025,1730.103,-6.812
2009-03-31,146.24800,257.60500,14.70600,272.31100,59.41900,-40.59100,16.25900,434.81800,-137.09400,,-42.60200,-8.09500,-50.69700,22.58000,-165.21100,-629.45200,,-629.45200,525.65700,525.65700,-32.45700,-8.57100,-144.82300,124.78400,-5.07700
