,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2020-06-30,126.562,24.083,3.571,27.654,31.175,-5.407,-13.086,-5.839,29.021,183.237,-16.229,-0.632,0.727,-16.134,-372.976,-372.976,10.615,10.615,0,-362.361,-196.308,4.423
2020-03-31,98.11500,24.13100,0.67700,24.80800,39.90600,-20.67400,-15.05000,-4.21100,-57.40800,65.51500,-18.83500,-5.61000,-10.00800,-34.45300,280.94900,280.94900,-192.86500,-192.86500,-0.80000,87.28400,115.80000,4.39500
2019-12-31,192.749,22.456,18.468,40.924,-54.504,12.891,33.438,7.378,-31.964,201.709,-25.54,0,2.939,-22.601,111.381,111.381,-206.585,-206.585,0,-95.204,87.251,5.002
2019-09-30,129.395,22.287,1.381,23.668,-13.578,-0.646,-9.443,2.035,22.813,175.876,-26.896,-1.5,-2.873,-31.269,40.815,40.815,-186.09,-186.09,0,-145.275,-3.905,4.463
2019-06-30,127.16,21.949,4.396,26.345,-8.736,-3.756,-11.89,-3.07,-26.435,127.07,-21.151,-0.504,-6.028,-27.683,75.04,75.04,-177.483,-177.483,1.753,-100.69,-2.041,4.338
2019-03-31,111.80500,21.98900,-10.45700,11.53200,45.41000,-13.09200,-24.32600,-6.67800,-24.54200,98.79500,-22.33200,,4.80200,-17.53000,31.06100,31.06100,-157.26000,-157.26000,-10.00000,-136.19900,-51.63000,4.48200
2018-12-31,181.186,21.241,4.347,25.588,-45.557,5.029,41.424,-0.241,-8.202,198.572,-45.68,-0.565,1.899,-44.346,-4.279,-4.279,-108.927,-108.927,-0.25,-113.456,40.662,5.074
2018-09-30,126.653,21.139,0.971,22.11,-8.492,-6.265,-13.178,0.019,0.911,149.674,-31.8,-4.462,-7.822,-44.084,-32.086,-32.086,-113.933,-113.933,-0.029,-146.048,-45.742,4.269
2018-06-30,111.468,21.419,0.258,21.677,-19.793,-4.252,8.876,-1.575,7.05,140.195,-31.789,0,3.738,-28.051,95.258,95.258,-114.458,-114.458,-1.635,-20.835,84.241,3.882
2018-03-31,93.30400,20.89200,-3.33100,17.56100,54.30200,-15.70700,-3.45100,2.41900,-34.30100,76.56400,-25.26700,-0.50000,3.30400,-22.46300,5.39800,5.39800,-113.08100,-113.08100,,-107.68300,-49.73800,4.35400
2017-12-31,76.976,20.698,81.766,102.464,-40.876,9.916,17.742,-3.725,-14.35,165.09,-40.064,0,2.838,-37.226,-92.61,-92.61,-59.665,-59.665,0,-152.275,-20.399,4.759
2017-09-30,104.95,19.218,0.113,19.331,-21.65,-2.432,1.319,-2.291,21.577,145.858,-37.069,-107.748,4.749,-140.068,93.874,93.874,-78.669,-78.669,0,15.205,22.752,4.03
2017-06-30,101.58,18.202,1.841,20.043,0.252,-5.369,3.438,1.81,16.155,137.778,-27.308,-0.697,-1.345,-29.35,-5.092,-5.092,-116.218,-116.218,-7.205,-128.515,-18.559,3.971
2017-03-31,92.46600,18.01100,-1.05200,16.95900,23.28900,-15.79500,-10.61400,-2.04500,-41.82600,67.59900,-11.01200,,0.31200,-10.70000,62.85100,62.85100,-116.79600,-116.79600,,-53.94500,6.21900,3.82200
2016-12-31,137.776,18.102,17.576,35.678,-56.872,7.426,21.617,3.849,-20.009,153.445,-72.661,-1.7,1.428,-72.933,57.521,57.521,-119.714,-119.714,0,-62.193,12.541,4.445
2016-09-30,101.332,17.498,1.493,18.991,-0.468,0.172,-3.311,-0.039,24.613,144.936,-22.233,-105.352,0.956,-126.629,131.199,131.199,-118.775,-118.775,0,12.424,31.487,3.612
2016-06-30,79.588,16.649,6.21,22.859,-23.421,-9.762,13.232,-2.066,18.425,120.872,-14.427,0,-1.053,-15.48,17.93,17.93,-116.941,-116.941,-0.555,-99.566,4.051,3.593
2016-03-31,65.67400,16.54600,0.27500,16.82100,28.61000,-10.26700,-21.90500,-1.45300,-40.99000,41.50500,-14.21300,-4.32900,2.12800,-16.41400,104.94600,104.94600,-119.09100,-119.09100,-0.12500,-14.27000,11.70800,3.65600
2015-12-31,123.351,16.131,15.665,31.796,-24.498,8.229,7.053,-5.521,-5.176,149.971,-25.082,-2.81,0.148,-27.744,-27.724,-27.724,-116.021,-116.021,-2.352,-146.097,-24.412,3.875
2015-09-30,88.861,16.087,2.739,18.826,4.359,-8.355,2.238,1.361,18.354,126.041,-20.679,-10.669,7.248,-24.1,-4.416,-4.416,-119.654,-119.654,-0.01,-124.08,-26.01,3.367
2015-06-30,77.557,15.991,1.742,17.733,-16.415,-0.956,6.334,-1.142,9.899,105.189,-17.299,-0.1,-4.427,-21.826,106.017,106.017,-115.536,-115.536,-0.017,-9.536,73.95,3.485
2015-03-31,63.05100,15.82900,1.36900,17.19800,38.17900,-17.70300,-13.92700,0.18300,-21.65300,58.59600,-18.49700,-0.20000,-8.38400,-27.08100,73.51000,73.51000,-114.19900,-114.19900,0.44100,-40.24800,-9.90400,3.49600
2014-12-31,121.172,15.758,32.305,48.063,-35.821,8.722,19.478,-5.322,-28.561,140.674,-27.685,-2.399,-0.059,-30.143,-31.483,-31.483,-110.522,-110.522,-7.761,-149.766,-41.048,3.827
2014-09-30,84.996,15.793,-0.244,15.549,3.346,-4.291,-7.722,7.724,26.716,127.261,-24.151,-0.13,0.263,-24.018,21.041,21.041,-107.485,-107.485,-0.051,-86.495,15.299,3.281
2014-06-30,74.022,15.737,-4.482,11.255,-1.533,-0.19,21.092,1.479,22.855,108.132,-20.297,-2.864,0.154,-23.007,0.757,0.757,-95.898,-95.898,5.074,-90.067,-4.792,3.302
2014-03-31,58.05100,15.51400,-1.95200,13.56200,41.50000,-13.54300,-26.55000,0.51100,-28.76800,42.84500,-16.52700,-0.39100,-0.23500,-17.15300,52.65000,52.65000,-79.04800,-79.04800,4.49500,-21.90300,3.93000,3.20100
2013-12-31,110.162,15.676,19.083,34.759,-62.836,10.866,24.109,4.973,-36.408,108.513,-25.346,-2.448,-1.224,-29.018,11.921,11.921,-73.808,-73.808,1.61,-60.277,19.652,3.651
2013-09-30,74.326,15.252,0.969,16.221,21.258,-11.192,-4.008,2.323,32.236,122.783,-20.126,0,0,-20.126,-61.689,-61.689,-69.128,-69.128,-0.634,-131.451,-27.995,3.136
2013-06-30,69.062,14.373,0.833,15.206,-8.067,-3.141,5.546,-6.972,6.692,90.96,-17.684,-0.213,0,-17.897,22.157,22.157,-67.064,-67.064,-0.424,-45.331,27.008,3.047
2013-03-31,52.54400,14.00300,-0.77900,13.22400,20.65000,-5.01700,-25.35200,1.28200,-42.09600,23.67200,-18.98200,,,-18.98200,52.62500,52.62500,-65.23100,-65.23100,-0.22700,-12.83300,-8.49300,2.80500
2012-12-31,104.633,14.729,7.48,22.209,-28.946,18.627,10.976,-3.585,-15.116,111.726,-31.214,0,0,-31.214,-27.533,-27.533,-65.081,-65.081,8.314,-84.3,-3.672,3.961
2012-09-30,72.183,13.387,1.101,14.488,-3.459,6.372,-1.13,4.948,17.258,103.929,-20.868,-0.557,0,-21.425,-44.352,-44.352,-69.162,-69.162,-0.079,-113.593,-29.392,3.27
2012-06-30,61.704,13.688,0.266,13.954,-17.412,13.532,0.504,4.203,15.594,91.252,-24.638,-1.541,0,-26.179,-12.8,-12.8,-71.619,-71.619,-0.315,-84.734,-21.426,2.651
2012-03-31,52.32700,12.97400,1.84800,14.82200,41.05700,8.30000,-38.23100,-1.98300,-46.35200,20.79700,-18.44200,,,-18.44200,-32.99900,-32.99900,-50.88300,-50.88300,0.11200,-83.77000,-79.40900,3.30300
2011-12-31,94.282,13.385,9.477,22.862,-35.577,18.037,3.34,7.872,-13.928,103.216,-33.911,-0.711,0,-34.622,-73.362,-73.362,-23.818,-23.818,3.036,-94.144,-26.872,3.435
2011-09-30,68.196,13.311,0.031,13.342,-22.508,-4.69,17.337,-9.402,2.573,84.111,-23.889,-19.199,-0.021,-43.109,-46.976,-46.976,-52.394,-52.394,-6.6,-105.97,-66.29,3.113
2011-06-30,60.188,11.796,-2.002,9.794,-10.483,-11.39,13.331,0.804,17.047,87.029,-20.704,-0.931,0.02,-21.615,-75.053,-75.053,-53.48,-53.48,2.738,-125.795,-59.339,2.535
2011-03-31,46.82700,11.00500,-5.78000,5.22500,14.60400,-22.23800,-6.45700,0.42500,-45.52800,6.52400,-17.51100,-14.53200,-0.90200,-32.94500,17.29600,17.29600,-54.11600,-54.11600,2.26000,-34.56000,-59.47500,3.18700
2010-12-31,80.852,11.654,12.53,24.184,-37.624,1.197,16.588,-10.848,-42.027,63.009,-35.186,9.243,-0.108,-26.051,343.457,343.457,-82.993,-82.993,5.958,266.422,304.693,3.334
2010-09-30,62.081,11.463,-0.491,10.972,-6.704,-17.981,5.627,-6.934,12.959,86.012,-18.706,0,0,-18.706,36.497,36.497,-73.14,-73.14,-2.711,-39.354,31.293,3.042
2010-06-30,51.347,10.583,-1.432,9.151,-14.646,-12.61,11.615,-0.318,14.266,74.764,-9.277,-0.029,0,-9.306,0.433,0.433,-37.234,-37.234,-1.931,-38.732,25.708,2.994
2010-03-31,37.86800,10.82800,0.31800,11.14600,3.94900,-11.02300,-2.13400,-2.00700,-4.52000,44.49400,-10.42400,-12.52800,,-22.95200,4.65200,4.65200,-26.17600,-26.17600,1.11100,-20.41300,0.85200,3.01500
2009-12-31,69.438,10.818,21.059,31.877,-28.636,-2.501,10.44,0.995,-57.185,44.13,-23.293,-14.45,0,-37.743,-35.5,-35.5,-0.993,-0.993,1.164,-35.329,-28.917,3.1
2009-09-30,41.545,10.81,-2.745,8.065,8.094,-2.292,6.064,-2.931,29.971,79.581,-12.564,0,0,-12.564,-76.448,-76.448,1.464,1.464,0.468,-74.516,-5.778,2.735
2009-06-30,27.731,10.118,-4.115,6.003,12.247,7.106,4.277,-2.25,40.289,74.023,-11.519,0,0,-11.519,-75.478,-75.478,1.649,1.649,-2.497,-76.326,-11.044,2.631
2009-03-31,33.87900,9.73200,-1.03700,8.69500,45.36600,5.50400,-30.19700,-1.61500,-7.70300,34.87100,-10.58400,-0.17000,,-10.75400,26.05000,26.05000,2.96000,2.96000,-0.28200,28.72800,52.69700,2.90100
