,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2018-03-31,0.00000,,,,,,,,1800.00000,-757.00000,,-199.00000,,-199.00000,,-956.00000,-332.00000,-332.00000,-461.00000,-461.00000,-48.00000,-1.00000,-842.00000,2.00000,,-48.00000
2017-12-31,1282,2017,2308,4325,-190,0,-830,-721,437,-2145,0,735,0,735,853,-557,379,379,-243,-243,-48,-13,75,-45,90,-48
2017-09-30,0,0,0,0,0,0,0,0,369,-851,0,1239,-203,1036,0,185,-177,-177,-359,-359,-48,-15,-599,-45,0,-48
2017-06-30,0,0,0,0,0,0,0,0,1688,-1199,0,-195,0,-195,0,-1394,311,311,-529,-529,-51,-3,-272,22,0,-51
2017-03-31,0.00000,,,,,,,,2250.00000,-1682.00000,,-188.00000,,-188.00000,,-1870.00000,213.00000,213.00000,-484.00000,-484.00000,-51.00000,-27.00000,-349.00000,31.00000,,-51.00000
2016-12-31,2584,1699,1858,3557,-160,0,254,401,627,-1395,0,335,0,335,0,-1060,1016,1016,-569,-569,-52,-25,370,-63,100,-52
2016-09-30,0,0,0,0,0,0,0,0,1064,-1180,0,309,0,309,0,-871,499,499,-695,-695,-53,-9,-258,-65,0,-53
2016-06-30,0,0,0,0,0,0,0,0,2213,-1478,0,-179,0,-179,0,-1657,1169,1169,-1711,-1711,-58,-5,-605,-49,0,-58
2016-03-31,0.00000,,,,,,,,2620.00000,-1553.00000,,-561.00000,,-561.00000,,-2114.00000,1190.00000,1190.00000,-1525.00000,-1525.00000,-61.00000,-5.00000,-401.00000,105.00000,,-61.00000
2015-12-31,7610,1487,-2650,-1163,352,0,-711,-186,228,-1518,0,1956,0,1956,0,438,214,214,-1435,-1435,-72,1,-1292,-626,284,-72
2015-09-30,0,0,0,0,0,0,0,0,1180,-1481,0,3528,-3384,144,0,-1337,1753,1753,-1480,-1480,-66,14,221,64,0,-66
2015-06-30,0,0,0,0,0,0,0,0,2347,-1712,0,-3217,3436,219,0,-1493,-131,-131,-750,-750,-70,1,-950,-96,0,-70
2015-03-31,0.00000,,,,,,,,2494.00000,-1405.00000,,-1797.00000,,-1797.00000,,-3202.00000,1020.00000,1020.00000,-181.00000,-181.00000,-70.00000,-7.00000,762.00000,54.00000,,-70.00000
2014-12-31,2882,1342,539,1881,-160,0,-1636,-1686,804,-1296,0,510,0,510,0,-786,543,543,-906,-906,-72,233,-202,-184,304,-72
2014-09-30,0,0,0,0,0,0,0,0,-361,-1313,0,1535,0,1535,0,222,238,238,-127,-127,-72,68,107,-32,0,-72
2014-06-30,0,0,0,0,0,0,0,0,1381,-1625,0,221,0,221,0,-1404,-334,-334,56,56,0,252,-26,-49,0,0
2014-03-31,0.00000,,,,,,,,1256.00000,-1044.00000,,-206.00000,,-206.00000,307.00000,-943.00000,-277.00000,-277.00000,-75.00000,-75.00000,,158.00000,-194.00000,119.00000,,
2013-12-31,-1834,1020,1949,2969,-93,0,-362,-384,-1212,-613,206,1685,0,1685,0,1278,178,178,0,0,0,179,357,423,39,0
2013-09-30,0,0,0,0,0,0,0,0,17,-595,0,-512,0,-512,0,-1107,897,897,0,0,0,306,1203,113,0,0
2013-06-30,0,0,0,0,0,0,0,0,1170,-919,0,-1978,0,-1978,0,-2897,1366,1366,0,0,0,359,1725,-2,0,0
2013-03-31,0.00000,,,,,,,,700.00000,-859.00000,,-229.00000,,-229.00000,,-1088.00000,-233.00000,-233.00000,,,,747.00000,514.00000,126.00000,,
2012-12-31,-1876,1001,2028,3029,-222,0,-117,110,-282,-670,0,303,0,303,0,-367,-29,-29,0,0,0,650,621,-28,29,0
2012-09-30,0,0,0,0,0,0,0,0,-155,-419,0,815,0,815,0,396,-389,-389,0,0,0,285,-104,137,0,0
2012-06-30,0,0,0,0,0,0,0,0,655,-450,0,-165,0,-165,0,-615,-288,-288,0,0,0,244,-44,-4,0,0
2012-03-31,0.00000,,,,,,,,1067.00000,-226.00000,,-759.00000,,-759.00000,,-985.00000,-314.00000,-314.00000,,,,324.00000,10.00000,92.00000,,
2011-12-31,-1979,1075,1062,2137,-164,0,473,498,397,-372,0,10,0,10,0,-362,-233,-233,0,0,0,177,-56,-21,40,0
2011-09-30,0,0,0,0,0,0,0,0,-307,-481,0,849,0,849,0,368,1441,1441,-1717,-1717,0,201,-75,-14,0,0
2011-06-30,0,0,0,0,0,0,0,0,-55,-396,0,653,0,653,0,257,-2025,-2025,1717,1717,0,138,-170,32,0,0
2011-03-31,0.00000,,,,,,,,708.00000,-365.00000,,-1190.00000,,-1190.00000,,-1555.00000,841.00000,841.00000,,,,124.00000,965.00000,118.00000,,
2010-12-31,-471,1093,279,1372,29,-81,354,283,151,-558,0,24,0,24,0,-534,-165,-165,1,1,0,513,349,-34,43,0
2010-09-30,0,0,0,0,0,0,0,0,-83,-668,0,546,0,546,0,-122,-219,-219,0,0,0,429,210,5,0,0
2010-06-30,0,0,0,0,0,0,0,0,717,-415,0,-531,0,-531,0,-946,-74,-74,-1,-1,0,312,237,8,0,0
2010-03-31,0.00000,,,,,,,,456.00000,-317.00000,,-111.00000,,-111.00000,,-428.00000,-154.00000,-154.00000,1.00000,1.00000,,161.00000,8.00000,36.00000,,
2009-12-31,-1468,1104,889,1993,43,-79,504,393,4,-355,0,-306,0,-306,1,-660,73,73,31,31,0,534,638,-18,61,0
2009-09-30,0,0,0,0,0,0,0,0,-12,-493,0,-1323,0,-1323,5,-1811,1188,1188,382,382,0,233,1803,-20,0,0
2009-06-30,0,0,0,0,0,0,0,0,479,-431,0,62,0,62,2,-367,-108,-108,0,0,0,0,-108,4,0,0
2009-03-31,0.00000,,,,,,,,459.00000,-166.00000,,236.00000,,236.00000,45.00000,115.00000,-579.00000,-579.00000,,,,1.00000,-578.00000,-4.00000,,
