,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2014-12-31,167,97,138,235,105,-27,-3,151,556,-105,-10,-3,0,0,-14,-132,1145,-750,395,2,2,0,-224,173,591,34,0
2014-09-30,138,103,148,251,-81,-6,2,8,397,-81,-8,0,0,0,-1,-90,-5,233,228,-549,-549,-50,0,-371,-67,34,-50
2014-06-30,178,103,47,150,-88,-10,11,-86,242,-89,-9,-1,0,0,-10,-109,-4,1,-3,-191,-191,0,0,-194,-59,37,0
2014-03-31,124.00000,102.00000,37.00000,139.00000,-47.00000,1.00000,4.00000,10.00000,273.00000,-50.00000,-9.00000,3.00000,,,,-56.00000,-93.00000,349.00000,256.00000,-418.00000,-418.00000,,,-162.00000,50.00000,28.00000,
2013-12-31,115,113,82,195,46,13,-35,4,314,-70,-8,3,3,3,-3,-75,-558,148,-410,-65,-65,-1,-35,-511,-271,31,-1
2013-09-30,172,137,-35,102,-13,-5,-4,24,298,-54,-10,-1,0,0,-1,-66,493,-182,311,-130,-130,-47,0,134,372,20,-47
2013-06-30,129,132,10,142,-47,-10,12,-111,160,-46,-11,0,1,1,0,-56,-137,44,-93,-38,-38,0,0,-131,-26,20,0
2013-03-31,-1.00000,132.00000,57.00000,189.00000,-23.00000,-20.00000,2.00000,-69.00000,119.00000,-39.00000,-6.00000,,,,2.00000,-43.00000,6.00000,-101.00000,-95.00000,5.00000,5.00000,,,-90.00000,-22.00000,17.00000,
2012-12-31,-98,132,84,216,16,-41,28,46,164,-45,-8,-1,12,12,-3,-45,-306,100,-206,6,6,0,-9,-209,-85,16,0
2012-09-30,131,128,-39,89,1,-20,-7,-28,192,-92,-7,27,0,0,1,-71,-64,-196,-260,3,3,-1,0,-258,-135,12,-1
2012-06-30,-74,139,171,310,-45,-12,0,33,269,-73,-7,-2,0,0,0,-82,-4,1,-3,-37,-37,-39,0,-79,55,15,-39
2012-03-31,-11.00000,134.00000,-3.00000,131.00000,30.00000,12.00000,5.00000,-23.00000,97.00000,-39.00000,-7.00000,,,,1.00000,-45.00000,-355.00000,325.00000,-30.00000,2.00000,2.00000,,,-28.00000,39.00000,9.00000,
2011-12-31,-173,151,96,247,-40,-14,31,-108,-34,-40,-5,11,-2,-2,3,-33,-12,-1,-13,1,1,0,0,-12,-122,10,0
2011-09-30,311,152,-297,-145,-19,-50,11,-35,131,-44,-1,0,1,1,0,-44,-232,-594,-826,-57,-57,0,0,-883,-2,21,0
2011-06-30,97,143,-45,98,25,-30,121,-114,81,-69,-2,0,0,0,0,-71,-183,202,19,9,9,-67,0,-39,-28,0,-67
2011-03-31,201.00000,145.00000,-148.00000,-3.00000,2.00000,-10.00000,-112.00000,-201.00000,-3.00000,-53.00000,-2.00000,,1.00000,1.00000,,-54.00000,-2.00000,10.00000,8.00000,,,,,8.00000,-13.00000,,
2010-12-31,-96,184,125,-110,68,-38,35,-62,149,-76,-3,-5,-26,-1,-7,-85,-1,-91,100,-2,-2,1,0,-93,-54,12,-1
2010-09-30,376,155,-450,-295,83,-26,54,71,152,-59,-2,-8,26,26,0,-43,-397,-100,-497,450,450,-1,0,-48,120,0,-1
2010-06-30,-350,160,387,547,31,2,-70,-122,75,-47,-1,0,0,0,0,-48,-1,-2,-3,0,0,0,0,-3,-28,0,0
2010-03-31,-336.00000,185.00000,298.00000,483.00000,-73.00000,70.00000,-176.00000,-164.00000,-17.00000,-45.00000,-1.00000,-47.00000,,,,-93.00000,-12.00000,1.00000,-11.00000,,,,,-11.00000,-171.00000,,
2009-12-31,-153,818,-32,786,0,0,0,-302,-701,-71,0,123,0,19,-8,63,0,207,-287,0,0,-29,0,-109,-755,0,0
2009-09-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
