,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2016-09-30,2004,567,277,844,-252,374,61,888,3717,-635,-11,-785,0,-785,8,-1423,821,-750,71,-628,-629,-1084,-37,-1679,610,67,-1084
2016-06-30,2013,563,168,731,-700,-225,53,102,2802,-508,16,295,0,295,1,-196,-1832,2348,516,-582,-582,-1022,-5,-1093,1522,54,-1022
2016-03-31,945.00000,481.00000,428.00000,909.00000,-349.00000,-530.00000,-255.00000,-1477.00000,305.00000,-364.00000,55.00000,-1103.00000,,-1103.00000,,-1412.00000,1281.00000,471.00000,1752.00000,-454.00000,-456.00000,-1038.00000,-101.00000,157.00000,-972.00000,69.00000,-1038.00000
2015-12-31,1733,772,89,861,1092,330,107,1260,4089,-1272,-61,-928,0,-928,-2,-2263,2954,-1388,1566,-1624,-1626,-1032,-262,-1354,398,87,-1032
2015-09-30,543,569,1706,2275,-244,288,107,1322,4014,-594,-7,21,0,21,-568,-1148,1220,-834,386,-992,-993,-1035,-17,-1659,1136,64,-1035
2015-06-30,1994,579,131,710,-874,-448,-2,-84,2491,-547,-1,73,0,73,-3,-478,2485,-1490,995,-927,-928,-995,39,-889,1152,68,-995
2015-03-31,1231.00000,496.00000,29.00000,525.00000,-435.00000,-414.00000,-262.00000,-1506.00000,270.00000,-259.00000,59.00000,520.00000,,520.00000,,320.00000,-2052.00000,3737.00000,1685.00000,-953.00000,-954.00000,-978.00000,37.00000,-210.00000,276.00000,76.00000,-978.00000
2014-12-31,1326,831,59,890,1239,370,98,1588,3813,-1264,10,3008,0,3008,-13,1741,488,-4136,-3648,-1611,-1614,-985,10,-6237,-1148,90,-985
2014-09-30,2018,632,97,729,-28,341,134,1343,4021,-601,13,-1926,0,-1926,-2,-2516,-531,591,60,-828,-832,-993,-7,-1772,-325,67,-993
2014-06-30,1987,630,82,712,-1196,-416,82,-136,2491,-531,31,-3439,0,-3439,0,-3939,1371,-577,794,-740,-741,-864,14,-797,-2232,68,-864
2014-03-31,1227.00000,532.00000,195.00000,727.00000,-358.00000,-406.00000,-234.00000,-1636.00000,181.00000,-348.00000,61.00000,59.00000,,59.00000,5.00000,-223.00000,338.00000,2125.00000,2463.00000,-1078.00000,-1080.00000,-888.00000,47.00000,542.00000,464.00000,72.00000,-888.00000
2013-12-31,1754,848,-694,154,1174,341,105,1168,3026,-1240,-68,69,0,69,-8,-1247,-930,977,47,-828,-830,-876,5,-1654,171,84,-876
2013-09-30,1923,630,288,918,-174,322,85,835,3647,-565,-23,-4,0,-4,0,-592,685,-565,120,-845,-846,-881,-1,-1608,1411,70,-881
2013-06-30,2025,634,-126,508,-913,-308,-40,16,2313,-586,142,-44,0,-44,-13,-501,-755,906,151,-28,-30,-846,25,-700,1078,72,-846
2013-03-31,1085.00000,551.00000,161.00000,712.00000,-175.00000,-351.00000,-201.00000,-1061.00000,702.00000,-295.00000,-30.00000,40.00000,,40.00000,,-285.00000,1301.00000,-153.00000,1148.00000,-177.00000,-179.00000,-831.00000,35.00000,173.00000,418.00000,77.00000,-831.00000
2012-12-31,1667,852,8,860,1050,378,172,1034,3361,-1268,-92,82,0,82,1,-1277,-300,733,433,-696,-698,-835,-42,-1142,988,85,-835
2012-09-30,1913,636,72,708,-216,409,113,1084,3871,-492,-34,-62,0,-62,-2,-590,2151,-2520,-369,-691,-693,-844,34,-1872,1446,68,-844
2012-06-30,1501,646,121,767,-1013,-377,1,-280,1937,-560,-310,-11,0,-11,0,-881,-1025,2116,1091,-842,-844,-810,-12,-575,378,69,-810
2012-03-31,1133.00000,555.00000,-859.00000,-304.00000,-71.00000,-266.00000,-197.00000,-1404.00000,-690.00000,-299.00000,-23.00000,52.00000,,52.00000,13.00000,-257.00000,2724.00000,-1790.00000,934.00000,132.00000,131.00000,-816.00000,34.00000,283.00000,-582.00000,56.00000,-816.00000
2011-12-31,1402,860,1295,2155,977,135,27,241,3110,-1339,329,100,0,100,-13,-923,0,247,247,-339,-341,-808,-90,-992,984,104,-808
2011-09-30,2011,690,-9,681,-152,276,90,508,3481,-719,-89,-34,0,-34,-1,-843,-836,318,-518,-1111,-1112,-819,5,-2444,170,76,-819
2011-06-30,1905,664,44,708,-1220,-665,-7,-442,1973,-776,-33,-63,0,-63,-1,-873,1470,-1379,91,49,47,-761,-1302,-1925,-749,74,-761
2011-03-31,1144.00000,523.00000,-53.00000,470.00000,-271.00000,-77.00000,-137.00000,-1151.00000,380.00000,-421.00000,-2456.00000,63.00000,-164.00000,-101.00000,-1.00000,-2979.00000,-1.00000,1117.00000,1116.00000,-143.00000,-145.00000,-769.00000,24.00000,226.00000,-2281.00000,72.00000,-769.00000
2010-12-31,1361,747,195,942,1019,52,158,291,2660,-1557,-927,-172,-463,-635,-5,-2224,1750,-897,853,-222,-224,-760,27,-104,366,108,-760
2010-09-30,1930,611,-443,168,-293,184,125,1283,3346,-684,-10,-3,0,-3,-2,-699,-48,38,-10,-874,-875,-767,26,-1626,1048,72,-767
2010-06-30,1613,593,473,1066,-839,-269,-41,-437,2201,-673,-19,-35,0,-35,-7,-734,-19,2313,2294,-2376,-2377,-739,17,-805,580,72,-739
2010-03-31,1434.00000,376.00000,-1073.00000,-697.00000,-155.00000,309.00000,-98.00000,-374.00000,241.00000,-258.00000,-2848.00000,-2.00000,,-2.00000,-3.00000,-4011.00000,4209.00000,1028.00000,5237.00000,-468.00000,-469.00000,-712.00000,-135.00000,3921.00000,6.00000,47.00000,-712.00000
2009-12-31,1437,552,206,758,647,145,-144,161,2393,-965,-216,25,0,25,0,-1156,-38,-21,-59,226,223,-700,26,-510,689,68,-700
2009-09-30,1733,398,10,408,30,256,141,936,2911,-396,-66,13,0,13,0,-449,-33,-770,-803,70,69,-701,-18,-1453,1040,51,-701
2009-06-30,1668,371,-11,360,-375,-245,79,-187,1758,-419,-77,10,0,10,0,-486,-103,-556,-659,26,24,-662,1,-1296,26,54,-662
2009-03-31,1141.00000,314.00000,-1006.00000,-692.00000,-114.00000,-139.00000,-203.00000,-646.00000,-266.00000,-290.00000,-27.00000,7.00000,,7.00000,,-310.00000,1005.00000,329.00000,1334.00000,91.00000,90.00000,-669.00000,7.00000,762.00000,124.00000,54.00000,-669.00000
