,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2013-03-31,3898.00000,807.00000,2063.00000,2870.00000,-2699.00000,17285.00000,7385.00000,21971.00000,25021.00000,-594.00000,-41093.00000,9865.00000,-31228.00000,3556.00000,-28266.00000,-925.00000,-3834.00000,-4759.00000,,575.00000,-34.00000,2758.00000,-1460.00000,-5303.00000,-34.00000
2012-12-31,1224,531,-1798,-1267,-3298,-20169,-13962,-37429,-17926,-1516,67894,-2357,65537,-15623,48398,-18942,2863,-16079,-1,2249,-39,-14084,-27953,2651,-39
2012-09-30,493,752,5292,6044,222,-3783,2625,-936,3431,460,-14974,11495,-3479,-1052,-4071,-20428,-9784,-30212,0,0,-33,30333,88,-125,-33
2012-06-30,2986,774,2383,3157,-1891,-10334,9389,-2836,-5320,-778,28895,-2876,26019,-859,24382,-22056,2837,-19219,0,0,-37,8292,-10964,7422,-37
2012-03-31,3057.00000,738.00000,2049.00000,2787.00000,3861.00000,-5442.00000,906.00000,-675.00000,9453.00000,-681.00000,-28165.00000,-2758.00000,-30923.00000,-6770.00000,-38374.00000,-15443.00000,1920.00000,-13523.00000,-4.00000,-4.00000,-34.00000,39889.00000,26328.00000,-2196.00000,-34.00000
2011-12-31,998,778,2729,3507,1427,18834,14810,35071,33975,-741,5077,-8877,-3800,-24127,-28668,-9058,-11195,-20253,0,0,-38,17530,-2761,-249,-38
2011-09-30,3743,807,2500,3307,2149,-1744,12387,12792,25975,-599,-4680,17515,12835,-595,11641,-16743,-7071,-23814,1874,1874,-27,-15034,-37001,1184,-27
2011-06-30,3403,775,2623,3398,-1926,-3278,1228,-3976,3806,-519,7422,22645,30067,-4301,25247,-27049,-5733,-32782,0,0,-38,444,-32376,-76,-38
2011-03-31,3071.00000,708.00000,3939.00000,4647.00000,-629.00000,21454.00000,-29224.00000,-8399.00000,1039.00000,-266.00000,-1166.00000,-23008.00000,-24174.00000,7448.00000,-16992.00000,-5999.00000,-1068.00000,-7067.00000,1875.00000,1875.00000,-4.00000,20688.00000,15492.00000,-130.00000,-4.00000
2010-12-31,1471,-665,4401,3736,5814,6875,-10841,1848,11405,-595,-12366,18684,6318,6963,12686,-7466,-10068,-17534,-1,-1,-9,-5147,-22691,1630,-9
2010-09-30,2227,156,5045,5201,-1637,-16682,-16843,-35162,-17320,215,10709,-25170,-14461,4619,-9627,-6155,-3894,-10049,1875,1875,0,36082,27908,1633,0
2010-06-30,2725,658,5904,6562,-250,24824,-11373,13201,6183,277,2745,-9420,-6675,32278,25880,-19261,658,-18603,-4,-4,0,-14561,-33168,-969,0
2010-03-31,4460.00000,2719.00000,7550.00000,10269.00000,-1444.00000,-7874.00000,35132.00000,25814.00000,35418.00000,359.00000,3889.00000,-16638.00000,-12749.00000,26788.00000,14398.00000,-9351.00000,-33885.00000,-43236.00000,1874.00000,1874.00000,,-8115.00000,-49477.00000,206.00000,0.00000
2009-12-31,-7484,1592,-423,1169,-106,4564,-44119,-39661,-41088,-692,50316,-52099,-1783,34935,32460,-20269,4148,-16121,20298,20298,-2,3296,7471,-1010,-2
2009-09-30,151,400,8712,9112,-785,-4618,-7186,-12589,6905,501,-35108,5377,-29731,17481,-11749,13061,-35646,-22585,-1,-1,-696,27858,4576,-433,-696
2009-06-30,4245,810,12009,12819,69,-5225,-11266,-16422,-12046,3480,-23517,-17950,-41467,11970,-26017,2210,-10195,-7985,-1,-1,-1465,42021,32570,-4148,-1465
2009-03-31,1577.00000,24.00000,9351.00000,9375.00000,-889.00000,5761.00000,-26977.00000,-22105.00000,-8381.00000,750.00000,10828.00000,2566.00000,13394.00000,28330.00000,42474.00000,-8657.00000,-10302.00000,-18959.00000,-1.00000,-1.00000,-1074.00000,-11577.00000,-31611.00000,1810.00000,-1074.00000
