,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2017-12-31,-353.172,27.753,51.832,79.585,-77.371,26.948,26.241,489.953,465.771,192.184,-30.216,0,0,-101.5479,0,-101.5479,-131.764,39.85,39.85,-61.834,-61.834,-2.391,-24.375,38.512,9.368
2017-09-30,136.104,25.844,10.112,35.956,11.413,-7.048,11.736,-33.965,-17.864,154.196,-19.899,0,0,-90.237,0,-90.237,-110.136,45.19,45.19,-65.269,-65.269,2.871,-17.208,36.552,12.274
2017-06-30,131.822,29.455,8.179,37.634,6.835,-8.696,15.27,-5.814,7.595,177.051,-17.647,-5,0,-174.156,0,-174.156,-196.803,44.948,44.948,-56.738,-56.738,1.868,-9.922,-17.189,9.139
2017-03-31,105.55700,22.95000,19.82300,42.77300,35.11000,-10.47300,-50.07200,51.31400,25.87900,174.20900,-17.71100,,,-72.33800,-7.00000,-79.33800,-97.04900,39.98800,39.98800,-50.91400,-50.91400,-1.43800,-12.36400,78.81300,8.65500
2016-12-31,174.378,24.085,5.604,29.689,-71.192,19.841,36.021,-14.834,-30.164,173.903,-22.671,0,0.045,-26.618,0,-26.618,-49.244,45.121,45.121,-80.218,-80.218,-0.876,-35.973,75.422,8.394
2016-09-30,124.856,24.287,20.551,44.838,7.153,-14.985,11.921,-25.188,-21.099,148.595,-18.6,0,-5.654,-146.749,0,-146.749,-171.003,24.916,24.916,-34.232,-34.232,-1.994,-11.31,-33.173,8.367
2016-06-30,128.217,24.646,7.191,31.837,-5.936,-4.515,2.532,6.782,-1.137,158.917,-25.044,0,0,-44.804,0,-44.804,-69.848,39.761,39.761,-61.822,-61.822,-7.341,-29.402,46.995,8.396
2016-03-31,94.05200,23.43100,21.20000,44.63100,38.25400,-20.48800,-43.63200,48.68800,22.82200,161.50500,-24.65200,,,-173.17100,,-173.17100,-197.82300,50.17700,50.17700,-87.29800,-87.29800,-1.89500,-39.01600,-71.27800,15.84100
2015-12-31,151.054,23.092,30.764,53.856,-56.775,15.521,23.217,-20.267,-38.304,166.606,-27.762,-3,-14.086,-60.3821,0,-60.3821,-105.23,40.146,40.146,-56.482,-56.482,-8.295,-24.631,28.147,8.411
2015-09-30,116.281,21.757,8.249,30.006,-8.955,-7.81,26.521,-16.95,-7.194,139.093,-21.803,0,0,-8.198,0,-8.198,-30.001,69.879,69.879,-79.982,-79.982,0.737,-9.366,93.643,8.347
2015-06-30,105.657,22.589,5.869,28.458,-9.119,-7.677,3.231,-7.591,-21.156,112.959,-23.883,0,-9.408,-174.771,0,-174.771,-208.062,74.981,74.981,-66.425,-66.425,3.166,11.722,-74.923,8.155
2015-03-31,96.06100,22.54900,11.28300,33.83200,24.96100,-20.00100,-25.51800,45.25500,24.69700,154.59000,-21.41000,,,-35.03600,,-35.03600,-56.44600,20.07300,20.07300,-79.75600,-79.75600,-0.59100,-60.27400,18.62100,8.45500
2014-12-31,151.292,23.681,32.761,56.442,-53.023,20.828,-17.574,3.757,-46.012,161.722,-19.122,-13.326,-3.336,-43.8221,0,-43.8221,-79.606,35.237,35.237,-45.312,-45.312,7.638,-2.437,65.209,8.538
2014-09-30,113.497,29.426,8.211,37.637,-5.282,-5.254,9.614,-22.373,-23.295,127.839,-26.286,-1.8,-20.057,-100.52,0,-100.52,-148.663,36.603,36.603,-73.782,-73.782,-1.932,-39.111,-71.723,8.107
2014-06-30,96.529,20.782,8.736,29.518,-1.277,-7.395,5.764,-16.807,-19.715,106.332,-22.756,0,0,-31.056,0,-31.056,-53.812,61.299,61.299,-87.251,-87.251,0.578,-25.374,33.309,8.224
2014-03-31,70.30200,20.34200,8.10900,28.45100,30.14700,-24.16300,-11.49100,22.50900,17.00200,115.75500,-21.39500,,-3.61500,-94.93900,,-94.93900,-119.94900,8.75800,8.75800,-57.25000,-57.25000,8.19300,-40.29900,-45.41400,8.12900
2013-12-31,141.582,21.44,17.737,39.177,-57.818,19.393,-3.441,4.398,-37.468,143.291,-25.634,0,-14.961,-94.7681,0,-94.7681,-135.363,29.585,29.585,-41.894,-41.894,9.778,-2.531,9.795,7.723
2013-09-30,98.048,20.571,3.274,23.845,-3.381,-9.96,19.421,-23.208,-17.128,104.765,-31.54,0,-26.434,-73.4289,0,-73.4289,-131.403,25.852,25.852,-38.819,-38.819,3.986,-8.981,-24.044,8.678
2013-06-30,89.314,19.422,6.279,25.701,9.467,-7.982,1.233,-8.711,-5.993,109.022,-30.639,0,0,-76.871,0,-76.871,-107.51,34.677,34.677,-58.02,-58.02,4.848,-18.495,-17.003,7.876
2013-03-31,121.05900,18.26200,8.24300,26.50500,16.49900,-12.84000,-45.34000,21.91500,-19.76600,127.79800,-30.63700,,,-59.81600,,-59.81600,-90.45300,55.45100,55.45100,-93.88900,-93.88900,3.85700,-34.58100,-8.98700,7.43100
2012-12-31,175.944,17.606,-43.257,-25.651,-45.342,25.628,19.534,-18.46,-18.64,131.653,-31.701,0,0,34.158,0,34.158,2.457,30.078,30.078,-53.011,-53.011,9.794,-13.139,124.742,7.496
2012-09-30,99.109,20.622,8.381,29.003,-0.423,-7.231,-0.235,-18.87,-26.759,101.353,-26.128,0,-12.602,-69.44,0,-69.44,-108.17,46.349,46.349,-61.364,-61.364,-1.844,-16.859,-13.136,7.306
2012-06-30,97.724,16.034,7.674,23.708,-10.083,-11.27,2.57,2.427,-16.356,105.076,-31.386,0,0,-96.341,0,-96.341,-127.727,77.738,77.738,-99.109,-99.109,-3.171,-24.542,-57.757,7.114
2012-03-31,88.66600,14.56900,6.42200,20.99100,16.01200,-18.05700,-21.30600,24.89200,1.54100,111.19800,-15.53400,,-18.41400,-29.00600,,-29.00600,-62.95400,32.05200,32.05200,-53.52500,-53.52500,9.47800,-11.99500,43.19600,7.26700
2011-12-31,137.147,16.342,1.703,18.045,-22.568,37.528,0.092,-20.182,-5.13,150.062,-34.092,0,-0.1,-127.0701,0,-127.0701,-161.262,19.254,19.254,-58.384,-58.384,16.661,-22.469,-39.936,6.934
2011-09-30,101.257,16.6,6.678,23.278,2.849,-10.184,20.715,-10.582,2.798,127.333,-16.072,0,-11,6.4721,0,6.4721,-20.6,135.402,135.402,-141.452,-141.452,-7.176,-13.226,79.012,6.882
2011-06-30,100.075,17.285,6.857,24.142,-10.539,-18.698,-5.816,8.054,-26.999,97.218,-18.433,0,0,-34.574,0,-34.574,-53.007,45.83,45.83,-51.75,-51.75,8.443,2.523,48.054,6.748
2011-03-31,94.48900,16.16000,9.78200,25.94200,17.73000,-17.35300,-26.83600,28.78900,2.33000,122.76100,-16.83900,,,-104.26800,,-104.26800,-121.10700,24.29100,24.29100,-59.09600,-59.09600,7.55500,-27.25000,-11.63800,7.01500
2010-12-31,126.604,17.04,1.026,18.066,-22.573,-1.265,15.706,-2.451,-10.583,134.087,-15.463,0,0,-63.615,0,-63.615,-79.078,-26.188,-26.188,22.335,22.335,2.49,-1.363,45.706,6.294
2010-09-30,94.719,15.232,8.085,23.317,-7.861,-10.602,3.954,5.415,-9.094,108.942,-26.048,0,0,-130.717,0,-130.717,-156.765,35.385,35.385,-57.403,-57.403,3.286,-18.732,-48.092,6.244
2010-06-30,84.922,15.301,6.894,22.195,-6.622,-9.035,18.637,1.575,4.555,111.672,-11.064,0,0,-48.421,0,-48.421,-59.485,44.476,44.476,-64.473,-64.473,-1.681,-21.678,13.872,6.283
2010-03-31,75.51800,14.98500,7.63300,22.61800,-6.23000,-16.13400,13.72000,13.66300,5.01900,103.15500,-10.16500,,,-106.02200,,-106.02200,-116.18700,80.61000,80.61000,-96.16700,-96.16700,-2.92200,-18.47900,-44.09900,6.03100
2009-12-31,104.123,14.7,47.733,62.433,-28.975,11.796,-11.736,-17.782,-46.697,119.859,-13.397,0,0,-101.415,0,-101.415,-114.812,-12.878,-12.878,-43.225,-43.225,5.75,-50.353,-49.306,6.498
2009-09-30,75.936,13.665,6.014,19.679,13.915,-0.035,25.735,-10.66,28.955,124.57,-22.645,0,0,-40.495,0,-40.495,-63.14,13.894,13.894,-44.123,-44.123,-3.823,-34.052,31.972,7.251
2009-06-30,69.907,14.496,16.337,30.833,-7.387,-0.792,-0.451,1.036,-7.594,93.146,-35.598,0,0,-104.117,0,-104.117,-139.715,42.697,42.697,-42.028,-42.028,7.489,8.158,-29.708,7.158
2009-03-31,73.34700,14.41100,7.52300,21.93400,5.54200,-17.79200,-24.37800,22.03500,-14.59300,80.68800,-22.15600,,-36.08600,-43.11900,,-43.11900,-101.36100,48.04000,48.04000,-62.90200,-62.90200,0.82900,-14.03300,-40.36900,7.34800
