,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2019-12-31,453,216,104,320,172,-60,147,-85,167,937,-146,-939,62,62,-11,-1034,409,-159,250,-25,-25,-294,-2,-71,-179,-294
2019-09-30,602,226,-43,183,0,0,0,287,287,1083,-143,-34,89,89,-34,-122,0,0,0,-523,-523,-298,-3,-824,137,-298
2019-06-30,636,221,48,269,0,0,0,-13,-13,880,-149,-243,-237,-237,-13,-642,448,0,448,-255,-255,-307,-14,-128,109,-307
2019-03-31,522.00000,221.00000,28.00000,249.00000,,,,-198.00000,-198.00000,551.00000,-149.00000,,16.00000,16.00000,65.00000,-68.00000,27.00000,,27.00000,-160.00000,-160.00000,-302.00000,-36.00000,-471.00000,20.00000,-302.00000
2018-12-31,632,223,133,356,-152,-242,23,-56,-403,820,-154,0,26,26,-14,-142,242,0,242,-670,-670,-285,0,-713,-44,-285
2018-09-30,416,223,-75,148,0,0,0,544,544,1000,-131,0,45,45,-133,-219,-420,0,-420,7,7,-286,-1,-700,71,-286
2018-06-30,611,227,-65,162,0,0,0,-23,-23,499,-149,0,253,253,-4,100,-132,0,-132,-298,-298,-294,-1,-725,-61,-294
2018-03-31,487.00000,230.00000,26.00000,256.00000,,,,-459.00000,-459.00000,339.00000,-131.00000,,31.00000,31.00000,-37.00000,-137.00000,146.00000,,146.00000,-281.00000,-281.00000,-284.00000,-24.00000,-443.00000,-244.00000,-284.00000
2017-12-31,634,229,13,242,-231,-202,388,-49,-39,879,-169,7,323,323,57,218,-1001,0,-1001,-54,-54,-265,-7,-1327,-230,-265
2017-09-30,1401,232,-862,-630,0,0,0,229,229,750,-105,600,-312,-312,-32,151,158,0,158,-314,-314,-266,-4,-426,479,-266
2017-06-30,517,228,-20,208,0,0,0,-215,-215,574,-130,0,-216,-216,-11,-357,349,0,349,-199,-199,-274,-2,-126,90,-274
2017-03-31,434.00000,225.00000,8.00000,233.00000,,,,-166.00000,-166.00000,463.00000,-116.00000,,-93.00000,-93.00000,-20.00000,-229.00000,-60.00000,,-60.00000,-217.00000,-217.00000,-263.00000,-23.00000,-563.00000,-321.00000,-263.00000
2016-12-31,502,229,76,305,-170,34,0,141,55,638,-151,-1,-11,-11,5,-158,11,0,11,-149,-149,-257,0,-395,49,-257
2016-09-30,522,233,22,255,0,0,0,50,50,799,-100,0,-67,-67,0,-167,56,0,56,-249,-249,-259,-9,-461,171,-259
2016-06-30,492,234,-11,223,0,0,0,40,40,745,-135,0,91,91,-1,-45,-266,0,-266,-175,-175,-265,1,-705,-10,-265
2016-03-31,403.00000,233.00000,35.00000,268.00000,,,,-296.00000,-296.00000,388.00000,-111.00000,1.00000,-53.00000,-53.00000,4.00000,-159.00000,177.00000,,177.00000,-83.00000,-83.00000,-256.00000,-15.00000,-177.00000,65.00000,-256.00000
2015-12-31,527,233,68,301,5,-8,-120,153,-7,780,-138,-34,-39,-39,9,-202,-198,0,-198,-224,-224,-255,-39,-716,-150,-255
2015-09-30,445,232,6,238,0,0,0,322,322,973,-122,0,-33,-33,-11,-166,-137,0,-137,-282,-282,-257,-1,-677,115,-257
2015-06-30,535,234,32,266,0,0,0,-134,-134,579,-141,1,10,10,-24,-154,-530,0,-530,13,13,-263,-5,-785,-360,-263
2015-03-31,467.00000,226.00000,81.00000,307.00000,,,,-372.00000,-372.00000,77.00000,-105.00000,-38.00000,99.00000,99.00000,-9.00000,-53.00000,263.00000,,263.00000,-137.00000,-137.00000,-251.00000,-2.00000,-127.00000,-118.00000,-251.00000
2014-12-31,585,240,-65,175,-205,-152,49,472,59,944,-254,2,77,77,25,-150,-2,0,-2,-379,-379,-229,-40,-650,126,-229
2014-09-30,605,244,37,281,0,0,0,-507,-507,289,-142,9,283,283,-5,145,-4,0,-4,-162,-162,-233,-3,-402,24,-233
2014-06-30,172,250,-232,18,0,0,0,486,486,633,-126,270,-269,-269,-31,-156,-319,0,-319,-78,-78,-238,0,-635,-153,-238
2014-03-31,441.00000,249.00000,43.00000,292.00000,,,,-370.00000,-370.00000,12.00000,-110.00000,3.00000,431.00000,431.00000,-20.00000,304.00000,-257.00000,,-257.00000,23.00000,23.00000,-229.00000,20.00000,-443.00000,-131.00000,-229.00000
2013-12-31,482,257,-283,-26,-231,-92,86,725,489,872,-242,7,-103,-103,-7,-345,-81,0,-81,23,23,-199,6,-251,273,-199
2013-09-30,514,250,107,357,0,0,0,-166,-166,704,-121,0,-333,-333,-9,-463,-57,0,-57,20,20,-200,2,-235,14,-200
2013-06-30,497,245,-19,226,0,0,0,-101,-101,609,-129,0,16,16,-54,-167,-262,0,-262,22,22,-203,3,-440,-11,-203
2013-03-31,380.00000,245.00000,175.00000,420.00000,,,,-546.00000,-546.00000,100.00000,-122.00000,761.00000,132.00000,132.00000,2.00000,773.00000,-687.00000,,-687.00000,56.00000,56.00000,-194.00000,15.00000,-810.00000,62.00000,-194.00000
2012-12-31,180,179,-54,125,108,166,-220,465,381,687,-236,-6382,514,514,-11,-6115,5553,0,5553,200,200,-128,-49,5576,152,-128
2012-09-30,347,141,70,211,0,0,0,126,126,606,-126,-189,54,54,-14,-275,-303,0,-303,10,10,-129,-19,-441,-100,-129
2012-06-30,382,138,362,500,0,0,0,-56,-56,469,-126,-362,-227,-227,-8,-723,583,0,583,1,1,-128,-42,414,158,-128
2012-03-31,311.00000,140.00000,-261.00000,-121.00000,,,,-388.00000,-388.00000,-98.00000,-105.00000,,262.00000,262.00000,-16.00000,141.00000,-1.00000,,-1.00000,43.00000,43.00000,-127.00000,16.00000,-69.00000,-18.00000,-127.00000
2011-12-31,361,137,-118,19,-219,-113,92,271,116,559,-184,-12,-169,-169,-26,-391,-35,38,3,5,5,-114,54,-52,107,-114
2011-09-30,367,139,152,291,0,0,0,182,182,642,-163,-86,21,21,-6,-234,48,-56,-8,-271,-271,-116,1,-394,-4,-116
2011-06-30,338,141,-116,25,0,0,0,-54,-54,351,-133,-212,-97,-97,1,-441,302,-1,301,-9,-9,-116,-5,171,81,-116
2011-03-31,286.00000,139.00000,-16.00000,123.00000,,,,-418.00000,-418.00000,-304.00000,-88.00000,,348.00000,348.00000,6.00000,266.00000,-12.00000,19.00000,7.00000,3.00000,3.00000,-116.00000,,-106.00000,-132.00000,-116.00000
2010-12-31,283,138,184,322,-305,-219,322,46,36,555,-187,-50,-345,-345,2,-580,-43,19,-24,-60,-60,-98,147,-35,-62,-98
2010-09-30,269,136,-22,114,0,0,0,51,51,420,-106,-172,74,74,-12,-216,-32,29,-3,24,24,-97,0,-76,146,-97
2010-06-30,229,136,-39,97,0,0,0,51,51,469,-63,0,-217,-217,-2,-282,4,-1,3,13,13,-84,0,-68,98,-84
2010-03-31,156.00000,141.00000,,141.00000,,,,-172.00000,-172.00000,-162.00000,-38.00000,,96.00000,96.00000,8.00000,66.00000,24.00000,-47.00000,-23.00000,23.00000,23.00000,-84.00000,2.00000,-82.00000,-189.00000,-84.00000
2009-12-31,212,144,-71,73,440,292,-73,-447,196,505,-59,92,-64,-64,40,9,-289,1,-288,27,27,-84,-15,-360,148,-84
2009-09-30,194,148,-115,33,0,0,0,302,302,460,-40,-35,0,0,6,-69,-282,-1,-283,-9,-9,-83,17,-358,44,-83
2009-06-30,31,142,174,316,0,0,0,211,211,348,-48,-67,-53,-53,15,-153,-13,-106,-119,9,9,-84,-11,-205,3,-84
2009-03-31,-52.00000,139.00000,,139.00000,,,,40.00000,40.00000,95.00000,-48.00000,,53.00000,53.00000,-17.00000,-12.00000,255.00000,-318.00000,-63.00000,,,-83.00000,8.00000,-138.00000,-43.00000,-83.00000
