,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2018-10-31,254.328,58.962,-179.178,-120.216,-54.09,-17.311,31.5,-3.194,130.918,-28.743,-5.956,0,-2.916,-2.916,0,-37.615,-157.813,5.635,-152.178,18.107,18.107,29.864,-104.207,-18.164,37.492
2018-07-31,79.409,53.416,3.884,57.3,63.762,-7.443,11.303,152.457,289.166,-22.811,-3.15,0,-0.151,-0.151,0,-26.112,-67.813,165,97.187,-118.253,-118.253,-61.994,-83.06,170.395,37.252
2018-04-30,102.472,52.909,28.573,81.482,-70.646,-25.186,-6.294,-120.585,63.369,-19.587,-35.193,0,0,0,0,-54.78,-47.812,0,-47.812,-8.511,-8.511,18.364,-37.959,-35.152,32.965
2018-01-31,-3.69100,43.92000,78.86700,122.78700,-34.81100,-15.81100,30.35300,-178.15000,-59.05400,-29.12300,-608.34400,12.44900,,12.44900,,-625.01800,-21.87500,450.00000,428.12500,-167.51400,-167.51400,-30.24700,230.36400,-442.15300,32.32300
2017-10-31,-120.082,45.33,163.478,208.808,-40.117,-20.137,13.963,94.045,182.771,-20.197,-71.578,147.492,0,147.492,0,55.717,-341.875,50,-291.875,-32.381,-32.381,-22.974,-347.23,-108.713,28.597
2017-07-31,116.751,47.068,14.612,61.68,-38.685,0,88.371,101.423,279.854,-20.096,0,-7.287,0.839,-6.448,0,-26.544,-1.875,20,18.125,-103.536,-103.536,-7.318,-92.729,163.661,28.301
2017-04-30,53.306,47.58,16.362,63.942,-41.094,0,-61.919,5.727,122.975,-14.05,0,-1.616,0,-1.616,0,-15.666,-1.875,100,98.125,-44.951,-44.951,-2.212,50.962,163.616,25.562
2017-01-31,86.58800,49.46400,40.35100,89.81500,122.19200,,-108.19600,-129.52100,46.88200,-19.21100,-187.62400,1.94600,,1.94600,2.10000,-202.78900,-35.00000,150.00000,115.00000,-72.79500,-72.79500,-26.32800,15.87700,-148.91100,25.83400
2016-10-31,72.697,49.218,9.053,58.271,-120.801,-32.072,98.429,16.694,147.662,-19.832,0,2.776,0,2.776,0,-17.056,-72.5,0,-72.5,-44.601,-44.601,15.785,-101.316,30.303,25.54
2016-07-31,64.718,50.588,38.497,89.085,-16.087,0,54.54,97.906,251.709,-20.335,-13.956,-11.629,-1.002,-12.631,0,-46.922,-97.5,125,27.5,-92.88,-92.88,-21.474,-86.854,118.371,25.571
2016-04-30,69.376,50.79,17.617,68.407,63.254,0,-24.49,84.651,222.434,-14.616,-27.159,-9.065,1.624,-7.441,0,-49.216,-7.5,30,22.5,21.278,21.278,19.71,63.488,244.96,23.459
2016-01-31,60.03500,56.43600,19.31100,75.74700,30.36500,,-50.91400,-170.95200,-35.17000,-16.25700,-18.94100,5.55600,0.16100,5.71700,,-29.48100,-7.50000,30.00000,22.50000,-158.51400,-158.51400,-46.24100,-182.25500,-253.20200,23.01300
2015-10-31,49.762,57.286,35.799,93.085,-73.509,0,58.244,9.57,152.417,-20.141,-213.27,7.518,0,7.518,0,-225.893,-57.501,50,-7.501,-26.65,-26.65,-41.293,-75.444,-150.235,22.937
2015-07-31,55.387,52.484,19.592,72.076,33.467,0,71.003,147.544,275.007,-24.662,-124.58,-0.224,0,-0.224,0,-149.466,-167.5,160,-7.5,-33.592,-33.592,36,-5.092,117.578,22.599
2015-04-30,55.596,51.522,48.372,99.894,-57.348,0,6.812,-0.411,155.079,-25.328,-2.303,-16.608,0,-16.608,0.9,-43.339,-82.701,0,-82.701,43.464,43.464,-0.102,-39.339,72.021,20.283
2015-01-31,65.18900,50.52900,20.71100,71.24000,40.85700,,-125.28500,-223.77200,-87.34300,-20.51600,,-120.41500,,-120.41500,,-140.93100,-22.72300,250.00000,227.27700,-133.45800,-133.45800,-36.01400,57.80500,-188.93800,20.58100
2014-10-31,62.455,52.076,-4.421,47.655,-89.852,0,73.884,62.802,172.912,-46.016,-21.11,0,0.461,0.461,-0.488,-67.153,-7.729,0,-7.729,18.394,18.394,-21.696,-11.031,82.716,21.099
2014-07-31,65.656,49.165,19.084,68.249,84.411,0,70.878,206.225,340.13,-29.121,-5.548,0,0.009,0.009,-3,-37.66,-207.742,0,-207.742,-7.99,-7.99,-4.302,-220.034,81.413,21.4
2014-04-30,63.317,47.871,22.348,70.219,-67.487,0,-1.06,-21.733,111.803,-16.521,-367.965,0,0.513,0.513,0,-383.073,-7.749,200,192.251,6.745,6.745,-0.595,198.401,-71.42,18.823
2014-01-31,67.69600,43.71400,17.08000,60.79400,7.91000,,-65.32200,-202.38200,-73.89200,-15.25500,,,6.79100,6.79100,,-9.36400,-7.74800,,-7.74800,-33.16600,-33.16600,-0.11100,-41.02500,-129.38800,18.11800
2013-10-31,56.89,45.648,8.278,53.926,29.383,0,5.914,80.519,191.335,-18.763,0,0,0.767,0.767,0,-17.996,-7.737,0,-7.737,-33.632,-33.632,-4.386,-45.755,130.071,17.792
2013-07-31,52.297,47.602,15.537,63.139,-31.08,0,127.242,147.642,263.078,-19.092,0,0,0,0,0,-19.092,-7.738,0,-7.738,-19.665,-19.665,-3.867,-31.27,211.352,16.49
2013-04-30,68.691,47.09,27.371,74.461,18.946,0,-82.029,-9.422,133.73,-14.408,0,0,0.222,0.222,0,-14.186,-7.209,0,-7.209,24.58,24.58,-1.914,15.457,130.653,15.529
2013-01-31,69.92200,47.06400,14.88300,61.94700,20.34100,,-89.84400,-223.30700,-91.43800,-14.80500,,,,,,-14.80500,-8.02800,,-8.02800,15.61500,15.61500,-44.00400,-36.41700,-150.01700,17.70000
2012-10-31,29.081,41.764,22.414,64.178,-67.796,0,29.762,9.673,102.932,-22.467,-385.671,0,0,0,0,-408.138,-2.323,0,-2.323,47.34,47.34,-6.252,38.765,-263.385,17.336
2012-07-31,75.656,40.214,18.417,58.631,25.917,0,126.509,161.393,295.68,-13.902,-19.89,0,0.506,0.506,0,-33.286,-110.789,0,-110.789,17.376,17.376,0,-93.413,167.173,17.225
2012-04-30,20.971,42.897,15.711,58.608,-0.414,0,5.719,47.195,126.774,-9.373,-558.905,132.093,0,132.093,0,-436.185,-21.963,250,228.037,50.074,50.074,20,298.111,-14.745,20.605
2012-01-31,56.69400,31.96500,31.27800,63.24300,-11.10200,,-49.43600,-159.25500,-39.31800,-11.75100,-5.62300,15.86000,,15.86000,,-1.51400,-1.08100,,-1.08100,21.10600,21.10600,-20.00000,0.02500,-43.73800,16.24800
2011-10-31,39.942,31.591,42.194,73.785,-25.754,0,-5.445,-40.701,73.026,-15.125,-35.633,-1.804,2.828,1.024,0,-49.734,-0.036,0,-0.036,-24.497,-24.497,-33.335,-57.868,-34.809,14.984
2011-07-31,52.082,31.961,8.972,40.933,35.684,0,127.809,217.42,310.435,-22.993,-1.862,-2.811,0,-2.811,0,-27.666,-3.282,0,-3.282,-89.017,-89.017,0,-92.299,195.854,13.516
2011-04-30,81.114,33.322,8.571,41.893,-39.518,0,23.104,-26.519,96.488,-11.182,-0.779,19.121,0,19.121,0,7.16,-0.655,0,-0.655,-113.609,-113.609,0,-114.264,-6.58,12.667
2011-01-31,48.22600,31.67600,20.07600,51.75200,10.61400,,-50.12000,-139.61100,-39.63300,-10.93000,-2.74100,-4.90800,,-4.90800,,-18.57900,-0.65500,,-0.65500,-12.53300,-12.53300,,-13.18800,-74.79500,15.24700
2010-10-31,25.401,29.429,83.498,112.927,2.979,0,-13.644,-41.436,96.892,-12.366,-363.148,405.126,-243.515,161.611,0,-213.903,-0.083,0,-0.083,-1.354,-1.354,0,-1.437,-108.034,14.774
2010-07-31,39.327,21.554,21.431,42.985,1.445,0,78.557,125.604,207.916,-14.506,-6.809,85.658,0,85.658,0,64.343,-2.263,0,-2.263,-60.969,-60.969,0,-63.232,214.01,14.514
2010-04-30,39.549,24.566,23.9,48.466,-5.79,0,-4.08,-6.37,81.645,-6.446,-127.745,58.178,0,58.178,0,-76.013,-0.602,0,-0.602,40.077,40.077,0,39.475,42.941,13.466
2010-01-31,132.78600,25.65200,-34.91100,-9.25900,-14.83600,,-52.29100,-168.94400,-45.41700,-8.75700,-3.12700,-1.27600,,-1.27600,,-13.16000,-0.74400,,-0.74400,-17.12400,-17.12400,,-17.86800,-75.12300,17.23400
2009-10-31,19.528,26.872,25.921,52.793,12.14,0,-32.559,-8.411,63.91,-15.189,-5.11,-9.393,-0.1,-9.493,0,-29.792,-0.537,-1.273,-1.81,43.681,43.681,0,41.871,79.332,14.135
2009-07-31,47.436,24.853,25.684,50.537,57.397,0,26.85,134.491,232.464,-10.643,-20.915,-90.143,-0.671,-90.814,0,-122.372,-0.691,1.019,0.328,1.585,1.585,0,1.913,115.882,13.996
2009-04-30,48.288,24.31,15.013,39.323,-43.796,0,-13.445,-62.9,24.711,-7.241,0,-0.174,0,-0.174,0,-7.415,-0.492,0,-0.492,25.5,25.5,0,25.008,36.234,14.66
2009-01-31,52.42900,25.41800,27.36100,52.77900,-2.91100,,-78.28400,-187.13400,-81.92600,-8.97800,-27.33300,3.98800,,3.98800,,-32.32300,-0.49200,,-0.49200,1.15200,1.15200,,0.66000,-107.46700,14.14300
