,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2020-06-30,243.561,156.089,-186.566,-30.477,7.774,-14.638,-3.83,-10.694,202.39,-569.735,0,-7.619,-7.619,13.886,-563.468,217.3914,217.3914,0,0,-129.981,25.883,113.294,-246.831,9.185,-129.981
2020-03-31,30.67800,160.89100,16.76200,177.65300,-4.87400,7.78800,-19.97800,-17.06400,191.26700,-855.90800,,-2.74200,-2.74200,25.05800,-833.59200,535.05200,535.05200,504.33800,504.33800,-126.27800,-23.43700,889.67500,245.68200,9.92900,-126.27800
2019-12-31,216.053,133.015,-159.556,-26.5409,-0.011,24.71,-35.92,-11.221,178.291,-1464.437,0,46.647,46.647,127.34,-1290.45,39.256,39.256,980.958,980.958,-115.574,-2.834,901.806,-210.281,10.239,-114.571
2019-09-30,-36.003,130.76,84.803,215.563,-1.459,35.574,-16.449,17.666,197.226,-911.689,104.902,-102.745,-102.745,10.899,-898.633,394.3829,394.3829,150.093,150.093,-114.55,486.532,916.458,214.745,10.935,-113.544
2019-06-30,87.179,127.981,-35.98,92.001,0.406,-5.028,-2.948,-7.57,171.61,-632.945,-104.902,29.443,29.443,-9.5,-717.904,512.4651,512.4651,85.394,85.394,-110.578,-18.869,468.412,-77.58,11.437,-109.572
2019-03-31,136.81800,128.37100,-92.41900,35.95200,0.16700,-16.24400,-19.96300,-36.04000,136.73000,-659.40700,,-75.42600,-75.42600,0.50000,-734.33300,344.86600,344.86600,,-9.24000,-110.46800,415.64800,640.80600,43.67500,11.02900,-109.34200
2018-12-31,-18.631,121.43,65.685,187.1151,1.242,0.012,-13.487,-12.233,156.251,-339.205,0,-53.906,-53.906,-4.5,-397.611,-206.7332,-206.7332,596.769,582.793,-101.302,5.869,280.627,38.25,9.81,-100
2018-09-30,219.359,116.5,-171.74,-55.24,-2.359,13.777,-19.69,-8.272,155.847,-485.03,0,-75.812,-75.812,65.592,-495.25,69.7471,69.7471,296.325,296.325,-98.893,-15.859,251.32,-87.961,9.986,-97.592
2018-06-30,60.547,115.641,-22.45,93.191,2.54,-10.296,-16.662,-24.418,129.32,-610.363,0,-73.784,-73.784,13.286,-670.861,410.25,410.25,300.838,300.838,-93.282,-12.639,605.167,62.859,7.975,-91.98
2018-03-31,141.51800,110.01700,-111.94400,-1.92700,-0.98800,18.41600,-28.09800,-10.67000,128.92100,-509.56000,-35.92200,-44.77000,-44.77000,-7.78600,-598.03800,444.95290,444.95290,99.36900,99.36900,-92.36200,-0.64100,451.31900,-18.20400,7.24800,-91.06000
2017-12-31,45.607,105.499,-21.868,83.631,-0.278,-5.046,-30.274,-35.598,93.64,-306.339,-60.291,-49.732,-49.732,-7,-423.362,-50.3471,-50.3471,570.006,570.006,-83.619,24.449,460.489,130.911,6.961,-82.317
2017-09-30,59.546,105.431,-28.117,77.314,-1.578,17.336,-19.122,-3.364,133.496,-334.106,0,-40.764,-40.764,42.826,-332.044,40.4009,40.4009,245.784,245.784,-81.82,-5.268,199.097,1.396,7.893,-80.518
2017-06-30,41.496,101.312,-12.249,89.063,1.589,-4.64,-11.406,-14.457,116.102,-480.103,0,-30.511,-30.511,-2.75,-513.364,343.4169,343.4169,241.848,111.498,-78.989,-3.861,372.065,-24.65,5.504,-75.591
2017-03-31,47.55500,94.12300,-31.66300,62.46000,-0.23500,17.92300,-20.05900,-2.37100,107.64400,-433.28900,,-38.26700,-38.26700,3.20000,-468.35600,268.95610,268.95610,217.75900,199.82500,-77.32200,-2.76900,388.69000,28.16300,5.25200,-73.70500
2016-12-31,19.792,95.101,-1.307,93.794,-1.128,-0.841,-9.981,-11.95,101.636,-808.943,0,-30.249,-30.249,56.087,-783.105,-388.737,-388.737,1064.375,956.182,-67.308,135.918,636.055,-45.434,6.426,-62.381
2016-09-30,28.559,79.243,-1.84,77.403,-0.434,31.37,-17.155,13.781,119.743,-283.188,0,-2.266,-2.266,-55.883,-341.337,209.6801,209.6801,0,-39.323,-67.778,21.582,124.161,-98.072,7.451,-62.377
2016-06-30,-108.116,72.129,150.383,222.512,0.756,-34.206,-10.62,-44.07,70.326,-186.655,0,-19.651,-19.651,3.464,-202.842,30.893,30.893,342.524,308.832,-64.938,-32.008,242.779,109.803,6.117,-59.099
2016-03-31,9.96600,72.56600,18.66700,91.23300,0.52100,8.99900,-8.93700,0.58300,101.78200,-159.50100,,-11.17200,-11.17200,-0.44900,-171.12200,154.26500,154.26500,25.27800,-0.34000,-62.73700,-0.40800,90.78000,21.09900,5.43900,-56.49000
2015-12-31,42.977,73.813,-19.582,54.231,-0.373,12.377,-13.012,-1.008,96.2,-164.647,0,-9.461,-9.461,9.203,-164.905,-348.347,-348.347,73.411,73.411,-62.07,454.494,117.488,48.715,4.59,-55.824
2015-09-30,39.699,67.296,-12.046,55.25,-0.863,33.033,-32.108,0.062,95.011,-247.353,0,1.889,1.889,4.014,-241.45,221.366,221.366,0,0,-61.924,-4.923,154.519,7.766,5.178,-55.677
2015-06-30,38.43,63.954,-11.554,52.4,1.345,-28.731,-18.885,-46.271,44.559,-140.386,0,-17.491,-17.491,11.889,-145.988,189.141,189.141,5.052,5.052,-59.554,-55.191,79.448,-22.024,4.054,-53.308
2015-03-31,25.00800,60.73900,4.50400,65.24300,-0.10200,27.12100,-10.42900,16.59000,106.84100,-130.95400,,-12.77300,-12.77300,-26.32500,-170.05200,138.65100,138.65100,,,-59.54200,-11.43800,67.67100,4.63000,3.69000,-53.29500
2014-12-31,-6.03,60.155,38.073,98.228,0.266,-9.794,-3.469,-12.997,79.201,-129.599,0,-19.656,-19.656,-11.235,-160.49,177.4471,177.4471,0,-14.414,-58.317,-3.384,101.332,18.988,4.624,-51.846
2014-09-30,35.943,60.381,-7.078,53.303,-0.204,36.361,-14.77,21.387,110.633,-123.772,0,-3.632,-3.632,-73.758,-201.162,166.2899,166.2899,0,0,-58.144,-10.02,98.126,5.322,3.068,-51.673
2014-06-30,36.116,59.37,-9.097,50.273,-0.045,-16.631,1.519,-15.157,71.232,-136.784,0,-9.315,-9.315,35.641,-110.458,83.149,83.149,0,0,-56.625,-1.144,25.38,-13.269,3.076,-50.153
2014-03-31,40.74900,52.37100,-11.00000,41.37100,-0.69000,16.71600,-24.88700,-8.86100,73.25900,-153.92500,,-8.65400,-8.65400,-0.14000,-162.71900,142.18600,142.18600,,,-55.18500,19.47300,106.47400,17.27400,3.22800,-48.71400
2013-12-31,44.222,50.057,-9.352,40.705,-1.248,5.521,-12.849,-8.576,76.351,-188.628,0,-9.468,-9.468,-2.162,-200.258,190.4551,190.4551,-1.601,-1.601,-55.18,-2.961,130.713,3.857,4.011,-48.709
2013-09-30,32.453,50.905,-2.459,48.446,-1.118,43.222,-30.768,11.336,92.235,-175.75,0,0.093,0.093,1.012,-174.645,-85.612,-85.612,1.217,1.217,-52.907,-31.366,-168.668,-248.366,3.729,-46.435
2013-06-30,33.337,48.299,-6.284,42.015,1.665,18.937,0.946,21.548,96.9,-138.07,0,0.287,0.287,-9.165,-146.948,-228.478,-228.478,534.469,534.469,-44.716,5.759,267.034,215.204,4.463,-38.245
2013-03-31,30.23700,48.66600,-2.56900,46.09700,-0.81800,-10.72200,-17.55300,-29.09300,47.24100,-59.04200,,-10.46500,-10.46500,-0.01700,-69.52400,2.46600,2.46600,,,-42.15800,8.18300,-31.50900,-53.97000,3.34900,-35.68700
2012-12-31,28.807,49.843,-3.539,46.304,1.656,24.319,-23.043,2.932,78.043,-142.964,0,-2.117,-2.117,-4.624,-149.705,144.811,144.811,-0.553,-0.553,-40.226,14.624,118.656,46.067,3.748,-33.755
2012-09-30,18.305,49.977,6.185,56.162,-4.003,16.153,-2.654,9.496,83.963,-112.312,0,-3.431,-3.431,0.079,-115.664,38.1579,38.1579,61.058,61.058,-39.122,-12.458,47.636,13.967,3.845,-31.952
2012-06-30,25.641,53.901,-8.36,45.541,2.603,35.229,-15.172,22.66,93.842,-159.215,0,0.864,0.864,-10.132,-168.483,210.1631,210.1631,36.428,-93.21,-37.494,-2.242,77.217,3.576,3.274,-30.405
2012-03-31,32.77500,45.42700,-8.71600,36.71100,-1.23700,-10.00400,-8.56000,-19.80100,49.68500,-140.53100,,-4.56700,-4.56700,20.85000,-124.24800,88.96100,88.96100,-83.68900,41.17900,-37.47500,-21.31400,71.35100,-1.17800,3.29300,-30.38600
2011-12-31,35.462,43.27,-6.988,36.282,-1.031,15.498,-19.223,-4.756,66.988,-130.802,0,-7.983,-7.983,0.708,-138.077,119.332,119.332,0.952,0.952,-36.191,-2.266,81.827,5.483,3.306,-29.102
2011-09-30,32.995,41.944,-2.117,39.827,-2.333,27.307,-28.052,-3.078,69.744,-114.587,0,-2.245,-2.245,-2.887,-119.719,323.706,323.706,-221.438,-221.438,-34.981,-5.308,61.979,12.131,3.344,-27.891
2011-06-30,34.311,41.133,0.564,41.697,2.501,5.989,-18.738,-10.248,65.76,-387.856,0,-1.402,-1.402,-0.263,-389.521,-215.896,-215.896,550.497,550.497,-32.062,3.111,305.65,-17.271,2.749,-24.973
2011-03-31,32.62500,35.46600,-2.11900,33.34700,-1.49600,-6.97100,-13.03700,-21.50400,44.46800,-81.74500,,-4.77600,-4.77600,0.25900,-86.26200,178.00900,178.00900,-97.79400,-97.79400,-32.01200,-18.50300,29.70000,-13.03600,2.35600,-24.92300
2010-12-31,92,36.218,-64.286,-28.068,-0.525,3.667,-2.52,0.622,64.554,-102.845,0,-2.488,-2.488,3.146,-102.187,140.685,140.685,-97.105,-97.105,-26.46,0.503,17.623,-19.579,2.767,-19.371
2010-09-30,30.461,33.969,-2.707,31.262,-1.87,-3.303,-20.062,-25.235,36.488,-138.088,0,-3.801,-3.801,2.326,-139.563,-179.977,-179.977,343.172,343.172,-24.586,2.023,140.632,37.557,2.66,-17.497
2010-06-30,-12.224,33.887,40.629,74.516,-0.093,5.067,7.418,12.392,74.684,-122.919,0,-2.926,-2.926,3.658,-122.187,86.54,86.54,-3.351,-3.351,-22.615,-10.797,49.777,2.274,2.658,-15.525
2010-03-31,28.78500,32.58900,-1.99700,30.59200,1.18700,3.28900,-12.57300,-8.09700,51.28000,-85.80800,,-3.89400,-3.89400,8.89400,-80.80800,51.28600,51.28600,5.19400,5.19400,-22.57000,-4.03000,29.88000,0.35200,2.73100,-15.48100
2009-12-31,29.905,32.626,-4.592,28.034,-0.113,-25.81,3.772,-22.151,35.788,-95.583,0,-0.799,-0.799,29.11,-67.272,77.8521,77.8521,2.715,2.715,-22.55,-24.909,33.108,2.348,3.194,-15.461
2009-09-30,26.378,31.81,0.549,32.359,0.876,18.098,-18.586,0.388,59.125,-99.804,0,-3.922,-3.922,-24.863,-128.589,-163.411,-163.411,233.804,233.804,-20.884,17.922,67.431,-2.033,4.141,-13.794
2009-06-30,44.116,33.088,-11.924,21.164,1.327,-2.616,-6.725,-8.014,57.266,-108.818,0,0.035,0.035,6.823,-101.96,26.842,26.842,0.001,0.001,-38.586,1.469,-10.274,-54.968,3.694,-31.497
2009-03-31,41.24900,30.28200,-0.38100,29.90100,0.46100,-14.52800,-2.30800,-16.37500,54.77500,-120.85900,,-2.57600,-2.57600,14.69000,-108.74500,-111.45200,-111.45200,254.66000,254.66000,-32.98900,-2.12900,108.09000,54.12000,3.02200,-25.90000
