,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2020-06-30,313.3,142.2,2768.7,2910.9,83.3,0,-10.4,72.9,3183.7,-39,-93,0,5175,-2479,2696,4645,7209,993.2,-2127.8,-1134.6,1.6,1.6,-165.1,-10539.3,-11837.4,-1371,-145.9
2020-03-31,360.60000,146.20000,-3519.80000,-3373.60000,-122.70000,,-5.70000,-128.40000,-2685.30000,-37.60000,-94.80000,,-12324.50000,-1215.60000,-13540.10000,-7827.80000,-21500.30000,,2584.10000,2584.10000,-288.00000,-688.00000,-152.90000,23964.80000,25708.00000,1374.00000,-147.10000
2019-12-31,371.1,130.2,1144.9,1275.1,278.3,0,-14.4,193.2,1636.4,-108.2,-137.1,0,-11658.3,-469.0996,-12127.399,-30.7,-12403.4,0,-489.4,-489.4,-240.3,152.2,-166,10618,10114.8,-578.4,-148.7
2019-09-30,384.6,129.4,-324.1,-194.7,141.7,0,-3.9,137.8,577.1,-22.1,-95.9,-10.5,4767.9,-2510.7026,2257.198,-461.6,1667.1,0,-0.4,-0.4,-296.4,-296.4,-135,-2051.7,-2483.5,-310.7,-129.1
2019-06-30,389.4,130,58.4,188.4,-365,0,-1.7,-366.7,84.8,-18.6,-126.9,0,-4681,1258.201,-3422.8,-708,-4276.3,498,-185.5,312.5,-267.6,-267.6,-148.4,4534.5,4431,274.2,-131.1
2019-03-31,347.10000,133.90000,289.90000,423.80000,-105.30000,,-3.60000,-108.90000,293.70000,-9.10000,-81.90000,,7759.90000,2104.40000,9864.30000,1834.30000,11607.60000,,-2229.60000,-2229.60000,-251.90000,-251.90000,-126.70000,-8838.20000,-11446.40000,492.50000,-120.80000
2018-12-31,409.9,130.1,-433,-302.9,44,0,2.4,-83.6,459.1,-58.6,-119.3,-34.2,1188,-523.702,664.299,-1473.3,-1021.1,-8.9,323.4,314.5,-231.9,-231.9,-139.1,134.3,77.8,-491.8,-121.8
2018-09-30,374.5,134.7,670.5,805.2,-33.5,0,13.4,-20.1,1453.9,-15.7,-114.9,0,1686.3,-1451.598,234.701,1626.6,1730.7,192.5,-1506.4,-1313.9,-227.9,-227.9,-99.9,-1297.9,-2939.6,185.3,-94
2018-06-30,390.4,140.5,-320.1,-179.6,-127.8,0,7,-120.8,332.3,-17.3,-94.4,-70,-3996.5,-1575.199,-5571.7,-1785.2999,-7538.7,1.7,3666.2001,3667.9001,-187.8,-187.8,-111.9,2842.6,6210.8,-1193.3,-94.6
2018-03-31,381.60000,151.50000,-694.50000,-543.00000,-79.70000,,5.70000,-74.00000,-477.80000,-6.00000,-79.80000,,11981.30000,-1514.10100,10467.20000,774.79990,11156.20000,-1.70000,-979.40010,-981.10010,-244.10000,-244.10000,-100.90000,-7841.10000,-9167.20000,1563.30000,-95.00000
2017-12-31,356.6,126.9,-140.2,-13.3,15.8,0,-5.8,46.2,850.7,-27.9,-93,-188.5,-5865.9,-2210.8984,-8076.8,330.3,-8055.9,-201.7,455.3,253.6,-145.7,-145.7,-113,6441.199,6436.1,-744.8,-95.6
2017-09-30,298.4,140.4,51.2,191.6,-63.7,0,8.2,-55.5,557.1,-23.6,-108.9,0,-4876.5,-1060.9986,-5937.4994,402.3,-5667.7,-1.7,4070.4,4068.7,-112,-112,-92.8,768.6,4632.5,-431.9,-87
2017-06-30,267.9,139.2,-102.1,37.1,-65.8,0,2.4,-63.4,-472.1,-25.8,-99.4,0,-2287.1,795.7994,-1491.3006,292,-1324.5,348.5,-210,138.5,-124.5,-124.5,-108,2985.7,2891.7,1045.6,-87.3
2017-03-31,276.10000,120.20000,560.30000,680.50000,-5.60000,,5.90000,0.30000,784.70000,-14.30000,-79.90000,,492.00000,769.09960,1261.10000,-140.40000,1026.50000,-3.80000,-906.30000,-910.10000,-32.90000,-32.90000,-92.80000,-1671.80000,-2707.60000,-682.80000,-86.90000
2016-12-31,266.5,131.9,-50.5,81.4,-48.7,0,-0.8,-178.5,838.5,-53.3,-111.7,0,-4071.8,-672.499,-4744.299,-30.1,-4939.4,-2.5,1113.6,1111.1,106.8,106.8,-91.9,3589.4,4715.4,439.3,-86.1
2016-09-30,257.6,120.2,733.8,854,-39,0,1.4,-37.6,1178.7,-26,-96.6,0,1685.4,-3835.401,-2150.001,1950.3,-322.3,-1.4,-2229.3,-2230.7,-29.7,463.8,-87.7,553.2,-1301.4,-419.4,-81.8
2016-06-30,263,119.3,-867.6,-748.3,53.9,0,-3,50.9,-211.7,-20,-88.8,-16.9,-2769.9,-2033.4,-4803.3,-663.9,-5592.9,-1.4,2124.4,2123,-119.4,-119.4,-88.1,2207.6,4123.1,-1676.3,-82.3
2016-03-31,245.40000,102.80000,-207.50000,-104.70000,-95.40000,,2.30000,-93.10000,-295.50000,-12.00000,-65.00000,,2565.30000,-1430.00000,1135.30000,-395.80000,662.50000,-1.40000,-154.80000,-156.20000,-135.00000,-135.00000,-88.70000,379.70000,-0.20000,569.90000,-82.80000
2015-12-31,239.3,99.8,797.8,897.6,-2.9,0,-2.3,201.6,1350.6,-43.2,-106,0,5126.3,-902.701,4223.6,-451.2,3623.2,-1.5,36.8,35.3,-146.7,-146.7,-89.4,-2834.5,-3035.3,1973.4,-83.6
2015-09-30,234.6,97.6,-1328.1,-1230.5,14.4,0,2.9,17.3,-1043.4,-12.7,-80.2,0,-3729,1709.5,-2019.501,-742.4,-2854.8,-1.1,1247.8,1246.7,-128.1,-128.1,-89.6,310.5,1339.5,-2671.1,-83.7
2015-06-30,269.2,108.4,853.3,961.7,-78,0,-2.6,-80.6,1036.4,-17.1,-80.4,0,-8391.9,-2039.8,-10431.7,54.8,-10474.4,1.7,-161.8,-160.1,-53.1,-53.1,-82.9,12717.3,12421.2,3071,-77.1
2015-03-31,230.70000,99.10000,268.40000,367.50000,50.30000,,-6.20000,44.10000,490.80000,-25.50000,-68.40000,,7288.30000,-3128.40000,4159.90000,-1260.10000,2805.90000,-230.10000,270.10000,40.00000,-75.00000,-75.00000,-86.50000,-2069.80000,-2191.30000,1024.20000,-77.00000
2014-12-31,244,89.8,-559.5,-469.7,-21.2,0,-1.6,32.4,-337.5,-30.9,-92.4,0,3665.9,-1616.601,2049.299,-1094.7,831.3,-1.3,-32.9,-34.2,-160,-160,-77.5,-145.699,-417.4,105.5,-77.5
2014-09-30,204.5,94.1,-365.1,-271,-98.4,0,7.3,-91.1,-266.5,-18.6,-75.6,0,-7500.6,1364.601,-6135.999,248.9,-5981.3,-36.3,1443.3,1407,-24.7,363.8,-75.5,3580.799,5276.1,-1026.3,-75.5
2014-06-30,181.9,100.1,21.8,121.9,395.4,0,-10.1,385.3,1001.5,-18.9,-84.7,0,-947.1,-165.2,-1112.3002,-1046.6,-2262.5,-601.3,-502.8,-1104.1,-59.5,-59.5,-74.9,2665.4,1426.9,268.9,-74.9
2014-03-31,181.40000,86.50000,498.80000,585.30000,-254.90000,,-0.10000,-255.00000,538.50000,-13.50000,-74.90000,,3048.90000,-3005.20000,43.70020,-777.40000,-822.10000,-1.10000,-1136.30000,-1137.40000,-109.00000,-109.00000,-75.00000,2109.50000,788.10000,513.90000,-75.00000
2013-12-31,169.7,99.9,-262.1,-162.2,-178.3,0,3.5,-206.3,-121.6,-86.9,-89.2,0,-6636.7,-45.999,-6682.6988,665.5,-6193.3,748.8,236.2,985,-110.8,-110.8,-74.3,6014.2,6814.1,471.7,-74.3
2013-09-30,206.5,87.5,1903.6,1991.1,-122.4,0,-2.5,-124.9,2242.6,26.7,-73.1,0,-709.1,-143.7002,-852.8002,-1301.9,-2201.1,-401.1,-1614.4,-2015.5,-71.3,-71.3,-74.5,172,-1989.3,-1940.2,-74.5
2013-06-30,191.1,98,-1865.4,-1767.4,126.8,0,6.6,133.4,-1594.2,-19.8,-70.3,0,-906.2,-286.6001,-1192.8,-444.9,-1727.8,-201.1,1651.4,1450.3,41.7,41.7,-70.7,2809.8,4231.1,857.4,-70.7
2013-03-31,164.00000,77.80000,40.70000,118.50000,-32.30000,,-18.80000,-51.10000,312.50000,-11.90000,-60.40000,,1709.00000,903.10010,2612.10000,1899.10000,4438.90000,-201.00000,1388.00000,1187.00000,-23.10000,-23.10000,-1.10000,-5830.40000,-4667.60000,20.80000,-1.10000
2012-12-31,167.7,100,-57.8,42.2,-6.3,0,-11.2,1,23.2,-45.4,-89.8,0,-537.8,-1968.8982,-2506.698,-1063.4,-3705.3,-201,455.7,254.7,-34,-34,-144.8,3902.7,3978.6,356,-144.8
2012-09-30,178.8,67.9,132.6,200.5,-13.7,0,2.7,-11,251.9,-11,-51.7,0,952.3,123.199,1075.499,-288.8,724,254.1,-1839.8,-1585.7,-23.6,-23.6,-73.4,509.2,-1173.5,-197.6,-73.4
2012-06-30,179.6,57.8,-376.9,-319.1,-4.5,0,12.3,7.8,-218.3,-7,-50.3,0,-5508.3,2473.1992,-3035.101,-201.8,-3294.2,-125.9,55,-70.9,-14.2,-14.2,-68.6,3063,2909.3,-686,-68.6
2012-03-31,161.20000,52.00000,168.30000,220.30000,-17.40000,,-13.80000,-31.20000,757.60000,-9.90000,-47.40000,,8876.20000,-568.19920,8308.00100,-347.60000,7903.10000,-350.90000,359.50000,8.60000,16.20000,16.20000,-67.50000,-8744.60000,-8787.30000,-35.00000,-67.50000
2011-12-31,130.2,53.5,1371.9,1425.3999,-284.2,0,3.4,-396.3,1391.3,-41.8,-54.4,0,-4602.2999,-1784.201,-6386.5,10.6,-6472.1,-0.9,1045.4,1044.5,15.6,15.6,-68.2,4163.5,5155.4,-21.3,-68.2
2011-09-30,170.4,66.3,-1274.6,-1208.3,10.2,0,12.4,22.6,-700.2,-30,-147.2,-101.6,6170.1999,-4312.499,1857.701,637,2215.9,-62.1,-2959.0002,-3021.1002,14.8,14.8,-68.4,1013.1,-2061.6,-762.5,-68.4
2011-06-30,152,56.6,169.7,226.3,129.2,0,1,130.2,490.3,-16.2,-3.6,-71,239.5,-2007.2,-1767.701,-1268,-3126.5,-125.8,-2182.4998,-2308.2998,-24,-24,-68.5,6426,4025.2,1506.3,-68.5
2011-03-31,151.00000,54.50000,-53.40000,1.10000,-34.90000,,-11.80000,-46.70000,72.90000,-8.90000,-69.00000,,-5626.10000,-1990.00000,-7616.10000,-311.70000,-8005.70000,-191.90000,2075.70000,1883.80000,-9.80000,-9.80000,-68.60000,6879.20000,8684.60000,774.80000,-68.60000
2010-12-31,157.1,52.4,-715.7,-663.3,25.2,0,13.7,192.4,-129.2,-31.9,-67.9,0,-3566.8,-623.601,-4190.401,217.8,-4072.4,499.3,-2732.799,-2233.5,13.6,13.6,-68.6,5749.9,3461.4,-671.5,-68.6
2010-09-30,155.6,50.3,294.4,344.7,-167.1,0,-1.7,-168.8,152,-28.3,-47,0,457.2,-946.999,-489.798,88,-477.1,-592.8,634.699,41.9,41.9,41.9,-69.1,138.1,152.8,-34.7,-69.1
2010-06-30,199.6,45.7,491.4,537.1,51,0,14.1,65.1,732.6,-10.9,-44.7,0,-343.9,-1943.1998,-2287.101,-381.8,-2724.5,574.4,1622.2,2196.6,9,9,-67.8,759,2896.8,872.5,-67.8
2010-03-31,157.20000,45.60000,-356.40000,-310.80000,0.30000,,-18.40000,-18.10000,34.80000,-19.40000,-61.00000,,5145.70000,229.79980,5375.50000,210.90000,5506.00000,-256.50000,-4310.50000,-4567.00000,0.20000,0.20000,-67.70000,-731.40000,-5365.90000,159.90000,-67.70000
2009-12-31,200.3,53.9,193.4,247.3,1.6,7.7,8.6,79.3,322.2,-26,-44.6,0,-3993.9,-571.401,-4565.3006,-63.5,-4699.4,-50.6,1430.9,1380.3,2.2,2.2,-67.6,2665.7,3980.6,-394.1,-67.6
2009-09-30,187.9,42,54.6,96.6,-5.1,-5.3,-12.4,-22.8,349.3,-19.3,-41.6,0,-4020.6,201.001,-3819.5994,1072.2,-2808.3,-232.8,1251.4,1018.6,-84.3,-84.3,-67.6,1895.3,2762,354.6,-67.6
2009-06-30,314.2,48.6,-53.8,-5.2,-51.8,0.4,21.7,-29.7,-103.6,-37.1,-39.7,0,1662.3,424.4,2086.7,2396.8,4406.7,493.1,-3875.601,-3382.501,846.8,-729.2,-89.3,246.3,-3954.7,427.2,-62.6
2009-03-31,161.80000,48.80000,52.30000,101.10000,120.60000,-2.80000,-31.70000,86.10000,446.80000,-50.20000,-55.70000,,4517.80000,-2182.80000,2335.00000,-806.70000,1422.40000,-132.10000,6910.30100,6778.20100,10.60000,10.60000,-82.40000,-9073.10000,-2366.70000,-544.10000,-62.50000
