,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2017-12-31,-75.00000,210.00000,-203.00000,7.00000,-10.00000,-196.00000,,-41.00000,-65.00000,-133.00000,-109.00000,2011.00000,,-7.00000,-7.00000,-15.00000,1880.00000,-1056.00000,,-1056.00000,-134.00000,-134.00000,-232.00000,-28.00000,-1450.00000,219.00000,27.00000,-232.00000
2017-09-30,-63,0,-819,-819,94,534,0,219,2556,1674,242,-12,12,0,12,-58,184,-743,0,-743,-198,-198,-212,-1393,-2546,-201,20,-212
2017-06-30,711,281,-68,213,-298,-215,0,-133,-708,216,-357,0,-33,30,-3,0,-360,747,-55,692,-265,-265,-234,-40,153,46,33,-234
2017-03-31,-148,292,470,762,-58,-228,0,-36,-248,366,-247,130,0,-24,-24,0,-141,165,55,220,-60,-60,-282,-98,-220,35,44,-282
2016-12-31,329.00000,346.00000,216.00000,562.00000,37.00000,-142.00000,,-67.00000,-2776.00000,-1885.00000,-369.00000,44.00000,,-6.00000,-6.00000,,-331.00000,556.00000,,556.00000,29.00000,29.00000,-31.00000,1410.00000,1964.00000,-202.00000,37.00000,-31.00000
2016-09-30,-955,273,-1134,-861,-231,234,411,268,3028,1212,-423,464,-48,0,-48,-9,-16,2325,-2828,-503,10,10,-437,-56,-986,232,66,-437
2016-06-30,383,235,85,320,-188,-65,0,-180,-628,75,-251,14,-14,0,-14,-3,-254,-10,945,935,-461,-461,-201,1,274,55,25,-201
2016-03-31,-530,219,310,529,-124,-98,394,383,635,634,-270,22,14,0,14,1,-233,-807,619,-188,4,4,-261,-3,-448,-64,23,-261
2015-12-31,450.00000,226.00000,-91.00000,135.00000,199.00000,-70.00000,-394.00000,-182.00000,-598.00000,-13.00000,-273.00000,-115.00000,,,,4.00000,-384.00000,-7.00000,521.00000,514.00000,16.00000,16.00000,-322.00000,6.00000,214.00000,-197.00000,28.00000,-322.00000
2015-09-30,1194,603,-1038,-435,-193,-35,78,-23,331,1090,-915,2163,-44,7,-37,48,1259,-462,-67,-529,-740,-740,-488,0,-1757,550,46,-488
2015-06-30,156,86,64,150,-126,30,9,1,-61,245,-60,-5,0,2,2,-8,-71,3,0,3,13,13,-86,-3,-73,99,14,-86
2015-03-31,167,81,51,132,29,-59,-46,-30,-130,169,-58,-378,0,-283,-283,9,-710,567,-1,566,24,24,-76,-8,506,-41,15,-76
2014-12-31,162.00000,90.00000,25.00000,115.00000,-7.00000,-35.00000,-41.00000,-67.00000,-181.00000,96.00000,-65.00000,-156.00000,,274.00000,274.00000,-61.00000,-8.00000,,,,-384.00000,-384.00000,-75.00000,-38.00000,-497.00000,-419.00000,15.00000,-75.00000
2014-09-30,-712,687,1212,1899,23,-247,-16,-170,588,1775,-917,-1425,-231,49,-182,-1775,-4299,1168,74,1242,-336,-336,-392,43,557,-1995,34,-392
2014-06-30,1450,88,-1146,-1058,-77,-35,64,-26,-215,177,-74,-13,250,-150,100,1842,1855,0,-1,-1,-539,-539,-83,0,-623,1417,17,-83
2014-03-31,207,86,82,168,11,-12,-7,68,-55,320,-70,-5,0,21,21,-28,-82,0,-160,-160,22,22,-74,-1,-213,16,16,-74
2013-12-31,270.00000,94.00000,-8.00000,86.00000,25.00000,-17.00000,-41.00000,-95.00000,-233.00000,123.00000,-59.00000,-65.00000,,80.00000,80.00000,-23.00000,-67.00000,,160.00000,160.00000,-210.00000,-210.00000,-74.00000,-9.00000,-133.00000,-84.00000,15.00000,-74.00000
2013-09-30,166,95,129,224,-41,28,33,-96,-17,373,-63,-142,0,34,34,-39,-210,0,-19,-19,28,28,-74,5,-60,108,16,-74
2013-06-30,135,95,110,205,-38,-38,43,-3,-72,268,-65,-41,0,1,1,-16,-121,0,-10,-10,-69,-69,-74,-18,-171,25,16,-74
2013-03-31,72,84,30,114,15,-15,-26,51,58,244,-49,-19,0,0,0,-68,-136,0,-1,-1,-102,-102,-70,-1,-174,-71,17,-70
2012-12-31,163.00000,105.00000,50.00000,155.00000,-9.00000,-31.00000,-61.00000,-24.00000,-353.00000,-35.00000,-87.00000,-29.00000,,-80.00000,-80.00000,8.00000,-188.00000,,,,-4.00000,-4.00000,-70.00000,-16.00000,-90.00000,-343.00000,14.00000,-70.00000
2012-09-30,-1304,66,2202,2268,-55,18,21,19,-208,756,1,-10,0,-4,-4,-414,-427,-3021,0,-3021,86,86,-115,3023,-27,-78,48,-115
2012-06-30,246,107,345,452,-78,-54,51,-22,78,776,-109,-17,0,5,5,-329,-450,0,-1,-1,-148,-148,-115,-4,-268,88,23,-115
2012-03-31,547,105,66,171,-31,-27,6,121,-2,716,-94,-117,0,31,31,-288,-468,0,-35,-35,-41,-41,-115,-2,-193,35,21,-115
2011-12-31,98.00000,101.00000,488.00000,589.00000,43.00000,-47.00000,-34.00000,-152.00000,-349.00000,338.00000,-89.00000,-101.00000,,9.00000,9.00000,-260.00000,-441.00000,,35.00000,35.00000,-171.00000,-171.00000,-116.00000,-19.00000,-271.00000,-430.00000,21.00000,-116.00000
2011-09-30,-715,-555,1813,1258,136,161,20,-23,273,816,176,291,0,26,26,-1303,-810,2,-40,-38,12,12,-116,-70,-212,-206,3,-116
2011-06-30,523,331,-100,231,-140,-24,46,-38,-46,708,-185,-386,0,0,0,-29,-600,-1,40,39,-252,-252,-118,-1,-332,-211,27,-118
2011-03-31,320,322,75,397,-54,-85,-20,122,-49,668,-180,-150,0,0,0,20,-310,496,-516,-20,-458,-458,-111,2,-587,-222,28,-111
2010-12-31,490.00000,323.00000,-51.00000,272.00000,11.00000,-133.00000,-79.00000,-55.00000,-526.00000,236.00000,-176.00000,568.00000,,,,262.00000,654.00000,-1.00000,-16.00000,-17.00000,-478.00000,-478.00000,-113.00000,8.00000,-600.00000,287.00000,31.00000,-113.00000
2010-09-30,-564,-402,2008,1606,-17,-1,48,133,-64,978,155,911,58,0,58,-1460,-336,0,67,67,-608,-608,-105,-64,-710,-3,7,-105
2010-06-30,254,304,56,360,-65,-61,81,-93,55,669,-173,-584,0,0,0,1,-756,-450,1,-449,-252,-252,-97,-11,-809,-910,30,-97
2010-03-31,310,280,-5,275,-28,-28,27,63,46,631,-165,-112,0,0,0,-1,-278,-1,-1,-2,3,3,-107,10,-96,260,31,-107
2009-12-31,302.00000,285.00000,68.00000,353.00000,93.00000,-38.00000,-75.00000,-45.00000,-276.00000,379.00000,-148.00000,-278.00000,,,,9.00000,-417.00000,490.00000,-242.00000,248.00000,6.00000,6.00000,-107.00000,12.00000,159.00000,119.00000,31.00000,-107.00000
2009-09-30,205,316,222,538,16,277,49,70,243,986,-201,-192,0,17,17,-7,-383,-1,26,25,0,0,-101,8,-68,575,27,-101
2009-06-30,287,276,44,320,13,154,-10,129,59,666,-162,-127,0,0,0,40,-249,4,-1,3,0,0,-98,6,-89,360,24,-98
2009-03-31,-2290,3264,-31,3233,162,21,-376,-193,-174,769,-327,-270,0,0,0,26,-571,531,-551,-20,-2,-2,-189,-5,-216,-100,52,-189
