,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2017-03-31,91.51800,13.20900,57.47700,70.68600,-267.01400,215.97500,-122.40100,39.80300,-9.99600,,-14.80200,-14.80200,1.42300,-23.37500,-192.30700,-192.30700,-94.40400,-94.40400,-29.10200,,-315.81300,-299.38500,14.16100,-29.10200
2016-12-31,273.173,13.789,142.178,155.967,203.081,-249.399,-54.3639,374.776,-8.744,0,-0.49,-0.49,7.627,-1.607,171.618,171.618,-252.36,-252.36,-30.368,0,-111.11,262.059,2.415,-30.368
2016-09-30,128.47,13.513,91.986,105.499,-289.756,41.197,-220.369,13.6,-9.507,-0.433,-0.28,-0.28,0,-10.22,478.354,478.354,-244.937,-244.937,-31.279,0,202.138,205.518,2.907,-31.279
2016-06-30,117.76,13.592,80.651,94.243,-428.507,-63.799,-469.192,-257.189,-11.584,-0.014,-0.235,-0.235,4.22,-7.613,-418.82,-418.82,-47.371,-47.371,-31.451,0,-497.642,-762.444,7.551,-31.451
2016-03-31,83.30000,13.11300,63.82800,76.94100,-381.91000,126.75300,-223.15800,-62.91700,-9.46000,-430.01100,-13.53400,-13.53400,1.25300,-451.75200,841.61000,841.61000,-52.69300,-52.69300,-31.56800,,757.34900,242.68000,9.35500,-31.56800
2015-12-31,228.028,12.503,140.25,152.753,-82.022,-204.565,-473.472,-92.691,-11.391,0,-0.454,-0.454,-2.339,-14.184,159.696,159.696,0.164,0.164,-28.061,0,131.799,24.924,4.613,-28.061
2015-09-30,107.767,11.866,75.771,87.637,-349.6,-83.737,-249.2,-53.796,-10.934,0,0,0,-0.981,-11.915,485.798,485.798,-117.523,-117.523,-28.772,0,339.503,273.792,5.485,-28.772
2015-06-30,103.324,10.791,73.137,83.928,-254.683,-105.917,-352.958,-165.706,-8.598,0,0,0,10.018,1.42,-186.286,-186.286,-213.485,-213.485,-29.509,0,-429.28,-593.566,6.374,-29.509
2015-03-31,54.97100,11.06200,53.89500,64.95700,-230.99300,114.46000,-145.32500,-25.39700,-14.51700,,,,4.63200,-9.88500,-72.67800,-72.67800,-101.35900,-101.35900,-29.61600,,-203.65300,-238.93500,8.28000,-29.61600
2014-12-31,217.094,11,70.361,81.361,46.632,-136.092,-192.409,106.046,-6.902,-4.95,-0.009,-0.009,-41.156,-53.017,68.647,68.647,-88.286,-88.286,-18.702,0,-38.341,14.688,8.002,-18.702
2014-09-30,140.545,9.96,85.253,95.213,-134.71,-12.128,-108.205,127.553,-8.965,-77.469,6.8,6.8,70.35,-9.284,2.59,2.59,-51.184,-51.184,-18.792,0,-67.386,50.883,4.493,-18.792
2014-06-30,41.88,9.962,43.323,53.285,-181.049,-41.048,-112.279,-17.114,-15.081,0,-0.401,-0.401,-24.983,-40.465,32.55,32.55,-53.112,-53.112,-19.087,0,-39.649,-97.228,8.275,-19.087
2014-03-31,74.81900,8.94200,71.31000,80.25200,-68.81200,89.28500,-63.67500,91.39600,-17.84200,,-6.39900,-6.39900,4.39400,-19.84700,-319.84100,-319.84100,-44.81000,-44.81000,-19.06500,,-383.71600,-312.16700,8.52200,-19.06500
2013-12-31,220.053,8.453,27.482,35.935,176.024,0.013,70.198,326.186,-10.554,0,-11.444,-11.444,-5.888,-27.886,-12.041,-12.041,-36.859,-36.859,-19.065,0,-67.965,230.335,8.91,-19.065
2013-09-30,2281.884,8.05,-2096.155,-2088.105,56.12,-56.382,26.106,219.885,-7.337,0,-0.032,-0.032,-3.347,-10.716,30.962,30.962,-83.488,-83.488,-19.317,0,-71.843,137.326,5.805,-19.317
2013-06-30,36.417,7.745,38.285,46.03,-66.84,-31.203,-18.002,64.445,-5.689,0,-0.206,-0.206,-0.291,-6.186,-449.502,-449.502,10.987,10.987,0,0,-438.515,-380.256,8.624,0
2013-03-31,81.76200,7.33900,11.33900,18.67800,99.76000,81.21700,170.18000,270.62000,-5.31900,,-0.58300,-0.58300,4.71300,-1.18900,-82.37700,-82.37700,1.11000,1.11000,,,-81.26700,188.16400,7.14100,0.00000
2012-12-31,58.742,7.749,50.316,58.065,294.25,-25.704,222.101,338.908,-0.464,0,-15.09,-15.09,2.89,-12.664,-490.512,-490.512,5.377,5.377,0,0,-485.135,-158.891,8.529,0
2012-09-30,116.633,7.45,14.448,21.898,88.751,-42.426,71.161,209.692,-3.522,0,-0.299,-0.299,9.816,5.995,10.107,10.107,27.379,27.379,0,0,37.486,253.173,5.482,0
2012-06-30,42.436,7.435,9.626,17.061,26.253,-49.492,37.353,96.85,-3.087,0,-0.475,-0.475,7.038,3.476,-1.52,-1.52,-0.063,-0.063,0,0,-1.583,98.743,5.167,0
2012-03-31,-11.66600,7.39300,11.55800,18.95100,45.96900,84.06500,107.40500,114.69000,0.71700,,0.24400,0.24400,11.93800,12.89900,1.92000,1.92000,-0.84500,-0.84500,,,1.07500,128.66400,3.71900,
2011-12-31,13.821,7.469,39.185,46.654,229.122,-4.776,116.77,177.245,-4.97,0,-0.978,-0.978,6.329,0.381,-252.782,-252.782,-0.815,-0.815,0,0,-253.597,-75.971,2.526,0
2011-09-30,-129.298,248.197,13.462,261.659,6.733,-10.522,-73,59.361,-4.043,0,-0.635,-0.635,15.087,10.409,0.48,0.48,-0.065,-0.065,0,0,0.415,70.185,3.039,0
2011-06-30,-55.385,8.003,15.403,23.406,-170.649,9.057,-137.707,-169.686,2.017,0,-0.952,-0.952,8.562,9.627,-55.519,-55.519,-0.987,-0.987,0,0,-56.506,-216.565,5.895,0
2011-03-31,-39.52600,8.97000,6.31900,15.28900,-10.31500,112.53900,-25.40400,-49.64100,-3.68700,,-1.71300,-1.71300,-108.64600,-114.04600,-13.31200,-13.31200,-0.96900,-0.96900,,,-14.28100,-177.96800,5.51000,
2010-12-31,-165.428,10.7299,172.11,182.8401,36.868,878.648,-223.874,-206.462,-2.992,0,2.481,2.481,0.338,-0.173,-934.502,-934.502,-0.908,-0.908,0,0,-935.41,-1142.045,4.601,0
2010-09-30,-995.116,665.497,77.978,743.4749,-96.07,111.809,200.16,-51.481,-2.777,0,7.382,7.382,0.2,4.805,-75.353,-75.353,-1.315,-1.315,0,0,-76.668,-123.344,10.995,0
2010-06-30,76.303,12.845,33.708,46.553,130.903,-97.066,49.6441,172.5,-4.781,0,-19.496,-19.496,0.851,-23.426,15.424,15.424,0.476,0.476,0,0,15.9,164.974,8.376,0
2010-03-31,-12.48800,12.88600,15.78900,28.67500,-100.45500,76.69800,661.37990,677.56700,-2.84900,,-0.65400,-0.65400,2.84200,-0.66100,40.12000,40.12000,6.39200,6.39200,,,46.51200,723.41800,8.10900,
2009-12-31,-116.897,577.894,321.735,899.629,453.497,134.012,-383.888,398.844,-13.29,0,-10.417,-10.417,5.219,-18.488,-46.2,-46.2,1.248,1.248,0,-3.058,-48.01,331.776,10.74,0
2009-09-30,-361.387,14.539,235.057,249.596,-92.227,103.567,42.352,-69.439,-2.703,1748.742,-5.317,-5.317,3.159,1743.881,-1789.933,-1789.933,-2.836,-2.836,0,0,-1792.769,-119.417,18.705,0
2009-06-30,-189.465,11.825,110.525,122.35,78.865,71.678,176.311,109.196,-2.03,0,-2.284,-2.284,0.234,-4.08,-217.176,-217.176,0.069,0.069,0,0,-217.107,-109.756,8.413,0
2009-03-31,-514.81800,12.97800,420.47900,433.45700,53.89100,173.81000,372.11500,290.75400,-19.17800,,-8.32400,-8.32400,,-27.50200,-171.06200,-171.06200,-1.08300,-1.08300,,,-172.14500,90.53200,8.48500,
