,cash-on-hand,receivables-total,pre-paid-expenses,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2018-04-30,1292.90000,206.70000,198.40000,1698.00000,158.20000,171.50000,1628.00000,188.70000,2213.40000,3911.40000,1852.60000,1586.60000,178.80000,2187.40000,4040.00000,2001.00000,-1995.80000,-133.80000,-128.60000,3911.40000
2018-01-31,1323.20000,438.20000,116.50000,1877.90000,145.00000,190.80000,1647.30000,170.90000,2235.70000,4113.60000,2123.20000,1586.00000,190.30000,2246.40000,4369.60000,1952.70000,-2084.90000,-123.80000,-256.00000,4113.60000
2017-10-31,1453.90000,307.80000,110.20000,1871.90000,148.10000,264.30000,1618.60000,184.40000,2280.10000,4152.00000,1750.00000,1585.40000,180.60000,2294.70000,4044.70000,1930.80000,-1668.00000,-155.50000,107.30000,4152.00000
2017-07-31,1707.70000,265.60000,110.00000,2083.30000,153.00000,236.00000,1622.60000,192.90000,2270.70000,4354.00000,1701.70000,1584.90000,183.50000,2336.80000,4038.50000,1934.80000,-1466.40000,-152.90000,315.50000,4354.00000
2017-04-30,1811.30000,231.50000,96.90000,2139.70000,150.40000,264.40000,1611.80000,201.10000,2291.70000,4431.40000,2049.60000,1092.40000,179.60000,1873.70000,3923.30000,1899.00000,-1224.60000,-166.30000,508.10000,4431.40000
2017-01-31,1899.90000,452.30000,108.40000,2460.60000,158.60000,306.20000,1606.80000,202.00000,2337.50000,4798.10000,2185.40000,1092.00000,177.70000,1879.10000,4064.50000,1876.30000,-964.20000,-178.50000,733.60000,4798.10000
2016-10-31,1968.90000,259.80000,103.40000,2332.10000,168.30000,455.00000,1611.20000,213.00000,2497.10000,4829.20000,1597.60000,1489.90000,171.30000,2171.00000,3768.60000,1882.80000,-634.70000,-187.50000,1060.60000,4829.20000
2016-07-31,2064.90000,306.90000,114.70000,2486.50000,173.00000,505.60000,1664.00000,208.50000,2560.90000,5047.40000,1559.60000,1489.20000,187.40000,2156.10000,3715.70000,1857.10000,-395.60000,-129.80000,1331.70000,5047.40000
2016-04-30,2267.30000,256.40000,105.30000,2629.00000,174.90000,538.90000,1650.50000,202.50000,2576.60000,5205.60000,1474.50000,1488.40000,296.80000,2295.20000,3769.70000,1865.60000,-308.20000,-121.50000,1435.90000,5205.60000
2016-01-31,2250.90000,653.60000,88.60000,2993.10000,169.30000,532.30000,1605.80000,205.60000,2522.20000,5515.30000,1591.00000,1487.70000,299.00000,2304.70000,3895.70000,1821.50000,-80.80000,-121.10000,1619.60000,5515.30000
2015-10-31,2284.30000,362.30000,90.70000,2747.50000,155.30000,540.10000,1591.10000,181.60000,2472.50000,5220.00000,1311.20000,1486.90000,298.60000,2175.70000,3486.90000,1809.90000,9.70000,-86.50000,1733.10000,5220.00000
2015-07-31,2389.90000,394.10000,105.80000,2899.80000,158.20000,562.50000,1547.00000,170.10000,2442.00000,5341.80000,1313.80000,1486.20000,256.10000,2125.90000,3439.70000,1808.00000,164.40000,-70.30000,1902.10000,5341.80000
2015-04-30,1830.90000,316.00000,112.90000,2341.00000,156.90000,440.30000,1560.90000,170.00000,2434.90000,4775.90000,1270.30000,747.40000,273.50000,1281.20000,2551.50000,1816.20000,464.20000,-56.00000,2224.40000,4775.90000
2015-01-31,2026.40000,458.90000,100.90000,2671.30000,159.20000,273.00000,1542.70000,163.50000,2238.40000,4909.70000,1400.10000,743.10000,291.00000,1290.40000,2690.50000,1773.10000,499.40000,-53.30000,2219.20000,4909.70000
2014-10-31,1901.40000,375.70000,100.90000,2458.70000,160.40000,255.50000,1571.30000,193.20000,2278.10000,4736.80000,1193.30000,747.00000,296.90000,1275.00000,2468.30000,1731.20000,538.60000,-1.30000,2268.50000,4736.80000
2014-07-31,1906.40000,365.30000,102.00000,2450.00000,146.90000,262.10000,1548.30000,209.30000,2253.40000,4703.40000,1157.30000,746.80000,298.10000,1262.70000,2420.00000,1697.10000,584.00000,2.30000,2283.40000,4703.40000
2014-04-30,2119.70000,323.30000,92.80000,2590.30000,142.10000,268.20000,1352.40000,202.00000,2058.30000,4648.60000,1118.70000,746.60000,280.80000,1241.20000,2359.90000,1683.10000,600.00000,5.60000,2288.70000,4648.60000
2014-01-31,2267.10000,423.70000,87.40000,2835.00000,130.30000,277.30000,1073.00000,148.30000,1760.00000,4595.00000,1071.50000,746.40000,311.20000,1262.00000,2333.50000,1637.30000,624.80000,-0.60000,2261.50000,4595.00000
2013-10-31,2060.50000,304.10000,99.80000,2517.90000,134.10000,418.50000,976.60000,156.10000,1803.60000,4321.50000,948.10000,746.20000,310.40000,1211.50000,2159.60000,1535.10000,630.90000,-4.10000,2161.90000,4321.50000
2013-07-31,1997.90000,303.90000,83.10000,2436.50000,133.40000,410.10000,966.30000,151.70000,1786.80000,4223.30000,955.90000,746.00000,301.70000,1216.30000,2172.20000,1455.80000,602.80000,-7.50000,2051.10000,4223.30000
2013-04-30,2087.90000,285.80000,81.40000,2511.10000,129.00000,392.00000,964.90000,158.40000,1778.60000,4289.70000,979.80000,745.80000,291.90000,1225.40000,2205.20000,1499.50000,587.00000,-2.00000,2084.50000,4289.70000
2013-01-31,1954.30000,495.10000,60.80000,2552.40000,114.90000,411.10000,947.50000,159.70000,1756.00000,4308.40000,1043.70000,745.60000,288.30000,1221.50000,2265.20000,1449.80000,599.10000,-5.70000,2043.20000,4308.40000
2012-10-31,1329.10000,293.30000,53.80000,1724.60000,114.60000,408.30000,900.50000,152.90000,1704.60000,3429.20000,985.30000,,270.40000,426.00000,1411.30000,1438.90000,585.40000,-6.40000,2017.90000,3429.20000
2012-07-31,1430.70000,361.40000,65.80000,1902.70000,109.00000,286.10000,810.60000,130.70000,1473.20000,3375.90000,901.40000,,262.10000,423.20000,1324.60000,1457.30000,593.40000,0.60000,2051.30000,3375.90000
2012-04-30,1512.00000,300.60000,60.80000,1912.10000,104.00000,284.10000,757.70000,129.80000,1404.90000,3317.00000,875.50000,,254.00000,396.20000,1271.70000,1496.20000,545.40000,3.70000,2045.30000,3317.00000
2012-01-31,1411.30000,395.10000,59.40000,1895.90000,104.50000,192.80000,767.00000,131.80000,1331.90000,3227.80000,954.10000,,253.90000,390.80000,1344.90000,1365.40000,511.60000,5.90000,1882.90000,3227.80000
2011-10-31,1343.60000,259.20000,61.60000,1698.60000,102.10000,190.60000,744.30000,130.70000,1306.40000,3005.00000,813.60000,,243.90000,363.90000,1177.50000,1359.90000,464.20000,3.40000,1827.50000,3005.00000
2011-07-31,1373.30000,297.00000,73.20000,1778.80000,105.20000,179.20000,676.80000,114.90000,1194.90000,2973.70000,827.10000,,240.40000,357.50000,1184.60000,1356.50000,418.30000,14.30000,1789.10000,2973.70000
2011-04-30,1349.80000,271.00000,72.50000,1732.40000,99.80000,175.90000,668.50000,122.90000,1169.80000,2902.20000,819.50000,,228.00000,331.50000,1151.00000,1363.50000,382.90000,4.80000,1751.20000,2902.20000
2011-01-31,1274.30000,318.40000,64.80000,1714.30000,84.50000,192.60000,611.30000,94.20000,1073.30000,2787.60000,869.80000,,216.80000,308.50000,1178.30000,1267.20000,342.70000,-0.60000,1609.30000,2787.60000
2010-10-31,1136.80000,240.10000,49.20000,1470.80000,84.80000,199.80000,615.00000,103.00000,1110.30000,2581.10000,734.70000,,213.20000,290.30000,1025.00000,1242.10000,318.00000,-4.00000,1556.10000,2581.10000
2010-07-31,1086.60000,231.00000,56.20000,1417.40000,88.50000,184.10000,619.30000,102.60000,1107.60000,2525.00000,723.10000,,204.20000,276.10000,999.20000,1225.10000,303.60000,-2.90000,1525.80000,2525.00000
2010-04-30,1059.80000,218.10000,72.30000,1394.00000,95.50000,179.50000,620.40000,99.90000,1107.70000,2501.70000,711.00000,,203.50000,276.60000,987.60000,1237.60000,277.60000,-1.10000,1514.10000,2501.70000
2010-01-31,1000.60000,277.40000,57.40000,1379.60000,101.60000,125.60000,630.90000,107.60000,1067.60000,2447.20000,704.00000,,197.80000,269.70000,973.70000,1204.30000,272.70000,-3.50000,1473.50000,2447.20000
2009-10-31,961.60000,215.70000,60.00000,1287.10000,111.90000,92.00000,619.40000,112.30000,1028.30000,2315.40000,627.30000,,188.10000,256.40000,883.70000,1194.20000,233.80000,3.70000,1431.70000,2315.40000
2009-07-31,936.40000,223.90000,58.70000,1267.30000,118.30000,92.30000,622.20000,118.30000,1043.80000,2311.10000,661.70000,,186.80000,264.30000,926.00000,1166.60000,219.90000,-1.40000,1385.10000,2311.10000
2009-04-30,958.90000,228.60000,67.70000,1302.20000,120.70000,7.60000,625.70000,125.00000,967.30000,2269.50000,681.80000,,178.30000,259.20000,941.00000,1128.80000,209.40000,-9.70000,1328.50000,2269.50000
2009-01-31,981.10000,316.50000,59.30000,1388.00000,120.60000,7.60000,655.80000,123.00000,1032.70000,2420.70000,800.10000,,173.90000,309.90000,1110.00000,1080.40000,241.50000,-11.20000,1310.70000,2420.70000
