,cash-on-hand,receivables-total,inventory,pre-paid-expenses,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2014-11-30,4713.00000,3457.00000,4150.00000,1379.00000,14033.00000,2927.00000,412.00000,5134.00000,19167.00000,4937.00000,1084.00000,2530.00000,7467.00000,3.00000,4797.00000,525.00000,11700.00000,19167.00000
2014-08-31,4579.00000,3587.00000,4030.00000,996.00000,13540.00000,2895.00000,413.00000,4981.00000,18521.00000,4813.00000,1195.00000,2603.00000,7416.00000,3.00000,4808.00000,224.00000,11105.00000,18521.00000
2014-05-31,5142.00000,3434.00000,3947.00000,818.00000,13696.00000,2834.00000,413.00000,4898.00000,18594.00000,5027.00000,1199.00000,2743.00000,7770.00000,3.00000,4871.00000,85.00000,10824.00000,18594.00000
2014-02-28,5029.00000,3355.00000,3825.00000,882.00000,13410.00000,2736.00000,517.00000,4393.00000,17803.00000,3954.00000,1201.00000,2716.00000,6670.00000,3.00000,5374.00000,33.00000,11133.00000,17803.00000
2013-11-30,5187.00000,3208.00000,3695.00000,1202.00000,13607.00000,2645.00000,516.00000,4213.00000,17820.00000,3851.00000,1201.00000,2625.00000,6476.00000,3.00000,5685.00000,90.00000,11344.00000,17820.00000
2013-08-31,5578.00000,3207.00000,3472.00000,1053.00000,13618.00000,2557.00000,514.00000,4056.00000,17674.00000,3863.00000,1207.00000,2529.00000,6392.00000,3.00000,5762.00000,177.00000,11282.00000,17674.00000
2013-05-31,5965.00000,3117.00000,3484.00000,756.00000,13630.00000,2452.00000,420.00000,3915.00000,17545.00000,3962.00000,1210.00000,2502.00000,6464.00000,3.00000,5620.00000,274.00000,11081.00000,17545.00000
2013-02-28,4042.00000,3232.00000,3329.00000,882.00000,11789.00000,2260.00000,507.00000,3826.00000,15615.00000,3500.00000,161.00000,1448.00000,4948.00000,3.00000,5456.00000,231.00000,10667.00000,15615.00000
2012-11-30,3525.00000,3188.00000,3318.00000,733.00000,11435.00000,2258.00000,505.00000,3736.00000,15171.00000,3799.00000,170.00000,1358.00000,5157.00000,3.00000,5029.00000,138.00000,10014.00000,15171.00000
2012-08-31,3267.00000,3431.00000,3411.00000,745.00000,11136.00000,2291.00000,738.00000,3978.00000,15114.00000,3776.00000,226.00000,1291.00000,5067.00000,3.00000,5215.00000,111.00000,10047.00000,15114.00000
2012-05-31,3757.00000,3132.00000,3222.00000,857.00000,11845.00000,2209.00000,501.00000,3620.00000,15465.00000,3882.00000,228.00000,1202.00000,5084.00000,3.00000,5588.00000,149.00000,10381.00000,15465.00000
2012-02-29,3197.00000,3296.00000,3356.00000,772.00000,10932.00000,2205.00000,736.00000,3862.00000,14794.00000,3410.00000,229.00000,1208.00000,4618.00000,3.00000,5447.00000,243.00000,10176.00000,14794.00000
2011-11-30,3365.00000,3103.00000,3164.00000,795.00000,10725.00000,2177.00000,733.00000,3840.00000,14565.00000,3563.00000,234.00000,1159.00000,4722.00000,3.00000,5290.00000,215.00000,9843.00000,14565.00000
2011-08-31,3700.00000,3279.00000,3107.00000,638.00000,11039.00000,2166.00000,740.00000,3764.00000,14803.00000,3760.00000,238.00000,1144.00000,4904.00000,3.00000,5653.00000,105.00000,9899.00000,14803.00000
2011-05-31,4538.00000,3138.00000,2715.00000,594.00000,11297.00000,2115.00000,692.00000,3701.00000,14998.00000,3958.00000,276.00000,1197.00000,5155.00000,3.00000,5801.00000,95.00000,9843.00000,14998.00000
2011-02-28,4465.00000,2985.00000,2536.00000,513.00000,10785.00000,2057.00000,666.00000,3693.00000,14478.00000,3342.00000,276.00000,1234.00000,4576.00000,3.00000,5954.00000,106.00000,9902.00000,14478.00000
2010-11-30,4789.00000,2792.00000,2348.00000,720.00000,10916.00000,2003.00000,661.00000,3548.00000,14464.00000,3248.00000,338.00000,1267.00000,4515.00000,3.00000,6043.00000,151.00000,9949.00000,14464.00000
2010-08-31,4688.00000,2791.00000,2210.00000,583.00000,10531.00000,1975.00000,662.00000,3520.00000,14051.00000,3142.00000,342.00000,1249.00000,4391.00000,3.00000,6011.00000,138.00000,9660.00000,14051.00000
2010-05-31,5146.00000,2650.00000,2041.00000,873.00000,10959.00000,1932.00000,655.00000,3460.00000,14419.00000,3364.00000,446.00000,1301.00000,4665.00000,3.00000,6095.00000,215.00000,9754.00000,14419.00000
2010-02-28,4038.90000,2833.80000,2150.30000,843.30000,10088.00000,1962.60000,658.70000,3488.30000,13576.30000,2846.70000,451.90000,1300.70000,4147.40000,2.80000,5919.10000,234.40000,9428.90000,13576.30000
2009-11-30,4010.00000,2716.50000,2176.30000,642.80000,9765.60000,2023.90000,668.70000,3592.80000,13358.40000,2798.30000,459.60000,1336.00000,4134.30000,2.80000,5879.20000,156.00000,9224.10000,13358.40000
2009-08-31,3629.80000,2835.30000,2288.40000,639.30000,9606.90000,1980.80000,666.10000,3583.70000,13190.60000,2852.80000,443.20000,1247.10000,4099.90000,2.80000,5827.70000,244.30000,9090.70000,13190.60000
2009-05-31,3455.10000,2883.90000,2357.00000,765.60000,9734.00000,1957.70000,660.90000,3515.60000,13249.60000,3277.00000,437.20000,1279.50000,4556.50000,2.80000,5451.40000,367.50000,8693.10000,13249.60000
2009-02-28,2604.20000,2892.40000,2466.60000,970.90000,8998.60000,1893.90000,647.90000,3257.10000,12255.70000,2858.20000,437.80000,1186.70000,4044.90000,2.80000,5231.50000,191.30000,8210.80000,12255.70000
