,cash-on-hand,receivables-total,inventory,pre-paid-expenses,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,other-share-holders-equity,total-share-holder-equity,total-liabilities-share-holders-equity
2017-06-30,375.00000,748.00000,267.00000,165.00000,1555.00000,1120.00000,23.00000,7352.00000,208.00000,8764.00000,10319.00000,1580.00000,4391.00000,248.00000,6584.00000,8164.00000,2.00000,2346.00000,-193.00000,,2155.00000,10319.00000
2017-03-31,160.00000,661.00000,246.00000,180.00000,1247.00000,1125.00000,23.00000,7344.00000,206.00000,8761.00000,10008.00000,1147.00000,4467.00000,258.00000,6668.00000,7815.00000,2.00000,2336.00000,-206.00000,,2193.00000,10008.00000
2016-12-31,1787.00000,646.00000,202.00000,101.00000,2736.00000,1138.00000,23.00000,5649.00000,183.00000,7055.00000,9791.00000,1051.00000,4468.00000,209.00000,6606.00000,7657.00000,2.00000,2266.00000,-229.00000,,2134.00000,9791.00000
2016-09-30,620.00000,640.00000,226.00000,116.00000,1602.00000,1124.00000,24.00000,5651.00000,210.00000,7071.00000,8673.00000,1483.00000,2956.00000,190.00000,5061.00000,6544.00000,2.00000,2246.00000,-213.00000,,2129.00000,8673.00000
2016-06-30,245.00000,700.00000,236.00000,144.00000,1325.00000,1129.00000,35.00000,5644.00000,209.00000,7081.00000,8406.00000,1170.00000,2921.00000,212.00000,5094.00000,6264.00000,2.00000,2248.00000,-202.00000,,2142.00000,8406.00000
2016-03-31,275.00000,629.00000,235.00000,144.00000,1283.00000,1136.00000,36.00000,5650.00000,193.00000,7081.00000,8364.00000,1176.00000,2907.00000,216.00000,5086.00000,6262.00000,2.00000,2194.00000,-187.00000,,2102.00000,8364.00000
2015-12-31,911.00000,628.00000,209.00000,69.00000,1817.00000,1156.00000,31.00000,5651.00000,150.00000,7052.00000,8869.00000,1583.00000,2875.00000,260.00000,5103.00000,6686.00000,2.00000,2165.00000,-195.00000,,2183.00000,8869.00000
2015-09-30,207.00000,628.00000,201.00000,113.00000,1222.00000,1077.00000,31.00000,5661.00000,172.00000,7003.00000,8225.00000,1589.00000,2130.00000,265.00000,4439.00000,6028.00000,2.00000,2072.00000,-190.00000,,2197.00000,8225.00000
2015-06-30,127.00000,693.00000,217.00000,159.00000,1259.00000,1095.00000,13.00000,5668.00000,165.00000,7008.00000,8267.00000,1563.00000,2097.00000,298.00000,4442.00000,6005.00000,2.00000,1962.00000,-149.00000,,2262.00000,8267.00000
2015-03-31,93.00000,637.00000,228.00000,163.00000,1194.00000,1115.00000,13.00000,5670.00000,193.00000,7058.00000,8252.00000,1555.00000,2113.00000,303.00000,4476.00000,6031.00000,2.00000,1835.00000,-162.00000,,2221.00000,8252.00000
2014-12-31,237.00000,617.00000,204.00000,86.00000,1211.00000,1141.00000,14.00000,5674.00000,151.00000,7054.00000,8265.00000,1038.00000,2580.00000,302.00000,4933.00000,5971.00000,2.00000,1771.00000,-137.00000,,2294.00000,8265.00000
2014-09-30,266.00000,609.00000,191.00000,118.00000,1241.00000,1108.00000,15.00000,5675.00000,145.00000,7020.00000,8261.00000,1024.00000,2539.00000,283.00000,4874.00000,5898.00000,2.00000,1702.00000,-99.00000,,2363.00000,8261.00000
2014-06-30,135.00000,642.00000,213.00000,134.00000,1189.00000,1122.00000,15.00000,5681.00000,137.00000,7037.00000,8226.00000,1063.00000,2537.00000,295.00000,4894.00000,5957.00000,2.00000,1594.00000,-85.00000,-50.00000,2269.00000,8226.00000
2014-03-31,120.00000,620.00000,226.00000,143.00000,1173.00000,1149.00000,15.00000,5680.00000,130.00000,7054.00000,8227.00000,1105.00000,2523.00000,301.00000,4896.00000,6001.00000,2.00000,1466.00000,-91.00000,-90.00000,2226.00000,8227.00000
2013-12-31,153.00000,622.00000,200.00000,78.00000,1119.00000,1173.00000,15.00000,5682.00000,127.00000,7082.00000,8201.00000,1030.00000,2508.00000,313.00000,4894.00000,5924.00000,2.00000,1393.00000,-88.00000,,2277.00000,8201.00000
2013-09-30,119.00000,586.00000,196.00000,98.00000,1059.00000,1155.00000,14.00000,5684.00000,129.00000,7070.00000,8129.00000,956.00000,2521.00000,265.00000,4865.00000,5821.00000,2.00000,1313.00000,-103.00000,-20.00000,2308.00000,8129.00000
2013-06-30,113.00000,680.00000,222.00000,132.00000,1213.00000,1169.00000,14.00000,5686.00000,540.00000,7496.00000,8709.00000,1064.00000,2521.00000,799.00000,5341.00000,6405.00000,2.00000,1184.00000,-104.00000,,2304.00000,8709.00000
2013-03-31,208.00000,634.00000,216.00000,155.00000,1280.00000,1186.00000,15.00000,5693.00000,572.00000,7592.00000,8872.00000,1212.00000,2547.00000,853.00000,5421.00000,6633.00000,2.00000,1107.00000,-97.00000,,2239.00000,8872.00000
2012-12-31,366.00000,602.00000,197.00000,104.00000,1335.00000,1202.00000,14.00000,5667.00000,580.00000,7593.00000,8928.00000,1232.00000,2554.00000,846.00000,5416.00000,6648.00000,2.00000,1080.00000,-110.00000,,2280.00000,8928.00000
2012-09-30,383.00000,598.00000,207.00000,114.00000,1396.00000,1194.00000,14.00000,5668.00000,583.00000,7593.00000,8989.00000,1736.00000,2065.00000,833.00000,4935.00000,6671.00000,2.00000,981.00000,-98.00000,,2318.00000,8989.00000
2012-06-30,303.00000,652.00000,217.00000,126.00000,1391.00000,1141.00000,13.00000,5665.00000,565.00000,7516.00000,8907.00000,1734.00000,2020.00000,820.00000,4878.00000,6612.00000,2.00000,874.00000,-105.00000,,2295.00000,8907.00000
2012-03-31,192.00000,601.00000,225.00000,157.00000,1261.00000,1149.00000,14.00000,5670.00000,558.00000,7523.00000,8784.00000,1412.00000,2247.00000,829.00000,5112.00000,6524.00000,2.00000,769.00000,-86.00000,,2260.00000,8784.00000
2011-12-31,701.00000,635.00000,212.00000,113.00000,1757.00000,1152.00000,13.00000,5657.00000,573.00000,7526.00000,9283.00000,1915.00000,2256.00000,814.00000,5105.00000,7020.00000,2.00000,740.00000,-110.00000,,2263.00000,9283.00000
2011-09-30,651.00000,589.00000,260.00000,115.00000,1695.00000,1121.00000,11.00000,5657.00000,574.00000,7494.00000,9189.00000,1726.00000,2210.00000,811.00000,5207.00000,6933.00000,2.00000,643.00000,-97.00000,,2256.00000,9189.00000
2011-06-30,550.00000,654.00000,275.00000,150.00000,1695.00000,1147.00000,12.00000,5674.00000,554.00000,7533.00000,9228.00000,1561.00000,2184.00000,796.00000,5330.00000,6891.00000,2.00000,559.00000,-22.00000,,2337.00000,9228.00000
2011-03-31,657.00000,599.00000,264.00000,192.00000,1773.00000,1153.00000,12.00000,5675.00000,554.00000,7541.00000,9314.00000,1413.00000,2182.00000,791.00000,5471.00000,6884.00000,2.00000,458.00000,-26.00000,,2430.00000,9314.00000
2010-12-31,315.00000,571.00000,244.00000,122.00000,1309.00000,1168.00000,11.00000,5675.00000,552.00000,7550.00000,8859.00000,1338.00000,1687.00000,777.00000,5062.00000,6400.00000,2.00000,400.00000,-28.00000,,2459.00000,8859.00000
2010-09-30,224.00000,558.00000,283.00000,176.00000,1299.00000,1123.00000,11.00000,5677.00000,541.00000,7491.00000,8790.00000,984.00000,2571.00000,724.00000,5221.00000,6205.00000,2.00000,346.00000,-40.00000,,2585.00000,8790.00000
2010-06-30,411.00000,606.00000,269.00000,161.00000,1503.00000,1110.00000,10.00000,5678.00000,542.00000,7475.00000,8978.00000,960.00000,2568.00000,734.00000,5195.00000,6155.00000,2.00000,260.00000,-56.00000,,2823.00000,8978.00000
2010-03-31,571.00000,561.00000,270.00000,169.00000,1630.00000,1106.00000,10.00000,5686.00000,543.00000,7487.00000,9117.00000,850.00000,2566.00000,736.00000,5205.00000,6055.00000,3.00000,138.00000,-41.00000,,3062.00000,9117.00000
2009-12-31,280.00000,572.00000,262.00000,112.00000,1279.00000,1109.00000,9.00000,5685.00000,543.00000,7497.00000,8776.00000,854.00000,2960.00000,737.00000,4735.00000,5589.00000,3.00000,87.00000,-59.00000,,3187.00000,8776.00000
2009-09-30,282.00000,577.00000,275.00000,71.00000,1283.00000,1041.00000,14.00000,5686.00000,566.00000,7457.00000,8740.00000,872.00000,3039.00000,747.00000,4790.00000,5662.00000,3.00000,11.00000,-83.00000,,3078.00000,8740.00000
2009-06-30,235.00000,629.00000,284.00000,76.00000,1310.00000,1013.00000,14.00000,5691.00000,562.00000,7420.00000,8730.00000,816.00000,3240.00000,751.00000,4994.00000,5810.00000,3.00000,-140.00000,-86.00000,,2920.00000,8730.00000
2009-03-31,219.00000,588.00000,286.00000,71.00000,1251.00000,1001.00000,12.00000,5686.00000,558.00000,7389.00000,8640.00000,821.00000,3366.00000,725.00000,5083.00000,5904.00000,3.00000,-298.00000,-112.00000,,2736.00000,8640.00000
