,cash-on-hand,receivables-total,other-current-assets,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2011-12-31,4275.00000,6246.00000,1152.00000,12284.00000,17621.00000,2686.00000,1992.00000,22417.00000,34701.00000,6514.00000,11095.00000,2579.00000,21079.00000,27593.00000,10.00000,10128.00000,-3103.00000,7108.00000,34701.00000
2011-09-30,5453.00000,5584.00000,957.00000,12628.00000,17581.00000,2688.00000,2110.00000,22610.00000,35238.00000,7511.00000,11092.00000,2628.00000,19858.00000,27369.00000,10.00000,13828.00000,-6040.00000,7869.00000,35238.00000
2011-06-30,5637.00000,5951.00000,701.00000,12950.00000,17489.00000,2694.00000,1771.00000,22202.00000,35152.00000,7618.00000,10787.00000,2531.00000,19205.00000,26823.00000,10.00000,14218.00000,-5977.00000,8329.00000,35152.00000
2011-03-31,5444.00000,5781.00000,698.00000,12618.00000,17407.00000,2706.00000,1588.00000,21976.00000,34594.00000,7605.00000,10504.00000,2579.00000,18755.00000,26360.00000,10.00000,14206.00000,-6052.00000,8234.00000,34594.00000
2010-12-31,4081.00000,5627.00000,1202.00000,11569.00000,17387.00000,2680.00000,1961.00000,22028.00000,33597.00000,5902.00000,10491.00000,2624.00000,19648.00000,25550.00000,10.00000,10604.00000,-2635.00000,8047.00000,33597.00000
2010-09-30,3752.00000,5629.00000,713.00000,10756.00000,17471.00000,2694.00000,1673.00000,22151.00000,32907.00000,6801.00000,8648.00000,2585.00000,17580.00000,24381.00000,10.00000,13603.00000,-5153.00000,8526.00000,32907.00000
2010-06-30,4007.00000,5660.00000,805.00000,11024.00000,17615.00000,2678.00000,1640.00000,22245.00000,33269.00000,7687.00000,8614.00000,2662.00000,17652.00000,25339.00000,10.00000,13067.00000,-5217.00000,7930.00000,33269.00000
2010-03-31,3115.00000,5599.00000,783.00000,10060.00000,17758.00000,2698.00000,1651.00000,22444.00000,32504.00000,7366.00000,8548.00000,2529.00000,17525.00000,24891.00000,10.00000,12692.00000,-5155.00000,7613.00000,32504.00000
2009-12-31,2100.00000,5922.00000,668.00000,9275.00000,17979.00000,2685.00000,1607.00000,22608.00000,31883.00000,6239.00000,8668.00000,2530.00000,17948.00000,24187.00000,10.00000,12745.00000,-5127.00000,7696.00000,31883.00000
2009-09-30,2788.00000,5156.00000,924.00000,9566.00000,18092.00000,2620.00000,1571.00000,22645.00000,32211.00000,6774.00000,8908.00000,2508.00000,18391.00000,25165.00000,10.00000,12453.00000,-5531.00000,7046.00000,32211.00000
2009-06-30,3347.00000,4894.00000,1311.00000,10182.00000,17974.00000,2488.00000,1517.00000,22358.00000,32540.00000,7157.00000,8866.00000,2435.00000,18590.00000,25747.00000,10.00000,12352.00000,-5628.00000,6793.00000,32540.00000
2009-03-31,4346.00000,5088.00000,1431.00000,11368.00000,18000.00000,2473.00000,1503.00000,22405.00000,33773.00000,8794.00000,8737.00000,2430.00000,18199.00000,26993.00000,10.00000,12363.00000,-5639.00000,6780.00000,33773.00000
