,cash-on-hand,receivables-total,total-current-assets,net-property-plant-equipment,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2014-03-31,67.04100,8.96600,76.00700,3862.67900,184.80500,4047.48400,4123.49100,52.88600,2109.87800,37.54300,2147.42100,2200.30700,1.15800,-235.00900,7.52800,1923.18400,4123.49100
2013-12-31,148.17400,7.54200,155.71600,3636.54400,184.88000,3821.42400,3977.14000,60.60100,1946.64700,37.99700,1984.64400,2045.24500,1.15700,-226.00200,10.15600,1931.89500,3977.14000
2013-09-30,104.50200,7.92800,112.43000,3223.67200,182.13700,3405.80900,3518.23900,58.24800,1757.05900,34.05200,1824.82400,1883.07200,1.11200,-256.64000,3.14600,1635.16700,3518.23900
2013-06-30,227.43400,3.25800,230.69200,3027.65400,174.27000,3201.92400,3432.61600,46.98200,1763.98500,31.85800,1795.84300,1842.82500,1.11200,-241.39100,5.10800,1589.79100,3432.61600
2013-03-31,55.73200,9.09600,64.82800,2995.51000,168.75800,3164.26800,3229.09600,45.43500,1583.89800,46.61100,1630.50900,1675.94400,1.10900,-231.36900,-12.75900,1553.15200,3229.09600
2012-12-31,47.76100,11.07800,58.83900,2991.72200,172.91600,3164.63800,3223.47700,52.29900,1577.59900,48.24800,1625.84700,1678.14600,1.10700,-235.06400,-14.27300,1545.33100,3223.47700
2012-09-30,66.99200,10.93000,77.92200,2741.94500,193.05500,2935.00000,3012.92200,49.60900,1590.12700,43.03400,1633.16100,1682.77000,1.04300,-243.54600,-14.95600,1330.15200,3012.92200
2012-06-30,222.73600,15.97600,238.71200,2278.33100,191.30000,2469.63100,2708.34300,47.12300,1311.96100,38.61600,1350.57700,1397.70000,1.04100,-261.28800,-11.52500,1310.64300,2708.34300
2012-03-31,61.84800,15.41500,77.26300,2266.53600,179.33700,2445.87300,2523.13600,38.02900,1372.44900,32.91600,1405.36500,1443.39400,0.95000,-262.87400,-8.14200,1079.74200,2523.13600
2011-12-31,52.25200,18.51700,70.76900,2263.79500,182.96000,2446.75500,2517.52400,46.35300,1363.65600,33.75400,1397.41000,1443.76300,0.94800,-264.08600,-7.93600,1073.76100,2517.52400
2011-09-30,64.24700,61.18400,125.43100,2060.18800,188.60900,2248.79700,2374.22800,39.89100,1242.22200,30.04600,1272.26800,1312.15900,0.94300,-267.12200,-7.81900,1062.06900,2374.22800
2011-06-30,67.88700,8.49000,76.37700,2045.62700,188.85300,2234.48000,2310.85700,32.71200,1190.23900,28.96200,1219.20100,1251.91300,0.94200,-269.17300,-6.43600,1058.94400,2310.85700
2011-03-31,83.08200,9.33400,92.41600,1971.41300,189.28800,2160.70100,2253.11700,34.33300,1246.00900,25.63200,1271.64100,1305.97400,0.88500,-266.58800,-4.67800,947.14300,2253.11700
2010-12-31,77.24800,10.06100,87.30900,1972.40200,190.10900,2162.51100,2249.82000,35.24200,1246.91800,28.58900,1275.50700,1310.74900,0.87600,-262.50800,-5.78700,939.07100,2249.82000
2010-09-30,54.69100,24.59300,79.28400,1902.69800,193.16800,2095.86600,2175.15000,37.44500,1171.43200,32.24100,1203.67300,1241.11800,0.87500,-262.66600,-8.53000,934.03200,2175.15000
2010-06-30,62.05300,20.58900,82.64200,1896.32400,200.14900,2096.47300,2179.11500,32.19300,1181.37000,24.78300,1206.15300,1238.34600,0.87500,-261.58200,-4.68900,940.76900,2179.11500
2010-03-31,141.70200,23.00400,164.70600,1875.64300,197.11300,2072.75600,2237.46200,33.89800,1240.25600,23.00100,1263.25700,1297.15500,0.87100,-259.01400,-2.24200,940.30700,2237.46200
2009-12-31,171.15800,5.11400,176.27200,2049.85900,181.42500,2231.28400,2407.55600,33.38600,1402.97700,24.97400,1427.95100,1461.33700,0.86700,-253.87500,-1.05600,946.21900,2407.55600
2009-09-30,143.07500,3.37700,146.45200,2042.61700,180.08100,2222.69800,2369.15000,40.63600,1354.56000,25.21900,1379.77900,1420.41500,0.86400,-248.53300,-1.58400,948.73500,2369.15000
2009-06-30,172.47800,5.66600,178.14400,2029.54200,174.75800,2204.30000,2382.44400,34.46200,1375.18500,26.82300,1402.00800,1436.47000,0.86400,-254.50000,0.18900,945.97400,2382.44400
2009-03-31,89.35500,5.03500,94.39000,2032.56500,176.78100,2209.34600,2303.73600,33.34300,1295.05900,22.29700,1317.35600,1350.69900,0.86100,-238.88000,-1.04500,953.03700,2303.73600
