,cash-on-hand,receivables-total,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2020-03-31,4420.10000,12976.80000,1270.10000,529.90000,19196.90000,2925.30000,5172.50000,8097.80000,27294.70000,7715.50000,7226.00000,1392.80000,9941.80000,17657.30000,346.40000,10642.20000,-1383.90000,9637.40000,27294.70000
2019-12-31,5337.20000,13392.10000,1153.20000,388.00000,20270.50000,2883.80000,5206.80000,8090.60000,28361.10000,8729.90000,7112.50000,1435.10000,9925.10000,18655.00000,346.30000,10398.50000,-1100.10000,9706.10000,28361.10000
2019-09-30,4777.30000,13400.70000,1292.60000,387.30000,19857.90000,2690.80000,5219.00000,7909.80000,27767.70000,8317.30000,6716.00000,1372.00000,9487.70000,17805.00000,347.40000,10798.70000,-1190.00000,9962.70000,27767.70000
2019-06-30,4336.70000,13315.70000,1336.60000,403.70000,19392.70000,2624.40000,5151.10000,7775.50000,27168.20000,7973.80000,6732.10000,1336.30000,9559.00000,17532.80000,347.20000,10301.80000,-1062.20000,9635.40000,27168.20000
2019-03-31,3924.20000,13091.90000,1272.60000,401.70000,18690.40000,2521.50000,4945.10000,7466.60000,26157.00000,7502.50000,6771.60000,1272.20000,9549.00100,17051.50000,347.00000,9793.10000,-1095.50000,9105.50000,26157.00000
2018-12-31,4456.30000,12155.20000,1184.70000,364.70000,18160.90000,2480.90000,4840.60000,7321.50000,25482.40000,7786.80000,6409.70000,1145.70000,9102.70000,16889.50000,346.60000,9275.40000,-1098.50000,8592.90000,25482.40000
2018-09-30,3914.30000,12187.60000,1292.00000,376.80000,17770.70000,2443.60000,4889.10000,7332.70000,25103.40000,6766.40000,6584.70000,1053.30000,9166.00000,15932.40000,352.20000,9718.40000,-895.00000,9171.00000,25103.40000
2018-06-30,3540.10000,11732.40000,1258.50000,492.90000,17023.90000,2397.40000,4734.50000,7131.90000,24155.80000,6743.70000,6077.10000,1115.30000,8632.70000,15376.40000,352.20000,9271.30000,-893.70000,8779.40000,24155.80000
2018-03-31,3550.60000,11572.70000,1068.30000,396.60000,16588.20000,2454.70000,4738.80000,7193.50000,23781.70000,6764.10000,5895.80000,1137.70000,8450.30000,15214.40000,352.10000,8810.10000,-718.30000,8567.30000,23781.70000
2017-12-31,3731.80000,10825.00000,928.40000,404.40000,15889.60000,2464.40000,5086.20000,7550.60000,23440.20000,6391.70000,5945.50000,939.80000,8998.00000,15389.70000,351.80000,8369.10000,-793.60000,8050.50000,23440.20000
2017-09-30,3529.30000,10872.50000,983.00000,252.40000,15637.20000,2389.10000,5077.60000,7466.70000,23103.90000,6099.00000,5966.90000,805.30000,9069.30000,15168.30000,351.50000,8290.70000,-816.20000,7935.60000,23103.90000
2017-06-30,3124.40000,10509.90000,885.30000,269.90000,14789.50000,2325.60000,4938.20000,7263.80000,22053.30000,5905.10000,5655.20000,770.70000,8647.70000,14552.80000,351.30000,7975.90000,-925.20000,7500.50000,22053.30000
2017-03-31,2970.80000,10116.60000,772.20000,223.90000,14083.50000,2270.40000,4685.80000,6956.20000,21039.70000,5293.40000,5849.40000,748.00000,8667.00000,13960.40000,351.30000,7690.90000,-1058.00000,7079.30000,21039.70000
2016-12-31,3056.60000,9699.60000,727.80000,225.60000,13709.60000,2260.00000,4669.30000,6929.30000,20638.90000,5087.00000,6027.70000,739.10000,8774.30000,13861.30000,350.70000,7484.90000,-1128.10000,6777.60000,20638.90000
2016-09-30,2866.80000,10104.20000,824.10000,218.30000,14013.40000,2251.30000,4704.20000,6955.50000,20968.90000,5186.80000,6014.30000,737.40000,8803.90000,13990.70000,351.70000,7516.70000,-926.70000,6978.20000,20968.90000
2016-06-30,3491.20000,10124.90000,824.90000,245.70000,14686.70000,2210.50000,4530.00000,6740.50000,21427.20000,5976.40000,6018.10000,716.60000,8741.10000,14717.50000,351.60000,7254.80000,-927.10000,6709.70000,21427.20000
2016-03-31,3313.40000,10345.90000,829.10000,266.30000,14754.70000,2207.70000,4394.50000,6602.20000,21356.90000,6434.60000,5822.60000,747.70000,8579.10000,15013.70000,351.50000,6857.70000,-889.20000,6343.20000,21356.90000
2015-12-31,3464.50000,10182.60000,796.50000,245.70000,14689.30000,2176.40000,4244.10000,6420.50000,21109.80000,5717.70000,5795.00000,720.20000,8451.70000,14169.40000,351.30000,7536.80000,-1017.00000,6940.40000,21109.80000
2015-09-30,3524.90000,10425.80000,893.10000,355.60000,15199.40000,2140.70000,4179.70000,6320.40000,21519.80000,5389.80000,6143.70000,723.60000,8786.20000,14176.00000,355.00000,7879.00000,-958.20000,7343.80000,21519.80000
2015-06-30,3360.40000,10541.20000,888.20000,363.40000,15153.20000,2162.40000,4099.70000,6262.10000,21415.30000,5699.30000,5914.20000,710.20000,8497.40000,14196.70000,354.90000,7533.10000,-809.60000,7218.60000,21415.30000
2015-03-31,2791.90000,10277.10000,865.70000,340.80000,14275.50000,2157.00000,3894.30000,6051.30000,20326.80000,5061.60000,6000.00000,729.30000,8533.60100,13595.20000,354.70000,7164.00000,-917.30000,6731.60000,20326.80000
2014-12-31,3009.60000,10089.70000,925.70000,290.50000,14315.50000,2313.30000,3990.00000,6303.30000,20618.80000,5678.00000,5588.70000,718.80000,8187.60000,13865.60000,355.20000,6863.80000,-579.80000,6753.20000,20618.80000
2014-09-30,2969.00000,10166.00000,988.10000,308.30000,14431.40000,2383.60000,4211.10000,6594.70000,21026.10000,5903.90000,5292.40000,772.80000,7959.50000,13863.40000,354.80000,6902.40000,-198.60000,7162.70000,21026.10000
2014-06-30,2715.30000,10111.80000,969.10000,301.30000,14097.50000,2499.80000,4310.10000,6809.90000,20907.40000,5396.10000,5609.40000,768.10000,8352.00000,13748.10000,354.70000,6609.20000,63.50000,7159.30000,20907.40000
2014-03-31,2540.30000,10050.50000,958.00000,312.40000,13861.20000,2508.60000,4227.80000,6736.40000,20597.60000,5631.90000,5368.00000,758.60000,8102.20000,13734.10000,354.70000,6368.10000,14.00000,6863.50000,20597.60000
2013-12-31,3017.60000,9831.70000,813.60000,308.10000,13971.00000,2513.30000,4241.20000,6754.50000,20725.50000,5524.40000,5765.30000,734.40000,8566.80000,14091.20000,354.30000,6165.10000,8.70000,6634.30000,20725.50000
2013-09-30,2911.50000,9788.30000,893.10000,370.90000,13963.80000,2460.90000,3886.90000,6347.80000,20311.60000,5657.90000,5493.60000,671.80000,8172.80000,13830.70000,354.10000,6221.50000,-191.10000,6480.90000,20311.60000
2013-06-30,2623.70000,9322.70000,832.00000,349.80000,13128.20000,2390.30000,3683.50000,6073.80000,19202.00000,5681.70000,4937.50000,626.80000,7408.70000,13090.40000,353.80000,5983.00000,-309.90000,6111.60000,19202.00000
2013-03-31,2439.10000,9345.20000,818.20000,345.60000,12948.10000,2333.40000,3552.60000,5886.00000,18834.10000,5809.40000,4639.70000,630.30000,7076.80000,12886.20000,353.70000,5762.30000,-239.00000,5947.90000,18834.10000
2012-12-31,2465.10000,9200.40000,782.40000,331.70000,12779.60000,2312.90000,3535.30000,5848.20000,18627.80000,5945.40000,4317.40000,674.60000,6835.50000,12780.90000,353.40000,5596.40000,-159.50000,5846.90000,18627.80000
2012-09-30,2706.40000,9136.60000,915.60000,333.20000,13091.80000,2182.20000,3418.50000,5600.70000,18692.50000,6240.60000,4293.00000,531.20000,6589.80000,12830.40000,357.20000,5755.80000,-160.60000,5862.10000,18692.50000
2012-06-30,2648.40000,9038.70000,883.20000,356.40000,12926.70000,2096.60000,3221.50000,5318.10000,18244.80000,6324.40000,4018.80000,500.00000,6208.30000,12532.70000,357.10000,5663.50000,-235.90000,5712.10000,18244.80000
2012-03-31,2870.90000,8930.50000,818.80000,350.40000,12970.60000,2062.90000,3124.30000,5187.20000,18157.80000,7189.70000,3118.70000,493.00000,5249.00000,12438.70000,357.10000,5437.60000,-123.90000,5719.10000,18157.80000
2011-12-31,3016.80000,8237.50000,710.40000,249.10000,12213.80000,1973.30000,2985.60000,4958.90000,17172.70000,6901.00000,2745.50000,507.00000,4907.30000,11808.30000,356.80000,5174.50000,-219.00000,5364.40000,17172.70000
2011-09-30,2795.30000,7668.00000,725.10000,259.30000,11447.70000,1867.80000,3038.80000,4906.60000,16354.30000,6220.90000,2763.90000,324.90000,4539.50000,10760.40000,365.50000,5407.60000,-31.00000,5593.90000,16354.30000
2011-06-30,2925.60000,7498.00000,742.70000,266.50000,11432.80000,1818.90000,3049.30000,4868.20000,16301.00000,6244.20000,2383.50000,339.30000,4142.80000,10387.00000,365.50000,5191.50000,239.40000,5914.00000,16301.00000
2011-03-31,2691.40000,7108.40000,590.30000,207.80000,10597.90000,1724.00000,2811.80000,4535.80000,15133.70000,4975.60000,2797.30000,380.30000,4509.20000,9484.80000,365.40000,4995.60000,173.50000,5648.90000,15133.70000
2010-12-31,2491.30000,6681.30000,534.00000,218.60000,9925.20000,1673.70000,2635.20000,4308.90000,14234.10000,4347.60000,2880.80000,934.10000,4528.70000,8876.30000,365.30000,4846.10000,41.30000,5357.80000,14234.10000
2010-09-30,2412.10000,6549.80000,512.80000,214.90000,9689.60000,1677.20000,2616.70000,4293.90000,13983.50000,3923.00000,3181.10000,360.60000,4744.50000,8667.50000,364.60000,4829.90000,38.40000,5316.00000,13983.50000
2010-06-30,2193.00000,6416.10000,481.40000,222.50000,9313.00000,1592.20000,2517.10000,4109.30000,13422.30000,3819.50000,3123.60000,340.50000,4608.40000,8427.90000,364.50000,4742.80000,-190.90000,4994.40000,13422.30000
2010-03-31,2101.40000,6771.80000,545.50000,222.20000,9640.89900,1696.20000,2652.90000,4349.10000,13990.00000,4315.20000,3011.30000,357.70000,4582.20000,8897.40000,364.70000,4676.00000,-18.10000,5092.60000,13990.00000
2009-12-31,2131.50000,7052.40000,632.10000,224.30000,10040.30000,1757.70000,2771.00000,4528.70000,14569.00000,4716.40000,3061.60000,952.50000,4748.90000,9465.30000,364.40000,4640.50000,36.20000,5103.70000,14569.00000
2009-09-30,2039.50000,7466.70000,629.00000,,10391.70000,1761.90000,2643.80000,4405.70000,14797.40000,5020.90000,3113.80000,,4743.60000,9764.50000,363.90000,4627.20000,-7.90000,5032.90000,14797.40000
2009-06-30,2034.80000,7667.10000,644.60000,,10648.20000,1733.20000,2541.10000,4274.30000,14922.50000,4721.80000,3660.50000,,5284.70000,10006.50000,363.70000,4646.80000,-136.40000,4916.00000,14922.50000
2009-03-31,2102.20000,7885.00000,602.70000,,10845.50000,1703.00000,2519.60000,4222.60000,15068.10000,4306.90000,4407.30000,,6029.90000,10336.80000,363.60000,4685.90000,-356.00000,4731.30000,15068.10000
