,cash-on-hand,receivables-total,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2020-03-31,1727.00000,594.00000,,1734.00000,4055.00000,5780.00000,,753.00000,245.00000,6852.00000,11144.00000,1554.00000,4295.00000,1010.00000,5550.00000,7104.00000,38.00000,1298.00000,-118.00000,4040.00000,11144.00000
2019-12-31,1844.00000,879.00000,,1128.00000,3851.00000,8593.00000,,753.00000,196.00000,9623.00000,13717.00000,1927.00000,4294.00000,991.00000,5870.00000,7797.00000,38.00000,3148.00000,-119.00000,5920.00000,13717.00000
2019-09-30,1655.00000,787.00000,,404.00000,2846.00000,10177.00000,,841.00000,216.00000,11329.00000,14394.00000,1658.00000,4295.00000,1132.00000,6194.00000,7852.00000,39.00000,3812.00000,-116.00000,6542.00000,14394.00000
2019-06-30,3840.00000,842.00000,,485.00000,5167.00000,10037.00000,,841.00000,232.00000,11209.00000,16649.00000,3467.00000,4294.00000,1148.00000,6188.00000,9655.00000,41.00000,3738.00000,-117.00000,6994.00000,16649.00000
2019-03-31,1327.00000,1038.00000,,338.00000,2703.00000,13864.00000,,841.00000,304.00000,15009.00000,18077.00000,1968.00000,5786.00000,1396.00000,8252.00000,10220.00000,42.00000,3280.00000,1064.00000,7857.00000,18077.00000
2018-12-31,2414.00000,812.00000,,880.00000,4437.00000,8462.00000,,753.00000,276.00000,15129.00000,19566.00000,2226.00000,4292.00000,3333.00000,8154.00000,10380.00000,45.00000,3650.00000,1027.00000,9186.00000,19566.00000
2018-09-30,3102.00000,1226.00000,,429.00000,4757.00000,14202.00000,,841.00000,372.00000,15415.00000,20172.00000,3224.00000,5791.00000,1716.00000,8050.00000,11274.00000,47.00000,2505.00000,1164.00000,8898.00000,20172.00000
2018-06-30,1460.00000,1141.00000,,11219.00000,13820.00000,14121.00000,,841.00000,377.00000,15339.00000,29159.00000,8377.00000,5790.00000,1712.00000,7934.00000,16311.00000,51.00000,6.00000,1091.00000,12848.00000,29159.00000
2018-03-31,1424.00000,1695.00000,,516.00000,3635.00000,21383.00000,,2383.00000,1915.00000,25681.00000,29316.00000,3482.00000,9628.00000,1708.00000,12109.00000,15591.00000,53.00000,473.00000,1122.00000,13725.00000,29316.00000
2017-12-31,2642.00000,989.00000,,1160.00000,4791.00000,14584.00000,,841.00000,10025.00000,25450.00000,30241.00000,3315.00000,6749.00000,5584.00000,12822.00000,16137.00000,53.00000,702.00000,1166.00000,14104.00000,30241.00000
2017-09-30,2781.00000,1462.00000,,379.00000,4622.00000,17082.00000,,3964.00000,1891.00000,22937.00000,27559.00000,2832.00000,10383.00000,1745.00000,12793.00000,15625.00000,53.00000,-428.00000,297.00000,11934.00000,27559.00000
2017-06-30,2369.00000,1248.00000,,469.00000,4086.00000,16822.00000,,3964.00000,1942.00000,22728.00000,26814.00000,2532.00000,10558.00000,1735.00000,12952.00000,15484.00000,53.00000,-656.00000,291.00000,11330.00000,26814.00000
2017-03-31,2119.00000,1320.00000,,336.00000,3775.00000,16421.00000,,3964.00000,1974.00000,22359.00000,26134.00000,2470.00000,10381.00000,1710.00000,12742.00000,15212.00000,53.00000,-1081.00000,287.00000,10922.00000,26134.00000
2016-12-31,1959.00000,1356.00000,,264.00000,3772.00000,20533.00000,,2383.00000,1987.00000,24903.00000,28675.00000,2616.00000,10154.00000,2120.00000,13337.00000,15953.00000,52.00000,-69.00000,1054.00000,12722.00000,28675.00000
2016-09-30,2385.00000,1092.00000,,257.00000,4451.00000,16169.00000,,3963.00000,2230.00000,22362.00000,26813.00000,2851.00000,11004.00000,2266.00000,13901.00000,16752.00000,52.00000,-1977.00000,278.00000,10061.00000,26813.00000
2016-06-30,1723.00000,1167.00000,,364.00000,3982.00000,16815.00000,,4159.00000,2288.00000,23262.00000,27244.00000,2929.00000,12357.00000,2484.00000,15396.00000,18325.00000,52.00000,-2970.00000,265.00000,8919.00000,27244.00000
2016-03-31,1635.00000,1047.00000,,268.00000,2950.00000,19264.00000,,4159.00000,2264.00000,25687.00000,28637.00000,2600.00000,12195.00000,2603.00000,15529.00000,18129.00000,52.00000,-1400.00000,257.00000,10508.00000,28637.00000
2015-12-31,2310.00000,1105.00000,,606.00000,4021.00000,19068.00000,,5032.00000,1330.00000,25430.00000,29451.00000,3295.00000,12056.00000,2223.00000,15167.00000,18462.00000,42.00000,1781.00000,230.00000,10989.00000,29451.00000
2015-09-30,1787.00000,1326.00000,,1185.00000,4298.00000,22775.00000,,5775.00000,1503.00000,30053.00000,34351.00000,3501.00000,11400.00000,2195.00000,14928.00000,18429.00000,41.00000,6413.00000,321.00000,15922.00000,34351.00000
2015-06-30,1725.00000,1611.00000,,1394.00000,4730.00000,27824.00000,,6349.00000,1703.00000,35876.00000,40606.00000,3998.00000,11375.00000,2173.00000,16457.00000,20455.00000,41.00000,10018.00000,528.00000,20151.00000,40606.00000
2015-03-31,1858.00000,1663.00000,,2285.00000,5806.00000,31455.00000,,6328.00000,1753.00000,39536.00000,45342.00000,5560.00000,10301.00000,2295.00000,16763.00000,22323.00000,41.00000,12933.00000,481.00000,23019.00000,45342.00000
