,cash-on-hand,receivables-total,inventory,pre-paid-expenses,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2015-12-31,4079.00000,1662.00000,1639.00000,563.00000,7943.00000,1199.00000,5930.00000,1151.00000,8280.00000,16223.00000,3502.00000,3230.00000,980.00000,4210.00000,7712.00000,37.00000,7792.00000,-639.00000,8511.00000,16223.00000
2015-09-30,3372.00000,1496.00000,1665.00000,567.00000,8033.00000,1128.00000,6021.00000,735.00000,7884.00000,15917.00000,3553.00000,2511.00000,1369.00000,3880.00000,7433.00000,38.00000,7656.00000,-529.00000,8484.00000,15917.00000
2015-06-30,4277.00000,1500.00000,1619.00000,585.00000,8936.00000,1102.00000,6050.00000,731.00000,7883.00000,16819.00000,3723.00000,3242.00000,1349.00000,4591.00000,8314.00000,38.00000,7600.00000,-431.00000,8505.00000,16819.00000
2015-03-31,4263.00000,1521.00000,1582.00000,467.00000,8727.00000,1069.00000,6059.00000,725.00000,7853.00000,16580.00000,3695.00000,3257.00000,1307.00000,4564.00000,8259.00000,38.00000,7527.00000,-521.00000,8321.00000,16580.00000
2014-12-31,5000.00000,1572.00000,1588.00000,524.00000,8684.00000,1098.00000,6204.00000,1293.00000,8595.00000,17279.00000,4461.00000,3246.00000,977.00000,4223.00000,8684.00000,38.00000,7559.00000,-254.00000,8595.00000,17279.00000
2014-09-30,4677.00000,1529.00000,1666.00000,467.00000,9326.00000,1104.00000,6365.00000,720.00000,8189.00000,17515.00000,4211.00000,3231.00000,1449.00000,4680.00000,8891.00000,38.00000,7430.00000,-74.00000,8624.00000,17515.00000
2014-06-30,4745.00000,1503.00000,1587.00000,605.00000,9381.00000,1127.00000,6191.00000,530.00000,7848.00000,17229.00000,3713.00000,3237.00000,1277.00000,4514.00000,8227.00000,38.00000,7525.00000,231.00000,9002.00000,17229.00000
2014-03-31,4047.00000,1430.00000,1498.00000,553.00000,8446.00000,1117.00000,6082.00000,514.00000,7713.00000,16159.00000,3558.00000,2244.00000,1294.00000,3538.00000,7096.00000,38.00000,7571.00000,268.00000,9063.00000,16159.00000
2013-12-31,3980.00000,1518.00000,1422.00000,535.00000,8335.00000,1081.00000,5833.00000,494.00000,7408.00000,15743.00000,2657.00000,2739.00000,1300.00000,4039.00000,6696.00000,38.00000,7617.00000,232.00000,9047.00000,15743.00000
2013-09-30,5138.00000,1370.00000,1404.00000,518.00000,9187.00000,1036.00000,4142.00000,518.00000,5696.00000,14883.00000,2324.00000,2743.00000,1079.00000,3822.00000,6146.00000,38.00000,7411.00000,146.00000,8737.00000,14883.00000
2013-06-30,4652.00000,1413.00000,1345.00000,498.00000,8689.00000,1021.00000,4118.00000,554.00000,5693.00000,14382.00000,1971.00000,2742.00000,1066.00000,3808.00000,5779.00000,38.00000,7410.00000,31.00000,8603.00000,14382.00000
2013-03-31,4487.00000,1408.00000,1323.00000,412.00000,8421.00000,1002.00000,4112.00000,554.00000,5668.00000,14089.00000,1808.00000,2738.00000,1087.00000,3825.00000,5633.00000,38.00000,7296.00000,17.00000,8456.00000,14089.00000
2012-12-31,4285.00000,1430.00000,1265.00000,357.00000,8148.00000,948.00000,3566.00000,544.00000,5058.00000,13206.00000,1876.00000,1746.00000,987.00000,2733.00000,4609.00000,38.00000,7332.00000,129.00000,8597.00000,13206.00000
2012-09-30,3863.00000,1356.00000,1315.00000,246.00000,7640.00000,929.00000,3402.00000,169.00000,5137.00000,12777.00000,1576.00000,1751.00000,1089.00000,2840.00000,4416.00000,38.00000,7162.00000,78.00000,8361.00000,12777.00000
2012-06-30,3460.00000,1368.00000,1289.00000,290.00000,7198.00000,898.00000,3377.00000,158.00000,5064.00000,12262.00000,1489.00000,1750.00000,1071.00000,2821.00000,4310.00000,38.00000,6908.00000,-60.00000,7952.00000,12262.00000
2012-03-31,3297.00000,1472.00000,1318.00000,336.00000,7229.00000,909.00000,3507.00000,161.00000,5230.00000,12459.00000,1549.00000,1751.00000,1137.00000,2888.00000,4437.00000,38.00000,6701.00000,235.00000,8022.00000,12459.00000
